Temperature (F),Pressure (psi),Vibration (mm/s),Humidity (%),Noise Level (dB),Usage Hours,Maintenance Frequency (per year),Power Fluctuations (per month),Machine Age (Years),Operator Experience,Failure Type
70.65977884254987,35.860832923794234,0.3757574686110006,64.45405100289707,72.97335146306348,9178,1,0,4,High,No Failure
70.42882781039086,23.222369742036875,0.6667936705982986,58.66276983937918,74.10991534260201,9790,6,0,1,High,Bearing Failure
75.75123714027228,33.56052589343207,0.5320289685854622,62.15525376197544,72.75514412393674,4616,6,4,2,High,No Failure
75.47095920198272,34.65713704255648,0.4448961980190156,53.80131966975737,74.70196625569906,1095,1,3,8,Medium,No Failure
86.00664009386522,26.48584543595217,0.6292963811702053,59.976219750941944,80.20038856233718,8921,8,2,12,High,No Failure
92.23932162456795,27.685329681776878,0.5501055898205416,66.20677399872343,71.19735799686833,4391,1,6,14,Medium,Electrical Fault
72.6877488768495,28.142609686592007,0.567031196945679,24.61144837106167,69.90271220754435,5983,5,2,5,High,No Failure
67.12110872827301,31.701752302004067,0.4894747528597577,71.85349315729144,62.97349072157385,3358,2,3,10,Medium,No Failure
76.77691960767044,34.99161875659131,0.7235895140144292,39.67980982827832,71.72776705711469,1491,8,4,1,Low,Overheating
84.02318038997595,35.04066458139486,0.652089573621155,23.332820193492843,80.00723668017326,3863,4,1,13,High,Leakage
87.87985671362438,25.270683352774103,0.7053181794037677,52.947314302911664,67.71737671954207,2659,2,3,13,High,No Failure
72.94772801970957,31.284491363387644,0.6120925586216703,52.93967228513079,63.04131230933156,517,7,3,12,Medium,No Failure
64.36938074092178,24.657156314531633,0.31637079312215255,69.86550939329356,80.22306771248503,9782,4,0,5,Low,No Failure
80.04782011455991,27.35005433124217,0.5025125111350232,39.98870050681637,72.67561832611273,4584,7,5,3,Medium,No Failure
77.66177312419623,34.678735995811145,0.5527443365125116,65.70299161460113,66.22243707261812,8781,8,5,5,Medium,No Failure
69.79099728426552,38.643826542416846,0.5284697765707419,68.29130326773628,62.88322185761935,9312,4,2,1,High,No Failure
57.64339934482378,26.9221672736249,0.5484386491458665,58.85436667723532,71.997508473273,3628,7,2,7,Medium,No Failure
87.18754280193228,32.86511483792172,0.6288874824536932,56.64701859850292,77.72277616796741,4609,7,1,3,Low,No Failure
78.19996819277756,30.358714048343135,0.6282463839960556,37.22855230005829,69.70319800550423,6374,8,1,10,Medium,No Failure
76.2587286516621,28.72129660039924,0.4365852509029432,26.18080484043395,69.48088973890974,5465,1,2,7,Medium,No Failure
65.38564667087358,24.134290375027746,0.4740929071865083,69.01001803840994,77.85304003515712,1592,8,1,7,High,Leakage
74.40714010544671,26.47455655379028,0.6781011403337642,27.104788337839167,77.8019013964695,3329,2,2,3,Medium,No Failure
83.71757974044664,42.57188253257756,0.6193177411219024,46.36927600818903,77.06228899258141,4499,4,2,12,Medium,No Failure
79.93001168797338,28.3508011328885,0.5251914703457528,41.67798225444325,73.4039966560625,6259,8,3,2,Medium,Bearing Failure
75.22137218147513,24.030222157186145,0.5658980834232685,77.47115004609185,70.2992044210986,8578,2,2,8,High,No Failure
72.10238860833829,37.57673724866884,0.30776328881968573,44.97232317620741,60.87615875574356,8741,7,5,11,Medium,Bearing Failure
80.09025142102954,32.28222291253143,0.63037650054051,40.864018499807415,68.08097399565769,7138,7,2,7,Medium,No Failure
68.38443807583914,34.831215162375095,0.2982442216072675,37.82358602259447,62.45455341628673,6403,9,2,13,Medium,No Failure
96.3456935933776,44.690213775008644,0.5843045333414637,66.9143202915196,75.21809942935005,832,6,3,7,High,No Failure
64.09406128848025,26.787346198066587,0.41815966962229056,45.8302493697953,71.01366337189529,1502,4,3,10,High,Bearing Failure
68.8086558721024,29.832056694785372,0.611894686253876,47.917138382682104,80.44145945009839,7730,2,2,12,Low,No Failure
86.35508380695677,37.566891023216996,0.46596499042755074,55.35260638121433,68.34849676653985,85,9,2,12,Medium,No Failure
64.67301358521077,34.11269495260026,0.5052076950825062,32.11267570019807,66.46947510384405,1923,9,4,7,Medium,Leakage
80.49043069097075,24.441313469992814,0.4920366892397781,27.129091429547326,71.66215198336602,8612,9,4,10,High,Leakage
74.48411260090091,28.736567443434648,0.44279314943483233,64.93014460724876,78.3544747444435,2372,1,2,7,Medium,No Failure
84.25053546847252,18.023602224002744,0.2928279163116839,36.288924890735714,74.94445083899323,8715,4,3,9,High,Leakage
80.44008020533667,29.55254935322381,0.473251439801,61.708923557783756,69.84871255302261,2106,1,2,9,High,Overheating
84.80763476892034,25.597443440505252,0.4065873524646717,40.88860926102126,70.32781756341059,9166,1,4,6,Low,No Failure
66.91466262928168,25.709557564166634,0.592843640103698,76.42952589900136,68.35328307142858,6087,8,4,13,Medium,No Failure
75.56379187637403,20.5657310541147,0.38447909976952377,46.23431669511753,70.95416487408852,3480,3,2,5,Medium,No Failure
73.6660814633795,26.45687838671679,0.5368527293577635,50.822521247393595,68.12726866342913,5853,6,5,6,Low,No Failure
75.3321898196669,39.298831163437114,0.535155438585651,60.69533106009055,73.01227024319387,4341,3,1,11,High,Electrical Fault
74.08643298494728,27.892347735267368,0.5719608669588669,21.310878206093623,69.67415285334862,7799,1,2,4,Medium,Bearing Failure
83.8316259470291,26.345472642931973,0.5195505179313242,50.240112944333866,70.32560773006139,2802,4,1,8,Medium,No Failure
68.92953052511955,32.146245691317375,0.3501920456840515,71.91507574282586,61.26428708237658,9836,3,2,5,Low,No Failure
71.46533991618021,28.701025465013373,0.3885396797244392,45.01001235715301,59.74516538240428,9575,9,3,13,Low,No Failure
69.95769908746503,34.09480692743341,0.5005983398467134,48.29479930070218,79.53810149490816,2068,1,1,14,Low,No Failure
72.5530732612305,31.964323882317537,0.6106079355450639,47.77491761590606,70.33377977735051,7493,2,1,9,Low,No Failure
64.4231702087824,30.04003094965048,0.5699601805156779,46.82937151177369,76.245461406423,2841,6,2,2,High,No Failure
71.78659424929997,26.631033046195626,0.3686182011831617,22.823424609431257,76.6720803037603,927,5,1,12,Medium,No Failure
69.7806262365147,27.68006391410496,0.5192911304525699,24.31209246024649,68.55879782175822,9037,1,1,2,Medium,Overheating
59.84992447421486,28.388910395050306,0.6479912048816783,55.39693609801325,71.77526955499023,6471,4,4,4,High,No Failure
68.96084683079545,35.07527537409188,0.530035110913689,51.80125716928415,67.6092394406101,2100,3,1,9,Medium,Bearing Failure
77.3106958342892,19.737004436637697,0.6022768711429367,60.19834959519656,64.37878494486152,8847,9,0,8,Medium,No Failure
67.15702690501386,34.06201713670375,0.6346998496725196,61.98353389373123,66.35090058930253,219,4,2,12,High,No Failure
82.15082704012555,35.91523391449046,0.5108449959938433,41.618182206504194,64.93622000092364,9757,9,2,13,Low,Leakage
75.05968993068333,28.335687655475056,0.5763391443141636,37.211318556200524,73.66312435279488,1401,2,3,8,Medium,Overheating
52.694082742775734,34.896054144533444,0.510362631569808,23.398417719040783,70.90632587701079,2674,9,2,6,Medium,No Failure
70.27398093378598,34.44309788639914,0.34314535244810884,44.2862257175975,64.23644455802297,5431,3,4,1,Medium,Leakage
82.07095336051171,32.58446772191795,0.42343554420836205,32.170702947846294,71.31962959386769,2526,4,0,6,Medium,No Failure
61.65724661597321,33.50750826386994,0.4949719297529617,39.223375202142364,71.57930598708364,8514,4,2,12,High,Leakage
82.33949863179775,22.312204099944076,0.6147910386738524,73.46008693185526,56.3898643159431,3601,9,4,2,High,No Failure
51.22565525852299,27.86794223196641,0.5258091463397115,70.16196043634568,73.28361081832257,9176,7,2,14,Low,No Failure
59.05927662990308,32.78438215331316,0.5280989461067461,36.40329471581802,78.15298896176887,2245,4,4,9,High,No Failure
86.5216107998316,32.55048066351244,0.6782371855301098,41.84679424934434,77.27194300103574,9349,1,3,10,Medium,No Failure
82.59839295139614,29.111931682752115,0.3944842539419991,43.633840965593265,77.08297629327613,4744,2,3,6,High,No Failure
87.45386162566719,26.451555138412445,0.6415159576427538,77.68243071228036,72.01152807035606,7373,1,3,9,High,No Failure
80.33184509391101,35.365880921981095,0.42877278705142996,22.666366294068197,64.41853366203166,6668,6,2,12,High,Leakage
64.37116740208965,33.78104595868584,0.5958339877494492,62.60022432038933,66.20154569405548,8650,9,2,12,Medium,Electrical Fault
96.5767784323116,34.600116186356324,0.5879856138574803,62.43141595501253,70.02845650250143,5089,3,1,4,High,No Failure
69.91668294283123,20.00372314376915,0.6207200026224589,77.36592819999403,68.27736537119516,8668,1,3,12,Low,No Failure
76.77264680359526,30.287923027117838,0.6749114587553771,27.294343996803583,73.91949317401289,8631,9,2,14,High,No Failure
81.44300963516815,30.504738030339983,0.5529899430340571,30.433380961495647,67.44963152437181,404,3,2,2,Low,Leakage
85.79483691909346,26.98949631948666,0.3004308840248865,66.11138295064684,61.948938881380855,3332,3,3,7,Medium,No Failure
91.99284939909994,34.42625141275319,0.4366896859968177,37.476253641385014,76.5166673459178,4631,6,2,9,High,Overheating
79.18228154650609,31.620846698171302,0.4584309519454919,75.93024197471632,76.48441208178997,8171,2,1,2,Medium,No Failure
60.55561112557453,15.645910546144034,0.5397119110698275,34.861683738101114,71.11026350249796,362,2,3,3,High,No Failure
69.64727412034048,29.568796095119886,0.37010471265292433,38.94751690253651,65.23160811332411,9238,7,4,6,Medium,No Failure
56.94896659282453,27.416228803335066,0.4777674001787373,68.48589357467554,71.8765404029565,4074,1,3,7,Medium,Overheating
75.24786175654779,34.979389508987616,0.5764225702303276,23.029580476106588,68.49111015643938,8984,7,1,10,Low,No Failure
70.22212388818664,22.67273282027059,0.7049980354844486,23.51967763711272,67.7121996673608,3276,6,2,2,Low,Electrical Fault
63.41991113421315,28.041744925036728,0.5895813196159317,26.59652246664332,68.04111723020984,6896,9,1,6,Low,Bearing Failure
90.25249299833618,32.109783971481455,0.5703354470405354,35.79122293085344,70.53834984449065,2743,8,0,6,High,No Failure
88.46658371151652,22.153821826331615,0.4235252240354048,47.00205950772106,61.64117874432608,1261,1,4,11,High,Leakage
47.30731862342452,33.35278948834042,0.4007962599907469,32.547022744699504,70.92795287433187,1052,3,2,8,Low,Leakage
84.59917575852094,25.061959154504553,0.4517309108114792,40.75657746041102,72.30655132595315,7261,9,1,1,Medium,Leakage
79.80297082943838,35.67803200730272,0.6908942227888749,47.72550558898535,75.64523409603241,6696,1,2,7,Low,Bearing Failure
68.58638541468468,38.164149378759674,0.46982871187717223,31.38524148864125,78.90334209204302,2893,9,3,14,Low,Leakage
84.25581693524279,32.82774488517447,0.5752958781022538,49.8656215253602,68.63231057761283,8379,3,0,9,Medium,No Failure
82.09820914204944,30.505741135167813,0.4282305097840877,24.024457915938818,84.72196947708551,7228,4,1,3,Medium,No Failure
62.841349572477185,35.97721676514786,0.43251627204677145,22.83110985219269,79.83847151996804,5426,3,2,6,Medium,No Failure
83.1662269017856,39.02568901614225,0.40504560147316543,58.398391586332856,59.14251718046326,2998,2,0,4,Medium,No Failure
75.74023312747788,33.00105824159318,0.4409828829550786,23.225625348303165,67.50568105446627,4636,3,3,7,Low,Bearing Failure
66.47033109948536,36.91650557095137,0.45141761406168474,45.639008059229724,79.8845097683983,7277,1,2,8,Low,No Failure
85.93721242672814,32.40830077946265,0.5103440529639921,58.492980776183984,69.90990650973721,9735,1,4,2,Medium,No Failure
82.35281186566532,33.580308861611584,0.6127663423044114,69.62147491534591,74.43763057614007,6474,7,1,3,Medium,No Failure
69.44749157049179,31.959673669748206,0.5158178684225561,63.36343712480967,68.24386911802343,1954,5,3,14,Medium,No Failure
71.10017041454263,27.88568188012113,0.4338371467249677,62.933020200965984,63.81299331235435,3997,6,1,4,Low,Leakage
69.184781612398,31.792273924727557,0.6456714380085338,34.98564572155166,76.28116206480293,4791,8,2,5,High,Overheating
68.66292894206181,22.522651678678393,0.5817102841552357,53.33615653956184,64.92058582405026,7950,7,1,4,Medium,Leakage
67.96691534521617,30.156869272274665,0.2975593535677564,59.550886928369515,62.6518404096546,6607,6,2,11,High,No Failure
75.69976727817617,25.11115564755595,0.5541586045087616,59.92351464136381,70.30101969594972,6160,7,0,11,Medium,Electrical Fault
86.83199145484542,32.44414550829198,0.4639677634010562,49.976741344536904,78.34137114236516,6859,3,5,6,Medium,No Failure
73.40827171714648,25.077313071788247,0.7170482923066066,31.966388179100292,81.0138573620361,3497,2,2,6,Medium,Leakage
90.01060415158258,31.307679365806653,0.4772867701121764,29.397073650921797,71.85995517996344,286,2,2,7,Medium,Electrical Fault
61.98054138842692,30.172513132847808,0.25343226110279116,61.108961678147665,75.61462008207421,4329,5,3,12,Medium,No Failure
69.92345370391783,28.728080688346445,0.6728603543280222,21.14022154660883,65.30207759901062,8040,2,2,6,Low,Overheating
79.12802130379832,36.42791384682202,0.4741179821303519,70.1657334422313,80.99678535033621,7609,3,3,4,High,Electrical Fault
69.04536963345504,29.9813455232393,0.5747749298428094,31.736311111522262,69.03766785730758,7778,6,0,3,Medium,Overheating
77.20256922985499,36.14411130704069,0.48287229679829397,49.13751623897251,82.954923157454,5446,6,0,3,Low,No Failure
55.69114623676148,37.13883964530128,0.676272695515121,76.55178128438217,72.95664616725314,3476,7,3,13,Medium,Bearing Failure
64.28228712132903,35.00884357380177,0.5510236258779622,74.18230567142044,73.6081969094952,9223,1,1,6,Medium,Leakage
68.60003641849795,32.886662266164436,0.6953871854339913,37.070800226095855,73.4392282851786,6037,7,2,7,Low,Leakage
83.83111698152365,27.125195167920413,0.649177109110242,47.638884902082005,74.21514140204714,8094,3,1,1,Medium,Leakage
71.36957215366884,24.525961905558297,0.42681226370037867,66.3436128958668,67.28449483563406,464,6,3,7,Low,No Failure
89.6258348421844,31.46130237575235,0.5200135720228972,51.860955983020155,69.30008675810814,5675,8,5,4,Low,No Failure
43.50444747341982,26.980102731794098,0.47809145569583894,48.64578345126234,71.75465991732273,4529,4,1,14,Medium,No Failure
75.19668583085864,31.665502539093865,0.3175544720282731,45.387918042849506,69.41860530305912,8643,3,4,8,Low,No Failure
77.60923894657459,35.66125366504109,0.4768769793083948,44.00885375774858,74.45299889472774,2145,3,1,14,High,Bearing Failure
85.57964109074601,35.84118089285393,0.5658568108822712,48.29105924853722,72.04401390742183,4118,9,0,4,Medium,Bearing Failure
102.04947185599177,33.84701929302649,0.410254956349739,77.29055659612033,67.3425776189235,5945,6,0,4,High,Leakage
79.27421477271515,26.8436020836779,0.6271587437887115,51.211897506674205,74.75300867955187,339,4,0,3,High,No Failure
69.7543678663373,27.24450017435246,0.4417117946325806,32.35055893467383,74.45709286979093,9389,2,2,1,Medium,No Failure
63.68853345977952,28.035646313859843,0.4978245099373758,42.51640609765627,69.18019115642053,4731,5,1,4,Medium,No Failure
84.99141356936661,32.88108581308998,0.4600323060989311,25.520576412448264,64.90990153980425,8806,4,2,10,Medium,Overheating
74.99173689078935,33.639249967122986,0.5231615535457862,44.74124300044155,70.6019488770629,2118,4,1,8,Low,Bearing Failure
73.48257359337612,35.79466523256335,0.4354686151182342,38.5761169175761,69.79952870361393,6922,3,3,11,Medium,No Failure
57.799686446654,32.5317630602198,0.4672144169901831,23.180199407758696,70.25486062670002,4791,2,1,11,Medium,Overheating
61.0381538363506,29.617042006489893,0.5367294458458874,49.8174272647828,74.80481235429102,2168,7,1,3,Low,Overheating
63.651165457005476,34.48638637698575,0.4820333344795653,75.12318236231988,69.28371023068897,7851,1,0,14,Medium,No Failure
53.62769443301329,29.160084683220916,0.4554891312767646,71.11568270022383,70.93395404900194,6077,9,2,6,Medium,No Failure
74.85449714511508,37.801896619751496,0.41486825410797734,54.41718239204715,71.13286089929511,7212,1,4,14,Low,No Failure
82.57342392838801,26.26820512839692,0.3620414922064066,63.22018328193905,68.12233509119949,5241,4,4,12,Low,No Failure
90.52489866220391,21.358408597282523,0.49217179331170163,23.110327118455874,73.10208586521762,2777,1,2,5,Medium,No Failure
75.97948544918466,36.030657776480496,0.6484953553237702,58.93441895581276,73.47055894759096,7998,5,1,8,Medium,Overheating
79.40936155762459,23.571003158941103,0.47546817289901727,60.36429532603656,63.408230142615466,1320,9,1,12,Medium,Leakage
73.37005777996664,28.55744000751594,0.5458946352353948,50.16503550303142,70.44190386423303,5816,5,3,14,High,No Failure
71.87498655404424,39.150060724637505,0.46193441529572793,74.84024279061947,73.3500788767497,4201,4,5,10,High,Leakage
84.44614287627365,21.936343382553552,0.5836065780165289,61.48560553685468,73.53713666604528,7126,7,1,2,Medium,Leakage
82.78554705358084,28.485189227526575,0.27461180650921707,79.00995062730753,70.78062914398684,2319,4,3,13,Medium,No Failure
68.07370453316456,25.006226535962092,0.5486940857650684,70.57002648726109,65.74248567349647,8572,6,5,11,Low,Electrical Fault
92.08338754079162,30.360992402668522,0.4387902834627705,42.144665377512354,76.85266993615876,9362,7,0,4,Low,Electrical Fault
85.83805504370201,24.35379331803228,0.47523721894493637,66.87408535531077,77.66678249202486,4623,4,4,9,High,No Failure
74.41055313096629,33.88347259081707,0.5555395238051619,37.55026368164745,74.80405607669124,4993,6,3,3,Medium,No Failure
79.08220020930914,31.394315084089126,0.45423887973564564,50.39317294253917,71.56746488838026,6272,9,4,2,Medium,No Failure
70.38502179547997,34.990019511118156,0.6175154251528323,28.903559702741298,67.02035060041949,9144,1,1,14,Medium,No Failure
57.97600437658765,21.786841142896222,0.42177865217810623,39.80759296221022,67.73148966344813,135,9,2,5,High,Overheating
82.43172876312353,31.012624315328598,0.48396816613125443,72.92710219042581,75.29942670493041,1470,4,3,11,Medium,Leakage
76.38765012141654,25.741858942881997,0.5272731971999587,35.07841718217068,67.67818408662116,9476,7,1,7,Medium,No Failure
105.75907236310607,25.2023460180199,0.31126228796102884,38.2800538874501,69.11487755455052,466,4,4,7,High,Leakage
82.25439810847021,28.384883699277975,0.559157087090054,29.79934460407074,69.68290935449606,7332,3,2,9,High,Electrical Fault
77.44064909241021,31.365435459568076,0.48322028839782083,42.23602438918514,73.14930240401367,441,9,0,7,High,No Failure
67.1249828084318,23.119216377241372,0.6554814064710277,37.473315212916916,65.19594617524876,5945,2,3,6,High,No Failure
68.91233477424475,26.431824173498683,0.5484411214069707,32.92890777041043,61.914637325056404,4881,9,2,3,Medium,No Failure
89.07573611085374,40.42484829086624,0.35126155962086153,35.27187225951214,74.62547416294514,4085,7,2,1,Low,No Failure
72.66070566540613,31.35142219604305,0.33567186659174814,59.08839649985553,66.99666812282939,5000,2,2,7,Medium,No Failure
71.76464903615404,34.774208290530154,0.5773503804873428,31.649797425739223,63.019645281377926,9077,4,1,8,Medium,Leakage
77.66418422242369,32.355370891579355,0.42696998343739445,44.24765280754205,70.11615503818224,9333,7,2,11,Medium,No Failure
68.66799220007184,33.80768093294816,0.4920828602717911,52.90335420146934,69.01584962369387,7631,2,2,1,Medium,No Failure
70.74226647936018,25.40596065811677,0.48340840993483886,30.26774746831049,69.75839511338224,2488,8,0,8,High,No Failure
71.83011473093761,35.02217905914026,0.48907610091571146,60.529517090588534,68.66388449653591,7516,1,6,11,High,Overheating
65.77117186214598,31.508719860771876,0.5891675904858069,27.7641414298292,69.2466606227971,8075,3,2,4,High,No Failure
79.32139669354552,29.54313294925002,0.6284802432738781,32.59197111563196,68.70680616237654,2259,2,0,8,Medium,Overheating
