product_category,store_location,historical_avg_monthly_sales,promo_active,season,economic_index,competitor_activity_index,local_event_impact,predicted_next_month_sales
Pharmacy,Metro,31816.81,No,Winter,0.92,1.23,0,23592.6
Pharmacy,Tier 1 City,22684.46,Yes,Back to School,1.12,1.2,0,23002.19
Apparel,Metro,48218.56,No,Back to School,1.15,0.56,1,111382.13
Grocery,Tier 1 City,58514.72,No,Regular,0.96,0.74,1,94332.53
Home Decor,Tier 1 City,44431.18,Yes,Winter,0.87,1.31,0,32765.91
Home Decor,Metro,67234.05,No,Winter,1.0,1.0,0,62639.73
Home Decor,Tier 2 City,57188.47,Yes,Festive,0.91,0.75,1,85789.37
Grocery,Tier 2 City,65983.27,No,Summer,0.96,1.25,0,53962.34
Pharmacy,Metro,34907.05,No,Festive,0.96,1.33,0,33352.91
Pharmacy,Tier 1 City,64218.46,No,Regular,1.0,0.8,0,84751.39
Home Decor,Tier 2 City,29247.46,Yes,Festive,0.81,1.11,0,30353.82
Pharmacy,Metro,24117.47,No,Winter,1.04,0.91,0,23278.51
Apparel,Tier 1 City,75571.71,No,Regular,0.81,1.25,0,48324.96
Pharmacy,Tier 1 City,68053.79,Yes,Summer,1.13,0.76,1,119527.29
Grocery,Metro,71105.73,No,Winter,1.2,0.87,1,104676.08
Grocery,Tier 1 City,36864.32,No,Festive,0.85,1.21,1,25788.93
Apparel,Metro,60229.41,Yes,Festive,1.05,0.8,1,95718.12
Apparel,Tier 2 City,35174.2,No,Summer,1.09,1.34,1,29312.64
Pharmacy,Tier 1 City,74190.44,Yes,Winter,0.84,0.78,1,93338.45
Home Decor,Tier 2 City,27534.97,No,Regular,1.07,0.72,0,38180.29
Pharmacy,Metro,49802.62,Yes,Summer,0.88,1.24,0,43224.32
Pharmacy,Tier 2 City,60471.98,Yes,Winter,0.87,1.08,0,67403.29
Home Decor,Tier 2 City,52248.37,Yes,Back to School,0.97,1.4,0,42615.36
Grocery,Tier 1 City,8601.13,No,Back to School,1.14,0.51,0,7829.55
Apparel,Tier 1 City,45723.45,No,Winter,1.02,0.62,0,81992.77
Pharmacy,Tier 1 City,22841.69,No,Back to School,1.11,0.51,0,45223.91
Electronics,Tier 2 City,84810.05,No,Summer,1.09,0.92,0,101315.44
Electronics,Tier 1 City,59511.82,No,Regular,1.19,1.06,0,69373.09
Electronics,Tier 2 City,5000.0,Yes,Back to School,0.97,1.02,0,5000.0
Home Decor,Tier 2 City,43796.37,Yes,Winter,0.98,0.77,1,75713.41
Apparel,Tier 1 City,46456.3,Yes,Regular,1.09,1.26,0,52577.29
Grocery,Metro,51150.54,No,Summer,1.07,0.61,0,81104.06
Electronics,Tier 2 City,30233.18,Yes,Festive,0.86,0.88,1,38050.35
Home Decor,Metro,79820.53,Yes,Festive,1.05,1.03,0,85674.02
Grocery,Metro,56863.56,No,Festive,1.15,1.36,0,50439.33
Electronics,Tier 1 City,78768.01,Yes,Back to School,1.18,0.76,0,134573.02
Home Decor,Tier 2 City,52787.98,No,Festive,0.92,1.15,0,47506.39
Home Decor,Metro,43123.77,Yes,Festive,1.04,0.71,0,70782.43
Home Decor,Tier 1 City,5000.0,Yes,Regular,1.15,1.43,0,5000.0
Grocery,Metro,52606.36,No,Winter,1.13,0.71,0,78291.01
Home Decor,Metro,41483.9,No,Regular,1.18,0.65,0,75062.62
Pharmacy,Metro,27000.38,No,Summer,1.02,0.65,0,40137.47
Grocery,Metro,5000.0,Yes,Summer,1.16,0.93,0,7839.04
Grocery,Metro,51572.78,Yes,Festive,1.19,1.05,0,65741.89
Apparel,Tier 1 City,44823.83,No,Back to School,0.93,0.78,0,45494.39
Apparel,Tier 2 City,65795.53,Yes,Summer,1.12,0.94,0,89237.57
Pharmacy,Tier 1 City,32041.97,Yes,Back to School,1.14,1.35,0,34861.22
Grocery,Tier 2 City,6763.44,No,Festive,0.88,0.75,0,5000.0
Electronics,Tier 2 City,36111.6,No,Regular,1.14,1.24,0,36682.04
Home Decor,Tier 2 City,36435.97,No,Summer,1.03,0.9,0,39668.69
Grocery,Tier 2 City,70531.08,No,Regular,0.88,1.02,1,73833.24
Electronics,Tier 1 City,13399.51,No,Back to School,1.12,1.05,0,9890.18
Home Decor,Tier 2 City,15193.29,No,Winter,0.88,0.7,0,18614.16
Apparel,Tier 1 City,36700.63,Yes,Festive,0.87,0.94,1,44402.65
Electronics,Tier 1 City,39641.48,Yes,Regular,0.96,0.56,0,77303.4
Grocery,Metro,69274.89,No,Regular,0.98,0.74,0,98644.96
Grocery,Tier 1 City,61756.42,Yes,Regular,1.09,0.78,0,110409.68
Home Decor,Tier 2 City,38608.3,Yes,Winter,1.06,0.63,0,84037.81
Pharmacy,Tier 2 City,76572.63,No,Winter,1.03,0.9,0,89081.64
Electronics,Metro,60009.46,No,Winter,0.97,1.5,0,39086.57
Grocery,Tier 2 City,55016.18,No,Winter,0.84,0.75,0,65639.12
Apparel,Tier 2 City,35259.22,No,Regular,0.85,0.87,1,33920.36
Electronics,Metro,97508.55,No,Festive,1.15,1.3,0,78845.54
Apparel,Tier 2 City,31820.39,No,Festive,1.08,0.61,0,66301.32
Grocery,Tier 1 City,62904.15,No,Summer,0.85,1.24,0,44498.53
Apparel,Metro,19643.66,Yes,Festive,0.96,0.94,0,29359.27
Pharmacy,Tier 1 City,36820.94,No,Festive,0.8,0.6,1,57541.03
Pharmacy,Metro,44850.56,No,Regular,0.83,0.7,1,57303.05
Electronics,Tier 1 City,39240.74,Yes,Back to School,0.9,1.25,0,24897.69
Electronics,Tier 2 City,48455.86,No,Festive,1.07,1.4,0,34322.7
Electronics,Tier 2 City,32126.38,No,Winter,1.0,0.65,0,52753.95
Pharmacy,Tier 2 City,41871.51,No,Back to School,0.87,1.35,0,29895.1
Home Decor,Metro,58088.72,No,Winter,0.88,1.03,1,58507.31
Pharmacy,Tier 1 City,16247.72,No,Winter,1.08,0.95,1,15395.66
Electronics,Metro,46348.56,Yes,Regular,1.15,0.93,0,68970.75
Apparel,Metro,73517.26,Yes,Festive,1.01,0.51,1,173701.5
Home Decor,Tier 1 City,54284.94,Yes,Festive,0.99,0.9,0,69097.36
Apparel,Metro,30968.11,Yes,Winter,1.14,1.35,0,27062.13
Apparel,Tier 2 City,21520.71,No,Winter,0.92,0.9,0,24992.49
Electronics,Tier 2 City,50297.18,Yes,Regular,0.99,1.27,0,30883.9
Apparel,Tier 2 City,38792.77,Yes,Summer,1.11,1.45,0,35759.0
Apparel,Tier 2 City,29496.61,Yes,Back to School,0.99,1.34,1,35631.9
Electronics,Tier 1 City,54143.39,Yes,Festive,1.05,0.97,0,63856.27
Grocery,Metro,30572.71,No,Festive,0.87,0.65,0,47863.69
Grocery,Metro,52322.06,No,Back to School,1.19,1.03,1,65576.58
Pharmacy,Tier 2 City,96048.21,Yes,Regular,0.8,0.95,0,95218.99
Home Decor,Tier 1 City,47380.61,No,Back to School,0.89,1.32,1,42376.06
Pharmacy,Tier 1 City,49355.6,No,Back to School,0.87,0.97,1,43670.42
Home Decor,Tier 2 City,63979.52,Yes,Winter,0.95,1.01,0,64443.08
Apparel,Metro,45360.2,No,Festive,0.8,1.16,0,32674.93
Apparel,Tier 1 City,52498.57,No,Winter,0.95,0.72,0,64571.25
Electronics,Tier 2 City,57953.82,Yes,Regular,0.8,1.07,0,53324.32
Electronics,Tier 2 City,80273.77,Yes,Back to School,0.94,1.27,1,81645.27
Pharmacy,Tier 1 City,51900.05,No,Summer,0.85,1.01,0,35632.4
Home Decor,Tier 1 City,40166.32,No,Back to School,1.1,0.64,0,74116.15
Home Decor,Metro,88672.79,No,Summer,1.05,1.01,0,92268.4
Apparel,Tier 2 City,45677.05,No,Festive,1.08,1.46,1,36465.44
Apparel,Tier 1 City,75439.52,No,Winter,0.8,0.57,0,109208.57
Pharmacy,Tier 2 City,66986.99,Yes,Regular,0.95,0.52,1,151326.67
Pharmacy,Tier 2 City,28763.84,No,Winter,0.85,1.02,0,24516.75
Pharmacy,Tier 1 City,38894.01,Yes,Festive,1.12,0.84,0,61827.89
Electronics,Metro,31525.59,No,Festive,0.99,1.1,0,31437.68
Home Decor,Tier 2 City,47813.53,No,Winter,1.06,1.0,0,50954.5
Pharmacy,Tier 1 City,47956.85,Yes,Summer,1.02,0.91,1,66797.23
Grocery,Metro,51780.5,No,Regular,0.99,0.91,0,57168.65
Grocery,Tier 1 City,53232.5,No,Summer,0.87,0.59,0,79685.89
Apparel,Metro,49230.71,Yes,Summer,1.09,0.96,0,65757.12
Electronics,Tier 2 City,46173.29,Yes,Summer,1.13,1.39,0,43621.53
Pharmacy,Tier 1 City,42599.87,Yes,Regular,0.89,1.23,0,33751.27
Pharmacy,Tier 2 City,53186.18,Yes,Back to School,0.87,0.78,1,68482.06
Electronics,Tier 1 City,43109.1,No,Regular,1.01,0.81,1,52697.06
Grocery,Tier 2 City,51759.87,No,Winter,1.18,0.79,0,74572.91
Pharmacy,Tier 2 City,70145.22,No,Summer,1.1,1.11,1,75909.5
Apparel,Tier 2 City,34657.9,No,Festive,1.08,0.65,0,58137.7
Home Decor,Metro,53068.83,No,Back to School,0.94,1.01,1,56145.59
Pharmacy,Tier 1 City,40111.9,No,Back to School,1.02,1.11,0,31851.54
Electronics,Tier 1 City,68791.8,Yes,Festive,0.91,1.43,0,51618.22
Pharmacy,Metro,36210.98,No,Regular,0.95,0.78,0,57304.83
Electronics,Metro,46246.46,No,Winter,1.12,1.04,0,45054.54
Home Decor,Metro,52309.37,No,Summer,1.14,0.51,0,123197.9
Home Decor,Metro,57680.06,No,Festive,0.9,1.13,1,47104.55
Pharmacy,Metro,58548.75,Yes,Festive,1.01,0.69,0,99191.81
Apparel,Metro,49952.98,No,Festive,1.04,1.3,0,33918.43
Grocery,Metro,61315.12,No,Festive,1.09,0.91,0,75400.19
Pharmacy,Tier 2 City,48925.25,Yes,Summer,0.98,0.63,0,92823.39
Pharmacy,Tier 2 City,43513.95,Yes,Winter,0.84,0.59,0,74016.97
Pharmacy,Tier 1 City,46429.11,Yes,Winter,1.08,0.64,0,90349.17
Grocery,Tier 1 City,54939.31,Yes,Summer,1.02,0.7,0,97420.81
Grocery,Metro,29569.94,Yes,Summer,1.0,1.11,0,33015.1
Grocery,Tier 1 City,76346.01,No,Summer,1.12,1.13,1,79733.98
Home Decor,Metro,83216.53,Yes,Back to School,0.82,0.58,0,132240.26
Pharmacy,Tier 2 City,47951.23,No,Festive,0.85,1.1,1,38123.61
Pharmacy,Metro,28780.57,No,Back to School,1.11,1.28,0,30320.06
Electronics,Metro,36185.8,No,Regular,0.97,1.1,0,41089.04
Grocery,Tier 1 City,84161.75,Yes,Back to School,1.04,1.17,0,89735.31
Pharmacy,Tier 1 City,22864.04,No,Winter,0.93,1.2,0,24348.0
Apparel,Tier 2 City,71357.63,No,Winter,0.9,0.53,1,136918.09
Electronics,Tier 1 City,81370.53,No,Back to School,0.98,0.75,0,99896.38
Apparel,Tier 2 City,94949.46,No,Winter,1.09,0.55,1,218193.88
Electronics,Tier 2 City,58914.38,Yes,Back to School,1.13,0.74,0,93938.06
Home Decor,Tier 1 City,25626.73,Yes,Festive,1.01,1.42,0,17982.24
Grocery,Tier 1 City,71264.15,No,Regular,1.19,1.5,0,63909.04
Apparel,Tier 2 City,84683.45,No,Regular,0.93,0.63,0,130358.44
Grocery,Tier 2 City,57624.25,No,Back to School,1.12,1.45,0,42228.11
Pharmacy,Tier 2 City,26623.77,Yes,Summer,1.08,1.34,0,21420.42
Electronics,Tier 1 City,56621.93,No,Winter,0.86,1.37,0,35666.93
Apparel,Metro,60171.03,Yes,Regular,0.95,0.71,0,89998.21
Home Decor,Tier 1 City,83477.0,No,Summer,0.9,1.44,0,49325.52
Electronics,Tier 2 City,36583.29,No,Winter,1.04,1.37,1,28695.69
Grocery,Metro,13638.56,No,Summer,0.83,0.79,1,18158.84
Electronics,Tier 2 City,14007.31,No,Summer,1.03,1.29,0,18148.97
Electronics,Tier 2 City,30500.74,No,Summer,1.11,1.05,0,32602.49
Apparel,Metro,71125.06,Yes,Regular,1.18,0.98,0,91621.38
Pharmacy,Tier 2 City,23671.18,No,Summer,1.17,1.08,0,26226.8
Apparel,Tier 2 City,40844.26,Yes,Back to School,0.95,0.75,1,71210.7
Grocery,Tier 2 City,50037.14,Yes,Regular,1.05,1.45,0,40267.92
Electronics,Tier 2 City,5000.0,Yes,Summer,0.86,1.23,0,5867.18
Grocery,Tier 1 City,34927.96,Yes,Winter,0.95,0.75,0,56383.44
Home Decor,Metro,58008.62,No,Festive,1.05,1.11,0,55841.34
Grocery,Tier 1 City,84902.49,Yes,Back to School,1.16,1.39,0,88427.06
Apparel,Tier 1 City,88384.37,No,Regular,1.09,1.19,0,79452.32
Grocery,Tier 2 City,58253.2,No,Regular,1.12,0.91,0,67057.72
Home Decor,Metro,82689.8,No,Regular,1.08,1.45,1,68105.13
Electronics,Tier 2 City,35375.44,No,Winter,0.92,1.26,0,26741.99
Electronics,Tier 1 City,55579.98,Yes,Regular,1.17,0.99,1,82772.61
Apparel,Tier 2 City,94627.22,No,Regular,1.11,1.39,0,74666.06
Grocery,Tier 1 City,50709.84,No,Back to School,0.9,1.14,0,30136.19
Electronics,Tier 1 City,38503.4,Yes,Back to School,0.83,0.56,0,69484.73
Apparel,Metro,46695.58,No,Summer,1.18,1.48,0,35971.15
Home Decor,Metro,63764.67,No,Festive,0.89,0.5,1,112688.31
Electronics,Tier 1 City,42168.21,No,Summer,0.87,1.11,0,34693.89
Home Decor,Metro,49779.06,Yes,Back to School,0.98,1.19,0,40139.67
Home Decor,Metro,32652.97,No,Festive,0.91,1.1,1,33270.84
Apparel,Tier 2 City,45653.76,No,Festive,1.15,1.04,1,56040.44
Grocery,Tier 2 City,67644.91,No,Winter,0.83,0.56,0,99938.9
Apparel,Tier 2 City,46666.68,No,Summer,0.9,1.21,0,37224.84
Grocery,Tier 1 City,49870.03,Yes,Back to School,0.84,1.45,1,33150.65
Apparel,Tier 2 City,15282.67,No,Winter,1.18,1.23,0,13346.9
Home Decor,Tier 2 City,69441.5,Yes,Back to School,1.01,0.72,0,107997.85
Electronics,Tier 2 City,44798.57,Yes,Winter,0.87,1.28,0,37470.36
Pharmacy,Tier 2 City,39249.07,Yes,Winter,1.15,1.32,0,39731.68
Home Decor,Metro,20308.0,No,Winter,0.95,0.53,0,36155.83
Electronics,Metro,17767.7,Yes,Festive,0.97,0.86,0,19939.03
Electronics,Metro,19700.08,Yes,Winter,0.92,0.56,1,46609.68
Pharmacy,Tier 1 City,28465.97,No,Regular,0.85,1.32,0,27164.58
Pharmacy,Metro,71143.96,No,Festive,1.0,1.33,1,53722.75
Grocery,Metro,44584.6,No,Regular,0.83,0.55,0,69668.41
Grocery,Metro,49069.0,Yes,Winter,0.86,1.22,1,36786.31
Apparel,Metro,46911.41,No,Winter,1.07,1.09,0,53394.44
Pharmacy,Tier 2 City,36014.69,No,Regular,1.17,0.96,0,49319.39
Electronics,Metro,48490.57,No,Festive,0.96,1.25,0,36351.33
Pharmacy,Metro,47199.4,No,Festive,0.84,1.2,0,29040.81
Pharmacy,Tier 1 City,39312.21,Yes,Summer,1.11,0.67,0,73612.8
Electronics,Metro,58481.25,No,Back to School,1.08,1.36,0,32772.05
Apparel,Tier 1 City,66525.05,No,Winter,1.01,0.51,0,131302.25
Pharmacy,Tier 1 City,7777.74,Yes,Festive,1.2,0.78,0,15446.34
Apparel,Metro,52206.44,No,Summer,0.82,1.06,0,45244.29
Electronics,Metro,75171.98,Yes,Back to School,1.06,0.53,1,190831.49
Grocery,Tier 1 City,43827.37,No,Winter,0.83,0.88,0,36602.52
Grocery,Tier 2 City,70528.61,Yes,Festive,0.89,1.4,0,49620.49
Home Decor,Tier 1 City,39901.2,No,Back to School,0.98,0.99,0,47019.78
Pharmacy,Tier 1 City,30384.94,No,Festive,0.84,1.27,1,29266.88
Grocery,Tier 2 City,58841.54,No,Regular,0.85,0.79,0,62128.06
Home Decor,Tier 1 City,89096.58,No,Festive,1.11,0.96,0,102751.88
Home Decor,Tier 1 City,33891.05,No,Regular,1.16,1.23,0,36770.47
Grocery,Metro,51108.81,No,Festive,0.93,0.61,0,78196.58
Apparel,Metro,60382.16,Yes,Back to School,0.94,0.81,0,74872.7
Pharmacy,Tier 1 City,52048.79,Yes,Regular,1.08,0.68,0,96518.79
Pharmacy,Tier 1 City,84053.24,No,Winter,0.87,1.33,0,45670.65
Electronics,Tier 2 City,53692.39,Yes,Back to School,1.11,1.11,0,69210.68
Home Decor,Tier 1 City,63858.71,Yes,Festive,0.84,0.82,0,86370.41
Pharmacy,Tier 1 City,70961.43,Yes,Back to School,0.84,1.15,1,64609.83
Grocery,Metro,52994.62,Yes,Summer,1.18,0.77,0,100440.97
Pharmacy,Metro,42529.64,Yes,Back to School,1.09,0.85,0,55915.39
Grocery,Metro,56009.99,No,Winter,1.14,0.63,0,96836.75
Home Decor,Tier 2 City,29168.38,No,Festive,1.13,1.2,0,31674.55
Pharmacy,Tier 1 City,36798.79,Yes,Regular,0.91,1.3,0,28047.86
Home Decor,Tier 2 City,45417.38,No,Back to School,0.85,1.09,0,36266.7
Grocery,Metro,100107.97,Yes,Festive,0.91,0.57,0,180150.97
Pharmacy,Metro,73670.46,No,Regular,0.96,1.4,0,56914.16
Electronics,Tier 2 City,67408.26,No,Back to School,1.2,1.08,0,67120.24
Pharmacy,Tier 1 City,70792.34,No,Winter,0.88,0.97,0,61286.26
Grocery,Tier 1 City,29357.75,No,Regular,0.91,0.96,0,26026.86
Apparel,Tier 2 City,78932.44,No,Regular,0.87,0.66,0,108613.64
Electronics,Tier 2 City,44794.61,Yes,Summer,0.88,1.43,0,28321.88
Grocery,Tier 2 City,61534.97,No,Winter,1.12,0.88,0,74711.17
Grocery,Tier 1 City,45094.69,No,Back to School,1.16,0.69,0,80789.01
Grocery,Metro,47812.36,Yes,Back to School,0.97,0.83,0,68384.02
Apparel,Metro,18199.1,No,Winter,1.01,0.99,0,19296.68
Grocery,Metro,33842.26,No,Back to School,1.14,1.45,0,21514.32
Home Decor,Tier 1 City,42624.75,Yes,Festive,0.86,1.2,1,43342.5
Grocery,Tier 1 City,12012.26,No,Summer,0.86,0.6,0,21548.41
Pharmacy,Metro,54356.25,No,Back to School,1.1,1.28,0,51182.65
Home Decor,Tier 2 City,33918.01,No,Festive,1.18,1.34,0,33132.76
Electronics,Tier 1 City,72137.2,No,Summer,0.94,0.67,0,98876.02
Electronics,Tier 1 City,51119.09,No,Festive,1.08,1.18,0,49473.29
Pharmacy,Tier 2 City,87022.56,No,Regular,0.93,0.55,0,141554.31
Grocery,Tier 1 City,47754.16,Yes,Winter,1.1,0.77,0,83263.11
Home Decor,Metro,52643.33,No,Summer,1.16,1.43,0,51024.36
Pharmacy,Tier 2 City,41471.82,Yes,Back to School,1.14,0.97,0,50606.78
Pharmacy,Tier 1 City,35146.94,No,Summer,0.98,1.09,0,30140.85
Pharmacy,Metro,52956.86,Yes,Festive,1.06,0.91,0,70965.61
Grocery,Tier 2 City,25237.53,No,Summer,0.93,1.49,1,13083.99
Pharmacy,Tier 2 City,53176.11,No,Summer,0.95,0.73,0,70510.68
Electronics,Tier 1 City,73546.34,Yes,Regular,0.87,1.2,0,64871.81
Electronics,Tier 1 City,57228.66,No,Regular,0.97,0.82,0,77276.99
Electronics,Tier 2 City,61074.9,No,Regular,0.95,1.39,1,37405.37
Apparel,Tier 1 City,39889.35,Yes,Regular,1.05,0.97,0,52012.35
Electronics,Tier 1 City,17661.16,Yes,Regular,0.88,1.03,0,13278.87
Home Decor,Tier 1 City,90452.06,No,Back to School,1.14,0.83,0,118636.11
Apparel,Tier 1 City,42451.56,Yes,Summer,1.14,1.43,0,32697.6
Electronics,Tier 1 City,67256.72,No,Summer,0.84,0.6,0,92602.46
Grocery,Tier 2 City,33764.87,No,Back to School,0.86,0.66,0,48314.67
Home Decor,Tier 2 City,84682.09,No,Festive,1.05,1.23,1,71756.56
Electronics,Metro,50210.8,Yes,Summer,1.0,1.04,0,62664.93
Grocery,Tier 2 City,38319.07,No,Festive,1.17,0.59,0,84789.31
Home Decor,Tier 1 City,61791.47,No,Summer,1.18,0.68,0,107120.88
Apparel,Metro,28111.03,No,Summer,1.03,1.14,0,22426.94
Apparel,Metro,52460.45,No,Winter,0.91,1.5,0,30772.61
Apparel,Metro,51745.58,No,Summer,0.95,1.22,0,38635.17
Grocery,Tier 2 City,60777.02,No,Winter,0.91,1.07,0,56001.07
Electronics,Tier 2 City,60168.3,Yes,Festive,1.12,1.21,0,67926.07
Pharmacy,Tier 1 City,75280.73,No,Summer,1.06,0.71,0,108409.68
Pharmacy,Tier 2 City,5460.23,No,Back to School,1.12,0.78,1,10061.35
Grocery,Tier 1 City,7092.6,No,Back to School,0.83,0.86,0,5687.28
Grocery,Tier 1 City,58251.51,No,Regular,1.17,1.05,0,57134.24
Apparel,Tier 2 City,28728.54,No,Winter,1.09,1.49,0,17190.7
Apparel,Tier 2 City,43122.11,No,Summer,0.81,0.9,1,50507.0
Pharmacy,Tier 1 City,21336.43,No,Summer,0.92,0.8,0,22498.84
Apparel,Tier 1 City,44324.53,Yes,Summer,0.9,1.27,0,38394.77
Home Decor,Tier 1 City,59255.43,Yes,Summer,1.15,0.64,0,127326.37
Pharmacy,Metro,37391.29,Yes,Winter,1.04,0.54,0,83748.34
Grocery,Tier 1 City,49879.25,No,Winter,0.81,0.64,0,66314.56
Home Decor,Metro,62586.43,No,Winter,0.85,1.28,0,40892.79
Pharmacy,Metro,26140.47,Yes,Back to School,0.83,1.35,0,9061.5
Home Decor,Tier 1 City,56081.97,No,Festive,0.91,1.26,0,44659.95
Electronics,Metro,72538.15,No,Back to School,0.91,0.85,0,75852.64
Grocery,Tier 1 City,72568.13,No,Back to School,0.91,1.43,0,44555.31
Grocery,Tier 2 City,76880.92,Yes,Back to School,0.86,0.96,0,74540.42
Pharmacy,Tier 2 City,63466.58,No,Regular,0.95,1.12,0,52463.22
Apparel,Tier 2 City,52838.28,Yes,Back to School,1.17,1.38,0,53611.97
Apparel,Metro,67595.12,Yes,Winter,1.01,0.88,1,93038.8
Home Decor,Metro,5000.0,No,Winter,0.96,0.82,1,5000.0
Apparel,Tier 2 City,31498.22,No,Festive,1.13,1.03,0,30817.07
Grocery,Tier 2 City,51520.54,Yes,Winter,1.12,1.4,0,39672.56
Apparel,Tier 1 City,42190.01,No,Back to School,1.13,0.56,0,90776.78
Apparel,Tier 2 City,78079.85,Yes,Festive,1.07,1.31,0,68434.41
Home Decor,Tier 1 City,86268.91,No,Summer,0.9,1.12,0,61904.61
Electronics,Metro,51846.48,No,Festive,0.88,0.69,0,61785.19
Home Decor,Tier 1 City,69774.67,Yes,Back to School,0.96,0.69,0,112009.19
Grocery,Tier 2 City,51394.66,Yes,Back to School,1.02,0.94,0,63186.76
Grocery,Metro,65737.16,Yes,Back to School,0.92,0.92,1,95038.29
Home Decor,Metro,55139.36,No,Winter,1.03,1.23,0,43796.25
Grocery,Tier 1 City,42858.16,No,Regular,1.2,0.8,0,66856.07
Home Decor,Metro,23456.48,No,Summer,0.94,1.11,0,17053.77
Pharmacy,Tier 1 City,62447.67,Yes,Summer,0.82,0.95,0,61122.78
Pharmacy,Tier 1 City,71362.4,No,Regular,1.2,1.27,1,76252.86
Electronics,Tier 1 City,30940.11,No,Back to School,1.07,0.9,0,36506.52
Pharmacy,Tier 1 City,5000.0,No,Regular,0.91,1.26,0,5000.0
Grocery,Metro,72833.24,No,Back to School,0.8,0.58,0,103438.16
Pharmacy,Metro,61100.87,No,Regular,0.88,1.31,0,35103.2
