Date,Channel,Region,Ad_Spend,Impressions,Clicks,Conversions,Revenue,CTR,Conversion_Rate
2025-02-14,Email,West,14792,379229,6323,1438,1022418,1.6673302938330137,22.742369128578208
2025-02-14,Email,North,43690,63407,18185,881,303945,28.67979876038923,4.844652185867473
2025-02-14,YouTube,South,26305,265154,12769,2765,2272830,4.815692012943421,21.654005795285457
2025-02-14,Email,West,17904,421602,13325,2105,915675,3.1605637544413923,15.797373358348969
2025-02-15,Email,East,24755,81960,12407,2773,2404191,15.137872132747681,22.35028612879826
2025-02-15,Facebook,East,23842,290209,2875,1972,1096432,0.9906653480767309,68.59130434782608
2025-02-15,Email,East,45359,34329,19219,2878,1559876,55.984735937545516,14.974764555908216
2025-02-15,Instagram,East,32712,61209,1188,221,154258,1.9408910454344948,18.602693602693606
2025-02-16,YouTube,East,47769,327793,2872,855,365940,0.8761627002407006,29.770194986072422
2025-02-16,Instagram,East,41502,211241,18361,1266,482346,8.691967941829475,6.895049289254398
2025-02-16,Instagram,East,47879,258457,13076,1218,482328,5.059255504784161,9.314775160599572
2025-02-16,Instagram,South,42729,242994,9363,2059,1846923,3.8531815600385197,21.990814909751148
2025-02-17,Email,West,42585,117491,1348,1521,685971,1.1473219225302362,112.83382789317507
2025-02-18,Email,South,44706,481597,15181,2288,1164592,3.1522206326036084,15.071470917594363
2025-02-18,Instagram,North,47701,458257,13094,2833,2328726,2.8573486056950577,21.635863754391323
2025-02-18,Facebook,West,24108,191865,7577,2208,1154784,3.949130899330258,29.140820905371516
2025-02-18,Facebook,West,7239,305148,5025,1532,736892,1.646741908844233,30.487562189054728
2025-02-19,YouTube,South,8059,181014,11430,1964,418332,6.3144287182206895,17.182852143482062
2025-02-19,Instagram,North,9365,43762,14574,1177,675598,33.30286549974864,8.076025799368738
2025-02-20,Instagram,North,21285,361339,3323,858,297726,0.919635024173975,25.820042130604875
2025-02-20,YouTube,North,46259,276974,7625,1564,1345040,2.7529659823665757,20.511475409836066
2025-02-21,Email,North,40464,251809,12901,163,47596,5.123327601475721,1.2634679482210682
2025-02-21,Email,South,22847,349297,10688,1763,1302857,3.0598602335548257,16.495134730538922
2025-02-21,Instagram,South,30856,230732,10125,2300,1472000,4.388207964218227,22.71604938271605
2025-02-21,YouTube,East,38231,482122,18669,2993,1161284,3.8722563998324078,16.031924580855964
2025-02-21,YouTube,South,5255,242013,18305,2668,2574620,7.563643275361241,14.575252663206776
2025-02-21,YouTube,East,24457,261532,2665,1610,526470,1.0189957634247433,60.41275797373359
2025-02-22,Instagram,North,47311,92664,5890,99,55737,6.356298022964689,1.6808149405772497
2025-02-22,Instagram,West,37546,415747,19109,2080,472160,4.596304964317241,10.884923334554399
2025-02-23,YouTube,South,38410,123148,1297,1145,843865,1.053204274531458,88.28064764841943
2025-02-23,Instagram,North,37895,104666,14742,231,139062,14.084803087917757,1.566951566951567
2025-02-24,Google Ads,West,15958,298119,8314,994,674926,2.7888192299048367,11.955737310560501
2025-02-24,Facebook,South,32905,54406,18508,1297,1090777,34.01830680439657,7.00778041927815
2025-02-24,Instagram,West,18997,480139,7043,1203,1164504,1.466866886464128,17.080789436319748
2025-02-24,Facebook,North,33940,249909,9313,2920,1950560,3.7265564665538258,31.35402126060346
2025-02-24,Instagram,West,29843,415733,16110,1706,1453512,3.8750832866286777,10.589695841092489
2025-02-25,Facebook,South,17553,39541,13444,738,520290,34.000151741230624,5.489437667360905
2025-02-25,Instagram,South,38969,111292,15904,510,185130,14.290335334076124,3.206740442655936
2025-02-25,Google Ads,East,9247,73147,1190,2405,1577680,1.626860978577385,202.10084033613444
2025-02-26,Instagram,North,21941,348613,5457,182,181090,1.5653461001167484,3.3351658420377497
2025-02-26,Google Ads,West,36395,141963,3087,2981,1213267,2.17451025971556,96.56624554583738
2025-02-26,Google Ads,South,39679,272788,4089,2265,770100,1.4989662301860784,55.39251650770359
2025-02-26,Google Ads,North,43759,74317,17472,1602,373266,23.510098631537872,9.168956043956044
2025-02-27,Instagram,East,46204,356819,10825,1408,587136,3.033751005411707,13.00692840646651
2025-02-27,Facebook,West,22493,127625,12088,1463,475475,9.471498530852106,12.102911978821972
2025-02-28,Google Ads,West,13717,195382,11336,1296,580608,5.801967427910452,11.432604093154552
2025-03-01,Instagram,North,29822,194939,17155,231,95865,8.800188777002036,1.3465461964441854
2025-03-01,Email,West,31825,64062,7711,737,243947,12.036776872404857,9.557774607703282
2025-03-02,YouTube,East,5794,277918,4998,428,312012,1.7983721817226663,8.563425370148058
2025-03-04,Email,West,37588,368404,563,2613,2032914,0.15282135916005254,464.1207815275311
2025-03-04,Email,South,25766,274056,562,146,121034,0.2050675774294305,25.97864768683274
2025-03-04,YouTube,North,32424,374469,12861,1450,1086050,3.4344631998910455,11.274395459140035
2025-03-04,YouTube,North,27937,163630,8706,1758,989754,5.320540243231681,20.192970365265335
2025-03-04,YouTube,West,21500,205732,4503,1599,949806,2.1887698559290727,35.509660226515656
2025-03-05,YouTube,South,10916,132493,9454,154,144298,7.135471307918154,1.6289401311614133
2025-03-05,Instagram,North,20560,17481,6604,2667,1917573,37.77815914421372,40.38461538461539
2025-03-06,Email,East,5768,245054,19240,2609,1291455,7.851330727105046,13.56029106029106
2025-03-06,Instagram,West,15985,225069,13712,1155,696465,6.092353900359445,8.423278879813303
2025-03-06,Email,West,30367,262026,10015,2796,1948812,3.8221397876546606,27.918122815776336
2025-03-06,Facebook,West,48819,212406,5651,379,159938,2.660470984812105,6.70677756149354
2025-03-07,Facebook,East,48067,249999,9316,97,58103,3.7264149056596225,1.0412194074710177
2025-03-07,YouTube,South,7637,397744,6843,447,291444,1.7204533569331029,6.53222270933801
2025-03-07,Google Ads,North,39990,68519,12605,1696,1590848,18.39635721478714,13.45497818326061
2025-03-07,Instagram,South,31971,289855,16387,2486,892474,5.653516413379103,15.170562030878134
2025-03-08,Instagram,South,48994,248828,631,2728,752928,0.25358882440882863,432.3296354992076
2025-03-09,YouTube,West,48096,60428,10331,896,541184,17.09637916197789,8.6729261446133
2025-03-10,Facebook,East,24453,436141,15389,578,394196,3.5284460759249874,3.7559295600753786
2025-03-10,YouTube,West,41335,347155,7296,2052,771552,2.1016548803848423,28.125
2025-03-10,Email,East,38609,36076,9157,2946,1667436,25.382525778911187,32.17210876924757
2025-03-11,Google Ads,South,47875,326924,7646,1461,1133736,2.3387698670027284,19.10803034266283
2025-03-11,YouTube,East,33016,415798,8594,2705,1401190,2.0668690085089394,31.47544798696765
2025-03-11,Facebook,North,41726,93708,3861,528,459888,4.1202458701498275,13.675213675213676
2025-03-12,Google Ads,South,38492,409748,8739,1023,804078,2.132774290539551,11.706144867833848
2025-03-12,Facebook,East,45483,146557,14600,101,78578,9.961994309381334,0.6917808219178082
2025-03-12,YouTube,South,47750,433415,17756,2533,1109454,4.096766378644025,14.26560036044154
2025-03-12,YouTube,West,45954,459282,808,2007,467631,0.17592677265819257,248.3910891089109
2025-03-13,Email,North,17904,133960,19504,2419,1894077,14.559570020901761,12.402584085315832
2025-03-13,YouTube,South,7014,372024,18885,1184,493728,5.076285400941875,6.269526078898596
2025-03-13,Facebook,East,5699,307042,17721,1274,1002638,5.771523114101654,7.189210541165848
2025-03-14,Instagram,North,41903,434238,2743,2007,710478,0.6316812439261419,73.16806416332483
2025-03-14,Email,North,22423,257417,13625,2434,1796292,5.292968218882202,17.86422018348624
2025-03-14,Facebook,North,16682,443201,5590,118,32214,1.261278742602115,2.110912343470483
2025-03-14,Email,East,13039,358836,14802,581,232400,4.12500418018259,3.925145250641805
2025-03-14,Email,East,43382,483935,5577,1049,782554,1.1524274954281049,18.809395732472655
2025-03-14,Google Ads,South,36745,276805,17903,56,32704,6.467729990426474,0.3127967379768754
2025-03-15,Instagram,North,25762,451859,14763,252,54432,3.267169625923131,1.7069701280227598
2025-03-15,Instagram,West,49800,494456,5235,2836,890504,1.0587393013736308,54.173829990448894
2025-03-15,Email,South,31858,365740,16282,966,548688,4.451796358068574,5.932932072227
2025-03-15,Facebook,North,35571,294348,8665,1977,923259,2.943794420210091,22.81592613964224
2025-03-16,Google Ads,East,46498,18615,5650,755,613060,30.3518667741069,13.362831858407079
2025-03-17,Email,East,24901,64718,14306,1890,1260630,22.10513303872184,13.211240039144414
2025-03-17,Instagram,West,12373,72832,5508,2858,594464,7.562609841827768,51.8881626724764
2025-03-18,Google Ads,West,28239,55683,6832,851,736966,12.269453872815761,12.456088992974239
2025-03-18,Email,West,21144,94408,7583,138,96324,8.032158291670198,1.8198602136357642
2025-03-18,Instagram,South,6006,331109,3495,140,43260,1.0555436427279234,4.005722460658083
2025-03-18,YouTube,North,46710,91282,9623,763,275443,10.542056484301396,7.92892029512626
2025-03-19,Facebook,East,9829,11560,5313,246,212790,45.96020761245675,4.630152456239413
2025-03-19,YouTube,West,43650,205070,19620,1219,1183649,9.567464768127957,6.213047910295617
2025-03-19,Email,North,9992,293105,10212,2278,2038810,3.484075672540557,22.307089698394048
2025-03-20,Email,East,18108,472738,16511,1080,545400,3.4926322825751264,6.541093816243716
2025-03-20,Google Ads,North,40507,115206,6034,717,406539,5.237574431887228,11.882664898906198
2025-03-21,Email,North,14087,357825,3813,2281,903276,1.065604695032488,59.821662732756366
2025-03-21,Google Ads,North,37374,348743,3858,1988,1606304,1.1062587636167607,51.52928978745464
2025-03-21,Facebook,South,13538,203397,17308,2724,1168596,8.50946670796521,15.738386873122256
2025-03-22,Facebook,South,15646,140176,11431,407,336996,8.154748316402237,3.56049339515353
2025-03-22,Facebook,West,28279,395670,18822,2404,613020,4.75699446508454,12.772287748379558
2025-03-23,Instagram,North,22639,458771,960,947,509486,0.20925472621416782,98.64583333333333
2025-03-23,Email,East,49596,469961,713,1471,436887,0.15171471675309228,206.31136044880787
2025-03-23,YouTube,South,24790,497903,7483,2090,624910,1.5029031759198075,27.929974609113994
2025-03-24,YouTube,West,5102,468611,4798,1557,1114812,1.0238769469773437,32.45102125885786
2025-03-24,Instagram,East,37206,200358,12135,2899,1379924,6.05665858113976,23.88957560774619
2025-03-24,Facebook,South,16578,78527,10952,2639,2045225,13.946795369745438,24.096055514974434
2025-03-24,Google Ads,South,21092,85995,11849,2772,1236312,13.778708064422352,23.39437927251245
2025-03-25,Email,South,27397,164249,18641,935,270215,11.34923195879427,5.015825331259053
2025-03-25,Email,South,26524,319627,3092,2840,2311760,0.9673775995144341,91.84993531694697
2025-03-25,Google Ads,East,5629,214443,17875,2099,1549062,8.335548374160034,11.742657342657342
2025-03-26,Facebook,South,27929,226698,14769,2546,552482,6.514834714024826,17.2388110230889
2025-03-26,Email,North,26776,311949,8154,187,128282,2.613888808747584,2.2933529556046115
2025-03-27,Instagram,West,36843,245757,18102,792,187704,7.365812570954235,4.375207159429897
2025-03-27,Facebook,South,6504,456276,18390,1415,1001820,4.030455250769272,7.694399129961936
2025-03-27,Facebook,South,23706,159713,10340,1012,320804,6.47411294008628,9.787234042553191
2025-03-27,Email,East,37932,204861,2213,1939,1157583,1.0802446536920156,87.61861726163579
2025-03-27,Facebook,West,5819,205234,10531,2578,1278688,5.131216075309159,24.48010635267306
2025-03-28,Email,North,32672,234117,11314,570,225720,4.832626421831819,5.038006010252785
2025-03-28,Email,East,47888,342721,18909,1156,418472,5.517315834162482,6.113490930244857
2025-03-28,Email,West,13832,253608,19413,2392,1817920,7.654726980221444,12.321640138051821
2025-03-29,YouTube,North,38713,291354,12701,983,962357,4.359301742896958,7.739548067081333
2025-03-29,Google Ads,North,44084,173409,5695,1639,345829,3.2841432682271394,28.77963125548727
2025-03-29,Instagram,East,17289,155859,3696,1785,1458345,2.3713741266144397,48.29545454545455
2025-03-29,Instagram,South,30440,268140,17091,426,341226,6.373909151935556,2.492539933298227
2025-03-30,Google Ads,East,13983,496925,14121,1787,1497506,2.8416763093022084,12.654911125274415
2025-03-31,Facebook,East,30463,453309,19724,764,612728,4.351115905486103,3.873453660515108
2025-03-31,Google Ads,South,35741,287737,10101,1919,711949,3.5104974334201025,18.998118998118997
2025-04-01,Email,East,17224,240313,3123,1345,742440,1.2995551634743023,43.0675632404739
2025-04-01,YouTube,West,29475,308051,7367,799,340374,2.3914871238853306,10.845663092167774
2025-04-01,Google Ads,South,36299,79062,12154,1824,1634304,15.37274544028737,15.007404969557347
2025-04-01,Email,West,46180,235562,18201,888,870240,7.72662823375587,4.8788528102851485
2025-04-02,Facebook,South,10682,313385,4544,469,385518,1.449973674553664,10.321302816901408
2025-04-02,YouTube,South,45166,169859,15551,963,302382,9.155240523022036,6.192527811716288
2025-04-02,Email,South,9230,428581,13858,2424,1658016,3.233461119368334,17.491701544234378
2025-04-02,YouTube,North,45770,224874,10523,1285,948330,4.679509414160819,12.211346574170864
2025-04-02,Email,West,27529,404573,3443,437,420394,0.8510207057811568,12.692419401684576
2025-04-02,Instagram,East,41136,195994,17066,1044,889488,8.707409410492158,6.117426461971171
2025-04-03,Facebook,East,33691,345603,17017,513,347301,4.923857721142467,3.0146324263971325
2025-04-04,Instagram,East,46239,446682,1762,2034,1863144,0.3944640706363811,115.43700340522133
2025-04-04,Email,East,40358,291558,2438,2008,1722864,0.8361972574925057,82.36259228876128
2025-04-04,Instagram,West,44517,295638,782,1348,1321040,0.26451268104912085,172.3785166240409
2025-04-04,Instagram,West,10364,289157,11367,2890,1618400,3.931082422351871,25.424474355590743
2025-04-04,YouTube,East,9048,335315,9784,1190,649740,2.9178533617643114,12.162714636140638
2025-04-04,Email,East,26394,361180,12367,2963,2628181,3.4240544880668917,23.958922940082477
2025-04-04,Facebook,North,24398,297822,1542,246,187698,0.5177589298305699,15.953307392996107
2025-04-05,Google Ads,South,45167,210249,19281,2286,585216,9.170554913459755,11.856231523261242
2025-04-05,YouTube,South,41919,87921,11740,291,97194,13.352896350132507,2.47870528109029
2025-04-05,Facebook,East,40142,383053,12372,2448,1933920,3.2298402570923606,19.786614936954415
2025-04-06,Facebook,East,16350,211945,15442,2172,1355328,7.28585246172356,14.065535552389589
2025-04-06,YouTube,West,44873,209108,12315,2171,2055937,5.88930122233487,17.62890783597239
2025-04-06,Facebook,North,21400,200088,17731,2702,1018654,8.861600895605934,15.238847216739046
2025-04-07,YouTube,North,36991,279080,4760,1475,656375,1.7056041278486458,30.987394957983195
2025-04-08,YouTube,South,30677,373027,4851,704,447040,1.300442059153895,14.512471655328799
2025-04-08,YouTube,North,26738,465279,9305,545,346620,1.9998753436110377,5.857066093498119
2025-04-08,Google Ads,East,14866,31684,6377,1720,1037160,20.126877919454614,26.97193037478438
2025-04-09,Google Ads,South,24251,232183,2186,2862,741258,0.9414987316039504,130.92406221408964
2025-04-09,Google Ads,North,8576,474781,16469,386,231214,3.4687571743603893,2.343797437610055
2025-04-09,Email,West,12140,80323,17940,631,270699,22.334823151525715,3.5172798216276475
2025-04-09,Email,South,36194,291770,11257,152,86792,3.8581759605168457,1.3502709425246513
2025-04-09,YouTube,North,43247,263819,12708,2953,2350588,4.816938886130264,23.237330815234497
2025-04-09,Google Ads,East,31460,495336,11605,2428,2141496,2.3428541434501025,20.92201637225334
2025-04-10,Instagram,North,13555,373820,17953,2875,2325875,4.802578781231609,16.01403665125606
2025-04-10,YouTube,South,45151,422731,6074,687,377850,1.4368475460754002,11.310503786631545
2025-04-11,Google Ads,North,9479,184479,5252,1613,937153,2.846936507678381,30.71210967250571
2025-04-11,Email,North,19362,453135,15377,71,33370,3.393469937215179,0.46172855563503934
2025-04-11,Google Ads,South,24903,113192,13940,1012,1008964,12.31535797582868,7.259684361549498
2025-04-11,Facebook,East,15599,94282,9853,1176,711480,10.450563204005006,11.935451131635034
2025-04-12,Instagram,South,46273,132183,18394,2282,1227716,13.91555646338788,12.406219419375883
2025-04-12,YouTube,North,6172,163668,14022,2183,1587041,8.567343646894935,15.568392526030522
2025-04-12,Email,North,44354,36753,11564,1697,1311781,31.464098168856964,14.674852992044277
2025-04-13,Google Ads,West,32182,428707,19722,1267,950250,4.600344757608344,6.424297738566068
2025-04-13,Facebook,South,39125,23575,8467,2924,1374280,35.915164369035,34.53407346167474
2025-04-13,Email,East,10359,372909,11664,1369,618788,3.127840840526777,11.736968449931414
2025-04-14,Instagram,East,26315,389014,17372,143,121407,4.46564905119096,0.8231637117200091
2025-04-14,Email,North,38354,209427,6695,2662,1080772,3.1968179843095683,39.76101568334578
2025-04-14,Email,East,33915,499249,11904,608,415264,2.3843813407738423,5.10752688172043
2025-04-15,Instagram,North,14107,410907,7049,356,274476,1.7154733309483656,5.050361753440204
2025-04-15,Google Ads,East,31986,412007,894,373,361810,0.21698660459652386,41.722595078299776
2025-04-15,YouTube,West,40832,226109,16974,872,662720,7.5069988368441765,5.137268763991988
2025-04-15,Google Ads,East,42400,31039,3002,895,894105,9.67170334095815,29.81345769487009
2025-04-15,Google Ads,East,46427,452044,8333,1344,1239168,1.843404624328605,16.12864514580583
2025-04-16,YouTube,South,12208,261105,10756,2776,571856,4.1194155607897205,25.808850873930826
2025-04-16,Email,South,45439,299093,15449,1440,1275840,5.165283039054742,9.32099164994498
2025-04-16,Instagram,South,36445,103736,18903,2815,1249860,18.222217937842213,14.891816113844364
2025-04-16,Facebook,East,47162,137263,3764,2923,2727159,2.7421810684598182,77.6567481402763
2025-04-17,YouTube,East,25871,477278,13551,2008,1530096,2.8392257761723774,14.818094605564164
2025-04-17,YouTube,West,36428,385959,2489,686,281946,0.6448871512259073,27.561269586179186
2025-04-18,YouTube,East,44815,382005,1383,1881,1085337,0.362037146110653,136.00867678958787
2025-04-18,Facebook,East,40552,461881,14793,1832,467160,3.2027730086320934,12.384235787196648
2025-04-18,Instagram,South,20081,456261,4556,632,200344,0.9985512678050501,13.871817383669885
2025-04-19,Google Ads,East,24225,394965,1008,652,335128,0.2552124871824086,64.68253968253968
2025-04-20,Facebook,West,10607,162109,7609,1565,1414760,4.693755436157153,20.567748718622685
2025-04-20,Email,North,47189,88542,18921,2007,1549404,21.369519550044046,10.607261772633581
2025-04-21,Facebook,West,18494,375939,16219,523,346749,4.3142637502360754,3.2246131080831124
2025-04-21,YouTube,South,35769,163096,3894,932,543356,2.3875508902732134,23.934257832562917
2025-04-23,Instagram,East,39279,190721,1401,1823,601590,0.7345808799240776,130.1213418986438
