Project Complexity,Location Type,Environmental Risk Score,Regulatory Flags,Contractor Experience (Years),Budget (in ₹ Crores),Historical Risk Score,Risk Level
Low,Rural,6.77,3,9,26.69,3.1,Low Risk
Medium,Urban,6.26,0,8,13.98,9.14,Low Risk
Medium,Coastal,1.68,1,1,7.3,8.79,Medium Risk
Medium,Suburban,5.89,3,17,15.91,7.8,Medium Risk
Low,Suburban,2.48,2,29,13.71,1.42,Low Risk
Medium,Suburban,2.21,4,10,18.47,8.52,Medium Risk
Medium,Rural,9.73,3,21,15.51,7.41,Medium Risk
Medium,Coastal,6.4,1,5,8.02,9.05,Medium Risk
Medium,Suburban,8.44,2,16,12.27,9.22,Medium Risk
High,Coastal,1.12,4,14,17.02,3.39,Medium Risk
Medium,Rural,6.56,2,27,21.19,1.1,Low Risk
Medium,Rural,2.86,0,6,12.11,5.55,Low Risk
Medium,Suburban,8.39,3,18,10.06,8.74,Medium Risk
Low,Hilly,6.16,4,16,10.25,5.16,Low Risk
Medium,Hilly,4.97,4,19,11.49,1.69,Low Risk
Low,Hilly,8.8,0,19,23.84,3.16,Low Risk
Medium,Rural,4.06,0,6,12.82,5.74,Low Risk
High,Urban,6.77,3,18,21.1,9.71,Medium Risk
High,Hilly,9.88,2,3,11.96,2.15,Medium Risk
Low,Hilly,7.13,2,14,14.97,2.7,Low Risk
Medium,Coastal,4.74,3,2,15.27,2.58,Medium Risk
Medium,Suburban,1.37,0,5,5.38,9.15,Low Risk
High,Hilly,5.57,1,12,15.11,5.49,Low Risk
Medium,Rural,2.81,0,10,16.56,7.32,Low Risk
High,Coastal,6.95,2,10,14.91,7.91,Medium Risk
Low,Rural,8.09,4,10,15.08,8.64,Medium Risk
Medium,Hilly,9.15,2,19,10.6,4.74,Low Risk
Low,Rural,9.28,2,16,17.38,1.53,Low Risk
High,Urban,9.41,1,14,17.5,9.66,Medium Risk
Low,Suburban,8.19,3,18,21.78,1.29,Low Risk
High,Urban,8.35,1,18,20.73,4.9,Low Risk
Medium,Hilly,4.74,4,16,12.66,1.15,Low Risk
Medium,Suburban,5.93,4,19,16.62,4.13,Medium Risk
Medium,Coastal,8.03,0,9,13.65,9.35,Low Risk
Low,Urban,9.41,2,25,17.5,5.71,Low Risk
Low,Rural,5.76,4,17,18.92,6.91,Low Risk
Low,Suburban,4.16,0,24,11.96,6.7,Low Risk
Medium,Hilly,4.49,2,15,12.71,5.97,Low Risk
Low,Coastal,2.37,3,24,20.51,5.57,Low Risk
High,Coastal,4.99,4,6,23.0,6.78,Medium Risk
Medium,Urban,2.91,4,20,13.53,2.41,Low Risk
High,Hilly,2.39,4,3,18.94,2.45,Medium Risk
High,Rural,7.79,1,18,18.01,6.01,Low Risk
High,Coastal,9.58,1,25,10.31,1.68,Low Risk
Medium,Suburban,5.46,1,28,20.66,6.96,Low Risk
Medium,Hilly,6.26,3,10,22.69,5.85,Medium Risk
Medium,Rural,2.51,2,11,6.44,3.6,Low Risk
Medium,Suburban,7.19,4,23,12.01,2.71,Low Risk
Low,Urban,7.18,3,9,19.8,5.93,Low Risk
Medium,Rural,6.65,2,26,18.33,9.85,Low Risk
Medium,Suburban,7.79,0,6,19.6,8.06,Low Risk
Low,Coastal,9.14,0,5,17.38,4.42,Low Risk
Medium,Hilly,6.09,3,18,7.67,8.64,Medium Risk
Medium,Coastal,5.39,3,26,23.29,9.14,Low Risk
High,Hilly,5.13,3,29,17.83,5.85,Low Risk
Low,Urban,1.25,2,27,11.71,1.2,Low Risk
Medium,Hilly,6.33,3,12,23.25,9.39,Medium Risk
Low,Suburban,6.46,0,20,18.6,7.49,Low Risk
High,Urban,6.24,3,24,13.46,8.6,Medium Risk
Medium,Urban,9.0,1,7,9.02,8.91,Medium Risk
High,Rural,5.83,0,28,24.29,4.79,Low Risk
Low,Hilly,9.33,3,10,18.53,6.09,Medium Risk
Medium,Suburban,5.84,4,19,24.49,1.5,Low Risk
High,Urban,9.88,2,3,12.27,4.18,Medium Risk
Medium,Suburban,3.2,3,20,6.75,3.87,Low Risk
Low,Suburban,2.02,4,21,10.06,5.33,Low Risk
Medium,Coastal,8.0,2,17,10.6,8.92,Medium Risk
Medium,Rural,6.62,4,11,11.99,4.37,Medium Risk
High,Hilly,3.12,4,1,22.72,8.95,High Risk
High,Suburban,1.37,1,25,18.09,6.72,Low Risk
Low,Rural,1.37,3,12,14.02,6.16,Low Risk
Medium,Coastal,3.71,1,21,14.34,2.43,Low Risk
Medium,Coastal,7.51,1,8,8.19,4.08,Low Risk
High,Hilly,5.68,1,17,17.63,6.79,Low Risk
Low,Hilly,5.06,0,12,5.0,7.08,Low Risk
High,Coastal,3.47,0,8,10.27,1.46,Low Risk
Low,Hilly,9.02,0,15,16.71,9.95,Low Risk
Low,Suburban,2.52,0,11,18.9,6.34,Low Risk
High,Urban,1.08,4,4,14.61,8.55,Medium Risk
Medium,Urban,2.73,1,9,17.14,8.75,Low Risk
Low,Coastal,8.17,3,9,12.07,5.28,Low Risk
Medium,Urban,6.91,1,24,14.03,4.4,Low Risk
Low,Urban,6.8,4,16,17.29,3.37,Low Risk
Medium,Suburban,8.18,4,15,5.0,9.6,Medium Risk
Medium,Coastal,4.41,4,29,14.84,7.13,Low Risk
Medium,Rural,9.68,2,29,14.19,1.53,Low Risk
High,Coastal,9.03,3,14,18.86,5.66,Medium Risk
Medium,Coastal,6.62,0,27,15.85,1.07,Low Risk
High,Coastal,5.07,3,17,15.54,5.73,Medium Risk
Medium,Hilly,1.0,1,4,20.02,5.07,Low Risk
High,Suburban,2.92,4,21,15.0,3.68,Medium Risk
Low,Coastal,4.84,0,21,7.57,5.33,Low Risk
Medium,Rural,8.97,1,14,11.94,8.71,Low Risk
Low,Coastal,4.45,2,22,18.19,3.61,Low Risk
Medium,Coastal,7.55,4,27,11.85,9.89,Medium Risk
Low,Hilly,4.54,1,7,15.57,3.35,Low Risk
Medium,Coastal,2.68,1,28,5.0,1.58,Low Risk
Low,Urban,7.05,0,14,19.94,9.66,Low Risk
High,Rural,5.64,4,29,6.73,2.71,Low Risk
Low,Coastal,1.98,4,29,16.64,6.77,Low Risk
Low,Suburban,8.59,0,18,23.74,5.39,Low Risk
Low,Suburban,1.28,4,25,12.58,7.22,Low Risk
Low,Coastal,5.5,1,12,16.92,6.25,Low Risk
Low,Urban,8.57,1,1,17.7,3.66,Low Risk
Medium,Rural,3.1,3,13,5.0,8.28,Medium Risk
High,Hilly,7.74,1,24,7.38,8.26,Low Risk
High,Coastal,4.64,0,19,12.94,1.79,Low Risk
Low,Suburban,9.73,1,18,9.17,1.76,Low Risk
Low,Suburban,1.66,2,13,11.08,9.14,Low Risk
Medium,Rural,8.26,1,21,16.93,8.66,Low Risk
High,Suburban,8.77,1,13,6.22,3.72,Low Risk
High,Urban,3.35,3,12,13.88,5.75,Medium Risk
Low,Suburban,9.01,0,10,23.46,3.15,Low Risk
Medium,Coastal,3.23,3,7,20.94,3.45,Low Risk
Low,Hilly,6.14,0,15,18.03,8.84,Low Risk
Low,Suburban,6.55,2,7,9.17,2.46,Low Risk
Medium,Rural,1.42,3,1,6.5,6.68,Medium Risk
Medium,Suburban,3.49,2,2,10.4,7.6,Medium Risk
High,Hilly,5.53,1,12,5.0,7.26,Medium Risk
Low,Coastal,6.06,2,12,18.58,1.52,Low Risk
Low,Hilly,8.7,4,25,20.18,3.19,Low Risk
High,Rural,4.63,0,13,17.32,8.25,Low Risk
High,Urban,1.32,2,20,9.11,5.5,Low Risk
Medium,Hilly,6.27,2,3,12.72,3.27,Low Risk
Medium,Rural,6.68,4,3,9.07,7.77,Medium Risk
Low,Urban,7.95,3,5,15.6,8.47,Medium Risk
Medium,Hilly,9.3,3,25,17.47,3.66,Low Risk
Low,Suburban,4.4,4,2,13.91,6.5,Medium Risk
High,Suburban,1.51,3,5,22.98,4.72,Medium Risk
Medium,Hilly,4.56,3,14,13.79,7.77,Medium Risk
Medium,Rural,1.04,3,15,14.63,3.35,Low Risk
Medium,Urban,2.53,2,21,21.84,4.32,Low Risk
Medium,Rural,4.02,3,1,20.41,7.36,Medium Risk
High,Coastal,9.73,1,5,15.27,3.7,Medium Risk
High,Hilly,2.28,3,12,14.13,8.59,Medium Risk
Medium,Rural,4.61,3,28,14.13,3.55,Low Risk
Medium,Rural,9.78,2,6,10.08,2.98,Medium Risk
Low,Suburban,1.02,2,12,26.27,7.68,Low Risk
Medium,Coastal,1.59,0,22,18.78,6.21,Low Risk
Medium,Hilly,9.06,4,8,13.47,9.08,Medium Risk
Medium,Urban,8.74,1,7,12.6,1.07,Low Risk
High,Coastal,4.06,3,25,18.06,2.05,Low Risk
Medium,Suburban,8.17,0,16,13.06,1.13,Low Risk
Medium,Suburban,1.78,0,9,10.9,4.79,Low Risk
Medium,Coastal,7.6,4,23,14.28,6.08,Medium Risk
Low,Suburban,4.59,0,17,23.42,5.72,Low Risk
Medium,Urban,8.6,3,28,12.64,3.42,Low Risk
Medium,Coastal,1.03,2,5,9.12,7.85,Medium Risk
Medium,Coastal,2.56,0,28,14.55,1.99,Low Risk
Low,Hilly,8.88,4,24,17.68,4.45,Low Risk
Medium,Suburban,6.5,1,6,9.72,5.77,Low Risk
Medium,Suburban,9.67,2,15,11.85,8.76,Medium Risk
Medium,Suburban,5.92,1,27,18.22,3.37,Low Risk
Medium,Rural,9.25,1,10,20.02,6.81,Low Risk
Medium,Rural,7.94,4,29,19.78,2.91,Low Risk
Medium,Rural,4.19,4,28,16.18,9.36,Medium Risk
High,Suburban,3.94,4,16,15.09,2.88,Medium Risk
Medium,Rural,2.81,3,5,12.8,2.31,Low Risk
Low,Rural,1.92,3,24,24.02,2.35,Low Risk
Low,Rural,1.79,3,8,5.0,4.89,Low Risk
Medium,Hilly,3.79,2,4,21.49,5.97,Medium Risk
Medium,Coastal,5.53,2,27,16.77,3.49,Low Risk
High,Rural,6.33,0,29,7.3,4.92,Low Risk
Low,Urban,8.46,4,9,11.4,8.62,Medium Risk
Low,Hilly,6.24,0,5,12.21,3.27,Low Risk
Medium,Hilly,9.5,2,23,5.0,7.68,Low Risk
Medium,Hilly,2.01,2,15,20.61,4.59,Low Risk
Low,Hilly,2.25,3,3,14.75,5.69,Low Risk
High,Coastal,5.05,2,4,16.33,5.93,Medium Risk
Low,Urban,1.73,3,13,15.29,2.82,Low Risk
Low,Suburban,6.58,1,6,12.03,4.92,Low Risk
Low,Suburban,9.6,0,27,17.71,1.56,Low Risk
Low,Coastal,1.45,4,8,15.79,3.15,Low Risk
High,Urban,7.02,1,2,15.76,3.52,Medium Risk
Medium,Hilly,8.78,1,2,17.02,2.13,Low Risk
Medium,Rural,7.22,4,2,17.58,4.59,Medium Risk
Medium,Urban,2.21,0,10,7.16,9.97,Low Risk
Medium,Rural,5.07,4,8,10.19,3.27,Medium Risk
Low,Rural,7.3,1,17,7.77,4.37,Low Risk
Low,Rural,3.62,0,24,8.44,8.24,Low Risk
Medium,Rural,4.05,4,16,17.29,2.01,Low Risk
Medium,Urban,6.9,0,12,19.01,7.64,Low Risk
Medium,Hilly,7.27,4,20,9.19,4.96,Medium Risk
Medium,Coastal,2.39,0,29,21.83,1.94,Low Risk
Low,Hilly,6.16,4,24,21.21,2.84,Low Risk
Medium,Suburban,7.88,1,8,13.4,7.73,Medium Risk
High,Suburban,4.06,4,27,24.43,9.11,Medium Risk
High,Coastal,9.48,4,8,11.53,2.34,Medium Risk
High,Hilly,6.68,3,27,15.64,8.63,Medium Risk
Low,Coastal,3.78,2,12,15.88,5.75,Low Risk
High,Rural,1.91,1,17,10.64,5.08,Low Risk
High,Hilly,2.81,2,12,23.32,4.83,Low Risk
Low,Suburban,6.7,0,13,18.84,1.09,Low Risk
Medium,Hilly,4.88,4,14,22.75,4.6,Medium Risk
Medium,Urban,3.62,4,19,20.02,8.61,Medium Risk
High,Suburban,1.24,0,10,18.31,4.57,Low Risk
Medium,Coastal,1.64,1,23,24.65,7.89,Low Risk
Medium,Suburban,2.75,1,17,13.18,9.59,Low Risk
Medium,Urban,1.59,4,3,19.54,8.57,Medium Risk
Low,Coastal,1.73,3,16,16.62,5.2,Low Risk
Medium,Coastal,1.83,4,4,11.85,2.36,Medium Risk
Medium,Coastal,8.89,0,4,13.39,5.81,Low Risk
High,Hilly,2.4,2,16,20.45,5.07,Low Risk
Medium,Coastal,3.39,4,11,7.09,8.4,Medium Risk
Low,Urban,2.56,0,13,31.33,5.27,Low Risk
Low,Rural,3.37,4,29,9.78,5.57,Low Risk
Medium,Urban,9.07,3,1,5.0,6.95,Medium Risk
Medium,Coastal,1.79,2,1,15.6,2.98,Low Risk
Medium,Coastal,4.72,2,19,10.91,6.15,Low Risk
Medium,Rural,6.51,0,19,11.59,7.89,Low Risk
Medium,Hilly,2.97,4,8,18.72,5.57,Medium Risk
High,Rural,1.55,2,26,13.25,2.27,Low Risk
High,Hilly,8.35,3,17,15.52,5.55,Medium Risk
High,Rural,6.01,3,15,25.84,9.64,Medium Risk
Medium,Rural,3.04,4,16,12.51,1.6,Low Risk
Medium,Coastal,4.22,3,27,16.99,1.17,Low Risk
Medium,Urban,6.21,1,2,7.87,5.65,Low Risk
Medium,Coastal,5.98,4,26,18.51,4.03,Low Risk
High,Urban,3.68,0,12,17.72,6.4,Low Risk
High,Coastal,6.58,2,7,20.59,5.52,Medium Risk
Medium,Coastal,8.23,0,3,22.29,4.66,Low Risk
High,Suburban,1.43,1,13,10.05,4.72,Low Risk
Low,Urban,6.3,3,17,15.8,1.83,Low Risk
High,Urban,3.03,3,26,21.97,5.12,Low Risk
Medium,Coastal,8.96,1,7,16.35,9.01,Medium Risk
Low,Urban,4.33,4,29,18.71,7.6,Low Risk
Medium,Rural,6.8,4,11,16.7,3.56,Medium Risk
Medium,Rural,6.42,1,26,10.4,3.83,Low Risk
Medium,Suburban,3.74,2,15,13.46,3.65,Low Risk
High,Hilly,8.72,2,11,11.91,6.46,Medium Risk
Medium,Rural,6.2,4,23,20.03,2.31,Low Risk
Low,Rural,4.16,0,12,19.57,5.58,Low Risk
Medium,Hilly,4.8,0,4,17.07,6.45,Low Risk
High,Coastal,7.76,4,22,17.62,9.35,Medium Risk
Low,Urban,4.74,0,13,16.87,3.51,Low Risk
Medium,Suburban,6.8,2,27,15.28,5.88,Low Risk
High,Rural,5.84,1,12,6.22,1.08,Low Risk
Medium,Suburban,1.19,2,25,6.6,6.68,Low Risk
Medium,Rural,7.84,2,16,10.28,2.67,Low Risk
Low,Coastal,2.54,4,21,17.83,8.2,Low Risk
Low,Coastal,3.04,0,23,14.03,4.7,Low Risk
Low,Coastal,1.39,1,28,5.0,2.15,Low Risk
Medium,Rural,8.34,1,18,10.25,1.83,Low Risk
Medium,Suburban,2.87,0,2,15.56,2.22,Low Risk
Medium,Suburban,8.99,2,25,19.54,2.81,Low Risk
Low,Hilly,9.87,3,16,16.89,6.45,Low Risk
Low,Rural,1.84,4,14,12.29,6.65,Low Risk
High,Hilly,5.39,3,17,18.3,1.76,Low Risk
Medium,Rural,8.6,3,19,22.56,6.37,Medium Risk
Low,Rural,8.94,2,5,14.9,7.98,Medium Risk
Medium,Urban,1.88,0,22,10.07,6.37,Low Risk
Low,Urban,5.88,1,13,11.71,7.01,Low Risk
Low,Suburban,3.53,1,27,6.53,7.31,Low Risk
Medium,Hilly,4.68,2,23,20.9,1.28,Low Risk
Low,Coastal,8.95,0,1,5.0,3.24,Low Risk
High,Rural,2.31,3,3,14.18,1.42,Medium Risk
Medium,Suburban,1.11,1,11,10.81,3.2,Low Risk
Medium,Coastal,6.84,3,6,17.86,9.31,Medium Risk
Medium,Hilly,7.57,3,20,16.9,9.96,Medium Risk
Medium,Hilly,4.74,2,23,8.78,2.18,Low Risk
Medium,Coastal,2.73,4,11,13.92,9.59,Medium Risk
Medium,Suburban,5.78,1,16,11.02,8.56,Low Risk
Low,Rural,8.99,3,11,12.42,8.85,Medium Risk
Low,Coastal,1.9,0,20,19.04,2.85,Low Risk
Medium,Coastal,8.15,4,2,17.64,9.47,Medium Risk
Medium,Urban,5.95,1,21,17.37,8.86,Low Risk
High,Rural,7.13,0,17,5.81,3.57,Low Risk
Low,Rural,4.65,3,23,23.16,8.07,Low Risk
High,Hilly,1.32,3,29,18.8,5.99,Low Risk
Medium,Coastal,6.34,3,21,24.76,5.36,Low Risk
High,Suburban,1.8,4,7,17.01,6.19,Medium Risk
High,Rural,3.68,1,26,13.96,3.28,Low Risk
Medium,Suburban,6.19,3,6,21.82,9.56,Medium Risk
High,Urban,2.73,4,4,11.76,7.54,Medium Risk
Low,Hilly,3.23,2,10,7.35,3.29,Low Risk
Low,Rural,6.6,2,28,14.08,6.53,Low Risk
High,Suburban,8.05,3,29,16.23,9.01,Medium Risk
Low,Suburban,9.06,1,23,16.79,7.17,Low Risk
High,Coastal,8.85,4,22,16.17,4.65,Medium Risk
Low,Rural,4.31,3,6,5.34,9.58,Medium Risk
Medium,Urban,5.59,3,17,6.57,7.83,Medium Risk
Medium,Coastal,6.5,3,21,14.74,5.37,Low Risk
Medium,Coastal,5.14,3,25,16.56,9.03,Low Risk
Medium,Coastal,8.52,1,22,23.91,6.72,Low Risk
Low,Coastal,2.23,1,10,20.16,1.5,Low Risk
Low,Rural,2.33,0,11,7.93,9.84,Low Risk
Medium,Hilly,3.45,4,25,19.45,1.01,Low Risk
Medium,Hilly,6.63,2,1,19.65,6.48,Medium Risk
Medium,Suburban,5.26,3,27,12.04,7.18,Low Risk
High,Hilly,2.06,1,4,13.6,6.36,Medium Risk
Medium,Suburban,7.06,3,4,20.15,5.82,Medium Risk
Medium,Hilly,6.17,0,29,14.98,1.58,Low Risk
Medium,Coastal,9.41,0,19,8.25,7.39,Low Risk
Low,Urban,2.1,1,11,11.28,9.51,Low Risk
Medium,Hilly,4.56,3,17,7.5,7.6,Medium Risk
Medium,Urban,4.44,1,26,16.17,3.01,Low Risk
Medium,Suburban,1.42,0,9,5.0,7.98,Low Risk
High,Suburban,8.61,3,13,15.22,8.4,Medium Risk
High,Rural,9.24,3,25,13.92,1.24,Low Risk
Medium,Suburban,8.09,2,3,22.31,4.26,Medium Risk
Medium,Urban,9.05,2,14,18.6,1.56,Low Risk
Low,Hilly,1.36,3,5,16.58,8.4,Medium Risk
Low,Suburban,8.21,1,18,11.42,8.43,Low Risk
Low,Rural,4.17,2,11,12.37,1.44,Low Risk
Medium,Suburban,4.45,3,17,12.63,7.5,Medium Risk
High,Urban,8.15,1,1,20.72,6.3,Medium Risk
Low,Urban,7.87,2,18,13.6,5.16,Low Risk
High,Hilly,8.58,1,7,22.75,7.73,Medium Risk
Medium,Hilly,6.24,0,19,16.28,7.28,Low Risk
Medium,Rural,5.21,3,5,8.85,2.53,Medium Risk
Low,Coastal,1.6,3,2,5.0,8.78,Medium Risk
Medium,Suburban,6.45,4,3,19.54,1.11,Medium Risk
Low,Coastal,5.59,0,20,20.93,3.56,Low Risk
High,Coastal,9.72,1,8,16.8,6.08,Medium Risk
Medium,Urban,7.19,2,20,10.2,1.25,Low Risk
High,Hilly,3.31,3,8,18.77,4.45,Medium Risk
High,Suburban,5.91,3,11,7.05,9.13,Medium Risk
Low,Suburban,1.28,4,12,15.31,5.42,Low Risk
Low,Suburban,2.2,4,18,17.86,7.93,Low Risk
Medium,Hilly,7.5,2,5,20.29,3.59,Medium Risk
Medium,Hilly,9.43,4,24,11.92,5.13,Medium Risk
High,Rural,2.09,4,20,13.45,7.53,Medium Risk
Low,Rural,9.74,4,7,16.78,2.01,Medium Risk
High,Urban,3.51,1,3,16.3,3.78,Low Risk
Low,Suburban,1.64,4,29,20.63,2.63,Low Risk
High,Hilly,7.55,1,10,17.83,8.48,Medium Risk
Medium,Coastal,7.3,2,17,12.22,6.5,Low Risk
Medium,Hilly,3.31,1,6,12.56,3.84,Low Risk
High,Coastal,5.19,4,1,12.83,6.88,Medium Risk
High,Urban,9.08,3,14,10.74,3.41,Medium Risk
Low,Coastal,2.02,3,25,5.0,4.19,Low Risk
Medium,Suburban,8.11,1,16,19.48,2.16,Low Risk
Low,Suburban,2.31,4,4,21.86,7.27,Medium Risk
Low,Suburban,1.67,3,17,6.71,8.21,Low Risk
Low,Urban,8.27,3,17,24.45,6.35,Low Risk
Medium,Coastal,4.73,3,13,17.01,1.59,Low Risk
High,Coastal,5.65,3,27,18.58,9.13,Medium Risk
Medium,Coastal,4.9,2,29,13.77,6.21,Low Risk
Low,Suburban,8.78,4,24,10.02,5.2,Low Risk
Low,Hilly,5.51,0,2,19.31,5.16,Low Risk
Low,Coastal,5.05,2,14,9.24,2.41,Low Risk
Medium,Urban,1.66,2,18,8.15,9.38,Low Risk
Medium,Coastal,9.6,3,15,14.86,4.4,Medium Risk
Medium,Urban,5.23,3,1,18.1,2.71,Medium Risk
Medium,Hilly,1.98,3,20,10.48,3.96,Low Risk
Low,Coastal,3.66,3,10,15.43,5.42,Low Risk
Medium,Rural,5.42,2,16,20.35,9.55,Medium Risk
Medium,Hilly,9.59,2,28,21.06,7.28,Low Risk
High,Urban,8.04,2,25,14.4,1.87,Low Risk
High,Urban,2.32,3,13,13.92,8.0,Medium Risk
Medium,Hilly,2.85,1,2,5.32,8.56,Medium Risk
High,Hilly,5.96,0,21,14.41,2.5,Low Risk
Medium,Rural,4.57,1,4,22.82,7.13,Low Risk
Low,Coastal,8.3,0,16,9.52,1.44,Low Risk
High,Rural,5.71,4,6,16.93,3.39,Medium Risk
Low,Rural,2.16,2,8,12.1,9.35,Low Risk
Medium,Suburban,2.51,4,7,12.52,5.21,Medium Risk
Medium,Coastal,7.73,1,27,10.65,6.3,Low Risk
Medium,Urban,9.38,3,17,13.34,4.73,Medium Risk
Low,Coastal,8.11,2,8,18.33,9.87,Medium Risk
High,Hilly,4.86,0,6,21.61,3.04,Low Risk
Low,Hilly,4.32,1,13,10.43,7.34,Low Risk
Low,Hilly,2.68,4,21,13.39,3.87,Low Risk
Medium,Suburban,5.46,1,29,14.56,9.01,Low Risk
Low,Rural,8.79,2,3,22.0,5.26,Low Risk
Low,Urban,8.41,0,27,17.92,5.74,Low Risk
Low,Hilly,1.7,2,22,25.35,4.0,Low Risk
Medium,Hilly,6.31,1,19,8.28,9.38,Low Risk
Medium,Rural,5.03,0,19,14.45,1.88,Low Risk
High,Suburban,3.93,1,29,19.11,2.43,Low Risk
Low,Urban,8.66,0,14,17.8,7.61,Low Risk
Medium,Rural,4.56,2,17,12.14,5.9,Low Risk
Low,Urban,6.76,3,9,12.47,1.85,Low Risk
Low,Hilly,5.28,0,26,18.19,2.66,Low Risk
High,Rural,4.78,2,9,15.24,6.77,Medium Risk
Medium,Suburban,5.77,3,15,19.08,9.96,Medium Risk
Medium,Coastal,4.78,1,25,20.34,7.46,Low Risk
Medium,Rural,2.52,1,7,18.77,6.13,Low Risk
Low,Rural,7.9,4,13,5.19,7.4,Medium Risk
Low,Urban,6.49,1,12,11.12,2.85,Low Risk
Medium,Coastal,1.19,0,9,8.11,3.48,Low Risk
Medium,Rural,5.42,1,11,17.13,4.25,Low Risk
Low,Rural,4.23,2,28,16.82,5.94,Low Risk
Low,Rural,8.3,2,11,15.54,9.89,Medium Risk
High,Urban,1.15,0,11,6.63,4.64,Low Risk
Medium,Coastal,5.62,2,29,22.93,3.74,Low Risk
High,Urban,6.13,3,1,18.14,7.95,Medium Risk
Low,Rural,3.71,1,24,10.28,2.23,Low Risk
Medium,Urban,4.05,0,1,14.54,1.37,Low Risk
Low,Urban,6.52,4,11,17.58,2.22,Low Risk
Medium,Rural,3.22,1,3,23.78,7.99,Low Risk
Medium,Suburban,3.56,3,21,21.96,8.68,Low Risk
Low,Hilly,9.88,4,2,15.08,7.85,Medium Risk
Medium,Rural,1.09,0,20,13.41,4.19,Low Risk
Medium,Coastal,6.67,2,25,22.12,9.38,Low Risk
Low,Hilly,9.71,3,17,6.48,5.15,Low Risk
Low,Rural,9.4,0,12,19.4,6.61,Low Risk
Medium,Suburban,4.23,2,21,13.72,8.88,Low Risk
Low,Coastal,3.69,4,12,6.69,4.45,Low Risk
Medium,Suburban,9.15,4,4,19.16,3.87,Medium Risk
Medium,Coastal,9.01,1,19,17.97,5.81,Low Risk
High,Rural,4.04,2,25,17.31,9.12,Low Risk
Low,Urban,2.29,3,3,15.07,1.52,Low Risk
Medium,Suburban,7.55,3,5,20.36,8.29,Medium Risk
Medium,Hilly,8.09,3,28,11.75,6.61,Low Risk
Medium,Rural,9.78,0,18,10.85,2.74,Low Risk
Low,Hilly,4.65,0,12,17.25,2.74,Low Risk
Medium,Coastal,7.9,3,7,8.33,4.92,Medium Risk
Low,Coastal,3.84,3,24,11.47,4.75,Low Risk
Medium,Rural,5.68,2,2,11.22,7.6,Medium Risk
