Customer_ID,Age,Annual_Income,Spending_Score,Total_Purchases,Avg_Order_Value,Days_Since_Last_Purchase
1073,53,438337,22,21,1351,283
1074,31,382954,30,23,672,301
1075,48,519883,27,13,2617,284
1076,32,292548,28,12,500,299
1077,25,573591,35,14,801,287
1078,31,952046,36,21,3740,255
1079,40,418997,40,19,500,240
1080,57,540827,47,24,4217,211
1081,38,624728,31,23,2162,273
1082,33,361996,22,12,1554,290
1083,62,494867,33,13,841,273
1084,35,445207,31,18,1168,258
1085,64,464556,35,16,1121,252
1086,41,300587,39,15,500,241
1087,43,447868,27,13,2125,303
1088,42,567501,27,18,1442,261
1089,62,913987,35,15,4064,270
1090,58,714712,33,24,5045,241
1091,46,1298332,61,32,4032,156
1092,32,301439,38,24,1157,264
1093,62,684305,34,23,2660,289
1094,18,484886,32,23,3427,267
1095,42,1322324,62,34,4325,176
1096,24,295330,33,15,500,246
1097,26,290726,43,16,500,262
1098,41,327847,20,19,1034,275
1099,18,200000,16,17,500,329
1100,61,340143,33,17,3143,254
1101,25,302680,29,22,2778,256
1102,41,476964,45,26,555,226
1103,28,524855,36,26,1038,260
1104,34,1130403,52,19,3841,222
1105,25,711557,43,26,3769,209
1106,52,331554,33,18,1162,271
1107,52,282318,29,12,500,265
1108,50,565779,37,15,1827,238
1109,22,228635,29,14,500,298
1110,59,1105412,63,24,4287,158
1111,56,797885,53,19,1950,194
1112,58,349903,30,20,655,293
1113,45,200000,18,15,1828,286
1114,24,870598,46,17,2133,244
1115,26,417788,37,26,500,279
1116,25,821517,36,23,2833,238
1117,29,200000,22,9,500,319
1118,51,327850,21,20,1604,308
1119,50,443574,29,17,1796,264
1120,40,452928,39,22,1477,275
1121,41,353262,27,16,1116,276
1122,54,604057,35,14,1277,255
1123,52,259416,11,12,948,330
1124,61,412013,33,14,2254,268
1125,57,469840,35,16,592,289
1126,39,572186,51,26,1901,208
1127,44,631471,33,23,3143,260
1128,52,252124,23,21,1345,321
1129,18,205446,22,21,1994,323
1130,52,838054,56,21,2225,176
1131,54,522383,31,17,500,288
1132,64,304296,26,20,1214,279
1133,31,960852,53,18,3565,196
1134,20,468755,31,14,2930,262
1135,18,797828,38,16,3847,263
1136,22,457603,31,17,2062,254
1137,43,1239692,67,30,4897,170
1138,31,1064132,44,15,3355,235
1139,56,390630,28,14,500,274
1140,44,719121,33,18,2514,279
1141,26,610899,45,27,3018,210
1142,32,877046,33,15,3579,252
1143,32,273084,18,19,1744,284
1144,43,623451,38,16,1650,267
1145,59,751038,53,21,2237,200
1146,30,200000,19,18,1150,307
1147,49,244842,17,11,500,292
1148,56,200000,35,18,500,250
1149,49,386658,15,7,1586,309
1150,21,633345,18,11,2872,299
1151,47,937693,51,21,2926,200
1152,54,459111,25,22,500,271
1153,40,998797,41,26,2593,248
1154,56,221892,26,11,943,298
1155,62,200000,21,14,858,288
1156,32,430294,24,19,1675,299
1157,60,536076,22,19,2308,322
1158,46,435239,35,17,1456,277
1159,53,200000,25,22,931,298
1160,30,423132,27,16,1365,281
1161,49,230444,35,16,1916,270
1162,24,618366,27,22,3493,288
1163,39,531415,20,12,582,321
1164,45,276525,17,10,666,331
1165,19,342171,24,22,1173,280
1166,59,260509,24,15,601,276
1167,62,428763,26,10,3222,291
1168,23,713238,42,28,2601,252
1169,45,270259,12,15,500,339
1170,45,569220,45,20,2493,259
1171,61,339378,24,14,1402,269
1172,61,297617,32,16,1296,279
1173,37,419359,30,15,3205,257
1174,47,263650,26,18,1229,274
1175,28,335432,29,16,814,284
1176,45,243059,25,18,500,272
1177,42,1181579,62,28,3773,184
1178,56,450283,40,20,2806,245
1179,50,311806,25,13,948,261
1180,18,492372,36,13,500,242
1181,44,418250,27,22,895,262
1182,30,396136,38,17,2313,229
1183,58,601440,29,19,2550,285
1184,20,646128,51,19,1313,192
1185,56,339337,24,21,565,316
1186,23,331734,13,9,695,351
1187,25,385568,27,14,622,275
1188,44,200000,14,6,500,325
1189,26,207399,27,14,1454,289
1190,54,876276,40,26,4177,259
1191,50,1006997,46,19,1838,219
1192,59,390616,12,5,2545,343
1193,61,590236,31,13,1864,286
1194,41,516910,12,5,2948,332
1195,32,2062522,77,37,6913,112
1196,49,774356,47,26,2716,217
1197,49,415003,34,16,1755,240
1198,41,274369,26,12,500,263
1199,58,200000,12,11,1861,334
1200,29,489789,30,15,511,262
1201,56,303101,23,17,608,268
1202,19,217265,11,17,1248,329
1203,20,320203,36,16,558,232
1204,54,257616,29,11,1636,291
1205,34,1028457,49,20,4804,231
1206,19,687501,38,24,3304,241
1207,19,440653,30,12,500,272
1208,45,927244,30,18,3216,284
1209,40,459863,27,12,2561,307
1210,54,287609,17,14,500,337
1211,49,947480,40,26,3881,215
1212,50,579230,32,14,2598,274
1213,18,263386,36,25,500,247
1214,36,402250,32,16,2175,298
1215,19,285555,18,16,1224,323
1216,61,221593,25,13,1389,294
1217,43,702983,50,26,1376,197
1218,49,1149351,63,34,3981,202
1219,23,219853,21,8,500,320
1220,49,586240,29,18,500,301
1221,21,319553,30,11,1206,298
1222,28,346777,28,17,2256,260
1223,34,328996,32,19,1349,291
1224,55,287220,28,18,893,294
1225,41,453277,37,13,1323,270
1226,22,292004,19,8,500,330
1227,51,506474,42,26,1466,218
1228,23,431438,30,23,1859,290
1229,39,392591,43,15,873,218
1230,28,281030,17,15,1687,320
1231,33,331576,38,14,1301,258
1232,50,645445,38,22,2468,244
1233,26,568330,28,21,2783,252
1234,23,271365,18,14,500,302
1235,33,464941,27,14,2209,270
1236,46,644154,40,25,1760,250
1237,20,200000,24,19,1006,276
1238,37,580520,29,16,1289,257
1239,53,317644,24,10,500,297
1240,36,588480,51,25,2053,206
1241,43,302056,37,23,500,226
1242,20,200000,23,13,500,312
1243,36,200000,20,14,500,312
1244,37,453179,30,11,2289,261
1245,49,503763,36,13,2729,238
1246,24,281487,14,16,500,346
1247,58,608831,33,18,2457,287
1248,50,200000,6,10,1565,340
1249,57,428034,31,23,2329,270
1250,56,241467,26,11,1019,299
1251,35,319362,20,11,1798,299
1252,57,453023,42,26,860,244
1253,18,287734,13,5,1042,353
1254,28,365025,14,11,749,352
1255,45,731715,41,18,1705,237
1256,42,331556,33,19,1141,273
1257,40,671887,51,30,2587,182
1258,48,251486,18,14,2001,300
1259,47,576598,42,23,2187,263
1260,59,909621,46,22,3674,224
1261,52,200000,18,17,1319,296
1262,24,297019,30,11,3677,291
1263,33,590388,39,26,500,234
1264,43,399703,14,7,644,332
1265,19,532625,44,22,3249,230
1266,18,327095,35,14,738,287
1267,29,461988,24,16,2425,274
1268,22,409282,31,11,1594,268
1269,54,793247,46,20,4749,250
1270,49,502429,33,15,561,288
1271,26,523766,27,14,2967,295
1272,58,360072,20,14,2949,333
1273,52,346693,25,18,500,306
1274,36,356368,35,25,1970,259
1275,33,538868,37,16,830,264
1276,20,358436,22,18,1224,302
1277,37,511389,37,16,1448,260
1278,41,1248808,36,15,1759,232
1279,50,683896,47,22,2703,200
1280,41,375866,12,7,1396,330
1281,28,806619,39,25,4167,249
1282,25,360757,17,8,1813,336
1283,53,200000,9,14,2957,332
1284,55,267254,31,20,997,274
1285,57,200000,16,10,561,341
1286,37,371106,29,14,1052,305
1287,52,446506,28,23,1048,257
1288,42,1022967,54,24,1202,224
1289,52,520978,32,18,1516,295
1290,42,396507,17,15,500,295
1291,46,669778,45,21,2684,215
1292,35,200000,16,17,500,302
1293,63,497727,18,7,764,323
1294,35,650458,33,19,1498,288
1295,19,211230,32,18,500,274
1296,52,783774,48,25,2619,203
1297,33,524000,29,18,2831,254
1298,58,359459,23,9,620,301
1299,53,607064,32,12,2503,285
1300,50,1376901,80,29,7320,145
1301,21,484529,33,12,1992,244
1302,50,500874,34,15,1489,264
1303,31,351624,33,25,500,246
1304,38,289259,25,12,769,267
1305,37,670090,35,25,1347,262
1306,25,288358,21,16,1229,294
1307,24,458530,29,18,1631,272
1308,20,348422,25,17,500,315
1309,34,562130,39,23,1855,225
1310,50,522735,32,17,2818,283
1311,29,743236,46,29,2078,218
1312,39,342830,24,10,500,321
1313,39,386567,27,19,500,257
1314,63,271201,6,7,500,356
1315,47,354283,33,15,2012,238
1316,55,534266,35,23,1599,258
1317,55,645960,44,25,2925,243
1318,62,278986,1,8,2461,360
1319,25,683377,54,20,3199,206
1320,44,871367,44,20,2362,236
1321,44,544007,41,26,1958,239
1322,51,1130757,46,20,3154,209
1323,38,300470,28,21,500,265
1324,47,237440,12,6,1134,358
1325,50,200000,15,16,500,312
1326,45,934738,62,30,906,192
1327,64,613651,34,12,1157,258
1328,50,430286,30,18,1127,248
1329,22,508888,38,14,3217,246
1330,36,252017,25,15,500,299
1331,21,1502853,70,32,5521,133
1332,52,471941,33,20,1404,290
1333,34,467286,49,24,2784,192
1334,61,635955,35,22,3276,285
1335,45,562701,35,25,3051,261
1336,47,494816,39,25,500,237
1337,46,297974,32,20,1199,288
1338,63,560023,43,23,2625,216
1339,23,1133717,60,22,4160,169
1340,52,866926,35,17,3526,261
1341,58,981260,62,24,3329,176
1342,54,342625,16,19,500,308
1343,41,269735,25,12,500,300
1344,46,415445,22,12,739,285
1345,63,454913,29,21,4194,306
1346,48,764590,43,17,2062,231
1347,52,200000,22,21,500,312
1348,50,950530,51,18,3901,188
1349,38,408806,40,21,2218,256
1350,49,357381,29,14,2478,304
1351,40,266718,20,9,1360,300
1352,50,200000,27,19,1512,278
1353,20,667694,47,29,4065,203
1354,35,458932,19,13,784,336
1355,42,232122,25,15,500,304
1356,59,231529,26,9,500,275
1357,48,374036,24,20,981,273
1358,20,1019181,61,29,4830,164
1359,57,388560,25,10,1823,312
1360,63,208653,21,12,1184,279
1361,41,391260,25,21,500,299
1362,49,386017,27,23,593,257
1363,64,200000,11,8,500,348
1364,39,430564,17,19,2606,314
1365,40,394168,40,21,2899,242
1366,19,626624,29,23,2868,258
1367,44,1115126,46,23,2730,239
1368,59,777067,24,22,4072,263
1369,19,386758,21,14,1035,320
1370,43,254418,11,10,500,348
1371,34,1601866,85,40,4375,131
1372,57,455708,37,23,1088,261
1373,50,445505,23,13,1534,289
1374,26,437108,46,21,1295,250
1375,60,488474,38,23,500,280
1376,56,411605,25,17,2585,316
1377,46,332092,4,7,956,365
1378,59,336573,43,26,500,236
1379,43,435227,17,18,2561,324
1380,52,337151,11,16,500,347
1381,42,309767,32,12,500,288
1382,41,466594,49,18,2827,213
1383,30,389458,38,25,3189,269
1384,24,938460,52,22,2666,228
1385,53,200000,24,12,620,267
1386,62,763564,48,27,1398,210
1387,37,824920,49,18,2755,239
1388,18,200000,22,10,500,309
1389,25,372747,27,16,1140,264
1390,63,367426,25,16,1634,315
1391,33,218872,14,16,500,346
1392,31,299866,21,20,637,304
1393,29,253904,8,8,500,360
1394,40,1062500,51,28,3186,219
1395,32,706330,31,15,2260,268
1396,45,835493,35,24,3013,263
1397,51,634654,37,13,2355,238
1398,19,251569,33,19,1742,267
1399,49,340353,32,13,500,296
1400,40,565060,21,13,500,292
1401,39,240130,13,7,1329,341
1402,42,631908,43,21,500,210
1403,39,392321,19,19,1491,283
1404,39,366806,24,22,500,300
1405,59,631264,40,20,3677,236
1406,23,552457,25,20,2091,277
1407,32,369356,27,18,1012,267
1408,60,789902,31,15,3860,251
1409,54,257678,17,13,500,329
1410,50,601972,37,22,1133,236
1411,25,595139,22,17,722,299
1412,61,378975,30,18,500,274
1413,61,520771,31,11,1797,244
1414,22,236675,25,20,1282,289
1415,56,702228,40,18,3302,220
1416,21,403345,38,15,500,249
1417,23,340659,26,9,963,264
1418,62,747511,37,16,1383,267
1419,49,311087,25,16,831,304
1420,47,218768,25,11,3063,302
1421,64,203147,20,16,969,318
1422,52,598992,35,13,2896,262
1423,57,233231,15,16,2738,306
1424,33,1063841,47,24,4673,241
1425,30,200000,8,12,500,321
1426,59,1033258,65,26,2168,152
1427,47,491643,21,21,1608,321
1428,36,421528,22,14,837,279
1429,34,336899,19,17,500,308
1430,36,540131,39,24,2041,245
1431,45,434166,26,10,1713,300
1432,43,768081,51,26,4329,187
1433,54,468416,24,21,1199,303
1434,43,476942,32,19,1869,254
1435,40,368867,19,10,564,281
1436,26,429994,45,19,2306,234
1437,29,516020,22,13,1595,328
1438,18,200000,22,17,500,316
1439,18,225462,26,18,738,312
1440,64,641543,39,23,2528,276
1441,51,481871,29,15,1861,273
1442,49,403530,26,20,2390,313
1443,42,446509,29,10,500,259
1444,57,526386,31,24,911,252
1445,62,337769,32,24,1765,275
1446,18,299793,41,22,500,236
1447,33,487927,26,10,1866,274
1448,56,271254,11,8,500,320
1449,22,542599,32,19,4524,261
1450,39,200000,40,17,500,269
1451,46,740127,33,22,3661,273
1452,20,560339,46,18,1530,250
1453,29,502833,44,21,2090,220
1454,43,723130,35,17,3902,255
1455,33,1017375,55,26,4557,175
1456,54,734676,53,20,2244,179
1457,39,200000,16,10,531,330
1458,46,233330,19,16,1781,328
1459,31,323705,19,10,3412,306
1460,45,448222,21,20,1686,330
1461,22,573108,28,13,3867,284
1462,64,307776,14,8,784,309
1463,47,485717,31,20,2571,284
1464,63,303248,17,13,2111,326
1465,22,325865,26,14,676,309
1466,29,218965,8,5,500,326
1467,33,278837,25,18,2074,261
1468,43,225067,27,14,500,287
1469,43,271593,6,8,500,365
1470,38,749244,43,19,1813,213
1471,56,275212,32,16,500,251
1472,53,1649843,64,29,6356,184
1473,50,566175,47,22,2402,201
1474,47,485249,34,16,2333,262
1475,54,288030,17,15,1381,315
1476,40,627911,35,17,1499,265
1477,27,331764,29,23,1802,294
1478,22,470243,30,14,2749,274
1479,53,1591268,76,37,5888,107
1480,51,421666,20,15,1855,317
1481,48,785940,43,27,1852,244
1482,27,311268,12,8,1249,315
1483,36,434741,27,10,628,312
1484,49,1072389,45,22,3550,219
1485,18,323358,18,13,500,304
1486,22,1094955,63,25,2017,195
1487,62,630252,44,27,1909,224
1488,21,333956,29,23,564,276
1489,33,606951,26,11,2129,278
1490,41,719475,36,20,2263,270
1491,33,603743,44,19,2042,211
1492,19,201770,21,17,1281,308
1493,45,307561,42,21,561,218
1494,49,390913,30,14,1083,280
1495,44,426250,30,14,2875,281
1496,37,603400,32,18,2014,266
1497,41,483521,31,24,1432,269
1498,29,226914,19,14,838,319
1499,52,535041,38,14,1622,263
1500,50,600364,42,28,1291,229
