Claim Amount,Policy Age (Years),Previous Claims,Accident Severity,Vehicle Age (Years),Claim Time,"Witness Present (0=No, 1=Yes)",Repair Cost,"Fraudulent Claim (1=Yes, 0=No)"
35454.86,8,2,Medium,0,Weekday,0,33255.46,0
62109.58,13,0,Medium,9,Weekday,1,43240.91,0
37944.12,15,1,Low,5,Weekday,1,21544.36,0
60554.47,1,0,Low,12,Weekend,1,36247.31,0
48664.95,11,0,Low,1,Weekend,0,37391.78,0
21329.82,14,0,High,2,Weekday,1,10146.79,0
35824.85,2,0,Medium,2,Weekday,1,30695.86,0
54323.04,19,0,High,10,Weekday,1,48276.18,0
71463.0,19,1,High,5,Weekday,1,37655.71,0
63409.23,6,2,Low,8,Weekend,1,34153.82,0
24258.52,5,1,Low,7,Weekend,1,12141.36,0
74864.81,6,0,Low,1,Weekday,0,31927.91,0
48941.21,13,1,Low,12,Weekday,0,34087.29,0
58658.28,0,0,High,10,Weekday,1,31279.25,0
39839.56,15,1,Low,10,Weekend,1,26631.28,0
64742.19,13,2,Medium,4,Weekend,0,41546.95,0
49880.32,15,1,Low,12,Weekday,1,37937.36,0
27376.58,2,2,Low,10,Weekday,0,22354.28,0
53076.38,18,1,Medium,4,Weekday,1,36509.1,0
23074.29,12,1,Medium,5,Weekday,1,13724.84,0
70464.13,4,0,Medium,13,Holiday,1,56247.29,0
52175.41,1,3,Medium,4,Weekday,0,33812.28,0
62099.67,9,3,High,10,Holiday,1,38636.87,0
56321.77,0,1,Medium,4,Weekday,1,47426.16,0
43806.3,7,1,Low,3,Weekday,1,32992.28,0
28915.3,12,1,Low,2,Weekend,0,22567.55,0
50941.88,13,1,Medium,6,Weekend,0,24718.8,0
49382.29,3,0,High,2,Holiday,1,37769.24,0
52453.31,16,0,Low,0,Weekday,1,20994.27,0
47860.5,15,0,Low,13,Weekday,0,43228.86,0
38412.62,18,1,Low,3,Weekday,0,25516.41,0
20612.67,2,1,Low,4,Weekday,1,14767.84,0
38632.29,18,0,Low,13,Weekday,0,20949.71,0
61641.15,11,0,Low,11,Weekday,1,32798.71,0
40888.3,3,0,Low,4,Weekday,1,16497.58,0
43489.67,5,3,Medium,3,Weekday,0,17408.32,0
43143.24,11,0,High,7,Weekend,1,33511.19,0
51126.86,13,2,High,11,Weekday,1,30267.09,0
50706.44,11,0,Low,6,Holiday,1,25758.79,0
66509.96,19,0,Low,1,Weekend,1,40868.85,0
75858.98,8,1,Low,10,Weekday,1,47085.85,0
46531.62,12,2,Medium,3,Weekday,1,24285.49,0
38181.66,7,0,High,3,Weekend,1,32879.7,0
52665.38,19,3,Medium,5,Weekday,0,36838.73,0
63534.77,9,1,Medium,7,Weekday,1,35323.7,0
69319.79,13,0,Low,11,Weekday,0,55789.42,0
46921.59,17,0,Low,11,Weekday,0,34608.6,0
34054.07,17,0,Medium,10,Weekday,1,19988.36,0
57571.73,10,4,Low,11,Weekday,1,28794.2,0
53992.66,4,1,Low,10,Weekday,0,50923.62,0
42186.5,13,1,Medium,11,Weekday,0,30481.31,0
23965.1,6,1,Low,2,Weekend,1,12793.51,0
68281.31,12,3,Low,13,Weekend,1,50710.1,0
54799.95,18,0,Low,11,Weekday,0,32501.06,0
51888.09,1,1,Medium,13,Weekend,1,32502.32,0
35578.47,16,2,High,2,Weekday,1,34016.75,0
49110.71,12,1,Low,14,Weekday,0,47599.27,0
63076.37,12,1,Low,11,Holiday,1,41583.93,0
57395.02,1,0,Medium,11,Weekday,1,41763.33,0
50332.06,10,0,Medium,7,Weekend,1,30119.88,0
45653.58,0,0,Medium,8,Weekday,1,43199.54,0
57635.38,13,0,High,11,Weekday,1,43313.77,0
40076.66,13,0,Medium,5,Weekday,1,25394.66,0
82018.54,12,0,Low,1,Weekday,1,56401.41,0
33641.09,10,2,Medium,8,Weekday,1,28959.39,0
40712.98,1,1,Low,13,Weekday,1,38973.32,0
67032.63,9,1,High,14,Weekday,0,66528.91,0
34509.52,13,0,Medium,8,Weekday,0,25905.71,0
58235.65,6,2,Low,14,Weekday,1,47308.08,0
49226.17,19,2,Low,13,Weekday,1,35285.08,0
63875.8,7,1,Medium,3,Weekday,1,49889.73,0
58160.12,1,2,Medium,10,Weekend,1,37054.25,0
64711.45,17,2,Low,4,Weekday,1,57340.56,0
37871.99,13,0,Low,5,Weekend,1,32577.69,0
50845.69,7,0,Low,0,Weekday,1,50723.76,0
47999.12,5,1,Low,3,Weekday,1,37271.57,0
50498.28,0,0,Low,9,Weekday,0,39085.37,0
48629.65,3,2,Low,9,Weekday,1,41546.36,0
63247.44,0,2,Low,9,Weekday,1,25641.53,0
40894.3,6,2,Medium,14,Weekday,0,35751.55,0
44698.01,14,0,Low,5,Weekday,1,25843.14,0
42436.55,8,0,Low,0,Weekday,1,25325.83,0
46329.61,13,0,Low,9,Holiday,1,39327.67,0
34134.76,0,0,Medium,4,Holiday,1,15705.85,0
45179.89,5,0,Low,3,Weekday,0,39084.61,0
42170.94,17,1,Low,13,Weekend,1,32615.51,0
27274.89,2,1,Medium,4,Weekday,1,27219.78,0
40941.27,4,2,High,5,Weekday,1,36542.1,0
53466.04,15,1,High,9,Weekend,1,24076.53,0
38235.54,17,2,Medium,11,Weekday,0,29442.34,0
60726.24,15,3,Low,0,Weekday,1,40401.28,0
50089.53,19,2,Low,4,Holiday,0,45763.22,0
16541.12,6,1,Medium,1,Weekend,1,7215.69,0
42910.97,9,0,Low,8,Weekday,1,32998.64,0
60606.43,13,1,High,0,Weekday,1,40661.16,0
29985.87,11,0,Low,9,Weekday,1,15853.46,0
61009.25,10,2,Low,9,Holiday,0,42718.54,0
14338.48,17,1,Low,8,Holiday,1,8157.56,0
26088.91,16,1,Low,3,Weekday,0,14940.97,0
67282.42,13,1,Low,12,Weekday,0,50232.76,0
61397.59,18,2,Medium,12,Weekday,0,51634.64,0
68680.79,12,1,Low,1,Weekend,1,47532.98,0
57997.77,7,0,Low,5,Weekday,1,47459.59,0
34056.75,9,1,Low,13,Weekend,1,33295.58,0
82365.17,6,0,Low,6,Weekday,1,37640.67,0
42375.02,12,2,Low,0,Weekday,1,19792.97,0
52658.97,19,3,Low,10,Weekday,0,22870.37,0
59664.51,7,1,High,8,Holiday,1,39054.34,0
66192.26,19,1,Low,10,Weekday,0,39262.93,0
75489.27,5,3,Low,9,Holiday,1,58297.22,0
56273.42,14,1,Low,0,Weekend,0,26262.07,0
28333.42,1,0,Low,12,Weekday,1,14917.89,0
41970.91,11,1,Medium,8,Weekend,1,25655.23,0
22923.45,15,2,High,11,Weekday,1,21124.76,0
50371.79,16,1,Low,3,Weekday,0,43577.58,0
42833.19,7,1,Low,9,Weekday,1,26906.88,0
32629.87,6,1,Medium,14,Holiday,1,26623.09,0
72878.74,5,0,Low,11,Weekday,0,66015.1,0
70199.88,16,0,Medium,5,Weekday,1,50000.83,0
8460.98,16,1,Low,8,Weekday,0,4025.5,0
64398.76,11,0,High,14,Weekday,1,43779.88,0
57204.46,18,0,Low,2,Holiday,1,48495.91,0
40379.58,8,2,Medium,3,Weekday,0,16769.18,0
63883.73,8,1,Low,10,Holiday,1,26901.3,0
60647.31,14,1,Low,7,Weekday,1,35650.1,0
31762.02,17,0,Low,6,Weekend,1,23254.52,0
62249.34,7,2,Low,6,Weekday,1,58110.59,0
51110.35,16,0,Low,3,Weekend,1,36679.98,0
37205.5,9,1,High,8,Weekday,0,34780.78,0
66405.82,9,0,High,9,Weekday,1,28398.62,0
61029.22,14,1,Low,11,Weekend,1,60614.59,0
41671.24,10,0,Low,0,Weekday,0,19790.11,0
44150.26,1,0,Low,3,Weekday,1,24869.87,0
41277.17,17,1,Medium,4,Weekday,0,28754.34,0
40494.39,6,0,High,7,Weekend,1,31497.12,0
39450.37,11,0,Low,2,Weekday,1,16345.22,0
51049.65,6,4,Low,5,Weekday,0,40696.7,0
67747.99,10,3,Medium,1,Weekday,1,36859.92,0
47612.41,10,0,Medium,1,Weekday,1,19899.91,0
72515.91,12,1,Low,11,Weekday,1,62068.87,0
30470.81,5,1,High,14,Holiday,0,27292.14,0
42385.18,2,1,Medium,14,Weekday,1,34636.52,0
56192.03,8,0,Medium,1,Weekday,1,50231.28,0
41068.05,17,2,Medium,5,Weekday,1,30353.6,0
53303.85,17,0,Low,2,Weekday,0,45134.29,0
21036.72,9,2,Low,9,Weekday,1,8510.58,0
33923.43,19,1,Low,7,Weekend,1,31015.96,0
40400.05,18,0,Low,0,Weekday,1,40279.8,0
63246.68,3,3,Medium,6,Weekend,0,50615.29,0
44554.36,12,0,Medium,13,Weekday,1,28839.96,0
71938.75,0,0,High,5,Weekend,1,33003.41,0
2756.67,13,1,Low,9,Weekday,1,2267.77,0
50295.03,11,0,Low,4,Holiday,1,41267.76,0
53913.86,5,0,High,13,Weekday,1,30388.79,0
65869.46,6,2,Medium,12,Weekday,0,49670.15,0
90574.21,5,0,Low,13,Weekend,0,64437.53,0
56411.32,11,2,Low,5,Weekday,1,32934.03,0
42131.55,3,1,Low,12,Weekday,1,30904.4,0
33032.8,19,2,Low,3,Weekday,1,30199.72,0
64987.12,9,0,Low,9,Weekday,0,55466.51,0
49987.61,4,3,Low,13,Weekday,0,31583.62,0
47723.86,9,0,Low,10,Holiday,1,47457.63,0
24199.53,4,3,Medium,6,Weekday,1,22077.65,0
29057.23,5,1,Low,4,Weekday,1,24609.49,0
32976.75,12,1,Medium,12,Weekday,1,24911.3,0
17941.54,17,1,Medium,3,Weekday,0,11575.05,0
49781.75,3,0,Low,14,Weekend,1,40363.58,0
61360.14,16,0,High,3,Weekday,0,59687.81,0
73287.35,8,1,Low,12,Holiday,1,68756.16,0
51469.23,8,1,Medium,14,Weekend,1,50237.76,0
56614.04,18,1,Low,1,Weekend,0,31350.8,0
47555.09,13,2,Low,1,Weekday,0,23234.91,0
45312.48,11,1,High,3,Weekday,1,30246.41,0
64169.21,16,0,Medium,13,Weekend,1,32073.45,0
61678.32,18,0,Low,10,Weekend,1,46219.58,0
39610.56,8,1,Low,3,Weekday,1,22650.44,0
75625.08,13,0,Medium,10,Weekday,1,73319.21,0
66257.08,4,3,High,11,Weekday,1,28918.41,0
49115.83,11,1,High,11,Holiday,1,21103.83,0
56123.3,18,0,High,1,Weekday,0,34592.43,0
43077.53,2,1,Low,8,Weekday,1,42224.78,0
24464.01,15,2,Medium,7,Weekday,1,11068.65,0
61147.59,17,0,Medium,0,Weekend,1,30499.53,0
52081.48,7,3,Medium,3,Weekday,0,49470.05,0
96138.61,6,4,Low,9,Weekday,1,94252.76,0
60881.6,1,2,Low,7,Weekday,1,47155.91,0
53660.97,14,0,High,0,Weekday,1,33396.4,0
38187.47,14,0,Low,4,Weekday,1,21612.62,0
40868.5,17,1,High,9,Weekday,1,19874.04,0
71113.6,16,1,Low,10,Weekday,0,38768.53,0
46491.06,7,0,Low,13,Weekday,1,35056.94,0
45146.97,18,0,High,10,Weekend,0,31419.65,0
53996.28,19,1,Low,7,Weekday,1,24858.54,0
40501.99,4,1,Low,7,Weekday,0,39140.14,0
43613.4,10,3,High,11,Weekday,1,37650.32,0
45245.17,5,2,High,2,Weekday,1,29674.76,0
36156.76,3,0,Low,13,Weekday,1,20212.95,0
56482.1,10,0,Low,3,Weekend,1,27207.2,0
56982.36,3,2,Medium,2,Weekend,1,37206.18,0
61236.27,2,1,Medium,4,Weekday,0,27313.57,0
49908.65,14,1,High,12,Weekday,1,36878.25,0
19019.21,19,1,Medium,7,Weekday,1,8983.42,0
77880.13,10,0,Low,4,Weekday,1,51662.97,0
43567.58,15,1,Low,8,Weekday,1,40035.1,0
27421.64,12,0,Medium,4,Holiday,1,12420.91,0
50111.08,5,2,High,12,Weekend,1,43558.38,0
39791.16,12,0,Low,3,Weekend,1,30499.81,0
30071.89,13,2,High,12,Weekday,1,15685.9,0
65416.59,6,1,Low,4,Weekday,0,60990.98,0
49815.76,17,0,Medium,2,Weekday,0,29683.8,0
56107.8,7,1,Medium,4,Weekend,1,50653.46,0
45677.26,13,0,Low,0,Weekend,1,28814.2,0
58917.14,16,1,Medium,13,Weekday,0,28684.27,0
47822.61,9,5,Medium,12,Weekday,1,28604.87,0
55041.24,7,1,Medium,7,Weekday,0,50716.82,0
59782.84,5,1,Medium,8,Weekday,1,38293.31,0
53413.33,1,1,Low,3,Weekend,0,40727.47,0
46892.82,7,0,Low,11,Weekend,1,26836.53,0
45145.9,11,1,High,12,Weekday,1,41143.97,0
27801.84,7,2,High,11,Weekday,1,15229.14,0
73785.09,11,1,High,8,Weekday,0,34315.39,0
41839.61,12,1,Medium,1,Weekday,1,22957.99,0
42200.23,4,0,Low,10,Holiday,1,29031.87,0
55340.2,13,1,Medium,11,Weekday,1,25699.74,0
49570.65,7,0,Medium,6,Weekday,1,33209.45,0
47018.03,1,3,Low,13,Weekend,0,37649.87,0
37731.2,1,0,Low,4,Weekend,1,34197.32,0
66472.42,12,3,Low,12,Weekday,1,61795.38,0
45431.73,13,0,Low,11,Holiday,0,42869.01,0
66476.05,0,1,Medium,12,Weekday,0,36819.09,0
44662.29,15,0,Low,5,Weekday,1,26979.17,0
73329.36,12,2,Low,4,Weekday,0,70128.18,0
63552.88,8,1,High,4,Weekday,1,58042.22,0
60347.18,10,1,Low,11,Weekday,1,44270.11,0
56835.03,7,0,Low,11,Weekday,1,55365.8,0
56833.86,5,3,Low,5,Weekend,0,40386.15,0
73891.74,14,0,Low,0,Holiday,0,48618.2,0
67460.84,8,1,Low,4,Weekday,0,46545.62,0
42820.18,11,0,Low,11,Weekday,1,39441.5,0
40918.49,2,1,Low,4,Holiday,1,19763.09,0
55076.2,5,0,Medium,9,Weekend,1,44197.86,0
41349.4,10,1,Low,9,Weekday,1,27503.04,0
47243.17,1,1,Low,3,Weekday,1,22544.17,0
55802.12,5,1,Medium,1,Holiday,1,25283.52,0
55146.4,11,2,Low,0,Weekday,1,44306.42,0
67481.06,6,0,Low,8,Weekday,1,66782.74,0
39299.95,0,1,High,3,Weekend,1,22721.8,0
44896.04,5,2,Low,13,Weekday,1,25156.4,0
42653.7,0,1,Medium,12,Weekday,1,29333.94,0
55348.57,14,0,High,9,Weekday,0,24323.39,0
51459.35,9,1,Low,2,Weekday,0,24649.54,0
56645.53,4,2,Low,14,Weekday,1,24369.89,0
67466.91,17,1,Low,1,Holiday,1,63148.06,0
71526.89,9,1,Low,11,Weekday,1,38820.56,0
44815.22,0,0,High,14,Weekend,1,30047.74,0
56744.29,10,1,High,10,Holiday,0,22983.65,0
42492.47,1,1,Low,10,Weekday,0,23310.59,0
57670.18,16,1,Medium,0,Weekday,1,39072.82,0
45722.33,1,2,High,6,Weekday,1,44747.32,0
70126.81,13,1,Medium,7,Weekday,1,32584.9,0
68429.76,17,2,High,10,Weekday,0,39834.11,0
54701.14,2,1,Low,6,Weekday,1,35563.62,0
27317.22,1,0,Low,1,Weekday,1,23676.03,0
52767.15,7,1,Low,6,Weekend,1,49130.69,0
58250.89,13,0,Medium,2,Holiday,0,47589.6,0
47527.08,14,3,Low,1,Weekend,1,28621.03,0
41075.09,7,1,Medium,12,Weekday,1,26259.85,0
58737.47,14,2,Low,10,Weekday,1,52484.76,0
42234.95,12,1,Medium,10,Weekday,1,33365.16,0
43588.13,0,0,Medium,4,Weekend,1,38991.8,0
59479.41,13,2,Medium,6,Weekday,1,51163.94,0
59280.62,0,0,Medium,4,Weekday,1,37969.64,0
76028.32,7,1,Low,10,Holiday,0,37090.14,0
55373.33,16,1,Low,1,Weekday,1,24778.69,0
43212.67,7,3,Medium,1,Weekend,1,36243.27,0
32338.59,4,3,Low,11,Weekend,1,26943.55,0
58927.44,1,1,Low,10,Holiday,1,39511.5,0
45785.25,11,1,Low,14,Weekend,1,37835.76,0
57928.54,12,0,Low,1,Holiday,1,31268.37,0
66377.09,19,0,Low,10,Weekday,0,46739.67,0
52948.24,17,1,Medium,2,Weekday,1,49346.15,0
55454.67,9,3,Medium,4,Weekday,0,47264.0,0
55477.94,11,0,Low,4,Weekday,1,48157.09,0
33751.5,17,0,Medium,5,Holiday,0,32598.82,0
41599.58,16,1,Medium,8,Weekday,0,18413.47,0
72432.96,19,0,Low,8,Weekend,1,36380.58,0
59263.12,2,0,Low,0,Holiday,1,48104.03,0
44184.88,7,1,Low,8,Weekday,0,43178.41,0
45255.77,1,1,Low,14,Weekend,1,42792.07,0
47190.4,15,1,Medium,8,Weekday,0,22011.01,0
38019.15,1,1,Medium,0,Weekday,0,37276.78,0
43233.82,19,0,Low,13,Weekday,1,26767.05,0
25857.7,4,1,Medium,4,Weekday,1,13625.9,0
29813.05,11,0,Low,3,Weekday,0,14499.17,0
48153.98,19,1,Low,0,Weekday,1,31098.79,0
52763.02,11,2,High,5,Holiday,0,31878.32,0
39371.4,6,1,Medium,1,Weekday,1,30418.67,0
48004.62,18,1,Medium,4,Weekend,1,22038.06,0
38362.88,5,0,Low,7,Weekday,0,19991.39,0
9203.53,14,0,Low,5,Holiday,0,5144.26,0
40304.93,7,0,Low,13,Weekday,1,34454.44,0
60496.76,2,1,Medium,8,Weekday,0,34214.59,0
53443.28,2,1,Medium,14,Weekday,0,25717.17,0
21699.59,14,0,Low,10,Weekend,0,21391.81,0
22110.85,19,3,Low,6,Weekday,1,20776.54,0
48711.09,5,2,Low,4,Weekday,1,42252.64,0
60316.08,17,0,Medium,12,Weekday,0,28375.85,0
43417.55,16,0,Low,8,Weekday,1,28564.85,0
69234.44,13,2,Low,11,Weekday,0,33312.42,0
52455.47,10,2,Medium,7,Weekday,1,52034.11,0
43885.72,15,2,Medium,0,Weekend,0,41423.79,0
36553.88,16,0,Low,12,Weekend,0,24351.42,0
44109.03,4,1,Low,5,Weekday,1,17870.06,0
34319.84,15,0,High,7,Weekday,0,16007.4,0
40652.72,19,0,High,3,Weekday,1,17329.47,0
46902.32,11,2,Low,3,Weekday,1,36403.83,0
22350.12,6,2,High,8,Holiday,0,15712.14,0
39947.8,4,1,Medium,12,Holiday,1,29269.18,0
31882.79,6,0,Low,10,Weekday,1,17449.63,0
60351.81,5,1,High,3,Weekday,0,44024.41,0
22916.12,12,0,High,2,Weekend,1,18354.43,0
30839.08,3,0,Low,0,Weekday,0,17820.71,0
47121.33,6,3,Low,9,Weekday,0,22679.83,0
55478.81,15,1,Low,3,Holiday,1,32509.17,0
79385.53,1,0,Medium,7,Weekday,0,36989.1,0
61735.72,17,1,Low,0,Weekday,1,26129.07,0
37217.56,6,0,Low,9,Weekday,0,35596.34,0
65358.07,1,1,Low,10,Weekday,1,44544.78,0
30704.93,12,0,Medium,13,Weekday,1,17610.79,0
47914.33,13,0,Medium,2,Weekday,1,30263.59,0
76196.4,19,0,Low,3,Weekday,0,67272.79,0
58913.64,10,1,Medium,5,Weekday,1,38419.77,0
41173.93,10,3,Medium,7,Weekend,1,24662.66,0
54166.73,16,1,Medium,13,Weekday,0,39058.24,0
11571.29,16,0,High,10,Weekday,1,9550.84,0
63614.75,9,1,Medium,14,Holiday,1,56974.47,0
33564.63,12,0,Low,6,Weekend,1,22424.89,0
52009.82,14,0,Low,14,Weekday,1,42425.35,0
69193.09,8,1,High,11,Weekend,1,48175.28,0
52948.58,10,0,Medium,13,Holiday,1,49034.79,0
48823.43,4,0,Low,2,Weekend,1,27402.32,0
78571.6,18,1,Low,7,Holiday,0,35667.64,0
57119.34,15,2,Low,3,Weekday,1,49724.17,0
59980.71,4,0,Low,5,Weekday,1,25187.09,0
59032.87,17,2,Medium,3,Weekday,1,41914.25,0
58142.16,13,1,Low,8,Holiday,0,37272.97,0
51207.08,9,1,Low,1,Weekday,1,49112.21,0
51710.58,2,0,Medium,8,Holiday,1,51645.52,0
18119.09,4,1,Low,11,Weekday,1,15740.67,0
41418.57,14,1,High,7,Weekday,0,19301.72,0
40833.47,3,0,Low,2,Weekday,1,33153.71,0
53397.87,6,1,Low,9,Weekday,0,33831.64,0
37231.98,11,4,Medium,5,Weekday,1,15730.7,0
12852.77,9,0,Medium,4,Weekday,0,10943.19,0
42529.44,4,1,High,12,Weekday,0,29514.59,0
47104.3,12,1,Low,7,Weekday,1,34138.65,0
42864.94,18,0,Low,3,Holiday,1,31711.03,0
27893.32,16,1,High,8,Weekday,1,12141.32,0
74609.01,9,0,Medium,2,Weekday,0,39717.91,0
27782.69,7,2,Low,10,Weekday,0,20923.07,0
31726.77,15,0,Medium,7,Weekday,0,27774.09,0
38049.0,17,3,Low,9,Weekday,0,32664.87,0
70326.87,6,1,High,12,Weekday,0,33874.69,0
77165.26,17,1,Low,10,Weekend,1,39176.83,0
46027.96,14,0,Low,4,Weekend,0,21445.66,0
42746.79,18,1,Low,6,Weekday,0,32606.6,0
59142.28,0,1,High,4,Weekday,0,37055.21,0
59069.61,14,1,Medium,10,Weekday,1,41568.6,0
35480.9,5,2,Low,13,Weekday,1,24359.64,0
54720.46,16,0,Low,6,Holiday,1,51060.38,0
50500.6,10,4,Medium,11,Weekday,1,22143.68,0
82550.07,4,3,Medium,12,Holiday,1,76434.09,0
69758.56,11,0,Medium,7,Weekend,1,32809.45,0
56814.65,12,2,Medium,14,Weekday,1,36002.38,0
39803.08,11,0,Low,13,Weekday,1,36184.6,0
60152.07,10,0,Medium,3,Weekday,0,57646.36,0
70678.06,15,0,Low,2,Weekday,1,52346.62,0
48497.54,5,0,Low,0,Weekend,1,29571.99,0
47318.81,8,0,Medium,5,Weekend,0,43442.14,0
58323.93,8,0,Medium,1,Weekday,0,31653.9,0
69971.31,9,0,Medium,9,Weekday,1,62970.37,0
60893.7,16,1,Medium,2,Weekday,1,52093.09,0
69647.14,8,0,Medium,12,Weekday,1,51409.5,0
68901.73,1,1,Low,8,Weekday,1,55054.27,0
50669.77,10,0,High,5,Weekend,1,47846.82,0
59643.0,8,3,Low,12,Weekday,0,41356.58,0
41170.85,11,2,Low,14,Weekday,1,40531.62,0
78695.57,16,2,Medium,6,Weekend,0,74263.44,0
52686.3,19,1,High,2,Weekday,1,43098.81,0
33174.36,19,1,Medium,12,Weekday,0,21839.8,0
50631.5,13,1,Medium,6,Weekend,1,29684.92,0
17554.91,18,2,Low,7,Weekday,1,15331.51,0
58033.03,11,2,High,7,Weekday,1,39452.07,0
35703.75,18,3,High,5,Weekday,1,17002.64,0
63192.82,6,3,Low,6,Weekday,1,29780.2,0
52081.99,7,2,High,11,Weekday,1,30763.51,0
52048.41,1,2,Low,11,Weekend,1,35323.47,0
52830.29,15,0,Low,13,Weekday,1,46686.36,0
41887.04,1,0,Medium,8,Weekday,0,17987.78,0
47906.87,8,2,High,1,Weekday,0,21412.0,0
54259.53,3,4,Low,12,Weekday,0,39989.8,0
53361.78,9,0,Medium,14,Weekday,1,42995.5,0
63835.13,2,2,Low,12,Weekend,1,53355.94,0
42676.44,14,0,Low,10,Weekday,1,38900.66,0
49026.53,11,1,Low,12,Weekend,1,26943.13,0
35485.09,2,0,Low,13,Weekday,0,28067.98,0
76362.03,15,0,Medium,6,Weekday,1,68793.93,0
41498.95,7,1,Medium,3,Holiday,1,32219.81,0
61821.94,16,1,Low,2,Weekend,1,34775.59,0
48302.28,2,2,Medium,2,Holiday,1,43810.25,0
51653.08,2,0,Low,12,Weekday,0,29843.33,0
53920.97,4,2,Low,14,Weekday,0,37281.08,0
23793.58,19,0,Medium,2,Weekday,1,16755.72,0
46983.95,16,0,Low,7,Weekday,1,39228.1,0
34710.08,6,0,Medium,9,Weekday,1,32026.26,0
49716.06,18,1,Medium,11,Weekday,1,48779.18,0
46101.73,3,0,High,9,Weekend,1,41311.87,0
58470.36,2,0,Medium,4,Weekday,1,47612.44,0
61724.69,10,2,Medium,9,Weekday,1,33013.72,0
46130.8,0,2,High,8,Weekend,0,45846.84,0
66897.7,17,0,High,12,Weekday,1,32900.99,0
32207.95,11,1,Medium,8,Weekday,1,17450.0,0
37215.81,18,0,High,0,Weekend,0,35341.32,0
69399.04,7,1,Medium,0,Weekday,1,48973.73,0
52853.88,4,2,Low,8,Weekday,1,33036.88,0
43668.35,17,0,Medium,3,Weekend,1,18644.07,0
68094.61,13,1,Medium,12,Weekday,1,60477.39,0
46832.06,1,2,High,0,Weekday,1,35540.11,0
55087.81,7,1,High,1,Weekend,1,53753.62,0
50985.01,7,2,Medium,3,Weekday,1,49755.75,0
32993.57,16,0,High,2,Weekday,0,16526.48,0
67321.37,5,3,High,12,Holiday,1,33675.62,0
66675.26,7,1,Low,11,Holiday,1,26718.95,0
73025.31,11,0,Low,6,Weekday,1,53447.88,0
49793.81,0,2,Low,1,Weekday,1,30883.9,0
53328.37,8,2,High,8,Weekday,1,46672.53,0
27547.61,15,1,Low,0,Weekend,1,20838.29,0
57028.17,10,0,High,12,Weekday,0,45555.62,0
57488.05,12,0,Low,6,Weekday,0,47198.35,0
43894.94,2,1,Medium,0,Holiday,1,36001.75,0
72332.23,8,2,High,14,Weekday,0,34921.45,0
51899.15,3,1,Low,2,Weekday,1,23233.47,0
70619.92,6,1,Low,13,Holiday,1,56295.99,0
67055.49,13,2,Medium,10,Weekday,0,63925.29,0
23325.66,9,3,High,10,Weekend,1,19455.24,0
58235.98,12,0,Low,13,Weekday,1,51868.01,0
82078.06,8,1,Medium,9,Weekday,1,73970.26,0
42534.68,6,0,Low,1,Weekday,1,19555.37,0
33253.02,13,0,Low,14,Holiday,1,30575.64,0
67773.07,3,0,Low,8,Weekday,1,61096.11,0
73571.75,17,0,High,11,Weekday,1,72532.36,0
48725.84,17,1,Low,8,Holiday,0,38747.4,0
