material_price_index,steel_price_index,cement_price_index,labor_cost_per_hour,num_workers,equipment_cost_per_day,equipment_count,project_duration_days,project_scope_index,site_area_sqft,location_index,inflation_factor,contingency_buffer,total_construction_cost
104.24,115.11,98.95,366.75,173,12761.38,4,523,4.22,5168.0,1.2,1.18,0.1,42318454.0
123.55,124.97,122.36,324.35,173,10251.64,2,594,1.21,5539.0,1.0,1.14,0.1,22507134.0
138.05,125.12,115.21,396.34,146,12681.72,18,87,7.13,3380.0,1.5,1.16,0.05,29234300.0
145.76,95.81,120.53,295.74,68,18340.9,9,531,4.31,6146.0,1.5,1.07,0.15,113906150.0
115.9,113.85,111.21,375.11,168,14930.9,2,629,2.34,4978.0,1.5,1.13,0.1,33739644.0
98.74,93.97,81.64,341.34,243,16374.25,10,415,6.29,4477.0,1.0,1.14,0.05,90872102.0
130.1,102.05,100.25,380.57,193,14254.2,16,387,5.2,5540.0,1.0,1.16,0.1,121494289.0
125.32,124.04,105.27,210.05,168,16145.27,12,654,5.53,5687.0,1.2,1.15,0.1,167604079.0
109.58,135.93,102.85,406.03,120,17675.19,5,365,2.66,5403.0,1.0,1.14,0.05,44430585.0
85.29,100.77,104.84,350.61,181,19846.07,19,147,2.93,5355.0,1.0,1.18,0.1,77758410.0
144.38,118.6,112.89,307.36,276,13789.0,6,596,2.39,7417.0,1.2,1.05,0.15,71763821.0
126.4,111.08,112.82,225.23,237,20897.87,13,607,7.08,4814.0,1.2,1.01,0.1,189950894.0
122.52,106.16,93.66,232.89,284,10020.8,3,689,6.23,6922.0,1.0,1.14,0.15,39326337.0
100.77,92.4,97.41,267.81,160,17747.71,14,265,9.42,3536.0,1.2,1.01,0.15,83186793.0
118.81,99.42,117.81,390.82,181,11968.58,3,431,5.29,3621.0,1.0,1.17,0.1,28064490.0
137.44,147.72,111.93,472.31,153,13024.71,19,131,9.98,4990.0,1.0,1.11,0.05,44796769.0
129.86,105.05,102.52,411.17,129,11044.97,7,209,3.13,8019.0,1.5,0.96,0.05,21589680.0
120.44,92.09,106.59,402.06,179,9914.7,12,558,3.34,4590.0,1.5,1.06,0.05,82761136.0
114.2,132.73,80.78,281.34,188,20074.89,5,412,9.18,5176.0,1.5,1.08,0.05,54527904.0
130.18,116.85,113.04,305.0,109,17666.55,9,401,8.04,6205.0,1.2,1.18,0.15,94906930.0
106.77,124.49,79.82,343.44,84,13645.46,6,687,6.01,6298.0,1.2,1.12,0.05,72728076.0
162.69,150.0,108.43,319.44,109,14284.57,19,227,4.74,7441.0,1.5,1.13,0.05,78660106.0
98.19,100.36,91.82,318.76,31,12756.34,15,280,3.06,7562.0,1.0,1.12,0.1,68905307.0
107.62,109.5,111.19,298.32,201,13491.77,19,572,7.19,4855.0,1.2,1.09,0.05,176390116.0
142.71,132.7,96.6,308.93,263,14578.13,13,563,5.45,6722.0,1.5,1.13,0.05,137465254.0
99.35,122.34,100.52,281.51,254,18829.4,19,236,8.85,2891.0,1.0,1.2,0.05,112929275.0
130.98,93.32,99.2,372.78,267,16355.53,2,57,5.91,2831.0,1.0,1.17,0.1,6273874.0
118.97,106.21,94.28,344.76,90,12868.7,3,673,5.27,6000.0,1.0,1.11,0.1,37861531.0
138.5,74.07,79.28,348.05,170,13983.07,13,266,3.59,7363.0,1.0,1.08,0.05,60779568.0
130.88,108.66,97.33,347.74,215,17683.73,18,585,6.42,5410.0,1.0,1.01,0.05,209093552.0
139.62,96.79,90.66,311.9,140,14070.84,9,336,3.74,7449.0,1.5,1.08,0.1,57171156.0
103.83,97.13,109.28,399.01,47,15544.33,8,494,5.67,6001.0,1.0,1.16,0.05,79448049.0
121.13,81.7,88.45,399.41,23,8841.68,17,109,8.67,3813.0,1.2,0.96,0.05,20184236.0
117.33,99.37,103.69,320.46,230,19273.79,13,676,3.63,3518.0,1.2,1.14,0.1,224285994.0
120.66,137.9,103.52,334.31,130,10452.42,5,537,9.87,4542.0,1.0,1.14,0.1,45322188.0
118.17,103.68,107.2,324.15,245,16146.16,19,568,3.02,5868.0,1.0,1.06,0.15,220723519.0
137.66,99.04,101.96,278.44,137,18756.91,6,98,6.44,7690.0,1.2,0.98,0.05,15158417.0
107.86,116.44,85.02,337.71,38,22521.12,17,293,4.29,5127.0,1.5,1.19,0.15,159103424.0
112.93,106.1,88.85,324.4,27,16037.25,11,621,8.45,4682.0,1.0,0.98,0.1,123199742.0
109.92,122.28,100.06,245.96,209,12995.9,12,211,6.36,6104.0,1.5,1.06,0.1,44250432.0
115.11,115.89,111.06,349.5,93,12308.23,7,224,4.85,5274.0,1.0,0.98,0.05,25809640.0
98.85,110.12,107.0,280.92,136,16491.1,17,390,3.53,6100.0,1.5,1.02,0.15,134607745.0
113.57,99.89,86.86,325.33,160,15569.11,3,514,5.48,5360.0,1.2,1.02,0.05,32287818.0
109.56,103.04,101.93,357.74,193,11678.39,14,133,7.05,7364.0,1.0,0.95,0.15,29058691.0
89.7,105.17,114.8,445.19,57,15151.48,16,78,9.92,6158.0,1.0,1.14,0.05,29219079.0
107.92,125.23,103.0,301.12,208,11615.8,16,77,2.26,1796.0,1.0,1.1,0.1,21398001.0
124.62,79.21,110.23,377.23,273,11838.77,17,206,8.08,5120.0,1.0,1.07,0.05,52924193.0
104.31,122.19,113.47,389.98,206,14644.73,6,632,7.97,2802.0,1.0,1.13,0.05,78356989.0
134.3,127.75,101.08,301.21,136,12623.27,2,115,6.86,5966.0,1.0,1.03,0.05,6100664.0
120.12,105.01,107.63,392.03,83,8000.0,17,549,1.83,2429.0,1.5,1.13,0.1,99889706.0
80.0,124.69,101.04,448.43,112,15186.41,16,139,3.65,5350.0,1.0,1.13,0.1,46334312.0
110.55,123.33,84.31,384.38,242,14745.55,3,576,2.05,5896.0,1.2,1.08,0.1,42060564.0
134.14,117.75,92.34,349.75,163,15904.54,11,117,6.76,6015.0,1.0,1.02,0.1,27144757.0
93.31,120.52,99.5,455.18,231,16141.51,7,676,4.69,5297.0,1.0,1.09,0.05,100249963.0
134.68,86.94,111.48,327.26,149,18892.54,17,296,9.51,5847.0,1.2,1.01,0.15,117322948.0
80.0,103.6,102.58,330.09,222,18540.85,16,321,3.54,5563.0,1.0,0.98,0.05,103865789.0
88.12,118.35,102.81,329.01,62,9522.05,14,395,3.84,3603.0,1.5,1.14,0.05,69131748.0
143.04,117.65,117.82,373.17,213,17300.45,10,70,8.5,6735.0,1.0,1.09,0.15,20450816.0
135.2,107.34,89.45,384.85,139,16945.0,3,587,3.87,4824.0,1.2,1.02,0.05,39024484.0
144.91,99.35,114.15,348.87,20,25000.0,17,153,4.14,7884.0,1.0,1.16,0.1,88785827.0
130.66,126.1,92.88,335.87,299,13094.86,13,170,7.63,5286.0,1.0,1.0,0.1,36983267.0
98.74,121.34,109.58,376.44,180,18843.44,13,349,1.34,4812.0,1.5,1.11,0.05,105862569.0
163.15,123.8,108.8,426.47,248,14409.13,5,223,4.61,5762.0,1.0,0.96,0.05,22118929.0
109.83,80.01,112.07,338.95,157,12603.64,12,638,2.41,6484.0,1.0,1.02,0.05,110167165.0
123.55,110.86,117.49,255.72,65,13795.48,9,503,6.97,5757.0,1.2,1.01,0.1,74272022.0
132.89,111.51,105.3,479.56,174,14521.49,17,53,4.98,5906.0,1.2,1.03,0.15,18931191.0
141.59,100.97,80.04,256.97,235,18127.22,14,353,8.49,5044.0,1.5,0.98,0.05,98950677.0
153.99,123.28,93.67,278.39,171,17966.42,17,646,5.04,5806.0,1.2,1.09,0.05,233610871.0
128.36,114.86,95.84,380.39,79,14391.16,15,248,5.11,4357.0,1.0,1.15,0.1,72417299.0
91.11,70.0,103.97,348.1,246,15194.55,12,635,3.46,2546.0,1.0,1.04,0.05,136681058.0
109.29,108.71,87.01,277.5,81,15456.84,19,355,8.59,4076.0,1.2,1.04,0.15,129394787.0
83.9,102.25,97.78,354.98,119,19400.37,12,410,3.53,4653.0,1.2,1.14,0.1,125533494.0
120.5,124.94,107.64,311.9,176,20062.97,16,674,2.18,5466.0,1.0,0.97,0.1,238775210.0
110.44,88.02,120.5,338.35,96,11644.42,6,591,6.98,5590.0,1.5,1.14,0.1,59191323.0
96.84,104.13,108.96,265.3,247,9876.14,10,127,1.44,4477.0,1.2,1.15,0.15,19201812.0
150.5,116.33,107.03,311.01,288,14692.58,11,407,8.7,3533.0,1.2,1.18,0.05,90714028.0
146.93,86.46,92.35,349.77,276,13774.62,14,590,4.15,8957.0,1.0,1.03,0.15,146461840.0
80.0,120.06,90.08,316.53,65,17231.77,6,613,8.23,5566.0,1.5,1.05,0.05,74326379.0
139.2,95.19,95.17,433.04,223,16803.44,16,355,2.45,6094.0,1.0,1.14,0.1,129115376.0
129.61,127.03,119.09,377.75,208,13856.91,8,93,6.88,4413.0,1.0,1.18,0.1,17872395.0
107.17,134.49,96.98,357.53,31,17974.62,5,579,3.02,6265.0,1.0,1.14,0.05,68672126.0
138.51,118.48,107.53,327.32,291,12410.9,11,97,4.21,5076.0,1.0,1.14,0.1,20990665.0
134.2,111.52,92.82,351.64,62,18870.99,7,111,9.23,4784.0,1.2,1.19,0.05,24732963.0
95.68,127.93,93.25,453.07,255,13603.99,5,374,3.38,6224.0,1.5,0.96,0.1,38309985.0
136.33,137.08,90.5,362.72,58,13311.48,3,262,2.19,6605.0,1.2,0.97,0.05,14453677.0
121.48,119.0,94.1,377.51,144,11811.25,19,414,5.91,5140.0,1.0,1.05,0.1,115156391.0
102.94,130.75,95.14,412.64,248,24138.71,15,170,4.54,3940.0,1.0,1.14,0.05,80170294.0
141.87,117.22,101.03,320.84,79,19721.37,7,251,6.68,6759.0,1.0,1.05,0.15,46695904.0
134.71,120.74,111.28,352.96,73,16841.53,8,112,1.17,6457.0,1.0,1.19,0.05,21225289.0
108.89,115.88,101.58,256.29,116,16045.56,7,122,7.23,4162.0,1.5,1.02,0.1,19576891.0
112.2,103.66,93.38,328.37,120,16291.29,3,399,5.71,5347.0,1.5,0.99,0.05,25181061.0
108.37,115.38,114.57,305.23,191,21558.83,3,373,7.91,3825.0,1.2,1.12,0.05,34991201.0
107.33,87.57,108.17,333.43,296,11035.59,4,685,9.51,3443.0,1.5,0.97,0.05,43546339.0
105.93,110.47,79.76,375.46,237,10046.24,15,102,5.89,6944.0,1.0,0.98,0.05,20123458.0
121.4,95.33,105.42,306.72,45,17853.95,2,37,1.08,2759.0,1.2,1.1,0.15,4743233.0
143.66,117.33,96.4,324.89,183,17715.96,14,346,9.06,6664.0,1.5,1.06,0.05,102991650.0
116.82,95.23,121.7,278.34,151,18671.35,7,520,1.52,7345.0,1.2,1.12,0.05,86248628.0
150.02,113.92,97.73,305.59,160,17274.1,4,692,9.8,7126.0,1.2,1.16,0.05,67632501.0
93.96,110.52,75.34,315.09,93,13817.66,14,349,8.16,3918.0,1.5,1.07,0.15,87307385.0
109.85,106.18,117.29,309.53,38,19142.24,8,625,2.55,3803.0,1.2,1.14,0.05,117867515.0
128.26,129.28,97.41,294.62,37,16187.86,12,519,6.07,4252.0,1.0,1.04,0.05,115437883.0
108.09,109.94,107.48,377.43,94,16493.89,15,425,8.65,3563.0,1.2,1.07,0.1,128808797.0
124.41,128.43,98.29,405.88,244,12655.36,11,704,8.79,4141.0,1.0,1.2,0.1,145894532.0
81.38,131.42,117.63,239.28,90,13054.99,4,685,7.36,7742.0,1.2,0.99,0.05,44243563.0
98.56,125.03,105.1,375.51,90,8588.61,13,418,4.92,2288.0,1.0,1.08,0.05,56015535.0
107.2,118.66,119.54,302.19,202,15162.13,13,517,9.03,6916.0,1.5,1.05,0.15,132337606.0
137.66,101.38,114.92,334.84,198,10831.17,13,183,2.97,3666.0,1.0,1.01,0.1,32368030.0
112.74,93.58,92.68,330.64,64,17840.09,15,267,8.76,1786.0,1.5,1.19,0.15,102731234.0
149.25,114.38,102.0,331.93,149,17587.44,3,605,9.36,3063.0,1.5,1.19,0.05,49105671.0
80.0,100.94,97.81,314.39,175,12308.95,9,469,6.72,6211.0,1.2,1.14,0.15,76912274.0
120.39,115.0,81.76,329.13,46,20943.47,4,429,2.64,1983.0,1.0,1.16,0.05,47139979.0
125.22,126.98,97.69,270.4,290,22224.58,2,272,4.16,6568.0,1.0,1.1,0.05,18663838.0
141.16,127.52,106.59,343.53,166,12345.88,9,516,3.85,4992.0,1.0,1.03,0.15,76149321.0
174.1,121.54,91.03,382.16,152,14125.74,9,204,3.56,5382.0,1.0,0.97,0.1,31688891.0
128.55,100.53,112.72,351.81,216,13943.55,18,498,4.91,6620.0,1.5,1.07,0.05,148986680.0
109.51,101.73,94.17,271.03,220,13640.96,9,339,8.97,5555.0,1.0,1.13,0.05,56013143.0
97.38,104.11,99.78,425.96,92,16344.27,14,451,8.22,3974.0,1.2,1.1,0.05,125075905.0
139.98,118.64,96.0,327.61,290,14010.82,18,107,6.76,5389.0,1.0,0.99,0.05,31091463.0
119.98,120.92,102.32,439.67,252,19255.45,14,217,4.88,4456.0,1.0,1.15,0.05,77918376.0
116.97,127.38,93.55,301.5,84,16765.27,15,433,9.83,6941.0,1.5,1.19,0.1,151613799.0
85.6,117.6,96.72,335.13,113,14942.94,7,119,2.15,3999.0,1.2,1.02,0.15,19344687.0
92.08,108.85,103.67,367.0,116,12502.35,9,497,7.15,6423.0,1.0,1.16,0.05,75690195.0
97.3,123.46,98.2,406.15,121,13227.01,2,34,9.04,7067.0,1.5,1.04,0.15,6887646.0
80.0,107.48,95.55,243.92,213,14203.31,3,130,7.3,5803.0,1.2,1.19,0.1,12867898.0
119.71,133.41,91.49,374.96,296,17296.57,3,383,3.71,6267.0,1.0,1.18,0.05,35723599.0
135.15,98.8,86.2,363.86,172,21220.48,5,624,4.18,4099.0,1.2,1.08,0.05,85063647.0
151.05,84.08,99.22,387.92,194,12950.74,15,469,8.63,5324.0,1.2,1.11,0.1,122796575.0
121.96,128.09,114.85,377.76,154,16659.78,3,265,1.37,5431.0,1.0,0.96,0.15,20884455.0
128.82,90.71,97.55,302.58,216,13575.35,19,436,2.26,4611.0,1.0,1.01,0.15,137212261.0
116.74,105.67,104.59,325.15,76,11393.49,2,682,3.75,6734.0,1.0,1.07,0.15,25806296.0
113.75,137.45,96.19,375.83,31,20469.08,7,547,4.54,4763.0,1.0,1.0,0.05,84758717.0
138.89,85.81,108.36,307.18,235,17042.83,3,159,9.7,4590.0,1.5,1.09,0.05,15169715.0
135.57,105.46,77.46,347.02,212,10481.39,11,692,1.77,5948.0,1.5,1.06,0.05,99640522.0
106.15,95.02,104.87,411.8,272,16656.69,12,280,8.84,3723.0,1.0,1.09,0.1,76592349.0
154.17,111.08,93.88,389.54,235,18717.91,18,260,6.0,2926.0,1.2,1.19,0.1,122099436.0
141.68,93.06,97.52,375.2,172,12952.05,8,267,5.26,4385.0,1.0,1.19,0.05,39820413.0
118.82,121.65,105.55,354.27,96,10761.59,17,435,3.56,6304.0,1.0,0.96,0.05,87064871.0
128.16,114.18,95.42,339.85,263,16438.54,4,492,7.62,7016.0,1.0,1.2,0.15,57289852.0
110.77,124.97,111.75,379.08,70,14124.31,2,165,1.06,5036.0,1.0,1.17,0.05,8983512.0
85.95,85.36,92.18,412.93,189,14353.59,7,574,6.11,3800.0,1.2,1.04,0.1,74363614.0
134.86,113.04,98.4,396.76,68,13750.96,12,617,6.62,5943.0,1.2,0.97,0.1,114187154.0
122.78,97.23,102.73,403.11,205,18534.14,14,275,8.15,7322.0,1.5,1.06,0.05,86508794.0
180.0,95.61,81.13,318.35,46,12570.32,17,309,4.45,5086.0,1.5,0.97,0.1,74330167.0
134.51,105.15,105.92,370.82,161,20383.21,2,118,8.47,8210.0,1.2,1.03,0.1,13043709.0
124.88,114.1,98.32,417.55,211,13307.18,13,278,5.14,4128.0,1.2,1.2,0.05,68617307.0
104.25,89.36,115.55,400.55,275,19780.49,14,422,9.37,6108.0,1.5,1.05,0.05,139046124.0
107.82,99.3,104.84,307.01,23,14381.63,9,203,9.85,6039.0,1.0,1.12,0.1,38707334.0
148.15,141.27,85.13,306.36,179,11732.89,16,301,1.03,4083.0,1.0,1.06,0.15,72446673.0
115.32,114.05,83.57,363.61,169,16972.75,19,106,2.63,4923.0,1.0,0.98,0.1,40099145.0
113.53,124.32,107.74,304.33,171,19667.54,3,330,8.15,2981.0,1.2,1.07,0.05,26820919.0
125.33,117.07,92.7,365.34,113,13580.78,9,181,2.38,3369.0,1.0,1.14,0.05,31462960.0
107.34,121.42,99.21,376.42,62,12237.15,9,524,1.27,4337.0,1.2,1.16,0.05,74111304.0
111.48,96.22,98.34,350.17,50,12520.62,14,337,8.05,3698.0,1.0,1.15,0.15,82067063.0
113.66,125.07,98.91,397.3,98,15242.19,14,79,3.3,3682.0,1.0,1.0,0.1,21193154.0
101.54,114.53,108.92,324.97,75,8000.0,13,71,7.22,6601.0,1.0,1.07,0.05,12814983.0
128.64,108.63,112.85,314.33,233,18316.65,8,109,6.8,5449.0,1.2,1.15,0.05,24867627.0
129.31,123.76,114.91,419.29,247,14955.78,10,487,1.72,6069.0,1.0,0.99,0.1,90047785.0
134.98,106.53,121.51,310.02,220,17378.77,5,449,9.29,4432.0,1.5,1.1,0.1,55499009.0
119.88,113.39,88.36,355.96,27,12078.57,3,478,7.58,5493.0,1.0,1.01,0.15,24051721.0
80.0,109.11,99.61,316.21,134,13337.01,16,299,5.42,4768.0,1.0,1.12,0.05,80488425.0
157.17,116.01,98.82,411.99,249,16174.95,14,588,1.06,7346.0,1.2,1.16,0.15,190886573.0
111.42,105.51,101.24,350.16,24,14875.83,4,327,1.41,5512.0,1.5,1.17,0.1,28695531.0
89.9,104.64,110.3,310.94,267,15693.64,18,469,5.64,2007.0,1.5,1.0,0.1,156296523.0
120.15,112.01,80.9,395.45,39,19697.87,8,212,4.72,4691.0,1.2,1.14,0.15,47566082.0
106.39,99.28,93.63,425.7,299,15903.32,3,502,6.53,5895.0,1.0,0.97,0.05,36343133.0
93.43,94.79,89.42,323.56,45,11805.44,9,669,1.63,5775.0,1.0,1.06,0.15,90960114.0
140.56,129.08,104.97,232.61,160,14560.33,3,437,4.69,2264.0,1.0,1.07,0.15,29489910.0
119.75,90.81,116.58,360.29,110,10588.32,3,562,1.67,3112.0,1.0,1.09,0.05,25836074.0
128.14,95.84,105.73,429.32,264,15831.85,16,111,5.94,6210.0,1.0,1.0,0.1,37520380.0
114.24,127.47,87.61,365.33,42,16739.98,2,361,8.03,4729.0,1.2,1.02,0.1,19074792.0
131.89,119.82,109.96,428.78,81,17644.91,14,568,6.85,5050.0,1.2,1.07,0.05,162925271.0
117.1,125.92,106.65,328.95,239,15802.86,15,601,2.04,5491.0,1.0,1.18,0.05,188394490.0
126.72,118.03,105.43,363.1,112,14677.8,9,485,3.36,5376.0,1.0,0.95,0.1,71180604.0
133.04,114.77,102.25,303.49,139,15615.3,16,693,5.71,3784.0,1.2,1.14,0.1,225176280.0
124.55,90.97,90.38,349.25,274,21805.65,5,500,8.67,5315.0,1.0,1.05,0.1,73673955.0
