Property Size (sq ft),Number of Rooms,Location Rating,Year Built,Zoning Code,Market Value (INR),Proximity to City (km),Floor Count,Property Type
3083,8,6.4,2004,R2,8852123.57,28.7,35,Residential
974,4,8.7,1996,C2,4747754.18,2.1,27,Commercial
3594,1,1.9,1964,I2,10423701.15,0.1,5,Industrial
5987,7,4.8,1965,C2,27399560.64,0.0,27,Commercial
6837,7,3.7,1996,R1,19433970.67,1.3,5,Residential
5173,4,3.4,1973,I1,13245621.37,2.3,47,Industrial
554,3,4.4,1967,C2,1639933.84,7.2,18,Commercial
7594,7,7.8,1979,C1,20640900.5,0.4,45,Commercial
479,4,9.5,1956,C1,1965894.35,2.1,23,Commercial
7927,3,8.7,1966,I1,15981394.67,9.1,41,Industrial
9534,1,2.5,2019,R1,30890843.38,2.1,48,Residential
9358,8,7.1,2008,R2,39631892.4,2.4,12,Residential
6112,5,1.5,1959,I1,25129352.94,11.7,24,Industrial
2296,9,8.4,2012,I2,3560718.88,1.5,30,Industrial
5349,1,7.1,2015,I1,16019070.04,0.7,29,Industrial
6023,5,2.0,1955,R1,20878349.58,2.5,1,Residential
4078,9,3.9,1953,I1,9270903.57,7.0,2,Industrial
3437,8,5.1,2000,C2,7445121.42,12.8,36,Commercial
880,7,9.1,2015,C2,1756640.08,6.6,49,Commercial
8073,9,8.2,1977,I2,37003592.01,1.7,39,Industrial
2482,5,8.6,1956,C2,4577920.13,1.8,9,Commercial
5586,4,4.3,1958,I2,16533456.21,14.5,28,Industrial
1873,1,5.8,1981,R1,6053490.16,16.0,42,Residential
2272,4,6.1,1964,R1,5496015.81,0.2,49,Residential
487,1,3.0,1979,R1,857056.53,13.9,11,Residential
8362,4,2.8,1983,C2,12331889.65,3.4,9,Commercial
1229,9,4.9,1977,I1,4727082.86,1.9,11,Industrial
9226,4,5.2,1968,C2,17780544.3,7.5,35,Commercial
5342,2,5.8,2011,I2,7407458.89,15.6,5,Industrial
3908,9,4.0,1953,C1,15970740.46,2.7,15,Commercial
7256,5,5.6,1956,R2,26257306.21,9.5,18,Residential
3442,5,2.4,1970,I1,14245241.14,15.3,21,Industrial
7668,1,9.3,1989,C2,21065216.4,1.3,17,Commercial
3452,2,4.8,2000,I1,16037154.93,0.0,26,Industrial
5972,3,6.8,2009,C2,22294099.99,5.4,23,Commercial
1303,5,2.4,1994,C1,4817209.56,4.8,41,Commercial
5376,1,7.7,1966,I1,11111629.01,4.7,8,Industrial
6458,8,1.3,2006,R1,19999900.84,1.2,11,Residential
9684,7,8.7,1992,I1,44862834.42,13.4,39,Industrial
6608,3,3.3,1990,C1,25090470.32,1.0,41,Commercial
1646,2,4.2,1988,C2,6476519.27,2.9,15,Commercial
3733,9,5.2,2022,I1,10328300.65,5.5,16,Industrial
6318,1,4.1,2000,I2,13627980.86,1.2,24,Industrial
1939,2,9.8,1954,C1,2761746.73,2.4,37,Commercial
6501,4,5.4,1992,R2,19509573.05,2.1,9,Residential
8595,5,9.7,1984,R2,14861395.23,4.0,7,Residential
667,4,2.8,1953,R2,1765524.7,0.7,33,Residential
8094,3,2.1,1950,R2,30552231.59,0.3,11,Residential
7180,2,6.8,1976,R1,11514352.02,7.0,8,Residential
5714,9,6.6,1962,C2,21664535.69,4.1,41,Commercial
1034,8,6.0,2022,C2,4801293.53,0.0,42,Commercial
2797,6,4.1,1995,I1,13277857.22,1.7,23,Industrial
3057,3,1.1,2017,C1,7137366.42,4.6,4,Commercial
7511,6,9.4,2010,C1,17088545.7,5.7,31,Commercial
7385,6,7.0,2018,C2,17786318.28,8.1,12,Commercial
4417,2,5.5,1959,R1,20176421.87,0.6,36,Residential
9913,3,9.6,1991,C2,30514579.77,4.1,3,Commercial
6420,1,2.7,1953,I1,13303237.78,1.2,14,Industrial
3981,3,9.8,1957,I2,9277275.27,6.3,16,Industrial
2721,2,4.6,1960,C1,9051057.2,7.4,1,Commercial
5265,5,3.9,1962,R2,14216158.26,3.9,12,Residential
398,3,8.1,2020,R1,1291234.8,8.8,41,Residential
1489,4,3.7,2005,C1,6810920.6,2.7,14,Commercial
7573,6,4.1,1995,C2,11179683.55,0.6,10,Commercial
815,6,8.7,2022,C2,2502117.64,3.5,48,Commercial
1852,1,9.3,2020,C1,3369429.97,1.9,9,Commercial
7018,6,9.8,2006,I1,10041369.82,4.8,31,Industrial
9692,2,1.2,2001,I1,22227081.09,18.1,34,Industrial
3930,1,6.5,1952,R1,12108484.57,2.6,9,Residential
8927,6,3.5,2003,R1,33929414.32,3.1,42,Residential
8605,3,4.4,1950,C1,20852860.56,1.1,44,Commercial
1301,9,5.1,1985,C1,1422209.91,15.0,27,Commercial
2785,7,3.1,1972,R2,3085560.91,18.2,42,Residential
9349,6,4.1,1991,R1,30123291.58,0.6,16,Residential
9199,2,2.7,1982,C1,42053515.26,2.7,8,Commercial
673,2,6.5,1977,R2,3260512.64,2.3,5,Residential
2607,5,7.1,1954,R2,6275733.35,5.4,13,Residential
6988,6,4.2,2000,C2,16679934.25,0.9,15,Commercial
9859,5,1.8,2021,C1,12125714.02,2.8,17,Commercial
8046,6,9.3,1980,I1,29533596.67,12.3,2,Industrial
7973,4,5.8,2011,R1,36267407.65,6.4,27,Residential
1760,9,8.5,2002,I2,4876810.0,9.4,24,Industrial
9903,4,3.7,1967,R2,30382266.8,2.1,26,Residential
5923,5,9.9,1969,I1,28701728.28,0.6,17,Industrial
2781,3,8.0,1983,C1,9894726.26,1.4,40,Commercial
5698,1,3.2,1955,R2,5825911.35,5.2,8,Residential
9272,9,1.4,1991,C1,24894026.01,5.6,41,Commercial
7160,2,9.9,1997,C2,21353459.19,11.1,15,Commercial
3459,9,4.3,2014,C2,8890272.7,10.4,31,Commercial
6843,8,7.6,2022,I2,21180041.91,3.3,4,Industrial
6347,8,2.7,1950,I1,16537154.67,2.8,7,Industrial
8585,8,5.1,1958,C1,40826351.45,2.3,26,Commercial
891,1,1.6,2018,C2,3265716.04,4.6,43,Commercial
9874,4,9.5,1978,R1,23615019.78,18.2,24,Residential
5555,3,8.9,2012,I1,9810434.34,7.8,32,Industrial
2008,6,9.2,2010,C2,4418391.14,5.9,31,Commercial
5651,7,4.8,1955,R2,20344671.03,4.0,34,Residential
6213,7,7.4,1986,R2,26627403.43,0.9,20,Residential
3412,6,6.3,1971,R1,11871723.68,3.2,25,Residential
3559,8,4.7,2013,I2,13187034.65,3.1,31,Industrial
8512,2,5.2,1981,R1,41108309.92,1.1,4,Residential
8796,2,2.4,2022,C1,30520981.22,1.8,8,Commercial
4103,7,5.7,1969,I1,9416846.39,1.8,39,Industrial
3202,5,3.4,1979,I2,4196839.64,6.6,33,Industrial
5047,5,1.4,1978,I1,15928508.16,3.1,19,Industrial
8516,8,9.7,2006,C1,8836393.34,17.6,49,Commercial
5830,5,10.0,2021,R1,23935260.64,0.2,47,Residential
2792,1,4.4,1989,C1,12313736.53,4.0,38,Commercial
3002,5,2.1,1968,C1,13870360.31,1.2,42,Commercial
9249,7,4.0,2018,I2,27177882.05,7.6,29,Industrial
7087,6,5.3,1951,I2,29935497.7,24.9,27,Industrial
3880,8,8.9,1995,C2,18984412.63,9.7,41,Commercial
3940,2,3.8,1965,C1,10666173.16,5.5,7,Commercial
7984,4,4.3,1996,C1,17405396.36,3.4,40,Commercial
1634,5,7.3,2022,C2,7101866.16,5.1,2,Commercial
8780,1,7.5,1994,R2,15835258.83,1.0,31,Residential
682,1,2.6,1959,I1,1712825.98,5.6,35,Industrial
8327,3,6.7,2001,R1,41343151.59,0.0,27,Residential
915,9,9.4,1971,I1,4571362.02,5.6,45,Industrial
1563,6,7.9,2015,I1,4261616.12,3.8,11,Industrial
2388,7,4.6,1975,R2,6174820.4,6.1,13,Residential
6242,7,6.2,1985,I2,9303100.87,3.5,6,Industrial
1808,6,7.4,1969,C2,4892384.96,1.8,39,Commercial
5373,7,9.4,2009,R2,16664881.75,4.1,40,Residential
6384,4,5.2,1991,C2,25209660.83,11.5,49,Commercial
4636,7,3.6,1960,I2,11899431.8,0.8,6,Industrial
7057,4,6.8,1963,I1,13742535.41,0.1,14,Industrial
950,1,2.7,1961,I2,3948584.6,4.8,12,Industrial
4964,2,7.2,1963,I2,15148799.06,6.4,10,Industrial
8417,2,7.3,2021,R1,41566973.44,3.6,21,Residential
4340,7,4.1,2020,I1,13590389.82,0.8,30,Industrial
3188,3,7.8,1953,R1,15338944.51,6.3,4,Residential
8687,7,1.0,2017,I2,33386429.17,11.4,39,Industrial
9986,7,4.7,2023,R2,42058936.8,2.4,39,Residential
2040,7,1.0,1989,C1,7100820.14,3.6,43,Commercial
7617,1,2.7,2001,R1,30541488.3,5.1,31,Residential
2419,3,4.8,2001,R1,6905175.12,3.1,13,Residential
8434,6,7.5,2008,C1,10527533.59,16.1,43,Commercial
7685,4,5.9,1996,C2,26255105.84,0.1,41,Commercial
9773,5,9.1,1966,C2,19084796.52,2.6,21,Commercial
8132,9,7.7,1950,I1,34462015.47,1.8,11,Industrial
7032,1,9.6,1978,C1,14633763.86,0.9,6,Commercial
1496,1,4.2,1982,C1,4800404.49,1.5,26,Commercial
1921,2,5.5,1988,R1,4011422.79,5.9,20,Residential
5866,5,3.2,1957,R2,27938236.1,0.0,27,Residential
7538,7,6.7,1985,R1,22714212.39,7.2,37,Residential
3292,6,5.5,1956,I1,12213211.65,2.7,16,Industrial
5203,1,9.6,1981,R1,13874649.47,1.4,48,Residential
1627,3,8.4,2003,I2,6531126.99,0.0,44,Industrial
970,2,4.9,1999,C1,3848759.3,5.2,9,Commercial
917,5,9.8,1992,I2,925983.64,6.1,3,Industrial
1629,3,5.4,2007,I1,4410567.53,0.3,24,Industrial
2874,2,5.3,1972,R2,12793658.11,0.1,29,Residential
6038,7,9.8,1959,C1,15140533.9,5.4,27,Commercial
5701,4,9.6,1995,R1,20866808.48,12.4,13,Residential
482,5,7.6,2010,R1,583009.26,4.7,41,Residential
8139,5,3.9,2017,R2,31031646.04,1.0,46,Residential
2249,9,2.0,1960,C1,6400193.23,4.1,28,Commercial
1379,1,5.4,1984,I1,1710549.98,4.6,27,Industrial
1029,4,6.0,1982,R2,4410151.6,6.6,21,Residential
1436,1,8.5,2011,C1,6983829.08,1.6,37,Commercial
4527,8,5.6,1990,C2,18658834.82,25.6,15,Commercial
6809,9,6.8,1984,C2,12748499.77,0.9,43,Commercial
9057,3,2.1,1976,C1,40146391.16,0.5,27,Commercial
1364,4,5.9,2016,C2,2795265.23,8.7,29,Commercial
4494,2,4.3,1969,R2,20364865.82,0.7,9,Residential
5002,4,4.1,1959,I2,18531862.17,4.0,20,Industrial
5180,4,3.6,2019,I1,23671112.97,9.9,12,Industrial
9757,4,2.8,1966,C2,45717450.66,4.9,41,Commercial
6184,8,8.2,1959,C1,15718050.25,1.8,36,Commercial
9873,9,5.5,1959,I1,28052673.69,0.4,31,Industrial
1835,4,5.1,1981,R2,1904969.59,1.1,3,Residential
2812,3,4.9,1974,R1,8715684.39,0.0,19,Residential
5339,8,3.0,1962,I2,24525133.41,1.0,1,Industrial
2742,3,6.6,1975,R1,8703163.17,8.4,40,Residential
9614,4,4.5,1964,I2,39205878.16,15.9,2,Industrial
648,1,2.2,1994,R1,1027525.34,2.5,43,Residential
3179,2,5.6,1982,C2,7149930.98,0.4,34,Commercial
8505,5,8.7,2002,R1,36637941.86,0.4,7,Residential
391,6,3.9,1970,R1,1030635.54,4.8,23,Residential
9225,8,1.4,2020,I1,19726640.66,10.0,31,Industrial
4840,9,3.3,1953,C1,11503701.2,2.3,2,Commercial
1972,3,9.2,2008,I1,5995404.85,5.6,43,Industrial
3561,5,7.0,2000,R2,4837607.38,3.7,6,Residential
1599,2,3.4,2006,I2,7373935.97,6.5,41,Industrial
989,3,5.2,1962,R2,4368056.44,11.7,38,Residential
6009,8,4.8,1958,R1,16709723.86,4.9,44,Residential
1772,5,3.3,2015,C2,3181740.27,3.1,37,Commercial
940,6,9.1,1991,R2,2965082.48,6.1,43,Residential
8366,2,2.8,1993,C2,15229969.89,3.5,17,Commercial
8593,9,5.6,2010,R1,28837269.5,6.9,21,Residential
7174,5,1.7,1990,I1,7407398.65,1.3,46,Industrial
7971,6,6.6,2005,R2,11285667.49,0.6,34,Residential
2062,7,9.4,2003,I1,2246965.37,14.4,16,Industrial
1054,2,9.5,1954,C2,3921596.3,4.4,38,Commercial
9685,1,4.9,1971,I2,37171348.73,21.6,18,Industrial
1319,5,7.1,1982,C1,5209998.74,5.0,8,Commercial
2441,7,1.1,2013,R1,10273311.27,1.2,37,Residential
2889,1,3.3,2018,I2,4781105.32,2.1,27,Industrial
5748,2,1.1,2012,I1,18084803.07,6.1,47,Industrial
9044,4,9.4,1988,I1,18358413.35,1.2,37,Industrial
1551,3,7.3,2019,I1,2425084.88,13.6,22,Industrial
3292,4,2.7,1989,C1,7352015.49,4.8,47,Commercial
9095,5,6.9,1966,C1,30130970.41,0.3,22,Commercial
1360,1,4.9,2003,I2,5050188.24,1.6,46,Industrial
6021,4,6.7,1971,I2,9426156.18,1.5,22,Industrial
5864,8,1.6,2018,C1,10139200.12,6.1,21,Commercial
7956,3,9.8,1969,C1,12396706.46,5.0,7,Commercial
2748,6,2.9,2008,I1,6875852.92,0.8,9,Industrial
2540,1,1.7,2022,I2,4827636.59,6.6,1,Industrial
6647,7,4.8,1963,R1,19552622.22,1.1,5,Residential
7785,7,9.1,1969,R1,13500303.89,5.8,13,Residential
8935,8,4.3,1953,R2,26373812.21,3.5,24,Residential
7160,4,4.1,1996,R1,34241320.83,9.3,39,Residential
7436,5,1.9,1991,R1,13850849.86,7.5,2,Residential
9896,2,2.8,2012,I1,27576884.15,0.3,7,Industrial
9423,2,2.0,2002,C2,37126656.54,1.6,20,Commercial
3134,6,9.1,1959,R1,5461685.64,2.1,32,Residential
8442,8,1.6,2010,C1,21495829.43,3.5,42,Commercial
955,7,7.5,1988,C2,3752422.9,9.3,23,Commercial
4096,3,9.4,1964,C1,6666258.25,7.4,22,Commercial
8355,7,4.2,1987,C1,27227414.13,5.6,30,Commercial
4755,2,5.7,1990,I1,18044453.01,4.6,28,Industrial
4032,2,8.4,1998,R1,13920060.33,0.9,12,Residential
7244,5,4.1,1979,R1,17284831.16,6.4,31,Residential
8596,4,3.2,2013,C1,32365255.48,7.9,16,Commercial
440,8,7.0,2008,C1,1989903.8,0.3,22,Commercial
3836,2,4.3,1967,I1,13743890.57,1.4,9,Industrial
7896,9,7.6,1952,R2,25335685.1,5.2,4,Residential
5384,5,4.0,2018,C2,19979109.48,1.0,30,Commercial
6748,5,8.9,1950,R1,8915878.78,15.2,42,Residential
2616,5,3.0,2011,R1,5997437.64,4.3,3,Residential
4038,5,4.4,1961,C2,12430038.6,28.0,43,Commercial
1879,4,2.4,1956,I1,5552575.59,4.0,14,Industrial
9373,9,5.0,1989,C2,10707036.34,1.3,29,Commercial
6705,3,8.9,1977,C2,16204437.5,10.8,43,Commercial
5468,3,8.7,1979,C1,11089784.82,7.0,30,Commercial
4820,4,5.4,1953,R1,21315337.6,17.8,34,Residential
7985,1,4.6,1984,C1,17508388.2,4.4,30,Commercial
7161,5,4.1,2023,I1,32356122.92,1.1,14,Industrial
4428,2,4.5,1999,C2,17076346.75,1.5,32,Commercial
5390,7,4.1,1980,R2,7257183.47,4.8,39,Residential
8844,8,1.7,1957,C2,34381809.21,4.5,48,Commercial
7258,7,3.6,2001,R2,33842072.16,2.0,9,Residential
9585,1,2.0,1991,I2,16992948.95,3.7,3,Industrial
6636,2,4.2,2009,R1,24217111.35,0.7,23,Residential
7860,8,7.9,1967,C1,26744648.67,9.0,41,Commercial
6327,8,7.4,2001,I1,27264757.63,0.6,30,Industrial
2626,9,2.4,1982,C1,10184166.9,12.8,13,Commercial
5466,8,4.1,1957,R1,21401343.63,11.4,43,Residential
6223,5,6.4,2001,I2,19597468.66,3.7,36,Industrial
1109,5,3.3,2004,R1,3571213.75,3.2,14,Residential
9372,6,2.0,1957,C1,29678788.87,6.1,22,Commercial
4154,3,1.6,2010,R2,13588879.95,0.1,23,Residential
7828,8,1.9,1997,I1,25659488.2,1.5,5,Industrial
3054,3,3.7,1991,R2,6505394.65,4.7,1,Residential
3874,4,1.2,1973,R2,16832714.97,1.0,15,Residential
639,5,7.5,1992,R2,2034350.65,1.8,10,Residential
9673,4,2.6,2011,I1,11619326.13,3.1,13,Industrial
2010,2,5.5,1993,C2,6360863.74,5.0,24,Commercial
7636,3,9.3,1978,I1,33516633.98,4.5,39,Industrial
707,5,3.4,1972,C1,1147355.09,6.4,18,Commercial
6341,1,4.8,2009,R2,11352576.03,9.2,47,Residential
3259,4,3.3,1980,R1,14279553.28,0.7,6,Residential
9385,3,3.8,1993,C2,29652379.17,6.3,30,Commercial
9345,8,7.1,1999,C2,29296889.25,3.4,21,Commercial
3349,9,1.3,2007,R1,5650551.35,0.6,34,Residential
7809,4,3.4,1966,I1,30406237.33,15.1,48,Industrial
5553,6,9.7,1979,C1,10836226.74,1.5,18,Commercial
1453,7,3.6,2008,R2,7087775.07,6.1,1,Residential
7082,8,6.2,1969,R1,25734953.17,2.3,40,Residential
9913,8,9.0,1966,R1,26309438.79,3.2,30,Residential
2716,6,6.2,2014,R1,5145015.28,4.8,30,Residential
2219,7,4.7,1991,R1,3418920.2,3.3,34,Residential
1627,4,3.6,1987,R2,4518231.64,0.2,42,Residential
3523,6,9.4,1951,C1,9399066.44,3.0,32,Commercial
3548,1,5.4,1974,I2,9138775.12,1.1,33,Industrial
3795,9,7.9,1977,I2,8767022.69,2.0,38,Industrial
6858,4,6.1,1993,C1,8919517.73,2.0,4,Commercial
6110,8,5.7,2000,R2,25130945.02,2.9,11,Residential
7104,2,5.6,1963,I2,11546521.32,0.6,24,Industrial
2935,8,5.9,2016,R2,6152651.19,10.1,19,Residential
436,2,4.2,1997,I2,481528.09,4.3,9,Industrial
1388,4,9.3,1977,I2,5225211.75,7.4,25,Industrial
3721,9,8.6,2019,R2,9963227.87,4.0,18,Residential
4191,1,5.8,2016,C2,12229860.52,0.7,23,Commercial
5182,6,4.6,1991,R1,21844550.86,0.1,4,Residential
7189,4,7.3,1961,C2,25664405.36,2.2,16,Commercial
2856,3,8.3,2007,I1,2927925.81,0.1,13,Industrial
545,6,9.1,1963,I2,1343284.78,0.2,5,Industrial
5038,1,5.3,2010,C2,8208845.02,0.4,10,Commercial
6457,7,5.9,1963,C1,14995993.07,0.2,47,Commercial
745,1,1.0,2010,C1,3631987.54,14.8,41,Commercial
6261,8,6.3,1995,C2,30139783.27,12.5,40,Commercial
4902,9,5.8,1987,C1,20397124.38,6.0,9,Commercial
2358,2,6.9,1989,C2,11326827.42,8.9,34,Commercial
9050,7,5.6,1970,R1,13153924.68,1.5,21,Residential
5177,3,5.3,1951,I2,23740812.84,2.4,11,Industrial
2523,8,4.0,1970,I1,2540782.86,9.8,6,Industrial
6451,4,3.6,1959,I2,16171868.28,0.6,29,Industrial
6844,8,1.0,2000,I1,31328359.21,2.1,33,Industrial
1809,1,2.5,1967,C2,3024649.4,13.3,48,Commercial
9651,3,7.1,1986,R2,33564887.5,11.4,37,Residential
9163,2,2.2,1953,C1,39527037.01,1.8,3,Commercial
999,3,9.3,1977,I1,3005107.57,2.5,38,Industrial
1369,2,4.1,2015,I2,3051814.59,3.5,9,Industrial
506,4,2.6,1985,R2,1185471.69,12.0,20,Residential
1267,4,3.6,1997,C1,5210831.89,15.7,22,Commercial
671,8,3.7,2017,R2,1361829.06,2.7,6,Residential
4402,8,9.2,1953,R2,13958919.35,1.4,4,Residential
3057,8,6.6,2008,R2,12703707.35,1.0,34,Residential
8354,2,6.9,1950,I1,34000782.32,7.3,13,Industrial
3582,3,9.4,1976,R2,5867074.28,3.0,31,Residential
7721,3,4.1,2013,I2,15422997.2,6.9,24,Industrial
3135,6,6.9,1952,I2,7137695.13,0.1,15,Industrial
