car_make,car_model,year_of_manufacture,kms_driven,fuel_type,transmission,owner_type,engine_cc,mileage_kmpl,car_condition_score,estimated_price_in_inr
Mahindra,Tiago,2017,25681.0,Diesel,Manual,First,927.0,15.2,5.38,418962.0
Honda,i20,2016,66679.0,Diesel,Manual,First,1731.0,11.15,7.07,384689.0
Ford,Nexon,2016,64789.0,Diesel,Automatic,First,1283.0,17.98,5.67,455445.0
Toyota,Tiago,2018,51872.0,Petrol,Manual,First,800.0,20.69,6.66,468665.0
Hyundai,City,2019,82905.0,Petrol,Manual,First,1673.0,25.5,6.12,443983.0
Mahindra,Alto,2021,121043.0,Petrol,Manual,First,1252.0,14.4,4.06,454785.0
Mahindra,Nexon,2020,65221.0,CNG,Automatic,First,800.0,15.96,4.09,480295.0
Ford,Innova,2018,91113.0,Diesel,Manual,First,1367.0,18.33,6.3,433455.0
Mahindra,Swift,2018,56248.0,Petrol,Manual,First,1542.0,21.61,7.41,428324.0
Maruti,Innova,2017,79546.0,Petrol,Automatic,Second,1040.0,19.49,4.47,425353.0
Maruti,Tiago,2018,24588.0,Petrol,Manual,Second,1747.0,12.21,6.07,423960.0
Hyundai,City,2019,34310.0,Petrol,Manual,Third+,1616.0,13.85,9.42,498343.0
Hyundai,Alto,2021,58193.0,Petrol,Manual,First,800.0,11.97,4.49,473178.0
Hyundai,Innova,2021,79428.0,Petrol,Manual,First,1035.0,24.04,4.81,424271.0
Toyota,EcoSport,2017,105428.0,Petrol,Manual,First,1510.0,9.1,4.19,359224.0
Mahindra,Scorpio,2020,19916.0,Electric,Automatic,First,1215.0,20.55,7.88,600450.0
Maruti,EcoSport,2021,24168.0,Petrol,Manual,Third+,800.0,16.95,6.13,516377.0
Ford,City,2017,46086.0,Electric,Automatic,First,1175.0,10.87,5.58,516921.0
Mahindra,Swift,2017,88403.0,CNG,Manual,First,800.0,23.54,8.26,427822.0
Maruti,City,2015,91498.0,Petrol,Automatic,First,1240.0,24.28,1.59,367325.0
Mahindra,Tiago,2021,47556.0,Diesel,Manual,First,1369.0,17.52,8.0,530101.0
Tata,i20,2018,75195.0,Petrol,Manual,First,800.0,24.88,7.57,423419.0
Tata,Innova,2020,71688.0,Diesel,Manual,Second,1401.0,21.1,9.69,488123.0
Ford,i20,2016,35759.0,Diesel,Manual,First,1571.0,26.89,6.56,471489.0
Honda,Scorpio,2016,121172.0,Diesel,Automatic,First,1882.0,19.84,3.53,377260.0
Ford,City,2015,64012.0,Diesel,Manual,Second,870.0,22.93,4.33,353758.0
Maruti,EcoSport,2015,43577.0,Diesel,Manual,First,1352.0,16.33,3.43,365619.0
Toyota,Alto,2020,72709.0,Diesel,Automatic,First,1449.0,23.66,9.59,556323.0
Mahindra,Nexon,2019,60280.0,Petrol,Automatic,Third+,1431.0,23.85,2.17,465199.0
Toyota,Swift,2016,32414.0,Petrol,Manual,First,1424.0,15.31,5.02,393265.0
Toyota,Innova,2017,81353.0,Electric,Manual,First,800.0,21.85,1.65,421503.0
Maruti,City,2015,47851.0,Petrol,Manual,First,1634.0,22.67,5.64,421217.0
Tata,City,2019,61192.0,Petrol,Manual,Second,972.0,14.76,2.57,434330.0
Tata,Nexon,2021,70187.0,Diesel,Manual,Third+,1344.0,18.78,1.67,455839.0
Toyota,i20,2016,43180.0,Electric,Manual,Second,1152.0,16.86,3.44,395592.0
Tata,Innova,2018,64031.0,CNG,Automatic,First,800.0,13.88,3.82,458319.0
Ford,Scorpio,2018,52423.0,Diesel,Manual,First,1357.0,26.31,9.13,479861.0
Honda,Alto,2020,33678.0,Petrol,Manual,Third+,1337.0,14.34,6.34,448365.0
Tata,i20,2021,81595.0,Petrol,Manual,Third+,1122.0,26.68,6.01,500386.0
Maruti,i20,2020,83622.0,Electric,Manual,First,1493.0,18.01,7.44,513890.0
Maruti,Alto,2019,57984.0,Electric,Manual,Third+,800.0,12.01,9.49,521863.0
Honda,Alto,2021,65473.0,Diesel,Manual,First,2010.0,14.08,2.57,465053.0
Ford,Swift,2015,52691.0,Petrol,Automatic,First,800.0,13.96,9.07,500024.0
Mahindra,Tiago,2020,51093.0,Petrol,Manual,Second,1434.0,24.37,4.99,419809.0
Honda,Innova,2019,92247.0,Petrol,Manual,Third+,1271.0,20.11,6.26,483212.0
Ford,EcoSport,2018,5000.0,CNG,Automatic,First,1848.0,25.69,3.77,440541.0
Tata,City,2021,77443.0,Petrol,Manual,Second,1391.0,17.49,2.2,487814.0
Toyota,Alto,2019,60058.0,CNG,Automatic,Third+,1421.0,10.83,8.94,524405.0
Tata,Scorpio,2021,88062.0,Petrol,Manual,First,1094.0,14.95,6.58,441634.0
Tata,Scorpio,2016,40676.0,Diesel,Automatic,First,1441.0,14.53,8.61,467524.0
Toyota,Alto,2021,57757.0,Diesel,Manual,Second,1139.0,19.07,4.63,433780.0
Maruti,Scorpio,2016,59025.0,CNG,Manual,Second,800.0,15.61,7.78,441418.0
Mahindra,Alto,2021,74948.0,Diesel,Manual,Second,800.0,13.32,6.2,455417.0
Honda,Alto,2016,51837.0,Diesel,Manual,First,800.0,19.37,3.92,413887.0
Mahindra,Swift,2019,44406.0,Petrol,Automatic,Third+,1314.0,19.84,6.14,522805.0
Ford,Alto,2020,75422.0,Diesel,Manual,First,1350.0,24.04,1.84,381309.0
Ford,City,2018,59697.0,Diesel,Automatic,First,1157.0,14.26,9.5,450592.0
Tata,Nexon,2017,47624.0,Diesel,Manual,Second,1261.0,18.29,9.56,445732.0
Hyundai,Alto,2017,69895.0,Petrol,Manual,First,800.0,22.89,3.85,405648.0
Hyundai,Scorpio,2015,66122.0,Diesel,Manual,First,1172.0,17.62,4.94,424774.0
Hyundai,City,2015,24640.0,Petrol,Manual,First,2074.0,13.73,8.72,463236.0
Toyota,Innova,2016,90752.0,Petrol,Manual,First,1574.0,21.89,8.25,447495.0
Honda,City,2019,49753.0,Electric,Manual,First,924.0,18.54,9.71,553606.0
Mahindra,City,2018,32826.0,CNG,Manual,First,800.0,21.93,7.24,495944.0
Maruti,City,2021,61692.0,Petrol,Manual,Second,1087.0,18.3,1.8,422630.0
Hyundai,Nexon,2015,72983.0,Petrol,Manual,First,1654.0,16.5,8.45,441073.0
Toyota,Tiago,2017,42583.0,Diesel,Automatic,First,998.0,15.53,3.98,431864.0
Maruti,Innova,2019,11667.0,Petrol,Automatic,First,1738.0,27.28,6.53,527555.0
Hyundai,i20,2019,33652.0,Electric,Manual,First,1202.0,17.6,1.94,449863.0
Toyota,Scorpio,2017,59557.0,Diesel,Manual,Second,800.0,20.67,4.09,371913.0
Toyota,Tiago,2019,25772.0,CNG,Manual,Second,1181.0,20.12,2.58,477973.0
Ford,Scorpio,2021,65198.0,CNG,Automatic,First,990.0,21.63,4.43,479423.0
Toyota,Innova,2016,65886.0,Diesel,Manual,First,1541.0,20.19,2.56,359909.0
Maruti,City,2020,64007.0,CNG,Manual,First,1388.0,24.38,6.72,462022.0
Toyota,i20,2016,41270.0,Petrol,Manual,Second,1343.0,19.7,7.25,467563.0
Tata,Alto,2021,11855.0,Diesel,Manual,Second,1263.0,14.55,5.09,495117.0
Maruti,Scorpio,2017,45589.0,Electric,Manual,First,923.0,17.25,4.84,500605.0
Maruti,Nexon,2017,52021.0,Petrol,Manual,Second,1489.0,22.18,5.69,448626.0
Honda,City,2019,86697.0,Petrol,Automatic,First,1004.0,22.26,9.91,559088.0
Ford,EcoSport,2021,50397.0,Petrol,Manual,First,1503.0,20.49,2.34,485359.0
Honda,Alto,2021,115342.0,Petrol,Manual,First,800.0,11.71,5.77,421104.0
Tata,Tiago,2018,83462.0,Petrol,Manual,First,1318.0,10.27,7.42,443851.0
Maruti,Tiago,2015,5000.0,Diesel,Manual,Second,800.0,18.76,4.57,408735.0
Hyundai,Tiago,2020,29876.0,CNG,Manual,Third+,1687.0,22.5,5.29,471762.0
Toyota,Alto,2021,52700.0,Petrol,Manual,First,862.0,18.7,5.43,492773.0
Maruti,i20,2018,74186.0,Petrol,Automatic,First,985.0,15.53,6.6,434441.0
Hyundai,Innova,2016,94327.0,Petrol,Manual,First,1055.0,23.57,4.6,390613.0
Toyota,Scorpio,2019,59815.0,Electric,Manual,Third+,1164.0,20.27,9.99,563441.0
Honda,Swift,2019,49545.0,CNG,Manual,Third+,999.0,24.02,5.84,458905.0
Hyundai,EcoSport,2017,88100.0,Diesel,Manual,First,1665.0,24.75,8.61,432023.0
Maruti,EcoSport,2021,47282.0,Petrol,Automatic,First,1633.0,14.66,2.78,465712.0
Maruti,i20,2015,60257.0,Electric,Automatic,First,1941.0,17.29,5.62,463181.0
Toyota,City,2016,50824.0,Petrol,Manual,Second,800.0,13.4,9.68,433212.0
Tata,City,2016,16173.0,Diesel,Manual,First,1581.0,19.17,9.7,494230.0
Ford,Scorpio,2016,75316.0,Diesel,Manual,First,1470.0,13.24,3.07,406267.0
Hyundai,Alto,2021,87902.0,Electric,Manual,Third+,800.0,18.52,2.06,476284.0
Maruti,Nexon,2021,20610.0,CNG,Automatic,Second,1599.0,17.75,1.72,521504.0
Honda,i20,2016,39336.0,Diesel,Manual,Second,1822.0,19.23,5.24,434421.0
Mahindra,Scorpio,2020,35689.0,Petrol,Manual,First,842.0,17.63,8.28,539523.0
Hyundai,Scorpio,2021,68399.0,Diesel,Automatic,First,931.0,12.16,9.18,533212.0
Honda,Alto,2015,62332.0,Petrol,Manual,First,1644.0,23.61,3.05,377841.0
Mahindra,Nexon,2017,55271.0,Electric,Manual,Second,1929.0,15.18,8.33,513278.0
Mahindra,EcoSport,2020,74546.0,Electric,Manual,Second,1345.0,16.23,2.07,489292.0
Maruti,i20,2015,74191.0,Petrol,Manual,Second,1420.0,20.05,9.95,429026.0
Ford,Alto,2021,52978.0,CNG,Manual,Second,1001.0,12.13,2.25,454311.0
Honda,Innova,2018,52100.0,Diesel,Manual,First,1481.0,14.21,7.42,470670.0
Tata,Innova,2020,79021.0,Petrol,Manual,First,1018.0,17.94,5.48,438742.0
Tata,Alto,2019,71037.0,Electric,Automatic,First,1032.0,11.57,4.6,546738.0
Hyundai,Alto,2015,42747.0,CNG,Manual,First,1572.0,15.99,8.9,456056.0
Ford,Scorpio,2020,95579.0,Electric,Manual,Third+,1554.0,17.08,3.66,482625.0
Mahindra,City,2017,47323.0,Petrol,Manual,Second,2043.0,13.75,2.16,374440.0
Hyundai,Tiago,2018,65407.0,Electric,Manual,Second,1143.0,18.48,1.26,489808.0
Hyundai,Scorpio,2019,10584.0,Petrol,Manual,First,1369.0,14.89,5.3,458733.0
Tata,Swift,2018,69847.0,Petrol,Automatic,First,1134.0,17.35,6.17,483226.0
Toyota,Scorpio,2019,115409.0,CNG,Manual,First,1223.0,13.95,5.82,415643.0
Tata,Scorpio,2018,41424.0,CNG,Manual,First,1865.0,20.07,1.51,463495.0
Hyundai,Nexon,2017,48210.0,Petrol,Automatic,First,917.0,23.27,6.96,460762.0
Honda,City,2020,84084.0,Petrol,Manual,First,862.0,18.98,5.84,463468.0
Ford,Innova,2021,91896.0,Petrol,Manual,First,1286.0,17.25,1.37,405135.0
Ford,Alto,2015,81117.0,Electric,Manual,Second,1803.0,21.73,7.61,442821.0
Toyota,Tiago,2021,26520.0,Diesel,Manual,First,1475.0,16.09,3.85,496382.0
Honda,Alto,2019,94205.0,Electric,Manual,Third+,1433.0,13.89,2.29,431596.0
Honda,i20,2015,53242.0,CNG,Automatic,First,800.0,16.67,7.27,439369.0
Hyundai,Scorpio,2021,50184.0,Electric,Automatic,First,800.0,21.31,9.27,667199.0
Honda,Innova,2019,55288.0,Petrol,Automatic,First,1349.0,16.48,1.8,426221.0
Ford,Tiago,2016,68204.0,Diesel,Manual,Second,1477.0,24.47,7.44,376061.0
Honda,City,2015,65155.0,Diesel,Automatic,Third+,1401.0,11.84,5.31,405413.0
Hyundai,Innova,2021,61314.0,Electric,Automatic,Second,1161.0,21.02,8.88,593144.0
Maruti,i20,2015,13196.0,Petrol,Manual,Second,1211.0,16.17,7.03,423150.0
Maruti,Swift,2021,22509.0,Diesel,Manual,First,1285.0,16.23,1.07,437249.0
Tata,Scorpio,2016,85761.0,CNG,Automatic,Second,800.0,16.86,9.01,444402.0
Toyota,Scorpio,2021,54436.0,CNG,Manual,First,800.0,17.48,9.96,513820.0
Tata,Innova,2017,55009.0,Petrol,Manual,Second,837.0,11.42,1.23,373442.0
Toyota,Nexon,2017,68333.0,Petrol,Automatic,First,1544.0,17.51,2.78,388273.0
Honda,City,2015,76389.0,Petrol,Automatic,Second,1423.0,14.16,2.98,360238.0
Mahindra,i20,2020,72140.0,Electric,Manual,First,1451.0,21.72,7.14,540821.0
Honda,Tiago,2018,35071.0,Diesel,Manual,Second,1968.0,19.81,8.86,477360.0
Hyundai,Alto,2015,91785.0,Petrol,Manual,First,1450.0,14.77,3.29,340535.0
Hyundai,Nexon,2018,52089.0,Diesel,Manual,First,1162.0,13.09,2.25,400835.0
Tata,i20,2018,27218.0,Electric,Manual,First,1314.0,20.28,7.89,517272.0
Ford,EcoSport,2020,42679.0,Diesel,Automatic,Second,1221.0,18.28,7.97,586117.0
Ford,EcoSport,2017,45922.0,Diesel,Manual,First,1468.0,8.0,5.6,396807.0
Mahindra,Alto,2018,67300.0,Petrol,Manual,First,800.0,20.72,9.04,464468.0
Mahindra,Alto,2018,65429.0,Diesel,Automatic,Second,800.0,22.41,2.97,483221.0
Mahindra,Innova,2015,81824.0,Electric,Manual,Second,1174.0,17.8,9.62,462708.0
Toyota,Tiago,2017,97896.0,CNG,Automatic,First,1840.0,19.61,4.47,428814.0
Toyota,EcoSport,2021,58190.0,Electric,Manual,First,800.0,14.58,9.1,542676.0
Honda,Nexon,2015,77177.0,Diesel,Automatic,Second,1499.0,13.78,2.73,395078.0
Honda,Swift,2016,45623.0,Electric,Automatic,Second,800.0,17.34,4.22,520129.0
Tata,Tiago,2016,41556.0,Electric,Automatic,First,1619.0,19.04,7.06,525004.0
Tata,Scorpio,2016,49869.0,Petrol,Manual,First,975.0,15.51,1.38,375070.0
Mahindra,i20,2021,72862.0,Diesel,Automatic,Second,1230.0,17.39,9.1,553607.0
Tata,Innova,2016,79906.0,Petrol,Manual,First,1391.0,11.05,7.14,361295.0
Hyundai,Nexon,2020,59620.0,Diesel,Manual,Third+,1216.0,16.83,7.18,497401.0
Toyota,Alto,2017,63708.0,Petrol,Manual,First,1583.0,11.77,9.12,428481.0
Tata,i20,2015,57824.0,Electric,Manual,First,1372.0,20.12,6.23,435030.0
Maruti,EcoSport,2017,33644.0,Diesel,Automatic,First,1476.0,17.83,1.24,444971.0
Maruti,Scorpio,2020,5000.0,Diesel,Manual,First,1191.0,16.7,7.04,495735.0
Honda,Nexon,2018,64799.0,Diesel,Manual,First,1233.0,15.41,3.44,366007.0
Hyundai,City,2018,41192.0,CNG,Manual,Second,868.0,23.66,4.29,480371.0
Tata,Tiago,2016,75144.0,Diesel,Automatic,First,1796.0,16.31,3.57,423599.0
Tata,Alto,2017,57927.0,Petrol,Manual,Second,800.0,19.38,3.06,460951.0
Hyundai,Scorpio,2021,79360.0,Diesel,Manual,First,1500.0,20.74,4.07,461870.0
Ford,Innova,2018,97594.0,Petrol,Manual,First,1350.0,13.87,7.42,385100.0
Maruti,Swift,2017,26836.0,Petrol,Automatic,First,1269.0,11.35,8.7,477988.0
Mahindra,i20,2015,71918.0,Electric,Automatic,Second,1348.0,19.97,2.01,413970.0
Mahindra,Scorpio,2017,85302.0,CNG,Manual,Second,1356.0,22.23,1.97,355112.0
Ford,Swift,2017,58004.0,Petrol,Manual,First,1321.0,20.12,7.16,468027.0
Tata,City,2019,82295.0,Diesel,Automatic,First,1189.0,20.58,5.37,456497.0
Mahindra,Nexon,2021,33876.0,Electric,Manual,Second,1296.0,13.72,2.76,539147.0
Honda,Tiago,2021,55520.0,Diesel,Manual,Third+,1598.0,16.8,7.0,480024.0
Toyota,Innova,2018,95934.0,Petrol,Manual,Second,914.0,18.77,7.19,417015.0
Tata,Swift,2019,102978.0,Diesel,Automatic,First,859.0,16.59,1.42,434615.0
Mahindra,Swift,2020,64767.0,CNG,Manual,First,1778.0,16.46,4.39,418587.0
Hyundai,Swift,2015,59443.0,Petrol,Manual,First,1082.0,24.93,2.89,413165.0
Tata,Innova,2015,66531.0,CNG,Automatic,Second,1504.0,14.1,1.46,391792.0
Hyundai,i20,2021,78752.0,Petrol,Automatic,First,987.0,21.08,2.98,492957.0
Toyota,Innova,2017,83544.0,Diesel,Automatic,Third+,1090.0,22.06,9.54,453056.0
Toyota,Tiago,2020,98231.0,Diesel,Manual,First,800.0,18.07,1.93,430098.0
Tata,Alto,2018,61545.0,Diesel,Automatic,First,800.0,21.14,3.18,428664.0
Mahindra,Alto,2017,57685.0,Diesel,Manual,Second,1870.0,20.84,3.48,418136.0
Honda,Nexon,2017,96055.0,Petrol,Automatic,First,1297.0,20.08,7.43,491989.0
Maruti,Tiago,2021,65519.0,Electric,Manual,First,1082.0,14.32,1.96,480412.0
Tata,Innova,2015,96479.0,Electric,Automatic,Second,1950.0,13.13,1.72,422152.0
Tata,Swift,2021,26136.0,Electric,Automatic,Second,1696.0,15.72,6.66,635558.0
Ford,Swift,2018,66063.0,Diesel,Manual,First,1045.0,16.91,2.7,468115.0
Tata,Innova,2016,55969.0,CNG,Manual,First,951.0,13.69,3.15,415625.0
Mahindra,Nexon,2018,38565.0,CNG,Manual,First,875.0,22.62,2.61,398587.0
Maruti,City,2021,75530.0,Diesel,Manual,First,1193.0,11.9,2.16,455318.0
Maruti,Tiago,2017,42159.0,Petrol,Automatic,First,1080.0,21.54,1.7,443879.0
Ford,i20,2019,66020.0,Diesel,Manual,Second,1576.0,14.77,3.25,404708.0
Maruti,Nexon,2019,58986.0,Electric,Automatic,Third+,1312.0,15.31,9.06,583418.0
Toyota,Scorpio,2019,78152.0,Petrol,Manual,First,800.0,16.35,6.43,406699.0
Tata,City,2021,85827.0,Electric,Manual,First,2101.0,16.49,5.03,533393.0
Mahindra,Scorpio,2016,85156.0,Diesel,Automatic,First,1742.0,19.1,4.97,452150.0
Tata,Tiago,2018,61227.0,Petrol,Manual,Second,1182.0,13.72,7.68,447124.0
Hyundai,EcoSport,2020,42384.0,Petrol,Manual,Second,1558.0,17.18,6.23,489802.0
Maruti,Innova,2016,27937.0,Petrol,Manual,First,1402.0,17.18,2.33,402829.0
Tata,Alto,2015,28776.0,CNG,Manual,Second,800.0,17.91,9.57,452604.0
Ford,Alto,2016,57008.0,Petrol,Manual,First,1411.0,18.37,2.1,398768.0
Honda,Innova,2021,24738.0,Electric,Automatic,Second,1299.0,27.36,5.17,600022.0
Hyundai,Nexon,2020,52151.0,Diesel,Automatic,Third+,1213.0,11.68,3.88,504664.0
Honda,Nexon,2018,97484.0,Diesel,Manual,Second,800.0,19.35,7.34,448181.0
Hyundai,Scorpio,2015,62503.0,Petrol,Manual,First,800.0,25.86,2.53,326347.0
Toyota,Tiago,2015,60640.0,CNG,Manual,Second,1502.0,20.3,4.97,388366.0
Maruti,Swift,2017,56097.0,Diesel,Manual,First,1145.0,15.03,1.39,328450.0
Honda,Alto,2019,73549.0,Diesel,Manual,Second,800.0,16.34,2.62,399875.0
Maruti,i20,2017,67696.0,Electric,Manual,First,1480.0,15.29,2.75,412906.0
Mahindra,Innova,2015,49397.0,Petrol,Manual,First,1347.0,16.68,3.24,387768.0
Tata,Innova,2018,38275.0,CNG,Manual,Third+,924.0,10.69,5.63,476517.0
Mahindra,Nexon,2021,52110.0,Petrol,Manual,First,1863.0,16.93,7.0,494272.0
Hyundai,Alto,2020,36033.0,Diesel,Automatic,Third+,800.0,22.91,9.42,529058.0
Ford,Tiago,2016,93602.0,Electric,Automatic,Second,1845.0,16.16,1.48,448615.0
Honda,City,2018,88881.0,Petrol,Automatic,First,800.0,10.82,8.85,470205.0
Toyota,City,2019,86033.0,Petrol,Manual,First,1251.0,14.6,3.24,428528.0
Ford,Nexon,2019,75006.0,CNG,Manual,Second,1241.0,25.31,2.26,453127.0
Ford,Nexon,2015,55157.0,Diesel,Manual,First,900.0,19.23,5.0,413594.0
Hyundai,Scorpio,2019,57435.0,CNG,Manual,Third+,1211.0,17.17,9.33,472010.0
Ford,Tiago,2021,54487.0,CNG,Manual,Second,2040.0,23.08,6.87,516164.0
Ford,i20,2020,73124.0,Petrol,Manual,First,1380.0,17.75,7.01,473636.0
Maruti,Scorpio,2018,59031.0,Diesel,Manual,First,1471.0,25.8,7.6,461288.0
Hyundai,City,2016,59422.0,Diesel,Manual,First,1672.0,16.53,3.69,353103.0
Hyundai,i20,2016,49193.0,Petrol,Manual,Second,1276.0,20.39,9.57,469166.0
Honda,City,2021,50006.0,Petrol,Manual,Second,800.0,18.21,9.66,542704.0
Ford,Alto,2018,49055.0,Petrol,Manual,First,970.0,17.7,6.09,506831.0
Tata,City,2017,38563.0,Electric,Manual,Second,1992.0,18.07,1.8,387561.0
Ford,Swift,2015,61468.0,Diesel,Manual,First,1366.0,15.91,5.36,440643.0
Honda,Tiago,2018,35829.0,CNG,Manual,Second,887.0,20.72,2.72,429921.0
Maruti,i20,2019,60676.0,CNG,Manual,First,1197.0,17.38,9.31,492641.0
Ford,Scorpio,2020,21042.0,Diesel,Automatic,Second,2007.0,19.32,7.08,551855.0
Hyundai,Tiago,2016,56582.0,Electric,Manual,Second,1464.0,15.25,5.02,495065.0
Maruti,Nexon,2015,110955.0,Petrol,Manual,First,1562.0,16.26,7.61,378711.0
Ford,Swift,2020,70701.0,Petrol,Automatic,First,1034.0,17.58,2.98,445183.0
Toyota,Alto,2020,113182.0,Diesel,Manual,First,1051.0,17.74,5.33,394334.0
Maruti,i20,2018,30063.0,Diesel,Manual,First,800.0,24.61,6.84,482840.0
Honda,Tiago,2019,41635.0,Diesel,Automatic,Second,1318.0,27.26,9.61,547257.0
Mahindra,Alto,2016,74675.0,Diesel,Manual,Second,1211.0,23.76,8.24,409263.0
Maruti,Swift,2021,132616.0,Petrol,Manual,Second,894.0,23.38,8.35,495718.0
Mahindra,Scorpio,2018,20067.0,Petrol,Manual,Second,1094.0,19.63,7.19,449038.0
Mahindra,City,2016,43835.0,CNG,Manual,First,987.0,15.89,6.22,426912.0
Toyota,Nexon,2016,77393.0,CNG,Manual,Second,1149.0,19.53,1.05,341731.0
Hyundai,Alto,2017,63993.0,Diesel,Manual,Second,1037.0,11.53,2.55,402684.0
Hyundai,Scorpio,2020,62209.0,Petrol,Automatic,First,1048.0,23.53,9.41,531426.0
Honda,Tiago,2020,59784.0,Petrol,Manual,First,1988.0,8.0,1.37,437885.0
