,Age,CGPA,Aptitude_Score,Programming_Score,SQL_Score,Communication_Score,Projects,Certifications,Internship_Months,Hackathon_Participation,Attendance,Selected
109,24,79,41,68,93,82,3,1,1,4,90,1
110,18,76,79,99,53,47,4,1,1,4,81,1
111,21,84,33,76,62,67,10,8,6,1,69,1
112,21,74,71,96,93,88,3,3,6,4,89,1
113,22,75,67,34,41,30,4,4,5,5,92,1
114,24,86,54,46,89,97,4,8,0,4,78,1
115,24,75,43,87,21,73,4,5,11,0,84,1
116,21,89,61,99,85,76,10,8,12,5,60,1
117,24,86,40,83,51,64,2,8,11,3,91,1
118,20,84,90,49,35,89,6,6,2,4,84,1
119,23,93,47,55,95,81,2,8,8,4,100,1
120,19,66,56,86,20,37,1,4,9,5,76,1
121,26,95,84,68,91,70,2,4,0,2,73,1
122,22,72,83,95,67,32,10,7,1,3,72,1
123,23,75,50,74,69,98,2,3,7,3,97,1
124,21,67,73,75,32,43,7,8,6,3,98,1
125,24,75,34,87,34,55,3,6,8,1,61,1
126,26,62,70,63,72,99,2,6,9,0,91,1
127,24,94,88,50,63,87,9,2,11,0,91,1
128,18,61,83,77,27,69,4,3,11,2,99,1
129,18,77,51,72,93,80,3,6,3,3,65,1
130,26,86,94,98,65,34,8,4,3,3,84,1
131,26,65,93,42,88,61,7,2,6,4,62,1
132,21,76,100,47,38,30,10,0,0,5,77,1
133,26,76,33,35,57,83,6,6,9,1,97,1
134,20,79,94,56,30,40,7,5,11,1,62,1
135,24,76,44,40,62,82,4,6,8,2,64,1
136,23,82,51,98,39,37,3,1,1,0,83,0
137,25,83,76,36,39,54,6,3,0,3,93,1
138,26,67,75,56,40,69,0,1,6,5,98,1
139,22,72,43,96,76,61,5,7,5,2,83,1
140,18,56,79,38,69,57,7,6,11,1,95,1
141,20,83,49,49,93,32,6,0,2,1,87,1
142,25,75,79,64,45,91,1,1,0,1,93,0
143,23,69,62,37,49,56,6,1,11,3,75,1
144,25,81,88,97,92,74,5,3,4,3,95,1
145,26,85,72,81,50,54,4,2,9,3,66,1
146,21,69,41,55,61,90,3,0,3,4,77,0
147,18,77,69,71,87,73,0,1,4,0,65,0
148,18,78,49,38,80,75,1,8,0,1,87,0
149,21,67,67,63,80,43,6,0,0,1,98,1
150,24,76,32,26,89,37,9,8,4,4,93,1
151,19,91,57,63,97,77,2,6,5,1,100,1
152,20,87,85,87,87,43,4,1,4,1,88,1
153,18,57,42,53,36,94,7,1,1,3,63,1
154,22,73,95,85,38,36,7,4,8,3,73,1
155,18,77,66,88,70,78,5,4,4,0,64,1
156,25,83,78,74,89,84,4,3,10,1,84,1
157,18,84,95,29,82,42,1,2,10,2,98,1
158,18,93,65,61,94,85,8,3,4,1,67,1
159,19,79,83,60,99,85,0,3,9,1,74,1
160,19,91,55,96,49,44,10,1,8,0,78,1
161,23,62,69,88,44,86,1,4,2,2,70,1
162,24,70,72,29,94,87,0,4,4,1,79,0
163,22,62,51,29,90,64,3,4,12,5,95,1
164,18,55,49,79,45,45,3,0,11,5,77,1
165,18,59,37,70,75,37,4,5,4,2,73,1
166,20,57,58,40,41,74,4,1,1,5,97,0
167,19,55,69,27,38,69,7,6,10,3,84,1
168,22,58,59,84,50,83,10,3,3,3,75,1
169,23,94,84,97,45,43,10,4,10,2,77,1
170,24,89,45,49,61,88,2,4,10,1,60,1
171,21,86,75,68,60,82,5,4,1,2,99,1
172,24,88,91,28,42,56,2,1,4,5,60,0
173,25,79,36,36,66,76,1,4,9,2,60,0
174,18,64,74,88,32,35,7,2,12,5,80,1
175,23,75,88,77,85,84,0,3,11,3,84,1
176,25,93,85,76,85,73,8,1,1,2,86,1
177,22,81,77,81,35,47,10,3,9,4,69,1
178,21,81,56,71,92,45,6,8,8,5,71,1
179,19,56,82,80,47,41,9,7,9,4,87,1
180,23,95,64,59,96,49,10,2,5,3,91,1
181,23,67,80,57,54,74,3,0,7,1,92,1
182,18,63,66,62,60,93,2,0,8,5,67,1
183,26,90,86,82,96,88,5,5,12,1,85,1
184,23,76,37,38,50,51,8,2,7,3,100,1
185,20,80,49,69,51,76,8,3,4,1,61,1
186,21,66,82,52,73,58,3,0,4,5,94,1
187,21,71,41,32,91,74,9,7,5,0,93,1
188,20,68,78,97,78,38,4,0,0,5,65,1
189,20,68,46,81,60,53,10,4,12,5,90,1
190,20,88,93,62,85,44,8,5,10,4,82,1
191,21,74,71,68,73,65,1,1,7,0,71,1
192,24,65,58,55,59,42,1,6,1,0,87,0
193,21,70,48,29,47,73,4,6,5,0,74,1
194,26,85,40,25,56,100,0,0,8,5,78,0
195,18,60,79,76,84,65,7,3,12,3,71,1
196,25,73,100,20,93,90,4,3,2,0,61,1
197,24,91,87,90,74,69,9,4,1,2,70,1
198,19,58,63,77,23,56,1,0,9,1,96,0
199,25,58,49,40,29,30,8,0,4,3,97,1
200,18,74,79,99,66,63,1,6,10,2,84,1
201,26,64,39,75,94,97,6,8,8,5,80,1
202,26,78,61,39,33,50,7,0,5,5,95,1
203,19,89,81,73,57,62,5,1,7,2,68,1
204,24,80,44,44,31,36,10,5,7,4,71,1
205,20,91,32,47,64,94,6,5,6,4,69,1
206,24,92,66,24,36,32,10,1,4,2,64,1
207,26,75,69,40,99,80,0,8,1,4,92,1
208,21,94,69,37,54,83,3,3,9,1,64,1
209,18,93,85,66,85,88,6,6,9,1,75,1
210,19,75,52,89,94,35,0,5,4,5,96,1
211,18,64,40,76,60,58,0,2,11,4,96,1
212,22,92,93,38,86,46,10,7,6,0,88,1
213,22,58,37,84,48,89,5,6,11,2,77,1
214,24,74,85,22,37,51,3,8,11,1,88,1
215,26,71,89,61,39,53,2,2,6,4,65,1
216,26,61,39,40,33,80,4,0,10,4,77,1
217,20,58,68,59,53,79,8,1,12,1,91,1
218,20,83,57,86,68,40,9,0,1,1,90,1
219,20,68,78,44,73,85,9,4,6,0,70,1
220,21,57,65,74,50,100,10,1,5,4,85,1
221,25,78,42,71,77,71,9,2,6,4,87,1
222,23,91,65,63,61,68,2,7,10,3,86,1
223,25,70,55,75,77,98,4,4,7,5,78,1
224,18,58,33,74,49,77,9,3,3,0,86,1
225,25,78,93,89,44,86,4,4,0,1,79,1
226,21,88,67,96,82,50,8,5,7,1,62,1
227,18,84,51,92,38,49,10,6,7,2,75,1
228,25,72,31,100,91,44,9,8,2,5,98,1
229,21,73,60,85,27,98,10,0,2,1,88,1
230,23,85,40,38,22,80,3,3,4,4,74,0
231,25,73,75,26,86,91,0,8,2,1,89,1
232,21,73,91,82,100,66,9,4,4,4,99,1
233,20,76,98,61,36,35,4,7,7,4,60,1
234,26,78,93,61,33,100,0,0,0,0,88,0
235,20,66,39,78,28,55,5,3,1,1,89,1
236,26,84,69,39,81,37,9,8,1,0,99,1
237,19,92,53,92,40,33,9,0,11,5,91,1
238,19,85,73,36,95,50,6,0,3,4,69,1
239,19,90,89,46,56,60,0,3,8,5,86,1
240,23,73,91,66,30,50,9,2,1,1,67,1
241,20,90,46,21,39,54,3,6,11,5,95,1
242,26,84,94,82,54,44,8,2,10,5,94,1
243,21,87,86,81,72,64,0,0,12,1,95,1
244,18,72,84,38,66,78,8,1,11,0,95,1
245,21,82,82,36,94,72,7,3,8,0,84,1
246,18,65,85,88,71,70,4,0,6,4,79,1
247,22,87,38,58,27,66,5,0,9,4,76,1
248,21,71,51,90,23,86,6,7,7,1,82,1
249,25,60,42,100,46,71,3,6,0,1,84,1
250,25,58,77,58,63,76,5,7,12,3,90,1
251,24,74,47,55,59,90,6,3,4,3,65,1
252,20,81,69,59,66,43,10,5,8,2,94,1
253,18,69,46,64,63,97,5,2,11,4,63,1
254,18,60,44,23,67,82,10,7,3,5,99,1
255,20,68,44,44,71,63,5,3,1,2,79,1
256,23,65,92,88,87,53,1,2,5,2,100,1
257,24,93,68,49,30,49,4,3,1,0,60,0
258,23,63,42,95,96,98,2,5,2,5,85,1
259,23,80,61,87,92,59,6,6,7,0,93,1
260,23,70,38,48,23,36,3,6,2,3,69,0
261,20,59,69,92,95,65,0,3,1,2,82,1
262,23,64,49,87,92,67,5,7,5,3,83,1
263,25,57,92,70,96,81,5,6,2,5,72,1
264,19,67,73,43,67,44,6,1,0,5,88,1
265,22,84,67,33,45,75,10,7,11,4,86,1
266,18,60,89,88,96,52,7,8,2,1,90,1
267,18,71,100,37,58,41,2,4,5,0,69,0
268,22,73,77,61,77,73,5,3,2,4,90,1
269,20,89,47,76,38,44,9,3,8,4,98,1
270,21,80,45,31,96,78,1,3,6,0,69,0
271,20,59,84,36,96,50,8,5,4,0,83,1
272,18,83,68,49,77,44,1,3,1,5,92,1
273,18,91,97,94,47,43,2,6,8,5,73,1
274,22,74,88,42,85,71,9,6,4,2,94,1
275,23,75,91,100,29,44,1,4,6,3,93,1
276,20,64,42,20,96,92,8,4,8,5,76,1
277,26,59,35,98,77,97,0,7,3,4,80,1
278,22,90,89,51,92,56,4,6,8,2,91,1
279,25,60,43,28,33,82,0,6,0,2,62,0
280,18,80,83,34,34,81,4,5,11,4,74,1
281,22,58,33,47,52,92,7,6,5,5,67,1
282,20,93,68,43,36,82,7,6,1,4,91,1
283,18,93,54,79,43,86,10,1,7,1,97,1
284,21,89,61,54,49,81,7,1,4,5,85,1
285,22,55,88,46,81,72,1,6,2,3,89,1
286,24,78,92,95,32,36,7,6,1,4,68,1
287,18,90,67,39,81,71,4,6,7,5,91,1
288,20,60,82,84,66,33,0,4,6,0,70,1
289,19,95,96,68,35,98,6,0,8,1,81,1
290,26,85,57,20,85,34,5,1,7,3,93,1
291,23,74,32,29,100,70,4,8,10,5,100,1
292,20,78,51,66,62,33,0,7,3,0,77,0
293,25,79,67,78,27,31,0,7,1,5,78,1
294,25,90,91,81,22,96,5,0,12,0,77,1
295,19,75,86,37,31,50,9,5,1,3,96,1
296,23,84,35,65,35,99,6,8,1,1,77,1
297,24,78,61,51,97,72,9,7,10,0,71,1
298,19,84,39,46,99,98,9,2,11,2,63,1
299,19,76,32,37,78,38,0,3,5,3,86,0
300,18,82,88,58,68,57,8,2,6,3,64,1
301,25,61,78,68,82,55,3,5,11,4,65,1
302,18,89,88,63,81,32,4,8,5,1,72,1
303,26,82,60,91,68,78,1,7,1,2,82,1
304,23,68,98,73,70,46,9,3,3,2,84,1
305,24,64,91,53,52,92,7,1,2,4,63,1
306,24,70,81,90,49,84,1,7,10,0,91,1
307,20,70,70,55,78,52,2,7,12,0,74,1
308,19,85,60,37,95,63,8,5,3,2,85,1
309,26,79,51,57,34,98,1,7,4,1,70,1
310,25,67,33,78,42,44,5,8,6,0,68,1
311,24,60,42,28,97,76,3,0,8,3,70,0
312,26,63,74,92,64,32,6,8,10,5,61,1
313,21,90,71,91,81,57,5,1,1,4,86,1
314,21,74,78,70,98,32,9,0,7,1,85,1
315,18,72,49,54,90,33,8,7,2,0,67,1
316,25,75,83,24,34,60,8,7,8,5,80,1
317,20,58,65,33,65,74,9,3,9,2,80,1
318,24,87,30,49,83,88,3,7,11,4,67,1
319,19,81,44,23,65,74,0,6,3,0,60,0
320,19,61,46,58,75,66,1,1,2,2,97,0
321,24,60,53,83,63,94,7,4,9,0,72,1
322,23,69,87,44,94,38,9,3,5,4,68,1
323,20,72,52,47,48,46,7,2,9,3,87,1
324,26,86,75,95,81,94,1,0,12,3,65,1
325,23,65,37,85,71,32,3,4,8,5,82,1
326,23,74,88,97,73,55,0,7,6,2,95,1
327,18,78,88,41,76,82,6,8,3,3,76,1
328,21,69,42,50,85,60,3,6,2,4,68,1
329,23,61,68,42,41,55,10,0,9,2,71,1
330,23,75,57,67,39,52,7,0,3,0,81,1
331,22,80,90,39,52,59,8,0,2,1,71,1
332,18,68,45,57,91,39,8,1,11,0,65,1
333,25,91,31,74,44,93,2,0,2,4,68,0
334,22,75,46,87,65,51,4,3,11,5,96,1
335,22,72,59,98,92,44,5,8,12,2,62,1
336,24,59,42,20,76,85,5,3,8,0,93,1
337,21,57,42,26,24,49,9,3,3,2,67,1
338,23,77,72,76,74,76,7,6,8,3,69,1
339,21,80,50,31,80,82,5,8,11,1,100,1
340,20,91,84,24,27,82,5,6,9,4,68,1
341,24,78,69,69,35,30,3,0,4,0,73,0
342,25,73,44,61,67,31,6,0,6,1,96,1
343,21,79,81,31,80,87,7,3,4,4,86,1
344,19,75,82,37,34,48,2,3,0,4,100,0
345,20,66,81,85,84,91,6,0,1,5,91,1
346,18,95,59,93,41,41,2,5,10,3,63,1
347,25,87,62,98,22,55,7,1,4,5,61,1
348,20,58,86,36,73,56,0,4,5,5,92,1
349,24,61,81,87,33,58,0,7,6,2,80,1
350,22,76,38,90,55,44,5,2,1,2,60,1
351,22,87,83,81,86,75,9,8,9,1,70,1
352,24,71,30,60,29,30,8,6,8,3,60,1
353,26,78,73,53,68,89,3,8,5,4,70,1
354,22,88,38,89,84,86,5,0,1,3,66,1
355,18,82,61,64,76,32,4,4,1,3,61,1
356,18,95,44,77,46,47,0,2,2,1,74,0
357,19,93,41,70,94,81,5,3,0,2,67,1
358,23,76,86,53,24,89,8,3,8,3,85,1
359,26,71,37,63,90,63,2,6,9,3,99,1
360,25,88,56,34,76,89,10,7,10,3,94,1
361,22,60,91,97,34,55,2,4,3,0,100,1
362,18,60,41,89,95,48,1,6,4,3,100,1
363,24,88,94,69,49,51,3,2,6,3,80,1
364,22,55,71,51,39,62,9,2,0,4,97,1
365,23,64,91,86,56,67,2,2,2,5,67,1
366,24,75,40,22,22,64,1,3,2,0,91,0
367,20,59,72,93,92,96,0,5,1,3,67,1
368,20,56,46,70,60,39,2,4,7,5,69,1
369,22,76,61,86,58,44,9,7,4,3,82,1
370,23,56,69,95,45,40,5,4,0,1,63,1
371,26,64,52,67,21,53,8,4,11,1,97,1
372,22,88,85,36,42,33,10,1,1,5,89,1
373,18,70,35,26,42,42,4,4,0,0,100,0
374,21,93,79,32,35,86,2,6,5,4,82,1
375,22,76,66,85,28,66,4,1,8,0,64,1
376,22,66,93,23,32,77,4,5,10,0,80,1
377,24,78,83,29,47,100,4,6,6,1,65,1
378,21,94,78,36,46,30,6,4,4,1,76,1
379,18,92,40,71,70,89,4,8,11,4,84,1
380,22,64,78,25,83,41,6,3,12,3,83,1
381,24,89,50,88,71,50,8,0,2,4,81,1
382,23,86,95,93,100,40,4,7,11,3,72,1
383,22,61,92,28,57,73,1,7,11,5,76,1
384,21,75,57,96,84,87,4,6,7,5,73,1
385,19,74,46,40,37,73,7,7,9,2,93,1
386,21,80,35,43,82,63,3,1,3,1,85,0
387,20,58,48,23,70,54,1,2,8,2,78,0
388,18,76,85,43,28,33,9,8,4,2,85,1
389,25,69,57,78,32,93,2,0,5,1,62,0
390,22,94,95,22,59,45,8,7,4,2,61,1
391,21,75,67,87,74,39,8,7,9,0,87,1
392,25,69,66,59,98,95,7,6,11,3,61,1
393,24,76,97,67,62,64,7,4,10,4,81,1
394,19,82,78,73,63,35,7,3,6,1,66,1
395,18,68,72,54,87,48,7,5,6,0,63,1
396,21,81,65,75,52,88,7,0,0,5,97,1
397,25,95,87,59,43,82,0,4,1,4,98,1
398,19,94,42,96,55,37,5,3,6,4,79,1
399,20,82,81,87,29,39,8,3,7,4,65,1
400,18,80,87,65,39,96,7,6,3,2,68,1
401,18,56,61,97,94,67,2,8,5,2,90,1
402,20,79,89,32,31,58,10,7,10,2,85,1
403,22,57,87,46,81,44,0,7,11,2,95,1
404,20,62,85,25,37,52,1,4,9,0,85,0
405,18,87,57,36,82,75,10,5,2,2,87,1
406,18,89,30,55,44,57,1,1,6,1,64,0
407,25,60,71,100,31,55,6,2,10,4,69,1
408,19,93,77,21,40,39,5,4,2,0,77,0
409,20,77,69,96,44,76,10,1,10,5,74,1
410,19,79,92,71,30,33,1,2,6,2,92,1
411,20,73,33,85,83,84,7,3,11,5,64,1
412,24,59,67,71,92,95,8,5,10,4,96,1
413,18,65,56,62,69,96,6,4,11,0,99,1
414,25,66,38,41,81,36,3,3,10,4,81,1
415,19,64,45,74,68,84,0,1,7,5,81,1
416,20,62,85,86,33,60,3,4,2,0,81,1
417,26,78,60,79,20,48,3,4,1,3,74,1
418,24,82,43,77,100,57,7,6,11,0,76,1
419,21,95,54,31,44,57,3,0,5,2,87,0
420,22,90,63,88,78,48,3,3,3,5,81,1
421,19,91,96,58,91,49,1,4,7,4,80,1
422,25,75,53,32,88,42,9,7,12,4,76,1
423,21,62,55,60,24,72,6,7,1,4,64,1
424,26,63,49,76,38,40,3,0,3,1,77,0
425,22,69,93,72,42,77,10,4,1,1,76,1
426,26,94,39,31,28,44,5,0,1,2,63,0
427,21,72,96,32,69,46,2,0,1,3,66,0
428,22,74,53,93,35,83,6,1,0,1,84,1
429,26,60,34,76,52,79,5,1,3,0,96,1
430,25,66,96,59,21,57,2,8,1,5,99,1
431,20,56,87,99,33,33,3,3,8,2,99,1
432,18,61,56,64,20,51,9,2,8,3,68,1
433,20,70,44,54,77,68,4,0,10,0,78,1
434,21,57,64,22,35,63,8,1,10,4,68,1
435,19,57,82,24,98,73,5,5,6,1,82,1
436,18,81,73,30,66,71,3,8,5,0,90,1
437,24,94,55,90,63,69,10,4,11,3,91,1
438,25,92,76,75,99,41,10,3,2,2,90,1
439,24,87,63,29,33,31,6,4,11,0,76,1
440,22,82,79,53,43,57,1,8,6,2,98,1
441,18,55,41,86,74,96,3,6,0,4,81,1
442,24,62,33,91,34,100,4,7,8,3,94,1
443,24,91,77,50,91,39,3,3,3,3,89,1
444,26,86,84,94,53,86,3,7,5,1,99,1
445,20,91,30,90,21,66,10,5,5,5,96,1
446,26,58,95,85,46,93,8,4,10,3,85,1
447,18,84,59,89,93,69,10,6,2,0,65,1
448,18,60,32,60,91,89,1,5,3,0,93,0
449,21,73,50,82,42,77,5,2,12,0,91,1
450,26,86,78,51,87,48,7,4,10,4,84,1
451,23,63,91,39,33,62,7,8,9,3,72,1
452,20,66,67,76,82,73,10,6,2,3,97,1
453,18,65,44,69,84,66,6,3,12,0,97,1
454,21,70,81,99,87,65,9,6,5,1,61,1
455,26,55,75,44,82,50,10,4,0,1,64,1
456,20,75,54,31,100,31,3,1,7,3,70,0
457,26,84,50,90,83,60,6,5,7,3,70,1
458,24,67,34,58,51,59,9,6,8,2,83,1
459,21,88,99,36,98,73,5,7,5,3,73,1
460,20,58,76,64,32,41,10,5,0,0,89,1
461,22,82,97,30,85,80,5,7,2,5,99,1
462,22,92,47,89,38,78,1,6,0,4,94,1
463,20,85,50,42,43,53,7,1,12,3,80,1
464,26,81,52,89,30,53,7,5,4,3,64,1
465,21,59,93,57,78,89,10,8,2,0,97,1
466,22,79,96,21,34,40,6,5,1,2,61,1
467,21,57,69,98,29,42,10,3,2,5,99,1
468,22,87,39,91,60,93,8,6,8,3,96,1
469,24,58,81,56,46,49,7,2,10,1,93,1
470,26,79,90,68,79,100,8,4,7,1,70,1
471,24,74,93,71,92,57,8,0,12,1,95,1
472,22,88,34,52,71,31,5,2,2,4,70,1
473,24,80,82,41,47,72,1,7,10,4,68,1
474,22,59,84,24,84,37,6,8,1,5,65,1
475,20,89,66,37,36,42,2,8,4,3,93,1
476,24,82,85,57,63,64,6,1,11,3,96,1
477,19,83,88,56,29,52,8,3,11,3,91,1
478,26,63,98,83,82,75,9,4,12,4,71,1
479,18,92,88,29,66,44,9,2,11,5,91,1
480,23,60,31,98,57,31,1,0,0,3,76,0
481,24,73,94,61,89,90,5,5,3,0,63,1
482,25,65,89,67,95,93,5,1,7,2,92,1
483,26,56,80,63,72,81,8,8,0,1,68,1
484,19,63,59,35,97,65,8,0,4,1,93,1
485,19,75,40,73,63,96,4,8,11,0,98,1
486,22,78,68,54,93,98,4,6,3,3,89,1
487,22,88,92,47,73,96,8,1,5,5,79,1
488,23,76,93,21,39,76,7,5,6,5,98,1
489,20,57,90,32,98,31,6,7,8,4,82,1
490,25,66,83,60,50,73,7,1,0,3,100,1
491,18,82,87,99,26,93,5,4,10,5,94,1
492,23,84,85,78,77,57,2,5,9,3,82,1
493,21,80,63,88,29,83,6,2,3,1,98,1
494,18,75,60,72,29,96,7,1,5,1,82,1
495,24,82,81,64,58,65,7,5,9,4,96,1
496,26,80,30,39,47,92,0,2,6,1,82,0
497,21,87,84,43,49,54,6,1,6,3,98,1
498,21,75,51,80,56,77,2,0,7,0,87,1
499,23,89,69,77,86,68,1,7,9,4,78,1
500,20,88,30,46,62,76,1,0,7,0,89,0
501,23,95,94,45,98,50,7,4,7,3,80,1
502,24,72,92,26,71,59,8,5,7,4,83,1
503,20,65,83,61,75,60,2,2,11,0,80,1
504,24,77,71,66,95,55,2,6,7,4,85,1
505,20,76,50,72,87,51,5,1,5,3,95,1
506,19,71,51,78,28,50,10,6,8,5,85,1
507,21,59,67,57,42,30,9,1,2,4,92,1
508,25,65,37,88,82,66,0,4,5,5,95,1
509,26,84,91,72,80,75,5,6,4,3,63,1
510,24,69,76,34,59,38,2,2,7,4,68,1
511,18,81,46,45,63,46,10,3,3,4,67,1
512,20,89,46,67,43,76,3,0,3,5,61,1
513,26,87,42,38,70,88,8,2,12,1,88,1
514,18,74,46,28,77,83,2,8,9,5,82,1
515,26,70,67,83,52,41,0,4,10,5,65,1
516,25,88,74,73,35,93,2,7,9,5,95,1
517,18,56,35,70,41,35,6,1,12,3,80,1
518,23,89,64,58,76,82,6,2,4,2,81,1
519,22,94,43,23,81,45,10,6,10,5,68,1
520,23,82,90,22,90,34,4,3,12,4,93,1
521,22,93,44,83,91,75,0,8,12,0,85,1
522,23,60,83,48,89,43,10,6,5,1,60,1
523,22,63,56,30,49,73,7,0,10,5,95,1
524,22,74,42,77,42,92,9,3,3,5,64,1
525,21,55,60,94,51,81,7,5,1,1,100,1
526,20,62,64,46,76,55,9,5,11,5,81,1
527,20,77,89,40,28,82,9,5,11,4,63,1
528,21,57,35,58,50,58,9,4,1,2,61,1
529,26,58,98,65,90,48,1,2,11,5,75,1
530,19,79,87,85,28,76,9,1,2,1,75,1
531,26,92,78,55,32,37,2,2,1,5,81,1
