ApplicantID,CreditScore,AnnualIncome,ExistingDebts,EmploymentYears,LoanAmount,LoanTermMonths,LoanPurpose,EmploymentType,HomeOwnership,MaritalStatus,Default
10119,554,268474,174094.14,7,697800,24,Education,Salaried,Mortgage,Married,1
10120,426,689360,136288.64,27,306749,12,Home,Salaried,Rent,Married,0
10121,479,461253,110162.15,8,553112,24,Home,Unemployed,Rent,Divorced,0
10122,759,594527,155855.2,1,2151937,36,Car,Unemployed,Mortgage,Divorced,0
10123,318,962625,60494.52,5,1840038,36,Car,Salaried,Rent,Married,0
10124,562,452207,172721.23,12,620636,12,Home,Salaried,Rent,Single,0
10125,704,241690,94035.69,1,357423,24,Personal,Salaried,Own,Married,0
10126,400,366902,205133.39,18,667469,60,Education,Unemployed,Rent,Divorced,1
10127,628,613948,96216.88,18,2144079,36,Car,Salaried,Rent,Single,0
10128,365,563668,133243.41,11,2472987,60,Car,Salaried,Mortgage,Single,0
10129,451,403049,247186.08,15,439206,60,Home,Self-Employed,Own,Married,1
10130,349,456547,69978.1,10,132191,36,Car,Self-Employed,Mortgage,Divorced,1
10131,460,454876,146127.68,22,1394204,24,Car,Self-Employed,Rent,Married,1
10132,434,558636,144942.75,3,1779106,36,Business,Self-Employed,Own,Single,1
10133,466,764876,259439.22,5,543144,36,Education,Salaried,Own,Single,0
10134,849,795159,156803.8,1,1119921,36,Home,Self-Employed,Mortgage,Married,0
10135,487,688893,166452.9,28,2005588,60,Home,Self-Employed,Rent,Married,1
10136,784,698763,163702.58,26,859505,36,Education,Self-Employed,Own,Divorced,0
10137,741,716592,185973.73,18,951574,36,Home,Unemployed,Own,Single,0
10138,311,935049,137921.3,22,1281867,24,Business,Salaried,Rent,Divorced,0
10139,836,522961,164639.33,11,1934580,36,Personal,Salaried,Rent,Divorced,0
10140,425,674451,214206.27,9,1103884,60,Home,Self-Employed,Mortgage,Single,1
10141,370,631375,130474.94,22,1206003,36,Home,Unemployed,Own,Single,0
10142,500,731527,149269.3,27,969442,60,Home,Self-Employed,Rent,Single,0
10143,380,320559,101893.91,12,1970348,36,Education,Salaried,Own,Divorced,1
10144,697,656156,205252.3,16,2378092,24,Car,Salaried,Rent,Divorced,0
10145,314,522110,63038.38,15,1835191,12,Home,Self-Employed,Own,Divorced,1
10146,468,560567,173653.85,15,1980905,60,Home,Unemployed,Rent,Divorced,1
10147,464,866669,120362.81,0,1149029,12,Personal,Unemployed,Own,Divorced,0
10148,622,537947,225757.34,5,1885557,24,Home,Unemployed,Own,Single,1
10149,661,710652,86652.42,9,643880,36,Personal,Unemployed,Own,Single,0
10150,357,426578,153452.62,5,961353,24,Car,Unemployed,Own,Single,1
10151,403,665668,90378.06,15,2287339,12,Education,Self-Employed,Rent,Divorced,1
10152,667,541927,156217.05,26,724120,36,Personal,Salaried,Rent,Divorced,0
10153,594,586579,72771.35,22,452771,24,Education,Unemployed,Mortgage,Divorced,1
10154,496,642812,171546.56,6,2389653,12,Business,Self-Employed,Rent,Divorced,1
10155,749,611616,188381.07,20,2339898,36,Business,Unemployed,Own,Divorced,0
10156,343,535475,125920.56,7,360215,24,Personal,Unemployed,Own,Married,1
10157,321,724719,154798.99,11,1724424,12,Education,Unemployed,Own,Divorced,0
10158,733,648025,167115.51,11,1246157,24,Car,Self-Employed,Mortgage,Divorced,0
10159,681,604968,113130.27,16,1135037,24,Home,Self-Employed,Mortgage,Married,0
10160,697,845682,139967.83,24,1603867,60,Home,Unemployed,Mortgage,Divorced,0
10161,398,492224,110255.18,20,2445122,36,Home,Unemployed,Mortgage,Single,1
10162,673,431322,208234.86,20,2183235,60,Home,Salaried,Rent,Single,0
10163,398,593584,134499.62,19,890679,12,Car,Self-Employed,Mortgage,Single,1
10164,684,745417,159537.39,13,68903,60,Business,Self-Employed,Rent,Divorced,0
10165,465,898112,195851.11,15,2386955,24,Car,Self-Employed,Own,Divorced,1
10166,405,632336,152279.35,22,1144442,36,Car,Unemployed,Own,Single,1
10167,436,835679,134695.32,22,1324280,12,Home,Self-Employed,Rent,Single,0
10168,369,546336,152889.14,28,928186,36,Personal,Salaried,Rent,Married,0
10169,815,414384,220976.09,16,174178,12,Car,Self-Employed,Rent,Married,0
10170,828,430865,161818.37,5,2314722,36,Business,Self-Employed,Own,Married,0
10171,574,544290,164480.88,11,1519120,60,Car,Salaried,Own,Single,1
10172,476,710454,173704.06,0,438658,24,Business,Self-Employed,Own,Single,1
10173,735,565282,206368.03,27,218609,12,Car,Unemployed,Rent,Single,0
10174,413,845906,139626.91,23,238175,24,Car,Salaried,Rent,Single,1
10175,737,753326,149650.58,28,2085934,36,Education,Unemployed,Rent,Single,0
10176,724,511285,102082.45,18,1054731,60,Business,Self-Employed,Mortgage,Married,0
10177,795,413099,108992.16,7,888490,12,Car,Salaried,Own,Divorced,0
10178,673,438405,76576.65,4,1123998,60,Education,Unemployed,Mortgage,Divorced,0
10179,559,982033,64482.59,17,1126211,24,Home,Unemployed,Rent,Divorced,0
10180,844,759271,173142.97,4,2379416,24,Home,Salaried,Mortgage,Married,0
10181,833,512424,156152.04,10,323257,60,Business,Unemployed,Mortgage,Married,0
10182,510,431747,126287.41,12,514262,36,Business,Salaried,Mortgage,Married,0
10183,643,682131,213773.54,12,328231,24,Home,Self-Employed,Own,Divorced,1
10184,387,982250,116128.32,18,589938,60,Personal,Unemployed,Mortgage,Single,1
10185,679,666683,244249.67,12,1191370,24,Education,Salaried,Mortgage,Divorced,0
10186,805,547319,89335.04,16,479433,12,Home,Unemployed,Rent,Married,0
10187,736,720971,168687.87,29,2028132,60,Home,Salaried,Mortgage,Married,0
10188,687,710734,129977.03,9,1894850,60,Business,Self-Employed,Mortgage,Divorced,0
10189,803,427974,138681.68,5,2368278,60,Home,Self-Employed,Rent,Married,0
10190,733,532589,176896.31,25,1813109,12,Personal,Self-Employed,Rent,Divorced,0
10191,453,747574,95820.71,26,2441247,60,Car,Self-Employed,Rent,Single,1
10192,578,667493,209923.01,12,2260819,36,Personal,Salaried,Mortgage,Married,1
10193,387,745771,121365.98,0,1773036,60,Home,Unemployed,Mortgage,Single,1
10194,804,697870,202917.67,28,1167492,24,Business,Self-Employed,Own,Married,1
10195,699,743388,210869.75,8,1657681,36,Business,Unemployed,Rent,Single,0
10196,393,491412,196981.18,19,2276980,24,Home,Unemployed,Own,Divorced,1
10197,352,490759,202127.25,26,655533,12,Education,Salaried,Rent,Single,0
10198,354,923274,72910.99,19,372821,24,Car,Self-Employed,Rent,Single,1
10199,658,748314,123218.41,14,689295,60,Home,Unemployed,Mortgage,Married,0
10200,566,330496,152471.31,15,667617,12,Education,Self-Employed,Mortgage,Divorced,1
10201,435,308843,129877.42,8,745500,12,Home,Unemployed,Own,Divorced,1
10202,531,746240,170200.46,6,2067272,24,Home,Self-Employed,Own,Married,1
10203,414,603034,223721.95,6,1800225,12,Education,Unemployed,Own,Single,0
10204,356,543564,164120.56,0,1300950,24,Business,Unemployed,Own,Married,0
10205,340,683216,99727.33,5,2203225,12,Business,Salaried,Own,Divorced,0
10206,487,640245,208185.73,2,2202722,36,Home,Salaried,Mortgage,Married,1
10207,320,328220,186211.45,1,1493391,12,Car,Self-Employed,Rent,Married,1
10208,604,723658,205585.65,17,1177921,60,Business,Unemployed,Rent,Divorced,0
10209,324,805466,132159.25,5,1828552,36,Home,Salaried,Own,Married,0
10210,521,424802,189347.21,23,1597003,60,Home,Self-Employed,Own,Married,0
10211,710,899361,166493.03,18,1580180,24,Car,Self-Employed,Mortgage,Single,0
10212,344,1010014,201156.08,20,2159046,60,Education,Unemployed,Mortgage,Single,0
10213,744,567035,293822.04,27,343466,12,Car,Self-Employed,Rent,Divorced,0
10214,808,576335,205599.13,5,1873805,24,Personal,Salaried,Mortgage,Married,0
10215,816,793780,123806.75,4,2388497,60,Personal,Salaried,Mortgage,Divorced,0
10216,610,751569,131775.28,20,2269314,36,Car,Self-Employed,Mortgage,Married,0
10217,588,735242,72921.03,15,874187,60,Car,Salaried,Own,Divorced,0
10218,682,561434,99323.41,22,1827708,60,Home,Self-Employed,Mortgage,Married,0
10219,539,371402,224614.02,26,1572090,24,Education,Self-Employed,Own,Divorced,1
10220,543,323800,141525.53,5,1109477,60,Personal,Salaried,Rent,Single,0
10221,340,767891,53788.8,24,987854,36,Education,Unemployed,Mortgage,Divorced,0
10222,730,518748,164473.19,24,927744,36,Car,Salaried,Rent,Married,0
10223,784,334730,115577.47,3,1920900,24,Personal,Unemployed,Own,Single,0
10224,540,428934,155810.47,16,1180286,24,Home,Self-Employed,Rent,Single,0
10225,363,719646,129398.0,24,1668971,12,Car,Salaried,Rent,Single,0
10226,788,437109,183035.23,28,880721,36,Home,Unemployed,Own,Divorced,0
10227,495,954544,186245.68,0,2047685,60,Business,Self-Employed,Own,Married,1
10228,523,691306,194710.92,13,2240648,60,Car,Salaried,Own,Divorced,0
10229,770,592135,100538.14,1,2466519,24,Home,Self-Employed,Rent,Single,0
10230,372,531426,123530.75,13,389421,60,Personal,Unemployed,Rent,Divorced,0
10231,711,512558,149984.96,27,345097,12,Personal,Unemployed,Mortgage,Divorced,0
10232,707,581508,85291.8,16,299171,24,Personal,Unemployed,Own,Married,0
10233,449,727249,143034.42,16,2072625,60,Education,Self-Employed,Own,Married,0
10234,371,444776,172675.31,5,1332467,60,Education,Self-Employed,Own,Married,0
10235,517,603998,238791.03,14,1209419,36,Business,Self-Employed,Rent,Divorced,1
10236,557,625496,97145.33,6,771702,12,Home,Salaried,Own,Single,0
10237,472,745607,127399.62,21,762950,24,Personal,Self-Employed,Mortgage,Divorced,0
10238,784,539292,234276.1,20,1755013,12,Personal,Self-Employed,Rent,Married,0
10239,746,666940,60159.5,23,705208,24,Personal,Salaried,Mortgage,Single,0
10240,370,518368,199553.4,2,1497757,36,Business,Unemployed,Own,Single,1
10241,442,415913,154874.52,21,2356215,36,Education,Self-Employed,Mortgage,Divorced,1
10242,432,613842,119167.57,1,2142244,12,Education,Self-Employed,Own,Married,1
10243,603,716701,127559.3,16,1059787,24,Home,Salaried,Mortgage,Divorced,0
10244,781,577611,132349.76,1,2125524,24,Car,Self-Employed,Rent,Married,1
10245,762,579042,154609.27,1,2311512,60,Personal,Unemployed,Rent,Divorced,0
10246,605,1152271,188932.84,9,231062,60,Education,Salaried,Own,Married,0
10247,826,618163,133926.3,0,528930,36,Personal,Unemployed,Rent,Divorced,0
10248,581,571464,154453.7,22,2423826,12,Home,Salaried,Own,Divorced,0
10249,482,639994,207840.22,2,1248551,12,Home,Self-Employed,Mortgage,Married,1
10250,463,618515,228845.39,4,928048,24,Education,Salaried,Rent,Married,1
10251,355,806611,188484.14,18,87005,60,Education,Self-Employed,Mortgage,Divorced,0
10252,412,731749,98151.23,25,2264888,12,Home,Self-Employed,Own,Single,0
10253,431,527798,36780.94,27,1800326,36,Education,Salaried,Rent,Divorced,0
10254,665,741194,152627.64,25,1012079,12,Home,Self-Employed,Own,Single,0
10255,786,615471,265580.74,5,248873,24,Personal,Self-Employed,Mortgage,Divorced,0
10256,685,378750,78401.96,17,1324435,12,Personal,Unemployed,Mortgage,Single,0
10257,340,536157,196073.82,21,1993093,24,Education,Self-Employed,Rent,Divorced,1
10258,398,553650,116439.11,5,694325,24,Education,Self-Employed,Rent,Divorced,0
10259,670,570568,194177.63,22,2310870,36,Car,Self-Employed,Mortgage,Married,0
10260,541,711885,145207.25,24,1397168,24,Car,Unemployed,Rent,Married,0
10261,512,528915,170613.01,15,1916363,60,Personal,Self-Employed,Rent,Married,1
10262,657,640890,168118.37,0,2403186,36,Business,Self-Employed,Mortgage,Single,0
10263,811,753739,165409.78,7,1152913,60,Education,Self-Employed,Own,Married,0
10264,764,561817,138627.29,8,2478645,24,Personal,Self-Employed,Mortgage,Single,0
10265,521,511774,173107.26,28,2406023,24,Home,Unemployed,Rent,Divorced,0
10266,694,714625,97916.03,14,2473609,60,Personal,Unemployed,Own,Single,0
10267,398,638486,110568.98,15,1147863,12,Home,Unemployed,Mortgage,Married,0
10268,648,606443,143015.64,27,998205,36,Business,Self-Employed,Rent,Married,0
10269,313,649460,59921.93,5,2046880,24,Business,Unemployed,Mortgage,Married,0
10270,779,329703,230251.87,1,1099683,36,Business,Unemployed,Mortgage,Divorced,1
10271,610,579037,173205.96,3,2341785,24,Business,Salaried,Own,Married,0
10272,782,289914,190707.57,13,71234,36,Car,Unemployed,Mortgage,Married,0
10273,497,579756,240578.95,19,462023,36,Education,Salaried,Own,Divorced,0
10274,391,639691,248803.06,25,64516,60,Car,Unemployed,Mortgage,Single,1
10275,744,654852,171348.56,14,1782695,36,Car,Self-Employed,Own,Divorced,0
10276,776,549027,67675.13,18,1386880,60,Car,Salaried,Own,Married,0
10277,489,589032,81715.3,14,1112378,24,Personal,Unemployed,Own,Married,1
10278,575,553753,127100.38,24,373395,36,Car,Salaried,Mortgage,Married,0
10279,748,645898,96432.35,12,1048123,60,Home,Self-Employed,Own,Divorced,0
10280,544,574280,178603.27,12,502380,12,Education,Salaried,Rent,Divorced,0
10281,401,403391,122256.89,9,1165129,36,Car,Self-Employed,Mortgage,Married,0
10282,806,585419,132757.12,25,1992835,60,Personal,Salaried,Rent,Single,0
10283,515,432568,139566.9,6,839232,60,Car,Salaried,Mortgage,Divorced,1
10284,803,306892,99875.61,22,634155,36,Personal,Self-Employed,Own,Married,1
10285,559,578979,106314.23,4,2034913,24,Home,Salaried,Mortgage,Single,0
10286,469,427449,157736.7,20,546079,60,Home,Unemployed,Own,Married,1
10287,393,310475,183294.49,2,1598491,24,Education,Salaried,Rent,Single,1
10288,841,793242,162498.75,3,589411,36,Education,Salaried,Mortgage,Divorced,0
10289,538,732260,138385.12,29,2411615,24,Personal,Unemployed,Own,Divorced,1
10290,628,650210,64498.54,11,1259008,12,Business,Self-Employed,Mortgage,Single,0
10291,527,922545,272447.43,28,2126236,36,Business,Salaried,Own,Divorced,1
10292,648,557515,161258.86,15,1808716,60,Education,Self-Employed,Rent,Divorced,0
10293,336,591142,129586.51,10,2180616,12,Personal,Unemployed,Rent,Married,1
10294,744,620480,136937.97,7,169944,12,Home,Salaried,Mortgage,Married,0
10295,497,486925,140305.71,9,1579243,60,Personal,Salaried,Own,Divorced,0
10296,788,462635,222833.55,3,699927,24,Business,Unemployed,Mortgage,Single,0
10297,700,425409,147982.78,8,178807,60,Business,Unemployed,Rent,Divorced,0
10298,492,592422,134405.31,7,1233291,24,Personal,Salaried,Mortgage,Single,1
10299,425,868930,75999.46,0,1234131,60,Car,Unemployed,Own,Divorced,0
10300,503,481412,172704.3,16,260542,36,Home,Self-Employed,Mortgage,Married,0
10301,730,485223,117176.02,28,1978527,60,Car,Salaried,Rent,Divorced,0
10302,617,577816,255401.53,9,2422112,12,Home,Salaried,Mortgage,Divorced,0
10303,743,496539,182524.11,20,1915594,12,Education,Self-Employed,Mortgage,Divorced,0
10304,576,245190,124499.44,4,1012095,24,Education,Unemployed,Rent,Married,1
10305,680,556668,137116.89,15,1118334,24,Car,Salaried,Rent,Single,0
10306,448,608869,98526.15,13,1147513,24,Personal,Unemployed,Own,Single,0
10307,659,709502,216586.69,26,2077043,60,Business,Unemployed,Rent,Single,0
10308,611,671181,198752.23,5,454150,24,Car,Salaried,Own,Single,0
10309,404,618528,172865.36,17,948192,12,Personal,Unemployed,Mortgage,Divorced,1
10310,440,504639,144446.28,15,2408523,24,Business,Unemployed,Mortgage,Single,1
10311,764,801202,92168.76,18,900792,60,Business,Unemployed,Rent,Single,0
10312,728,557843,201131.69,18,2099545,36,Personal,Salaried,Mortgage,Divorced,0
10313,604,269699,185204.0,5,1369847,36,Car,Salaried,Rent,Married,0
10314,676,870922,78714.44,17,1436497,60,Home,Unemployed,Rent,Married,0
10315,568,762177,165334.05,2,1062681,60,Business,Salaried,Mortgage,Married,0
10316,812,275802,146591.13,13,403239,12,Business,Unemployed,Rent,Married,0
10317,763,521047,159538.84,1,2198658,36,Car,Salaried,Mortgage,Single,0
10318,561,700032,28234.97,4,1834175,60,Education,Self-Employed,Mortgage,Married,1
10319,348,434108,135303.52,11,2347641,12,Personal,Self-Employed,Own,Divorced,1
10320,371,344152,175991.76,9,499299,24,Education,Unemployed,Mortgage,Married,1
10321,613,571575,190316.72,9,326101,60,Education,Unemployed,Mortgage,Married,0
10322,842,712753,71417.93,9,1246208,60,Business,Unemployed,Mortgage,Married,0
10323,724,552066,223158.75,18,1547613,12,Car,Unemployed,Rent,Divorced,0
10324,817,533761,103238.62,15,1758820,36,Home,Salaried,Mortgage,Divorced,0
10325,332,713217,112103.06,13,1515560,12,Car,Self-Employed,Mortgage,Single,0
10326,345,390164,173783.36,17,210529,36,Personal,Self-Employed,Rent,Divorced,1
10327,652,630112,224761.44,17,1388543,12,Home,Unemployed,Mortgage,Married,1
10328,557,624833,283406.04,15,2367557,60,Business,Salaried,Mortgage,Married,1
10329,576,392649,73923.82,18,1180647,36,Education,Unemployed,Own,Single,1
10330,475,565742,86233.33,8,696462,24,Car,Salaried,Rent,Married,1
10331,369,732928,117779.15,24,1272061,36,Education,Self-Employed,Rent,Divorced,0
10332,492,723477,69580.78,16,711569,12,Personal,Self-Employed,Rent,Single,1
10333,692,603706,189327.31,23,1242716,24,Car,Self-Employed,Rent,Divorced,0
10334,578,628237,106047.6,14,323723,36,Car,Salaried,Own,Married,0
10335,346,738429,106609.0,23,2428583,36,Education,Unemployed,Mortgage,Single,1
10336,826,647925,31871.49,5,2289316,24,Car,Self-Employed,Mortgage,Divorced,0
10337,771,459302,165737.45,19,574390,12,Personal,Salaried,Own,Single,0
10338,660,559773,87966.85,2,736797,36,Business,Self-Employed,Rent,Single,0
10339,802,604607,177864.19,17,210888,24,Education,Unemployed,Mortgage,Divorced,0
10340,639,656005,225980.56,24,1576367,24,Home,Self-Employed,Rent,Divorced,0
10341,457,645666,183487.58,27,1429797,60,Home,Salaried,Mortgage,Married,1
10342,609,474190,146674.68,9,2445803,24,Home,Salaried,Own,Divorced,0
10343,468,652136,241675.64,29,844491,60,Car,Unemployed,Own,Married,1
10344,707,667462,81109.66,10,124509,12,Home,Salaried,Own,Married,0
10345,733,561912,173115.87,29,904531,36,Personal,Self-Employed,Own,Divorced,0
