Crop Type,Pest Type,Pest Size (mm),Pest Color,Affected Area (%),Crop Stage,Pest Behavior,Detection Time (Days Since Sowing),Previous Infestation,"Pest Detected (1=Yes, 0=No)"
Rice,Whiteflies,4.21,Green,23.78,Vegetative,Clustered,17,0,1
Potato,Leafhoppers,2.0,Brown,83.09,Flowering,Slow-moving,24,0,1
Wheat,Caterpillars,1.38,White,29.81,Maturity,Clustered,17,0,1
Tomato,Whiteflies,3.46,Green,55.37,Vegetative,Fast-moving,17,1,1
Rice,Thrips,1.8,Green,72.57,Seedling,Scattered,23,1,1
Rice,Aphids,2.49,Brown,53.0,Vegetative,Scattered,24,1,1
Chili,Leafhoppers,3.11,Green,38.06,Flowering,Clustered,21,1,1
Rice,None,2.18,White,3.57,Seedling,Clustered,7,1,0
Potato,None,1.68,White,49.48,Seedling,Slow-moving,4,1,0
Tomato,None,1.83,Brown,79.0,Seedling,Fast-moving,11,1,0
Tomato,Whiteflies,1.79,Black,89.6,Vegetative,Scattered,20,0,1
Chili,Aphids,0.5,White,68.62,Seedling,Slow-moving,23,0,1
Tomato,Thrips,3.57,Black,54.54,Maturity,Slow-moving,13,0,1
Maize,Mites,0.74,White,4.36,Maturity,Slow-moving,10,1,1
Rice,Thrips,2.36,Brown,87.0,Vegetative,Scattered,29,0,1
Potato,Aphids,3.53,Yellow,37.72,Flowering,Slow-moving,18,0,1
Rice,Aphids,1.6,Brown,84.09,Flowering,Clustered,12,1,1
Cotton,Mites,0.71,Brown,38.62,Seedling,Scattered,9,1,1
Tomato,Mites,1.25,Yellow,20.91,Vegetative,Slow-moving,27,1,1
Rice,Mites,2.22,Green,69.07,Maturity,Clustered,4,0,1
Chili,None,2.76,Brown,68.25,Flowering,Scattered,28,0,0
Wheat,Thrips,3.29,Yellow,61.94,Maturity,Clustered,25,1,1
Cotton,None,3.03,Brown,48.53,Flowering,Slow-moving,3,1,0
Wheat,Caterpillars,2.05,White,49.52,Maturity,Fast-moving,6,0,1
Cotton,Mites,2.39,White,56.97,Flowering,Slow-moving,22,0,1
Maize,Aphids,2.05,Green,69.66,Vegetative,Scattered,15,0,1
Tomato,Caterpillars,2.15,White,42.07,Vegetative,Slow-moving,27,0,1
Wheat,Leafhoppers,1.09,Black,79.87,Seedling,Clustered,28,1,1
Tomato,Thrips,2.87,Green,82.95,Maturity,Slow-moving,6,0,1
Potato,Leafhoppers,1.53,Green,9.71,Vegetative,Slow-moving,5,1,1
Rice,Mites,1.39,Green,79.52,Seedling,Scattered,19,0,1
Potato,None,3.51,Green,20.52,Maturity,Fast-moving,9,1,0
Cotton,Leafhoppers,2.62,Green,11.29,Seedling,Slow-moving,28,0,1
Chili,None,0.5,Green,52.71,Vegetative,Clustered,26,1,0
Wheat,Whiteflies,2.44,Green,63.18,Maturity,Fast-moving,11,1,1
Maize,Whiteflies,1.34,Yellow,50.66,Vegetative,Slow-moving,24,1,1
Chili,Mites,3.09,Green,39.78,Flowering,Clustered,5,0,1
Chili,Mites,0.52,White,32.83,Vegetative,Slow-moving,22,1,1
Cotton,Mites,3.27,Yellow,40.16,Seedling,Clustered,25,0,1
Chili,Caterpillars,3.11,White,84.06,Maturity,Scattered,21,0,1
Chili,None,1.57,Green,61.46,Maturity,Fast-moving,16,1,0
Tomato,Mites,0.5,White,72.4,Vegetative,Scattered,8,1,1
Cotton,None,2.0,Green,84.84,Flowering,Fast-moving,4,1,0
Cotton,Thrips,2.17,Black,82.89,Vegetative,Slow-moving,5,0,1
Wheat,Aphids,2.77,Brown,57.7,Maturity,Fast-moving,12,1,1
Chili,Aphids,1.97,Green,23.25,Seedling,Fast-moving,5,0,1
Rice,Aphids,0.5,Black,56.02,Seedling,Fast-moving,4,1,1
Chili,Thrips,2.71,Yellow,75.06,Seedling,Fast-moving,19,0,1
Wheat,Whiteflies,2.1,Black,77.52,Seedling,Scattered,21,1,1
Tomato,Thrips,1.51,Yellow,3.97,Flowering,Scattered,28,0,1
Chili,Thrips,1.42,Green,27.32,Maturity,Clustered,3,0,1
Cotton,Thrips,1.45,Brown,18.92,Seedling,Slow-moving,11,0,1
Tomato,Whiteflies,1.92,Green,88.36,Seedling,Clustered,5,0,1
Chili,Aphids,1.94,Yellow,27.99,Seedling,Clustered,2,1,1
Maize,Mites,2.89,Yellow,3.65,Maturity,Fast-moving,11,1,1
Tomato,Mites,2.37,Yellow,38.09,Vegetative,Slow-moving,22,1,1
Wheat,Caterpillars,3.09,Black,74.76,Seedling,Scattered,28,0,1
Potato,Thrips,3.62,Green,1.94,Flowering,Scattered,24,1,1
Tomato,Whiteflies,1.48,Yellow,33.39,Maturity,Fast-moving,12,0,1
Potato,Leafhoppers,2.88,Green,9.9,Maturity,Fast-moving,6,1,1
Potato,Whiteflies,3.52,Green,24.69,Maturity,Scattered,6,1,1
Maize,Caterpillars,2.48,Black,11.17,Flowering,Scattered,12,0,1
Cotton,Leafhoppers,0.5,Black,85.68,Seedling,Scattered,8,1,1
Cotton,Mites,1.53,Yellow,75.62,Flowering,Fast-moving,29,1,1
Wheat,Mites,2.23,White,73.74,Flowering,Slow-moving,28,1,1
Chili,None,2.13,Green,70.04,Maturity,Slow-moving,25,1,0
Tomato,None,1.62,Yellow,67.54,Flowering,Slow-moving,3,1,0
Cotton,Caterpillars,0.5,Green,5.29,Flowering,Clustered,12,1,1
Wheat,Thrips,2.11,Yellow,25.92,Vegetative,Slow-moving,20,1,1
Maize,Leafhoppers,1.94,Green,22.44,Flowering,Clustered,17,0,1
Cotton,Mites,0.5,Green,19.5,Flowering,Fast-moving,9,0,1
Maize,Whiteflies,1.22,Brown,59.32,Maturity,Fast-moving,4,0,1
Chili,Aphids,3.08,White,3.15,Vegetative,Fast-moving,3,0,1
Maize,Leafhoppers,2.52,Yellow,55.3,Maturity,Clustered,15,1,1
Wheat,Aphids,1.62,Black,29.03,Flowering,Scattered,15,0,1
Tomato,Leafhoppers,0.5,Brown,56.64,Seedling,Slow-moving,13,0,1
Chili,Whiteflies,0.88,Black,39.48,Seedling,Slow-moving,15,0,1
Wheat,None,3.58,White,25.66,Flowering,Clustered,15,1,0
Tomato,None,1.51,Brown,89.63,Maturity,Scattered,19,0,0
Wheat,Aphids,0.77,White,89.36,Vegetative,Slow-moving,22,0,1
Maize,Aphids,1.07,Yellow,50.71,Seedling,Clustered,21,1,1
Cotton,Thrips,2.45,Green,61.87,Flowering,Clustered,20,1,1
Potato,Mites,3.02,Yellow,1.61,Flowering,Clustered,23,0,1
Rice,Thrips,1.13,Green,77.5,Seedling,Fast-moving,24,1,1
Chili,Aphids,1.33,White,34.32,Vegetative,Scattered,29,0,1
Maize,None,1.69,Black,31.72,Maturity,Clustered,13,1,0
Cotton,None,1.21,Yellow,85.69,Flowering,Scattered,22,1,0
Cotton,Leafhoppers,2.55,Brown,1.27,Seedling,Slow-moving,4,0,1
Potato,Caterpillars,0.5,Brown,72.13,Flowering,Clustered,10,1,1
Rice,Mites,2.86,Green,82.16,Vegetative,Clustered,12,0,1
Rice,Aphids,1.28,Black,12.28,Flowering,Fast-moving,27,0,1
Tomato,Leafhoppers,1.39,White,86.65,Vegetative,Slow-moving,27,1,1
Tomato,Whiteflies,2.75,Brown,44.32,Maturity,Clustered,12,0,1
Wheat,Thrips,2.19,Black,89.55,Vegetative,Fast-moving,6,0,1
Rice,Thrips,1.94,Yellow,25.4,Flowering,Clustered,15,1,1
Cotton,Leafhoppers,0.93,Black,74.12,Vegetative,Slow-moving,4,0,1
Chili,Aphids,1.0,Green,69.86,Flowering,Scattered,27,0,1
Rice,Whiteflies,2.85,White,54.28,Flowering,Fast-moving,28,1,1
Rice,None,4.98,Yellow,30.62,Maturity,Slow-moving,1,1,0
Cotton,Leafhoppers,1.15,Black,38.95,Vegetative,Fast-moving,10,0,1
Potato,Mites,1.52,Brown,23.4,Flowering,Fast-moving,11,1,1
Potato,Caterpillars,2.26,White,79.9,Vegetative,Scattered,13,0,1
Chili,Thrips,2.22,Black,82.86,Flowering,Slow-moving,7,0,1
Wheat,Whiteflies,2.27,Black,18.73,Flowering,Clustered,7,0,1
Rice,Aphids,3.41,Brown,83.02,Maturity,Fast-moving,21,1,1
Wheat,Whiteflies,1.69,Yellow,11.97,Maturity,Clustered,18,0,1
Chili,Aphids,2.32,Yellow,34.02,Flowering,Clustered,18,0,1
Cotton,Thrips,1.7,White,43.67,Seedling,Scattered,21,0,1
Tomato,Caterpillars,3.49,Green,54.47,Flowering,Scattered,26,1,1
Tomato,Thrips,2.94,Green,28.25,Seedling,Scattered,2,1,1
Maize,Whiteflies,0.5,Yellow,40.82,Flowering,Fast-moving,7,0,1
Rice,Caterpillars,1.81,Yellow,47.62,Seedling,Scattered,25,1,1
Tomato,Whiteflies,2.34,Brown,57.49,Flowering,Fast-moving,26,0,1
Maize,Caterpillars,3.26,White,1.64,Seedling,Clustered,19,0,1
Potato,Thrips,3.31,Yellow,5.24,Flowering,Fast-moving,23,0,1
Maize,None,1.43,Green,11.19,Vegetative,Scattered,26,0,0
Tomato,Caterpillars,3.45,Black,36.85,Flowering,Fast-moving,11,1,1
Chili,Mites,3.39,White,26.72,Flowering,Fast-moving,23,1,1
Wheat,Leafhoppers,2.92,Black,76.89,Vegetative,Fast-moving,3,0,1
Rice,Aphids,2.4,Green,85.57,Flowering,Slow-moving,2,0,1
Rice,Thrips,1.76,Black,51.83,Seedling,Clustered,2,1,1
Cotton,Caterpillars,4.2,Yellow,49.07,Vegetative,Slow-moving,11,0,1
Potato,Caterpillars,0.7,White,27.62,Maturity,Clustered,21,1,1
Chili,Caterpillars,0.9,Black,73.42,Seedling,Fast-moving,6,0,1
Maize,None,2.65,Green,8.0,Seedling,Clustered,8,1,0
Rice,Thrips,2.24,Black,56.66,Seedling,Scattered,14,0,1
