Product ID,Weight (g),Length (cm),Width (cm),Height (cm),Temp Sensor (°C),Pressure Sensor (kPa),Vibration Level,Surface Finish,Production Shift,Defective
45,452.75,10.53,4.68,2.06,76.3,89.8,0.42,Good,Night,0
46,514.41,10.67,5.42,2.89,60.4,98.3,0.33,Average,Night,0
47,571.54,15.28,4.4,2.51,53.8,105.8,0.16,Good,Day,0
48,544.7,10.7,4.55,2.56,79.3,90.4,0.79,Good,Night,0
49,414.2,10.26,5.58,3.07,64.0,90.4,0.41,Poor,Day,1
50,582.88,7.81,6.56,3.0,56.0,118.3,0.73,Average,Day,0
51,496.47,8.42,4.73,3.51,70.2,88.3,0.66,Good,Day,0
52,528.86,8.62,5.82,2.56,68.0,90.1,0.94,Average,Night,0
53,466.13,9.31,4.37,3.68,69.5,98.2,1.07,Good,Day,0
54,549.14,9.63,3.98,3.48,67.3,86.4,0.77,Good,Night,0
55,499.6,8.44,4.85,3.95,68.5,88.0,0.55,Good,Day,0
56,424.59,8.77,3.19,3.36,67.4,105.6,1.03,Good,Night,1
57,510.25,8.04,5.65,2.8,61.7,117.4,0.68,Good,Day,0
58,410.25,9.76,3.72,3.42,87.1,96.8,0.62,Good,Night,1
59,568.21,10.85,4.83,3.04,83.6,69.1,1.13,Good,Day,0
60,507.25,8.43,3.32,2.67,67.4,83.4,0.92,Good,Day,0
61,540.33,10.03,5.06,3.63,60.6,96.3,0.99,Average,Day,0
62,521.07,9.62,4.32,3.09,84.6,72.4,0.3,Good,Night,0
63,479.35,9.22,5.46,3.58,61.2,135.1,0.95,Good,Night,0
64,429.72,14.63,5.85,2.63,80.8,89.8,0.1,Good,Night,1
65,503.14,9.38,7.33,3.27,68.0,119.9,1.27,Good,Day,1
66,497.94,5.62,4.75,3.56,80.7,103.1,0.72,Poor,Night,1
67,508.18,8.29,6.08,2.24,66.5,77.8,0.84,Good,Night,0
68,492.87,8.26,5.26,3.4,68.5,117.8,0.43,Average,Day,0
69,461.38,10.34,6.16,2.92,70.2,102.0,0.41,Good,Day,0
70,402.04,12.42,2.83,2.5,69.2,82.6,0.11,Good,Day,1
71,462.11,10.25,3.65,3.2,72.1,106.3,0.1,Average,Day,0
72,538.8,10.45,3.82,2.94,67.6,112.8,0.98,Good,Night,0
73,469.63,11.26,5.91,2.1,77.8,94.0,0.55,Good,Night,0
74,478.3,12.34,3.76,2.5,90.7,120.5,0.35,Good,Day,1
75,477.14,7.29,6.67,3.49,58.4,115.6,0.6,Good,Night,0
76,503.76,11.42,5.32,2.65,75.7,78.6,0.61,Good,Night,0
77,502.35,11.86,4.45,2.39,69.8,93.8,0.38,Good,Day,0
78,555.03,8.59,6.29,1.78,71.4,111.6,1.18,Good,Night,0
79,586.2,9.07,5.5,2.34,82.9,100.6,0.8,Good,Day,0
80,488.44,9.26,5.67,3.2,73.9,66.6,0.46,Average,Day,0
81,460.61,10.68,4.89,3.17,73.1,99.1,1.04,Poor,Night,1
82,508.88,12.0,7.24,2.74,79.2,77.9,0.89,Good,Day,0
83,545.12,12.02,6.52,3.46,73.6,101.5,0.54,Good,Night,0
84,564.4,8.11,7.05,2.46,78.1,106.3,0.33,Good,Night,0
85,489.74,10.51,6.12,3.25,55.3,77.4,1.37,Good,Night,1
86,446.85,7.86,3.16,2.91,70.1,107.5,0.85,Poor,Night,1
87,525.24,8.94,5.03,3.31,65.6,113.9,0.41,Average,Night,0
88,513.31,11.87,5.53,1.6,65.6,125.6,0.9,Poor,Day,1
89,473.95,13.46,5.28,3.56,64.3,87.6,0.55,Good,Night,0
90,413.22,8.77,5.48,3.01,68.2,105.7,0.63,Good,Day,1
91,560.94,11.15,6.29,2.57,83.4,109.3,1.4,Good,Day,1
92,516.0,10.14,6.28,1.75,70.0,108.7,1.43,Good,Day,1
93,506.29,9.49,4.37,1.83,77.1,108.4,0.7,Good,Day,0
94,451.93,7.65,4.74,2.18,86.1,84.4,0.86,Average,Night,0
95,497.04,8.59,6.78,3.41,62.4,116.3,0.56,Average,Day,0
96,543.59,15.03,6.19,4.22,61.5,91.4,1.37,Good,Night,1
97,524.65,9.34,5.25,3.61,52.6,105.4,0.92,Good,Night,0
98,501.11,7.61,5.66,3.52,70.4,98.2,0.65,Good,Day,0
99,485.51,13.03,3.08,2.31,59.3,83.4,0.77,Average,Day,0
100,525.45,10.91,6.3,2.55,68.0,105.9,1.18,Good,Night,0
101,466.92,11.93,2.98,2.93,74.6,105.1,1.4,Average,Day,1
102,606.73,15.88,5.84,2.69,67.8,97.1,1.48,Poor,Night,1
103,445.47,8.71,4.18,2.69,57.8,111.0,0.92,Average,Day,1
104,469.04,9.93,6.12,2.48,81.2,79.0,1.06,Average,Day,0
105,556.78,13.03,4.66,2.59,61.4,130.4,0.84,Good,Night,0
106,448.37,11.65,5.05,2.32,65.9,71.0,0.99,Good,Day,1
107,527.45,7.78,4.92,3.23,72.2,108.8,0.65,Good,Night,0
108,497.42,9.49,4.43,2.95,96.4,102.7,1.23,Good,Night,1
109,546.25,5.21,2.93,2.98,77.4,124.3,1.17,Good,Day,0
110,527.2,9.82,4.73,2.98,70.7,107.1,1.49,Average,Day,1
111,549.04,8.24,4.07,2.62,77.5,108.3,0.98,Good,Day,0
112,459.57,8.28,5.93,3.49,64.2,96.0,0.97,Good,Day,0
113,502.82,6.23,3.84,3.49,88.7,109.0,1.16,Good,Day,0
114,493.33,8.58,5.37,2.7,85.8,97.7,0.11,Average,Day,0
115,501.66,13.72,5.35,2.84,42.5,75.9,1.21,Poor,Night,1
116,495.43,9.16,5.72,2.74,70.3,82.0,0.52,Average,Night,0
117,544.16,8.54,5.2,2.28,55.7,76.5,0.56,Good,Night,0
118,469.65,10.86,3.5,2.88,77.8,104.3,1.15,Good,Night,0
119,482.33,9.48,3.89,2.74,80.0,105.6,0.24,Good,Day,0
120,474.79,11.64,5.01,1.96,86.8,98.4,1.19,Good,Night,0
121,487.77,10.79,6.11,3.0,67.5,102.3,0.97,Average,Night,0
122,447.12,10.02,5.7,2.31,83.7,67.2,1.5,Average,Night,1
123,483.93,8.65,3.69,2.75,81.6,99.0,1.25,Poor,Night,1
124,473.9,9.07,5.19,3.08,61.5,132.8,0.22,Average,Day,0
125,424.25,9.36,6.48,3.95,55.7,114.0,0.96,Good,Day,1
126,469.8,12.03,5.3,2.51,55.7,89.7,0.72,Good,Day,0
127,511.55,5.89,6.02,3.27,89.8,74.5,1.3,Good,Night,1
128,460.79,11.62,6.35,3.4,79.8,95.8,0.18,Average,Day,0
129,535.75,12.37,5.11,2.51,72.4,117.0,0.96,Average,Night,0
130,500.3,9.33,5.76,3.42,81.5,92.4,0.73,Good,Night,0
131,388.47,11.96,5.1,3.98,69.1,120.2,0.4,Good,Night,1
132,476.37,11.78,3.43,3.34,80.6,100.1,0.8,Good,Day,0
133,535.35,11.03,4.23,3.0,73.1,69.5,0.49,Good,Night,0
134,433.29,11.4,4.95,4.05,68.8,99.3,0.5,Average,Day,1
135,536.7,6.92,6.15,2.77,65.7,92.1,0.91,Good,Day,0
136,381.13,9.15,5.26,2.8,76.3,112.8,1.13,Good,Night,1
137,420.3,11.11,5.28,2.79,54.6,107.1,0.78,Average,Day,1
138,557.61,11.02,6.78,3.23,75.1,105.4,1.08,Good,Day,0
139,537.99,9.64,3.94,3.35,55.2,102.4,1.45,Good,Night,1
140,562.27,8.58,6.42,2.99,72.1,89.6,0.23,Good,Day,0
141,526.66,12.15,4.29,2.86,68.7,110.8,0.26,Good,Night,0
142,446.86,11.51,5.96,3.26,75.6,92.7,0.18,Good,Night,1
143,607.88,11.84,5.88,3.76,78.1,111.4,0.69,Good,Day,0
144,474.58,6.0,6.21,2.89,60.6,78.2,0.55,Good,Day,0
145,508.86,10.12,6.75,2.06,66.8,104.4,0.97,Good,Night,0
146,532.22,10.2,5.53,4.3,61.4,61.6,0.26,Good,Night,0
147,553.97,8.8,3.0,2.07,81.3,118.3,0.4,Good,Night,0
148,584.96,11.77,4.37,2.28,68.5,87.3,0.59,Poor,Day,1
149,520.91,10.65,4.58,3.3,72.4,91.9,1.32,Good,Day,1
150,427.78,4.26,5.4,2.98,63.7,94.6,1.19,Average,Day,1
151,473.24,9.83,3.7,2.27,59.3,98.7,0.63,Good,Night,0
152,409.74,8.97,4.78,3.05,63.3,92.5,1.07,Good,Day,1
153,501.24,11.99,5.76,2.62,68.3,117.4,1.28,Good,Night,1
154,476.11,7.07,7.05,2.88,52.5,116.2,0.83,Average,Day,0
155,442.1,9.22,5.9,2.15,61.7,127.8,0.28,Good,Night,1
156,576.26,10.84,5.7,2.61,54.8,63.4,0.75,Good,Day,0
157,567.33,6.86,4.24,3.0,68.3,114.3,1.14,Average,Day,0
158,361.54,11.34,4.01,2.67,60.3,110.1,0.14,Good,Day,1
159,548.0,8.02,4.52,3.83,70.7,81.9,0.15,Good,Day,0
160,524.01,12.27,6.91,3.28,80.8,114.9,0.54,Good,Day,0
161,467.93,13.27,4.7,3.08,56.5,123.3,0.88,Good,Night,0
162,546.28,11.13,5.75,2.77,86.8,86.6,1.34,Average,Day,1
163,535.49,10.2,4.28,3.02,71.4,89.9,0.84,Good,Day,0
164,439.21,12.39,4.33,4.03,62.3,116.6,1.35,Good,Day,1
165,540.83,13.61,4.05,3.13,66.2,127.3,0.16,Good,Day,0
166,503.7,11.2,4.41,3.28,64.1,105.5,1.48,Good,Day,1
167,457.35,12.77,4.51,3.63,61.4,108.3,0.27,Poor,Day,1
168,554.69,10.96,5.1,2.71,70.4,92.6,0.48,Good,Night,0
169,536.76,11.43,6.13,3.03,63.6,110.5,0.79,Good,Night,0
170,472.24,10.78,5.16,2.06,73.3,93.2,0.98,Average,Day,0
171,480.5,9.15,4.34,2.78,85.5,93.7,0.13,Good,Day,0
172,470.92,10.72,6.46,2.55,78.9,113.9,1.03,Average,Day,0
173,468.31,7.01,5.82,2.83,86.0,113.3,0.44,Good,Night,0
174,464.83,10.06,2.98,3.25,61.4,131.6,0.14,Average,Night,0
175,503.5,8.04,5.54,2.57,62.2,97.8,1.16,Good,Day,0
176,559.16,10.98,4.64,2.75,57.5,106.3,1.26,Average,Day,1
177,492.04,8.03,7.17,2.28,63.3,97.5,1.07,Average,Night,0
178,575.05,10.52,4.77,2.56,79.1,100.9,1.25,Good,Night,1
179,434.9,10.07,2.53,2.65,77.3,124.9,0.89,Good,Day,1
180,474.62,9.49,6.73,2.6,64.1,89.4,1.14,Good,Day,0
181,520.64,12.57,4.74,2.45,78.4,87.3,0.11,Average,Day,0
182,470.23,9.99,5.75,3.27,54.0,103.2,1.3,Average,Night,1
183,511.01,12.46,4.83,3.56,65.4,122.6,1.49,Good,Day,1
184,403.46,12.86,6.76,1.89,56.5,110.3,1.03,Average,Day,1
185,446.41,12.0,5.51,3.26,83.0,108.7,0.68,Good,Day,1
186,468.0,11.15,6.95,2.52,58.9,77.4,0.24,Good,Night,0
187,544.16,8.85,6.49,2.85,75.9,83.5,1.09,Good,Night,0
188,481.85,7.81,4.27,2.81,62.3,105.6,1.08,Good,Night,0
189,573.13,10.58,5.2,2.82,83.4,110.4,0.48,Good,Night,0
190,342.52,8.79,4.78,2.64,56.2,107.5,0.93,Average,Night,1
191,500.98,10.67,3.18,2.79,61.5,98.5,0.83,Good,Night,0
192,513.05,12.26,4.77,2.2,76.7,100.4,0.53,Good,Day,0
193,552.9,12.34,5.66,2.94,79.3,103.2,0.88,Good,Day,0
194,635.25,11.54,4.1,3.32,65.6,79.7,1.3,Good,Night,1
195,521.37,8.74,6.27,3.02,71.8,67.7,1.16,Average,Night,0
196,473.77,8.9,4.42,2.21,66.2,86.4,0.64,Average,Day,0
197,443.44,9.21,4.98,3.76,65.4,112.9,1.49,Average,Day,1
198,549.96,11.15,4.6,2.78,70.4,108.4,1.3,Average,Day,1
199,499.96,11.46,5.23,3.9,73.1,109.4,1.14,Average,Day,0
200,492.41,12.32,4.35,2.51,71.3,128.8,0.93,Average,Night,0
201,414.0,11.01,4.67,2.85,69.4,109.4,0.67,Good,Night,1
202,430.19,9.85,5.37,3.17,67.9,98.6,1.06,Poor,Night,1
203,443.26,11.79,4.82,3.56,80.4,104.3,1.44,Good,Day,1
204,393.14,9.66,4.55,1.94,75.2,100.8,1.36,Average,Day,1
205,499.27,13.12,4.15,3.25,62.3,110.1,1.44,Average,Night,1
206,537.87,8.51,3.62,3.14,73.8,64.6,0.46,Good,Night,0
207,577.62,6.54,4.92,3.38,68.6,81.4,0.31,Good,Night,0
208,504.9,12.41,6.48,3.28,65.9,99.0,0.72,Good,Night,0
209,522.05,7.43,4.75,2.53,63.9,124.0,0.33,Good,Night,0
210,491.85,9.42,5.46,2.75,63.4,64.4,0.92,Poor,Day,1
211,484.37,13.66,4.62,3.26,80.7,111.2,0.5,Good,Night,0
212,547.23,6.77,5.84,2.57,80.0,84.6,1.43,Good,Night,1
213,538.93,9.39,2.75,2.97,82.5,115.7,0.19,Good,Night,0
214,465.37,8.0,5.49,3.62,64.4,91.6,0.17,Good,Day,0
215,585.42,10.14,4.39,3.4,70.4,101.1,0.6,Average,Day,0
216,554.19,7.74,4.75,3.25,42.2,107.2,1.45,Average,Night,1
217,497.05,11.55,5.56,3.04,68.3,100.6,0.22,Good,Night,0
218,520.41,10.56,4.54,2.9,77.5,114.4,0.33,Good,Day,0
219,476.93,12.0,6.18,3.29,77.9,106.4,1.38,Good,Day,1
220,414.88,6.71,4.22,3.63,75.3,110.3,1.45,Good,Day,1
221,537.16,10.41,4.84,3.47,67.9,99.7,0.97,Good,Night,0
222,506.94,8.3,5.27,3.53,52.6,101.2,0.62,Good,Night,0
223,653.8,8.08,3.11,2.68,62.5,87.6,0.49,Average,Day,0
224,536.27,9.35,5.59,3.21,67.8,122.3,0.3,Good,Day,0
225,512.2,10.55,4.83,3.68,63.8,83.6,0.44,Good,Night,0
226,460.62,7.25,6.55,3.51,74.1,111.3,0.93,Good,Day,0
227,469.56,8.57,5.48,2.57,72.4,105.6,0.79,Average,Night,0
228,570.38,14.17,3.51,2.56,95.6,102.6,0.24,Average,Night,1
229,488.3,10.54,3.36,3.14,56.9,105.6,1.42,Good,Day,1
230,483.82,11.91,5.77,2.54,54.1,105.9,1.18,Good,Night,0
231,513.32,10.94,4.27,3.15,92.9,104.5,0.7,Good,Night,1
232,468.34,11.52,4.92,3.26,77.5,99.6,0.47,Average,Day,0
233,478.71,8.16,4.83,3.0,61.5,103.6,0.29,Poor,Day,1
234,484.15,12.01,4.89,3.47,84.4,114.9,0.69,Poor,Night,1
235,453.86,10.6,5.89,2.75,58.5,89.3,0.21,Good,Night,0
236,521.61,9.82,6.28,2.64,78.8,87.2,0.89,Poor,Night,1
237,523.27,11.84,6.49,3.69,60.5,121.7,0.27,Good,Day,0
238,537.45,9.54,7.15,2.6,74.9,95.6,0.71,Good,Night,0
239,499.7,10.45,3.84,3.06,81.5,111.4,1.31,Average,Night,1
240,396.73,9.88,4.96,2.66,84.4,92.0,0.22,Average,Night,1
241,592.93,10.8,4.88,3.62,68.3,95.9,1.19,Good,Night,0
242,478.56,9.4,5.12,3.0,71.9,81.4,0.96,Good,Night,0
243,424.74,9.28,6.03,2.61,66.8,82.6,0.38,Average,Night,1
244,500.37,10.27,3.09,3.45,71.2,125.1,1.34,Poor,Day,1
245,465.97,8.57,4.36,3.76,84.9,103.6,0.56,Good,Night,0
246,433.57,7.97,3.94,2.74,67.1,95.6,1.27,Good,Day,1
247,551.39,12.54,5.5,1.83,82.0,128.1,0.64,Good,Night,0
248,499.39,7.44,6.66,3.1,70.8,118.6,0.3,Good,Night,0
249,520.36,8.11,5.57,3.79,64.4,94.2,0.56,Good,Day,0
250,485.59,12.33,3.76,3.15,46.4,90.7,1.32,Good,Day,1
251,529.72,11.31,6.0,3.79,69.5,87.8,0.66,Good,Night,0
252,492.74,12.12,5.67,2.79,70.5,99.7,0.95,Good,Day,0
253,516.8,11.07,5.54,3.13,71.8,95.5,0.5,Average,Night,0
254,532.61,10.64,5.22,2.53,68.7,114.1,1.29,Average,Night,1
255,511.38,7.46,4.04,2.99,62.8,104.2,0.44,Good,Day,0
256,489.64,7.63,5.11,3.03,72.0,71.0,0.25,Poor,Night,1
257,483.82,5.86,4.63,2.96,74.3,133.8,0.45,Average,Night,0
258,426.01,9.79,3.55,3.2,68.7,120.3,0.77,Poor,Day,1
259,579.28,7.22,7.29,3.09,53.6,99.3,0.25,Good,Day,0
260,472.8,10.08,4.13,3.22,66.2,113.4,0.73,Average,Night,0
261,474.0,13.38,5.49,2.22,74.3,107.6,1.04,Average,Night,0
262,517.8,9.3,6.03,3.28,69.4,81.2,1.28,Poor,Night,1
263,498.57,10.16,6.48,2.72,59.6,107.9,1.34,Good,Night,1
264,490.06,8.76,6.2,3.6,80.0,103.7,1.37,Good,Day,1
265,459.1,9.94,5.3,2.72,54.1,100.5,0.46,Poor,Night,1
266,554.91,8.35,3.83,2.82,75.0,83.0,0.58,Good,Night,0
267,484.77,7.21,4.21,2.94,61.0,81.7,1.4,Good,Day,1
268,554.92,8.56,5.95,3.38,72.5,111.3,1.3,Good,Night,1
269,482.21,12.55,6.8,2.97,75.5,97.9,0.88,Poor,Night,1
270,577.76,8.88,5.82,3.26,66.2,64.1,1.44,Poor,Day,1
271,545.18,12.09,5.5,3.74,65.2,110.5,0.82,Good,Night,0
272,534.49,10.38,5.21,3.17,73.1,105.5,0.7,Good,Night,0
273,522.78,10.05,4.43,2.29,79.7,89.6,0.78,Good,Day,0
274,522.78,14.03,5.5,2.36,80.7,124.9,1.32,Good,Day,1
275,579.64,7.42,4.5,2.56,60.6,79.2,0.29,Average,Night,0
276,558.2,9.59,4.28,3.27,81.8,124.2,1.04,Good,Day,0
277,476.07,10.13,6.34,2.59,83.4,80.2,0.72,Good,Night,0
278,469.73,5.21,3.5,3.2,64.3,101.9,0.28,Good,Day,0
279,516.92,11.69,3.39,3.17,52.1,101.5,0.22,Good,Night,0
280,471.16,9.56,3.57,3.05,59.3,88.7,1.04,Good,Night,0
281,490.81,7.27,5.89,2.71,77.4,100.4,1.48,Good,Day,1
282,519.34,6.95,4.92,3.64,79.7,131.5,0.52,Good,Day,0
283,517.15,6.87,5.33,3.56,77.0,106.8,0.47,Good,Day,0
284,558.27,9.42,4.08,3.45,65.2,110.2,0.77,Good,Night,0
285,464.33,8.77,3.21,3.85,75.7,117.7,0.19,Good,Day,0
286,482.99,7.6,5.69,3.32,54.0,102.8,0.28,Good,Day,0
287,475.51,6.67,5.32,2.92,68.0,78.8,0.17,Good,Night,0
288,517.83,13.61,6.82,2.77,67.1,91.4,1.35,Good,Day,1
289,504.86,11.79,4.69,2.55,61.7,129.7,0.43,Good,Day,0
290,522.15,8.93,4.35,2.17,67.8,106.2,0.73,Good,Night,0
291,558.22,7.89,3.76,2.16,70.3,88.3,0.11,Good,Day,0
292,571.76,8.74,7.68,2.64,61.0,99.9,0.45,Good,Night,0
293,482.72,10.88,6.54,3.88,76.3,130.3,0.75,Good,Day,0
294,522.48,12.51,5.01,2.8,81.5,109.9,1.45,Good,Day,1
295,474.97,9.68,3.68,3.2,63.9,113.6,0.25,Good,Day,0
296,525.57,10.22,3.31,2.08,66.5,93.8,0.52,Good,Night,0
297,485.74,8.89,3.51,2.85,68.9,94.4,0.68,Good,Night,0
298,567.09,14.34,4.79,3.18,69.6,84.3,1.19,Poor,Day,1
299,561.43,6.91,3.96,2.3,83.0,104.4,1.34,Poor,Night,1
300,515.67,11.23,4.65,3.59,63.3,100.4,1.07,Good,Night,0
301,424.39,6.64,4.71,2.67,67.7,88.5,0.57,Good,Night,1
302,509.22,12.07,3.78,3.69,64.0,96.0,0.66,Average,Day,0
303,527.5,9.73,6.76,3.07,65.3,92.0,1.25,Good,Night,1
304,491.76,8.31,5.04,2.6,79.8,98.1,1.01,Good,Night,0
305,470.25,9.79,6.38,2.42,78.0,93.9,1.25,Good,Night,1
306,529.12,9.4,5.9,1.51,67.6,94.3,1.17,Good,Day,0
307,474.12,9.13,4.04,3.35,64.4,129.6,0.66,Good,Day,0
308,478.63,8.64,5.43,3.35,66.3,99.0,0.3,Good,Night,0
309,531.6,12.35,5.65,2.31,84.3,110.8,0.21,Good,Night,0
310,530.94,10.37,5.17,3.23,63.9,116.2,1.12,Average,Night,0
311,586.76,8.01,5.7,2.77,71.8,96.9,1.11,Good,Night,0
312,517.91,9.72,4.04,3.18,73.3,99.0,0.73,Average,Night,0
313,477.38,8.41,3.09,2.45,60.2,84.5,1.09,Average,Day,0
314,441.13,10.33,5.95,2.81,58.9,109.5,0.43,Good,Night,1
315,529.76,10.01,3.76,3.08,50.3,95.0,0.81,Average,Day,0
316,485.95,11.86,4.47,4.02,69.2,104.4,1.34,Good,Night,1
317,526.43,8.91,3.43,3.11,81.1,101.6,1.16,Good,Night,0
318,554.59,8.95,4.45,3.33,67.3,104.5,1.19,Good,Day,0
319,509.83,8.46,6.04,3.36,84.8,96.1,1.42,Good,Day,1
320,518.18,9.31,5.75,3.87,85.6,107.4,0.2,Average,Night,0
321,518.26,11.69,3.61,3.09,67.6,116.1,0.34,Average,Night,0
322,445.84,10.34,6.18,2.63,57.3,104.0,1.06,Average,Day,1
323,472.0,10.33,6.46,3.29,59.0,91.7,1.45,Average,Night,1
324,574.78,11.1,6.9,2.97,76.2,78.4,1.37,Good,Night,1
325,530.88,5.22,4.77,2.26,54.8,84.5,0.26,Average,Night,0
326,480.62,10.27,4.44,2.8,58.5,107.2,1.45,Good,Night,1
327,484.19,10.54,5.59,2.48,59.3,105.5,0.61,Good,Day,0
328,490.63,14.42,5.64,1.83,71.3,98.0,0.4,Average,Night,0
329,460.06,11.37,4.88,3.49,68.9,109.2,0.3,Good,Night,0
330,477.45,12.15,5.4,3.6,70.1,126.9,0.67,Good,Day,0
331,419.53,12.57,4.07,4.08,77.4,86.3,0.58,Good,Day,1
332,432.71,9.64,4.76,2.59,54.2,99.1,0.97,Average,Night,1
333,493.85,6.77,5.29,2.72,80.3,123.0,0.24,Good,Day,0
334,509.21,9.27,5.86,3.42,76.0,80.9,0.38,Good,Night,0
335,464.57,8.18,5.16,2.23,71.4,94.0,0.47,Good,Night,0
336,493.35,11.12,5.11,3.69,60.3,81.3,1.16,Good,Night,0
337,461.21,8.27,3.62,2.43,77.0,80.9,0.49,Average,Night,0
338,364.01,9.02,5.6,3.13,60.7,107.3,0.29,Good,Night,1
339,467.68,13.28,5.27,2.67,72.3,83.4,1.47,Poor,Night,1
340,534.99,8.31,4.85,3.41,85.2,108.5,1.36,Poor,Day,1
341,511.48,10.31,4.77,3.17,67.1,112.0,1.19,Good,Night,0
342,405.67,8.84,3.58,3.58,82.1,125.0,0.26,Good,Day,1
343,407.04,9.56,4.43,2.94,70.0,118.3,0.7,Good,Night,1
344,495.7,10.28,7.0,2.75,59.7,123.5,0.29,Good,Day,0
345,534.39,7.24,3.87,2.96,79.8,107.3,1.48,Good,Day,1
346,478.06,11.82,5.54,3.06,54.9,127.1,1.37,Good,Day,1
347,564.11,11.36,2.64,2.78,69.3,119.3,0.72,Good,Night,0
348,508.18,11.51,4.15,3.08,73.7,77.0,0.11,Good,Night,0
349,479.62,9.19,5.76,2.64,56.5,85.0,0.25,Average,Night,0
350,455.18,10.0,6.86,3.4,68.1,104.5,0.16,Poor,Night,1
351,480.36,11.81,5.24,2.15,67.9,121.4,0.98,Good,Day,0
352,447.73,9.64,6.17,3.28,60.6,115.0,0.81,Good,Night,1
353,468.84,11.37,4.2,2.98,84.4,65.7,0.88,Good,Night,0
354,489.67,8.01,4.97,3.06,58.0,63.1,0.44,Good,Night,0
355,407.83,9.56,4.4,2.82,67.4,104.7,0.87,Good,Night,1
356,466.49,5.68,6.0,3.64,58.0,104.8,1.04,Good,Night,0
357,439.61,8.36,4.54,2.24,72.3,101.7,0.52,Good,Day,1
358,534.51,12.24,4.37,4.17,74.3,83.2,0.29,Good,Night,0
359,409.72,9.45,4.59,1.9,65.7,101.1,0.53,Good,Night,1
360,436.13,7.91,5.63,3.1,79.5,89.7,0.25,Average,Day,1
361,490.4,13.07,4.69,3.27,67.1,78.7,0.15,Good,Night,0
362,518.26,12.18,3.69,2.72,65.4,106.8,1.4,Good,Day,1
363,597.95,11.07,1.97,2.47,83.6,100.1,0.76,Poor,Day,1
