GamerID,PreferredGenre,AvgSessionTimeMins,SessionsPerWeek,InGamePurchases,AchievementsUnlocked,FriendsInNetwork,PrefersMultiplayer,UsesVoiceChat,StreamingHoursPerWeek,GamerType
1097,Puzzle,25.3,8,4,55,11,1,0,6.2,Casual
1098,Simulation,105.5,6,1,87,45,0,1,2.4,Explorer
1099,Sports,10.0,4,1,2,273,1,0,1.9,Socializer
1100,Puzzle,80.3,8,2,66,293,1,1,1.0,Strategist
1101,Simulation,88.4,4,2,46,180,0,0,2.8,Explorer
1102,Shooter,21.0,9,0,66,124,1,0,1.1,Explorer
1103,RPG,45.1,11,1,39,245,1,1,2.2,Achiever
1104,Shooter,62.4,11,1,98,229,1,0,5.7,Casual
1105,Shooter,66.7,11,0,67,109,1,0,1.0,Explorer
1106,RPG,44.8,7,0,15,98,1,1,12.6,Socializer
1107,Action,42.6,2,4,1,88,1,1,0.8,Strategist
1108,Sports,102.5,14,2,86,295,1,1,2.8,Socializer
1109,Puzzle,15.5,3,0,33,19,1,1,1.4,Achiever
1110,Sports,47.0,9,0,78,2,1,0,5.3,Explorer
1111,Simulation,18.3,8,0,33,297,1,0,2.7,Socializer
1112,Simulation,31.6,2,0,24,169,1,1,1.7,Casual
1113,Shooter,28.2,13,3,18,99,0,0,1.0,Strategist
1114,Adventure,35.3,4,4,68,149,1,1,2.1,Achiever
1115,Adventure,62.3,2,2,31,284,0,0,3.3,Casual
1116,Adventure,83.3,11,1,4,44,1,0,14.2,Casual
1117,RPG,72.1,9,2,79,247,1,1,0.5,Casual
1118,Puzzle,67.4,4,2,17,158,0,1,4.6,Strategist
1119,Sports,86.7,5,3,70,272,1,0,4.5,Explorer
1120,Action,32.1,12,1,9,275,1,1,3.2,Socializer
1121,Adventure,74.2,7,0,12,183,1,1,0.3,Socializer
1122,RPG,112.5,13,2,55,186,1,0,1.0,Socializer
1123,Action,57.5,2,3,62,261,1,1,0.4,Explorer
1124,Adventure,10.0,9,2,83,107,1,1,3.1,Achiever
1125,RPG,90.7,13,2,26,163,0,1,1.6,Socializer
1126,RPG,63.7,6,4,88,272,1,1,8.7,Strategist
1127,Simulation,41.1,10,2,57,226,1,1,1.0,Achiever
1128,RPG,84.7,10,1,87,164,1,1,1.1,Explorer
1129,Action,83.8,3,2,17,194,1,1,5.4,Socializer
1130,RPG,87.5,2,1,83,263,1,0,1.2,Casual
1131,Shooter,128.4,7,0,85,260,0,1,1.3,Strategist
1132,Action,72.9,13,5,49,189,1,0,4.0,Achiever
1133,Action,47.0,10,2,67,117,1,0,0.1,Casual
1134,Puzzle,68.8,11,1,6,297,1,0,1.5,Strategist
1135,Simulation,69.0,1,1,8,284,1,1,0.5,Strategist
1136,Puzzle,10.0,1,2,15,37,1,1,3.3,Achiever
1137,Shooter,51.6,9,0,69,52,1,1,1.8,Achiever
1138,Action,21.1,9,4,1,94,1,0,5.4,Socializer
1139,Adventure,29.2,11,0,68,169,1,1,1.8,Achiever
1140,RPG,54.0,1,3,22,123,1,0,1.8,Explorer
1141,Action,86.4,8,0,66,186,1,0,1.0,Achiever
1142,Adventure,83.0,5,2,74,159,1,1,5.6,Socializer
1143,RPG,82.8,9,3,64,155,0,1,1.0,Explorer
1144,Puzzle,58.5,7,2,88,78,1,1,0.4,Achiever
1145,Adventure,60.5,12,5,89,152,1,0,3.3,Casual
1146,Action,26.3,7,2,73,93,1,0,0.2,Achiever
1147,Action,84.2,3,1,80,62,1,1,5.8,Socializer
1148,RPG,69.6,11,1,52,8,1,1,1.3,Explorer
1149,Shooter,71.2,10,0,10,71,0,1,4.9,Socializer
1150,Simulation,48.3,14,3,7,217,1,1,0.5,Socializer
1151,Adventure,13.4,13,5,85,295,0,1,3.2,Socializer
1152,Action,123.6,1,2,1,254,1,1,0.8,Strategist
1153,Puzzle,91.7,14,2,24,286,0,1,1.3,Achiever
1154,Sports,66.1,3,2,37,279,0,0,7.4,Casual
1155,Adventure,46.8,14,2,73,37,1,0,0.9,Achiever
1156,Puzzle,85.5,10,2,25,99,1,1,0.4,Socializer
1157,Sports,90.2,13,6,35,5,1,1,2.4,Explorer
1158,Sports,21.0,7,0,66,30,0,1,1.5,Strategist
1159,Action,69.7,1,3,56,54,1,1,3.0,Socializer
1160,Simulation,73.8,14,0,93,77,0,1,0.1,Socializer
1161,Puzzle,82.6,6,0,50,96,1,0,3.5,Achiever
1162,Shooter,45.7,8,1,48,275,0,0,2.2,Casual
1163,Shooter,10.0,11,1,55,173,1,1,4.4,Socializer
1164,Adventure,38.9,7,1,27,44,1,0,8.8,Achiever
1165,Simulation,66.6,4,2,4,48,1,0,2.4,Explorer
1166,Sports,91.7,5,2,16,1,1,1,0.0,Casual
1167,Adventure,92.2,8,4,32,230,0,1,6.8,Socializer
1168,Adventure,56.9,13,3,31,56,1,1,0.2,Strategist
1169,Shooter,28.4,10,2,33,257,0,0,11.4,Casual
1170,RPG,66.0,8,1,0,268,1,1,4.8,Achiever
1171,Shooter,54.2,14,5,44,115,0,0,0.6,Achiever
1172,Adventure,60.6,3,7,45,37,1,0,2.5,Socializer
1173,Puzzle,77.2,11,2,49,270,1,0,5.7,Explorer
1174,Simulation,57.6,7,3,42,175,1,0,6.0,Strategist
1175,Simulation,126.8,9,0,93,259,1,0,3.7,Achiever
1176,RPG,40.1,11,2,50,171,1,1,1.7,Strategist
1177,Puzzle,77.4,7,5,86,50,0,0,6.7,Achiever
1178,Puzzle,33.3,14,2,11,19,1,1,0.7,Casual
1179,Adventure,19.1,4,2,78,85,1,0,5.9,Strategist
1180,Puzzle,81.1,7,0,76,169,0,1,7.9,Achiever
1181,Simulation,10.0,5,1,82,11,0,1,3.0,Explorer
1182,Puzzle,64.5,4,2,70,28,1,0,0.6,Casual
1183,Adventure,47.8,6,2,64,58,1,0,1.3,Strategist
1184,Action,94.9,5,3,29,221,1,0,1.1,Socializer
1185,Action,38.5,6,0,22,106,0,1,1.0,Explorer
1186,Shooter,38.0,8,0,87,245,1,0,1.7,Casual
1187,RPG,49.3,12,0,0,119,1,1,6.5,Strategist
1188,Shooter,77.1,9,2,23,242,1,0,4.9,Explorer
1189,RPG,64.8,14,2,53,108,0,1,3.1,Achiever
1190,Puzzle,40.7,6,3,41,270,1,0,1.7,Explorer
1191,Sports,30.8,8,2,91,20,0,1,11.9,Casual
1192,Puzzle,70.5,2,0,33,281,1,0,0.4,Socializer
1193,Adventure,81.7,10,4,1,197,0,0,3.4,Casual
1194,Adventure,74.9,11,0,62,205,1,0,6.7,Socializer
1195,Shooter,97.1,5,4,28,52,1,1,3.6,Strategist
1196,Simulation,13.9,7,1,55,143,1,1,1.1,Strategist
1197,Simulation,63.1,13,2,25,219,1,1,1.3,Achiever
1198,Sports,68.7,11,0,51,29,1,0,5.7,Casual
1199,Sports,72.9,14,3,7,114,0,0,0.1,Strategist
1200,Sports,37.5,7,1,29,19,1,1,0.5,Casual
1201,RPG,42.1,8,3,73,17,1,0,1.1,Strategist
1202,RPG,53.9,7,4,15,197,1,1,1.5,Achiever
1203,Puzzle,10.4,12,1,91,44,0,0,10.2,Casual
1204,Puzzle,89.3,10,3,25,133,1,0,0.3,Socializer
1205,Shooter,106.1,4,2,73,13,1,0,6.1,Strategist
1206,Shooter,36.6,4,1,74,136,1,1,2.4,Casual
1207,Sports,39.3,2,5,51,205,1,1,1.9,Casual
1208,Shooter,10.0,1,1,49,298,1,0,1.0,Strategist
1209,Adventure,75.3,13,2,2,12,1,1,4.0,Casual
1210,RPG,55.7,8,1,24,260,1,1,0.0,Achiever
1211,Shooter,85.2,7,1,48,23,0,0,2.5,Socializer
1212,Action,39.9,2,2,63,12,1,1,2.9,Explorer
1213,Action,81.1,2,4,59,22,1,1,4.7,Socializer
1214,Puzzle,76.8,10,2,0,280,1,1,1.5,Strategist
1215,Adventure,124.0,2,1,69,204,1,0,5.3,Explorer
1216,Shooter,19.0,2,1,44,240,0,1,1.9,Casual
1217,Shooter,90.2,2,0,64,28,0,0,8.0,Socializer
1218,Adventure,88.6,8,0,72,183,1,0,12.2,Casual
1219,Simulation,105.3,13,1,27,95,1,1,0.0,Strategist
1220,Action,31.8,13,4,47,237,0,1,0.6,Achiever
1221,Sports,60.7,1,3,4,28,1,1,4.7,Socializer
1222,Sports,94.9,6,2,81,272,1,0,0.5,Explorer
1223,Simulation,53.0,10,4,92,285,0,0,0.1,Socializer
1224,Shooter,45.5,9,2,32,93,1,0,4.6,Strategist
1225,Sports,81.5,2,2,43,40,0,1,0.9,Socializer
1226,Puzzle,86.4,7,1,7,178,1,1,3.5,Socializer
1227,RPG,71.4,8,2,62,187,1,1,3.1,Casual
1228,Shooter,44.4,11,1,37,60,0,1,0.3,Socializer
1229,Sports,73.8,14,2,88,35,1,1,7.6,Casual
1230,Adventure,80.5,13,1,42,285,0,0,3.9,Strategist
1231,Shooter,57.5,6,4,49,28,0,1,2.0,Socializer
1232,Adventure,29.9,4,4,24,109,1,0,0.0,Casual
1233,RPG,18.5,2,2,87,49,1,1,0.1,Socializer
1234,RPG,31.1,11,2,74,7,0,1,2.2,Achiever
1235,Shooter,50.2,8,2,85,22,0,0,1.6,Achiever
1236,Sports,84.4,8,4,62,97,1,1,2.9,Casual
1237,Puzzle,21.4,1,2,96,223,1,1,0.2,Achiever
1238,Action,54.6,1,2,2,289,1,1,1.6,Socializer
1239,Shooter,43.4,12,2,35,63,1,0,0.2,Socializer
1240,Shooter,10.0,7,1,53,183,1,0,2.4,Achiever
1241,Simulation,84.4,9,1,99,142,1,1,4.6,Achiever
1242,Shooter,28.9,3,0,72,62,1,0,3.1,Achiever
1243,Sports,28.3,12,1,49,270,1,0,0.4,Socializer
1244,Action,10.0,6,1,59,16,0,0,0.9,Achiever
1245,Action,92.4,1,1,0,203,1,1,2.2,Socializer
1246,Simulation,98.5,4,1,48,286,1,1,5.7,Strategist
1247,Action,100.1,9,3,49,233,1,0,3.7,Strategist
1248,RPG,63.4,6,1,90,268,1,0,1.1,Casual
1249,Shooter,46.6,12,2,89,98,1,0,1.3,Casual
1250,Sports,63.3,8,3,21,7,0,0,0.2,Socializer
1251,Shooter,57.2,5,2,39,43,0,0,9.7,Explorer
1252,Adventure,61.0,10,2,85,97,1,0,2.6,Achiever
1253,Action,43.8,2,3,36,22,1,0,4.2,Strategist
1254,Shooter,82.8,14,0,44,173,1,0,0.5,Casual
1255,Simulation,104.8,1,2,81,218,0,1,0.5,Explorer
1256,Puzzle,41.7,11,1,97,123,0,0,1.2,Strategist
1257,Adventure,33.2,12,0,55,102,1,1,0.8,Socializer
1258,Puzzle,59.8,5,2,13,70,1,0,2.1,Socializer
1259,Adventure,102.3,7,6,64,217,1,1,0.5,Socializer
1260,RPG,24.1,2,1,44,266,1,1,6.0,Explorer
1261,Action,63.3,12,2,10,183,1,1,1.6,Explorer
1262,Puzzle,82.0,10,4,53,120,0,1,3.7,Casual
1263,Action,82.7,11,2,81,206,1,0,0.9,Explorer
1264,Sports,54.8,5,3,79,171,1,1,5.5,Explorer
1265,Shooter,49.4,11,4,4,217,0,0,2.5,Strategist
1266,Sports,68.2,14,1,5,44,1,1,0.1,Socializer
1267,Adventure,39.9,4,3,8,121,1,1,3.5,Strategist
1268,Simulation,65.9,1,1,97,217,1,0,3.1,Socializer
1269,Puzzle,90.5,14,2,88,296,0,1,0.9,Casual
1270,RPG,47.7,3,2,3,184,1,0,1.1,Achiever
1271,Simulation,52.9,12,1,22,105,1,0,3.7,Strategist
1272,Simulation,41.5,1,3,33,243,0,0,1.2,Strategist
1273,Adventure,58.1,12,4,16,271,1,1,1.0,Strategist
1274,Simulation,37.8,3,0,93,7,1,1,3.7,Strategist
1275,Simulation,82.0,1,0,76,146,1,1,2.0,Explorer
1276,Action,23.1,6,2,2,15,1,0,7.0,Strategist
1277,Adventure,71.5,3,1,66,56,1,1,0.9,Achiever
1278,Adventure,17.7,8,4,27,201,1,1,2.5,Casual
1279,Puzzle,113.6,3,1,45,128,1,0,3.0,Casual
1280,Simulation,88.7,11,3,29,135,0,1,1.4,Casual
1281,Shooter,81.1,8,3,0,260,1,1,1.2,Casual
1282,Simulation,10.0,7,1,60,164,1,1,1.5,Explorer
1283,Puzzle,93.2,1,0,84,273,0,0,10.9,Socializer
1284,Action,63.5,4,1,43,117,0,0,12.4,Socializer
1285,Simulation,100.9,12,2,14,25,1,1,0.6,Achiever
1286,Adventure,92.3,1,2,2,126,1,1,13.4,Strategist
1287,Action,27.3,1,2,61,211,0,0,2.3,Achiever
1288,Simulation,79.7,7,3,55,118,0,1,2.0,Strategist
1289,RPG,42.5,12,1,15,101,1,0,0.5,Strategist
1290,Action,53.3,8,0,70,163,0,0,0.4,Casual
1291,Puzzle,37.3,1,3,40,192,1,0,0.2,Achiever
1292,Sports,89.3,3,0,47,35,0,0,8.6,Explorer
1293,Action,66.0,10,2,93,146,1,0,3.1,Explorer
1294,Sports,50.3,1,4,4,2,1,0,0.9,Casual
1295,Sports,72.7,13,2,42,131,1,0,0.9,Achiever
1296,RPG,100.1,14,1,87,138,1,1,0.2,Strategist
1297,Adventure,46.7,1,1,61,203,1,0,1.3,Explorer
1298,Adventure,32.6,12,0,60,129,1,0,1.7,Socializer
1299,Puzzle,62.1,10,3,16,224,0,1,1.8,Explorer
1300,Simulation,10.0,14,0,93,201,1,0,1.4,Casual
1301,Action,71.9,2,0,13,235,1,1,3.0,Strategist
1302,Adventure,58.8,13,1,16,30,1,1,0.9,Achiever
1303,Puzzle,123.4,4,3,69,234,1,1,1.6,Casual
1304,RPG,37.6,11,0,69,285,1,1,0.4,Achiever
1305,Adventure,89.8,2,3,74,147,1,0,3.9,Explorer
1306,RPG,59.7,6,1,34,265,1,1,2.7,Socializer
1307,Simulation,40.3,7,0,16,238,1,1,0.4,Explorer
1308,RPG,80.7,7,2,58,140,1,1,1.1,Achiever
1309,Puzzle,37.2,9,3,45,285,1,1,1.7,Casual
1310,Action,14.7,3,1,15,81,1,0,1.6,Strategist
1311,Simulation,60.2,14,2,24,105,1,0,1.2,Achiever
1312,Puzzle,49.9,8,2,36,27,0,1,4.6,Explorer
1313,Action,61.2,10,2,12,180,1,1,3.1,Achiever
1314,Puzzle,47.9,12,5,58,186,1,1,6.9,Strategist
1315,RPG,30.9,6,3,7,273,1,1,0.7,Socializer
1316,Adventure,87.2,10,2,10,190,1,0,2.3,Casual
1317,Sports,31.0,9,2,69,210,1,0,2.1,Explorer
1318,Shooter,67.2,7,2,17,168,0,1,0.8,Achiever
1319,Simulation,81.8,2,0,73,185,0,0,3.9,Achiever
1320,RPG,77.0,9,5,29,66,1,0,4.6,Achiever
1321,Adventure,72.0,4,2,92,192,1,1,2.7,Explorer
1322,Adventure,82.5,9,2,11,82,1,0,0.5,Socializer
1323,Sports,77.3,6,3,2,191,0,1,8.0,Casual
1324,Shooter,45.0,7,2,92,128,1,1,2.6,Casual
1325,Shooter,91.0,10,2,64,245,0,1,1.6,Strategist
1326,Action,10.0,7,3,76,169,1,1,1.9,Achiever
1327,Action,68.2,13,2,47,21,0,0,2.5,Achiever
1328,Puzzle,80.2,10,3,48,201,0,0,1.7,Explorer
1329,Shooter,60.4,3,1,75,295,1,0,6.9,Strategist
1330,Adventure,98.5,11,1,51,115,1,1,4.6,Casual
1331,Simulation,52.7,13,1,71,31,1,1,1.0,Strategist
1332,Shooter,33.7,8,0,91,168,1,1,4.2,Strategist
1333,Shooter,82.7,8,8,43,14,0,1,4.6,Achiever
1334,Adventure,105.5,10,2,61,114,1,1,0.9,Explorer
1335,Sports,144.2,11,2,53,232,1,0,0.5,Achiever
1336,Sports,69.0,9,2,17,17,0,0,1.8,Socializer
1337,Simulation,93.1,7,2,82,218,1,1,0.1,Strategist
1338,Puzzle,24.6,9,2,17,157,1,0,0.8,Achiever
1339,Shooter,124.5,13,1,33,10,1,1,0.9,Achiever
1340,Puzzle,81.0,5,2,73,45,1,0,0.1,Socializer
1341,Simulation,70.9,11,2,76,108,1,1,1.1,Casual
1342,Adventure,26.3,1,1,73,260,1,1,2.0,Explorer
1343,Action,59.0,7,1,53,53,0,1,0.2,Achiever
1344,Action,67.4,11,0,80,127,1,1,3.7,Strategist
1345,RPG,47.2,13,3,89,227,1,1,1.9,Explorer
1346,Shooter,54.6,9,5,28,202,1,0,10.8,Socializer
1347,Action,51.4,1,0,93,51,1,1,1.3,Strategist
1348,RPG,85.5,7,0,94,52,1,0,1.3,Casual
1349,Sports,22.8,10,1,55,189,0,1,9.2,Casual
1350,RPG,18.0,11,0,81,164,1,0,1.5,Achiever
1351,Action,66.6,1,1,5,37,1,1,4.5,Achiever
1352,Simulation,75.4,14,2,20,95,1,1,1.1,Achiever
1353,Puzzle,37.3,10,4,48,13,0,1,2.8,Socializer
1354,Shooter,85.2,11,0,15,79,1,1,1.3,Strategist
1355,Shooter,62.9,13,1,50,27,0,0,3.5,Achiever
1356,Adventure,88.5,11,3,87,231,0,1,3.2,Socializer
1357,Sports,125.8,9,5,84,133,1,1,2.5,Explorer
1358,Simulation,46.3,6,3,83,67,1,1,0.3,Achiever
1359,RPG,45.0,4,2,90,223,1,1,0.4,Explorer
1360,Shooter,40.2,5,0,76,37,1,1,1.8,Strategist
1361,Action,66.0,8,4,80,270,1,0,5.7,Strategist
1362,Simulation,108.1,14,0,60,82,0,1,4.9,Socializer
1363,Shooter,62.8,4,2,83,234,1,1,4.3,Socializer
1364,Sports,69.0,5,1,51,169,1,0,0.1,Explorer
1365,Action,117.0,1,1,78,253,1,0,4.3,Achiever
1366,Sports,39.2,11,8,65,104,1,0,5.0,Explorer
1367,RPG,58.2,9,4,93,63,0,0,1.7,Socializer
1368,Shooter,10.0,6,1,24,20,1,0,0.6,Casual
1369,RPG,26.1,14,1,66,169,0,1,1.2,Socializer
1370,Action,101.8,14,2,4,35,1,1,0.5,Achiever
1371,Sports,86.1,7,3,51,212,1,1,0.6,Strategist
1372,Sports,81.9,2,2,62,169,0,0,8.1,Socializer
1373,Sports,62.4,14,3,44,274,1,1,0.2,Socializer
1374,Sports,12.8,4,0,91,187,1,1,3.1,Strategist
1375,Shooter,60.5,10,5,67,179,0,0,0.9,Casual
1376,Adventure,66.4,3,4,52,168,1,1,1.2,Socializer
1377,Shooter,60.3,13,4,37,260,1,1,1.5,Strategist
1378,Action,22.8,1,5,9,199,0,1,1.4,Socializer
1379,Simulation,11.6,7,2,51,185,1,0,4.3,Socializer
1380,Puzzle,83.2,5,3,59,47,0,1,0.8,Achiever
1381,Adventure,105.1,13,3,81,212,1,1,1.7,Strategist
1382,Action,119.7,3,4,38,73,1,1,14.1,Casual
1383,Simulation,51.4,14,3,44,55,1,0,0.2,Casual
1384,Action,52.7,8,1,82,21,0,1,0.2,Explorer
1385,Action,82.9,7,2,90,211,1,0,4.3,Strategist
1386,Puzzle,85.6,4,2,67,265,1,1,0.5,Casual
1387,Action,77.8,1,1,47,205,1,0,5.0,Socializer
1388,RPG,19.4,7,1,16,110,1,1,1.3,Casual
1389,Sports,60.2,14,5,17,113,0,0,0.0,Achiever
1390,Action,125.4,3,1,44,81,0,0,0.6,Casual
1391,Shooter,47.0,3,2,94,157,0,0,0.1,Socializer
1392,RPG,121.6,8,2,16,290,0,1,5.0,Strategist
1393,Simulation,107.5,3,1,6,69,0,1,0.7,Socializer
1394,Sports,17.4,7,4,83,34,0,0,2.3,Achiever
1395,Adventure,52.3,2,2,45,26,1,1,5.2,Socializer
1396,Adventure,64.2,9,1,34,273,0,1,3.0,Socializer
1397,Shooter,115.1,8,2,70,236,0,1,1.7,Socializer
1398,Action,52.6,4,3,21,55,1,0,3.5,Casual
1399,RPG,90.8,9,3,65,150,1,1,2.3,Strategist
1400,Shooter,90.4,14,1,77,23,1,1,0.3,Socializer
1401,Shooter,34.1,1,4,7,93,0,1,3.5,Socializer
1402,Shooter,19.5,14,2,13,65,1,1,0.6,Strategist
1403,Simulation,81.1,6,2,85,176,1,1,2.1,Socializer
1404,Sports,50.6,10,1,68,8,1,1,0.2,Explorer
1405,Sports,53.2,9,0,46,56,1,0,0.3,Socializer
1406,Sports,103.1,11,0,57,186,1,0,0.1,Casual
1407,Action,75.9,8,1,81,41,0,0,11.2,Explorer
1408,Sports,103.2,5,4,45,266,1,1,4.8,Strategist
1409,Shooter,17.1,11,1,70,136,0,0,1.4,Strategist
1410,Sports,103.4,12,3,50,34,1,0,1.7,Strategist
1411,Adventure,86.2,14,7,71,196,0,1,4.1,Strategist
1412,Sports,10.0,9,2,69,276,1,0,0.7,Strategist
1413,Adventure,51.6,9,5,97,25,1,0,6.4,Socializer
1414,Adventure,10.0,8,1,84,86,0,0,0.6,Explorer
1415,Simulation,63.7,14,3,46,102,1,0,1.0,Strategist
1416,Sports,54.7,1,1,96,40,0,1,1.4,Casual
1417,Puzzle,58.8,10,2,33,14,1,1,0.1,Strategist
1418,Adventure,75.6,6,0,24,122,1,0,4.4,Explorer
1419,Sports,29.4,12,2,20,228,1,1,2.3,Strategist
1420,Simulation,132.0,4,2,8,136,0,0,0.9,Casual
1421,RPG,33.4,6,2,59,70,1,1,14.4,Achiever
1422,Puzzle,56.4,9,1,4,288,1,1,2.4,Socializer
1423,Adventure,25.7,8,2,57,10,1,1,2.2,Explorer
1424,Action,99.7,5,2,82,115,1,1,2.3,Casual
1425,RPG,76.2,10,1,97,105,0,0,0.4,Achiever
1426,Simulation,67.7,8,5,85,185,1,1,0.8,Strategist
