route,airline,booking_class,demand_level,season,days_to_departure,fuel_price_index,competitor_price,predicted_flight_price_inr
PUNE-BLR,AirVista,Business,1.11,Holiday,63,83.99,6684.11,15750.3
HYD-BOM,SkyJet,Premium Economy,1.3,Off-Peak,55,104.69,7271.51,12561.39
CHN-KOL,SkyJet,Premium Economy,1.27,Off-Peak,0,114.52,5367.41,16766.21
PUNE-BLR,FlyIndia,Premium Economy,1.11,Regular,4,117.59,6983.16,11954.07
CHN-KOL,BharatAir,Business,0.99,Off-Peak,107,86.16,11877.58,12749.47
DEL-MUM,IndiSky,Economy,0.98,Holiday,110,81.09,9963.28,6542.04
BLR-DEL,SkyJet,Economy,0.63,Peak,136,82.43,3072.33,5743.13
DEL-MUM,SkyJet,Economy,0.91,Holiday,46,103.6,3336.25,9438.15
CHN-KOL,FlyIndia,Economy,1.19,Peak,146,91.15,7323.84,8669.41
HYD-BOM,SkyJet,Premium Economy,0.68,Holiday,117,97.37,10303.34,5450.77
BLR-DEL,IndiSky,Premium Economy,0.81,Peak,147,129.53,10159.84,8559.68
PUNE-BLR,SkyJet,Premium Economy,1.23,Peak,39,122.31,11294.62,15364.33
GOA-DEL,SkyJet,Economy,0.63,Holiday,158,91.86,4172.6,4690.12
GOA-DEL,BharatAir,Economy,1.11,Off-Peak,158,83.6,8645.49,6970.84
CHN-KOL,SkyJet,Economy,1.18,Regular,119,92.19,8900.06,8282.74
DEL-MUM,BharatAir,Economy,1.01,Holiday,80,122.71,9742.34,9449.5
HYD-BOM,FlyIndia,Economy,0.79,Regular,8,115.44,3648.38,7024.36
HYD-BOM,IndiSky,Economy,0.73,Peak,52,96.08,5091.76,6958.02
BLR-DEL,BharatAir,Premium Economy,1.19,Holiday,10,126.65,11658.18,18648.64
GOA-DEL,SkyJet,Economy,0.89,Off-Peak,88,85.42,4444.82,8110.86
HYD-BOM,SkyJet,Premium Economy,1.27,Regular,51,80.55,11359.47,12026.42
GOA-DEL,AirVista,Economy,0.72,Holiday,96,98.67,2558.28,7295.41
GOA-DEL,IndiSky,Economy,1.28,Regular,82,103.3,6272.76,11431.45
HYD-BOM,SkyJet,Economy,0.77,Holiday,16,113.93,11106.08,7651.51
PUNE-BLR,SkyJet,Economy,1.02,Regular,28,119.28,5168.09,6781.7
CHN-KOL,IndiSky,Economy,1.49,Holiday,125,105.87,4975.18,12186.7
GOA-DEL,AirVista,Economy,1.36,Holiday,104,106.61,10186.89,11940.2
PUNE-BLR,BharatAir,Premium Economy,1.15,Off-Peak,171,106.38,10322.93,6499.26
CHN-KOL,AirVista,Economy,0.71,Peak,139,97.33,5976.1,6403.93
HYD-BOM,AirVista,Economy,1.12,Regular,102,84.42,6807.05,6241.31
DEL-MUM,FlyIndia,Business,1.22,Regular,145,117.06,9659.73,12659.38
PUNE-BLR,IndiSky,Economy,1.26,Peak,131,102.61,9505.29,8653.82
BLR-DEL,IndiSky,Premium Economy,0.61,Off-Peak,175,82.22,10202.18,4471.53
BLR-DEL,IndiSky,Economy,1.47,Peak,136,114.6,9379.73,12458.5
HYD-BOM,FlyIndia,Economy,0.7,Holiday,32,96.6,5482.56,6235.84
GOA-DEL,IndiSky,Economy,0.98,Off-Peak,175,86.1,6310.75,5741.26
DEL-MUM,BharatAir,Economy,1.47,Off-Peak,153,92.18,8093.49,9225.56
PUNE-BLR,SkyJet,Economy,0.81,Off-Peak,63,109.0,10178.69,5810.05
GOA-DEL,IndiSky,Business,1.38,Peak,101,125.32,5425.43,25000.0
HYD-BOM,IndiSky,Premium Economy,1.01,Holiday,155,89.31,10913.96,6865.8
GOA-DEL,BharatAir,Economy,0.67,Regular,80,125.65,3557.25,6206.78
PUNE-BLR,BharatAir,Premium Economy,0.74,Peak,148,129.32,10037.96,6409.8
CHN-KOL,AirVista,Economy,0.84,Regular,49,122.76,9268.27,8130.07
CHN-KOL,IndiSky,Premium Economy,1.24,Holiday,111,129.68,4755.01,12857.56
PUNE-BLR,IndiSky,Economy,1.43,Regular,111,109.92,8060.44,8109.12
DEL-MUM,SkyJet,Premium Economy,1.3,Off-Peak,93,129.91,7962.3,12308.63
BLR-DEL,AirVista,Economy,1.39,Peak,151,98.42,9336.04,11262.04
GOA-DEL,FlyIndia,Economy,1.14,Peak,71,122.77,9252.75,12966.33
GOA-DEL,AirVista,Economy,1.27,Regular,90,92.31,6451.18,10764.41
HYD-BOM,SkyJet,Business,1.22,Off-Peak,119,115.16,5643.77,13947.54
GOA-DEL,SkyJet,Economy,0.95,Peak,10,114.57,10994.28,13921.35
PUNE-BLR,BharatAir,Premium Economy,1.48,Off-Peak,130,81.26,10633.09,10550.26
CHN-KOL,BharatAir,Economy,0.83,Off-Peak,36,94.68,10622.8,7774.81
HYD-BOM,FlyIndia,Economy,0.83,Regular,167,107.21,8427.6,4033.77
HYD-BOM,IndiSky,Premium Economy,1.11,Regular,16,105.83,6491.96,12076.57
GOA-DEL,AirVista,Economy,1.13,Off-Peak,12,122.13,8847.17,12029.15
HYD-BOM,BharatAir,Economy,1.35,Peak,52,115.12,7844.36,12424.05
BLR-DEL,BharatAir,Economy,1.4,Regular,136,86.52,5131.56,9954.22
CHN-KOL,IndiSky,Economy,0.62,Peak,155,84.94,6550.18,4377.55
BLR-DEL,SkyJet,Economy,1.14,Off-Peak,100,118.53,5210.14,9355.55
GOA-DEL,SkyJet,Business,0.69,Regular,9,111.32,4960.02,13670.8
BLR-DEL,SkyJet,Economy,0.81,Holiday,131,114.64,9476.92,6799.49
DEL-MUM,BharatAir,Premium Economy,0.91,Off-Peak,168,104.5,6380.98,6615.06
GOA-DEL,FlyIndia,Business,1.15,Peak,169,128.68,5951.13,15823.6
DEL-MUM,FlyIndia,Premium Economy,1.0,Holiday,104,103.28,11324.51,10770.82
DEL-MUM,BharatAir,Economy,0.98,Regular,157,122.26,3307.29,5245.57
DEL-MUM,BharatAir,Economy,1.34,Regular,24,94.61,4106.86,11370.84
DEL-MUM,IndiSky,Premium Economy,1.16,Peak,6,90.18,3190.18,16855.34
CHN-KOL,SkyJet,Economy,0.62,Regular,133,95.61,2655.69,4052.16
GOA-DEL,IndiSky,Economy,1.05,Regular,56,129.67,4290.98,10689.14
DEL-MUM,BharatAir,Premium Economy,1.09,Holiday,147,91.84,6961.3,10336.7
BLR-DEL,IndiSky,Economy,0.64,Off-Peak,1,95.73,7069.76,5745.54
CHN-KOL,BharatAir,Economy,1.04,Off-Peak,105,119.46,7276.56,7582.27
HYD-BOM,IndiSky,Economy,1.1,Peak,140,115.41,4178.19,7606.19
GOA-DEL,FlyIndia,Premium Economy,0.85,Peak,24,100.46,2757.46,14452.85
CHN-KOL,IndiSky,Business,1.06,Peak,51,113.94,8505.59,21037.67
BLR-DEL,FlyIndia,Economy,0.92,Off-Peak,157,95.95,3782.45,6403.59
DEL-MUM,AirVista,Economy,1.09,Off-Peak,25,97.52,6846.99,9162.63
DEL-MUM,SkyJet,Economy,0.7,Peak,11,108.32,11304.44,7915.02
GOA-DEL,IndiSky,Business,1.47,Peak,67,123.89,3890.08,25000.0
DEL-MUM,AirVista,Economy,0.69,Off-Peak,169,83.35,9709.19,2948.74
HYD-BOM,IndiSky,Premium Economy,0.73,Holiday,115,124.7,11365.09,6019.31
PUNE-BLR,IndiSky,Economy,1.45,Regular,48,116.5,5518.27,10432.39
HYD-BOM,FlyIndia,Economy,1.02,Off-Peak,165,90.74,7224.8,5654.19
HYD-BOM,IndiSky,Business,1.0,Holiday,88,126.51,5638.37,14710.7
PUNE-BLR,AirVista,Economy,0.61,Peak,141,109.47,4543.56,3988.58
BLR-DEL,FlyIndia,Economy,0.7,Off-Peak,41,92.08,11366.13,7189.86
BLR-DEL,FlyIndia,Economy,1.37,Holiday,51,96.23,11228.41,14121.59
DEL-MUM,IndiSky,Economy,1.48,Regular,77,129.51,6415.41,11573.97
CHN-KOL,FlyIndia,Business,0.95,Regular,88,128.0,9756.98,13319.79
DEL-MUM,IndiSky,Premium Economy,0.83,Holiday,77,129.31,11227.86,9317.21
BLR-DEL,IndiSky,Economy,0.99,Peak,98,86.58,7252.07,9919.29
DEL-MUM,IndiSky,Economy,0.9,Holiday,78,100.51,10943.47,7291.46
BLR-DEL,FlyIndia,Economy,0.89,Regular,55,82.98,6300.28,7706.9
GOA-DEL,FlyIndia,Business,1.37,Holiday,18,106.88,4946.68,25000.0
BLR-DEL,BharatAir,Economy,1.44,Regular,108,80.57,4521.46,10639.79
HYD-BOM,BharatAir,Business,0.95,Regular,74,88.5,10014.41,10973.09
GOA-DEL,BharatAir,Economy,0.83,Off-Peak,58,112.01,6359.12,8207.44
BLR-DEL,AirVista,Economy,1.35,Off-Peak,2,80.47,7289.06,13524.69
DEL-MUM,BharatAir,Premium Economy,1.38,Holiday,108,119.07,5638.83,14998.31
GOA-DEL,BharatAir,Economy,1.0,Holiday,80,124.77,8212.32,10761.65
BLR-DEL,IndiSky,Economy,0.64,Off-Peak,56,126.61,9365.67,6663.53
CHN-KOL,AirVista,Premium Economy,0.64,Off-Peak,25,115.83,7647.55,7932.31
PUNE-BLR,BharatAir,Economy,0.93,Off-Peak,132,125.24,9932.62,5720.09
CHN-KOL,FlyIndia,Economy,1.09,Off-Peak,144,107.53,3864.84,6179.75
HYD-BOM,IndiSky,Premium Economy,0.82,Peak,160,125.28,6327.94,6506.43
DEL-MUM,BharatAir,Premium Economy,0.75,Regular,167,118.24,7450.38,5114.14
HYD-BOM,SkyJet,Business,1.43,Peak,141,86.31,6583.55,17721.21
PUNE-BLR,SkyJet,Economy,0.99,Off-Peak,13,129.1,4789.71,8740.79
DEL-MUM,FlyIndia,Business,0.62,Off-Peak,129,93.24,5631.62,6500.71
HYD-BOM,BharatAir,Economy,1.2,Off-Peak,96,101.06,4843.43,8232.91
CHN-KOL,BharatAir,Premium Economy,1.25,Off-Peak,116,89.28,5183.67,11065.2
BLR-DEL,SkyJet,Economy,0.79,Peak,84,127.19,7703.85,7874.2
DEL-MUM,AirVista,Premium Economy,1.25,Peak,149,88.11,9523.13,12128.94
GOA-DEL,IndiSky,Economy,1.04,Peak,170,117.05,6948.43,9001.43
DEL-MUM,SkyJet,Economy,1.35,Holiday,164,102.55,8634.84,8374.97
DEL-MUM,BharatAir,Economy,0.82,Peak,18,90.24,9961.95,9347.63
DEL-MUM,AirVista,Economy,0.81,Off-Peak,68,88.92,5895.18,6598.74
HYD-BOM,FlyIndia,Economy,1.33,Holiday,173,127.8,6320.8,7111.13
GOA-DEL,BharatAir,Premium Economy,1.05,Holiday,53,111.48,6354.38,14343.64
CHN-KOL,FlyIndia,Economy,1.34,Regular,171,90.87,6900.11,6932.51
HYD-BOM,FlyIndia,Economy,0.63,Regular,31,115.59,9878.21,5688.49
GOA-DEL,SkyJet,Economy,1.23,Off-Peak,109,107.45,9069.09,9735.24
PUNE-BLR,BharatAir,Economy,0.8,Peak,21,94.69,4288.41,8117.56
HYD-BOM,AirVista,Economy,1.09,Holiday,30,99.08,8414.43,9967.56
GOA-DEL,AirVista,Economy,0.93,Holiday,53,89.36,4290.93,10287.64
BLR-DEL,SkyJet,Premium Economy,0.77,Off-Peak,103,124.47,6110.8,8206.24
DEL-MUM,FlyIndia,Business,1.12,Peak,9,104.99,11576.09,24024.5
GOA-DEL,FlyIndia,Economy,1.36,Holiday,147,95.93,8301.21,10413.33
GOA-DEL,IndiSky,Economy,1.33,Peak,37,128.4,9708.68,17973.58
CHN-KOL,SkyJet,Premium Economy,1.2,Holiday,14,89.67,6915.21,16401.25
GOA-DEL,FlyIndia,Business,0.63,Regular,70,120.2,5867.28,10910.29
DEL-MUM,BharatAir,Business,1.19,Holiday,63,87.47,2784.52,18640.09
HYD-BOM,AirVista,Economy,0.94,Peak,27,87.64,8627.65,9119.47
HYD-BOM,SkyJet,Economy,1.22,Peak,133,107.16,8992.03,8066.42
PUNE-BLR,BharatAir,Economy,1.49,Holiday,119,83.74,3207.81,8848.78
CHN-KOL,AirVista,Economy,1.26,Off-Peak,29,113.55,3371.69,12688.12
CHN-KOL,BharatAir,Economy,1.23,Regular,60,118.69,2750.71,11050.2
HYD-BOM,BharatAir,Economy,0.82,Regular,4,122.26,8646.24,7040.77
HYD-BOM,IndiSky,Business,1.01,Off-Peak,26,92.61,3604.58,14674.8
DEL-MUM,BharatAir,Economy,1.08,Holiday,109,119.29,6604.39,8079.45
BLR-DEL,AirVista,Economy,1.17,Off-Peak,22,129.96,7617.73,11559.42
PUNE-BLR,BharatAir,Premium Economy,0.67,Holiday,31,126.25,8347.47,7826.84
PUNE-BLR,IndiSky,Business,1.04,Off-Peak,40,127.02,3555.85,14978.17
GOA-DEL,SkyJet,Economy,1.14,Off-Peak,96,125.56,4897.5,9874.26
DEL-MUM,SkyJet,Economy,0.78,Off-Peak,40,86.14,11710.95,6144.62
PUNE-BLR,AirVista,Economy,0.62,Off-Peak,54,83.63,11699.11,4235.31
BLR-DEL,AirVista,Economy,1.39,Holiday,37,84.05,5019.37,15288.68
GOA-DEL,IndiSky,Economy,1.48,Regular,23,116.62,10770.03,15501.02
BLR-DEL,SkyJet,Business,0.86,Holiday,37,87.42,9203.78,16692.09
HYD-BOM,IndiSky,Economy,0.9,Holiday,12,81.81,2737.14,7588.52
GOA-DEL,AirVista,Economy,1.06,Peak,115,110.3,11728.75,11060.82
HYD-BOM,FlyIndia,Economy,1.44,Off-Peak,174,88.5,10495.31,6025.45
GOA-DEL,BharatAir,Economy,1.43,Regular,68,112.1,6557.13,13380.46
DEL-MUM,FlyIndia,Business,0.87,Regular,13,96.79,3317.65,14759.27
DEL-MUM,FlyIndia,Business,1.47,Holiday,102,86.35,6653.1,21981.54
BLR-DEL,FlyIndia,Premium Economy,1.11,Regular,56,119.33,9379.6,13262.52
DEL-MUM,AirVista,Economy,0.86,Off-Peak,68,112.95,6991.56,6379.07
DEL-MUM,AirVista,Economy,0.68,Regular,93,110.03,3906.29,4393.15
PUNE-BLR,AirVista,Economy,0.8,Regular,149,121.42,4266.74,4405.63
PUNE-BLR,IndiSky,Economy,1.05,Regular,114,99.35,8764.23,6244.6
GOA-DEL,AirVista,Economy,1.38,Off-Peak,174,81.49,10019.35,7571.58
PUNE-BLR,IndiSky,Business,1.06,Peak,95,98.9,4537.68,14933.93
HYD-BOM,IndiSky,Economy,1.49,Holiday,161,95.4,9276.77,8067.74
CHN-KOL,SkyJet,Economy,0.78,Off-Peak,175,113.17,9379.59,3767.47
HYD-BOM,SkyJet,Economy,1.39,Peak,16,102.48,7590.32,14541.96
CHN-KOL,AirVista,Economy,1.23,Holiday,134,107.14,11921.8,8848.6
DEL-MUM,IndiSky,Economy,1.09,Holiday,162,98.67,9199.02,5515.39
PUNE-BLR,BharatAir,Economy,1.3,Holiday,91,126.87,6774.88,9785.66
BLR-DEL,AirVista,Economy,0.61,Regular,101,107.0,4810.76,4647.02
BLR-DEL,BharatAir,Economy,1.01,Regular,118,123.5,11405.87,7608.08
HYD-BOM,IndiSky,Economy,1.16,Regular,162,124.36,7755.48,6167.98
DEL-MUM,SkyJet,Economy,0.73,Holiday,158,104.44,6412.11,5273.16
GOA-DEL,BharatAir,Economy,1.28,Holiday,27,92.45,3236.03,15590.25
GOA-DEL,SkyJet,Economy,1.47,Peak,39,107.26,3307.3,17432.52
PUNE-BLR,SkyJet,Economy,0.77,Peak,30,107.71,4772.32,7808.71
CHN-KOL,BharatAir,Economy,0.99,Peak,64,107.01,7819.97,10722.16
DEL-MUM,IndiSky,Premium Economy,0.88,Regular,7,118.78,4883.93,12850.46
CHN-KOL,AirVista,Premium Economy,1.01,Peak,43,101.11,4198.99,14243.68
CHN-KOL,IndiSky,Economy,1.47,Holiday,163,116.66,7595.54,10482.75
PUNE-BLR,BharatAir,Economy,1.45,Peak,178,100.29,6509.19,7977.89
BLR-DEL,SkyJet,Economy,1.28,Peak,128,85.55,11836.11,10578.58
BLR-DEL,SkyJet,Economy,1.03,Regular,134,126.91,6399.26,6955.22
GOA-DEL,IndiSky,Business,0.6,Peak,119,121.1,2925.22,10465.16
DEL-MUM,SkyJet,Economy,0.63,Holiday,24,125.76,7671.06,7083.69
DEL-MUM,FlyIndia,Economy,0.8,Off-Peak,62,111.52,8482.24,6883.01
DEL-MUM,IndiSky,Premium Economy,0.92,Regular,174,89.52,11460.51,5970.3
GOA-DEL,SkyJet,Economy,1.12,Peak,102,86.08,2865.24,11256.2
CHN-KOL,SkyJet,Economy,0.93,Regular,64,107.85,5170.58,7876.3
HYD-BOM,IndiSky,Premium Economy,1.15,Holiday,178,122.2,11490.68,8917.26
CHN-KOL,FlyIndia,Economy,0.64,Peak,61,92.39,8852.01,7543.43
GOA-DEL,BharatAir,Economy,1.48,Peak,58,124.6,4967.96,17158.16
BLR-DEL,IndiSky,Economy,1.24,Off-Peak,13,87.57,8002.23,11475.84
GOA-DEL,IndiSky,Economy,0.62,Holiday,76,100.61,4236.47,6273.51
BLR-DEL,BharatAir,Premium Economy,0.97,Off-Peak,59,92.93,11290.77,10893.03
CHN-KOL,SkyJet,Economy,1.41,Peak,21,125.93,5389.84,17509.25
DEL-MUM,BharatAir,Premium Economy,1.26,Off-Peak,78,120.33,6013.21,12807.88
HYD-BOM,IndiSky,Economy,1.43,Regular,77,103.5,4395.94,9818.47
CHN-KOL,IndiSky,Economy,0.89,Peak,155,111.7,11539.71,7208.26
CHN-KOL,AirVista,Economy,0.88,Peak,135,127.0,8216.47,6823.64
DEL-MUM,SkyJet,Economy,1.05,Off-Peak,96,128.94,4482.46,8218.79
HYD-BOM,AirVista,Premium Economy,0.97,Holiday,32,125.93,4874.46,11664.91
PUNE-BLR,IndiSky,Economy,0.98,Off-Peak,53,122.3,8888.96,6935.22
PUNE-BLR,SkyJet,Economy,1.49,Off-Peak,83,115.2,8612.53,9321.73
HYD-BOM,BharatAir,Economy,0.71,Peak,146,103.19,8749.82,6339.61
CHN-KOL,IndiSky,Economy,0.79,Holiday,89,118.89,9124.41,7908.58
PUNE-BLR,BharatAir,Economy,1.19,Off-Peak,138,113.68,6931.39,6706.7
GOA-DEL,BharatAir,Premium Economy,1.5,Peak,70,124.93,8012.17,22666.79
HYD-BOM,FlyIndia,Premium Economy,0.66,Peak,156,99.99,3124.87,5732.33
DEL-MUM,FlyIndia,Business,1.24,Off-Peak,1,122.16,3430.64,22412.07
CHN-KOL,SkyJet,Economy,1.23,Off-Peak,12,81.12,8023.99,11048.09
BLR-DEL,SkyJet,Premium Economy,0.81,Holiday,99,106.9,8109.38,8567.88
HYD-BOM,BharatAir,Business,1.0,Regular,107,89.58,9112.55,11677.19
GOA-DEL,FlyIndia,Economy,1.44,Off-Peak,38,111.89,8350.72,14940.6
PUNE-BLR,SkyJet,Economy,0.72,Holiday,140,103.31,8949.74,5012.31
PUNE-BLR,AirVista,Economy,1.02,Holiday,26,86.09,4271.04,9396.2
DEL-MUM,IndiSky,Business,1.34,Peak,30,110.79,11850.87,25000.0
GOA-DEL,IndiSky,Economy,0.71,Regular,127,115.74,2632.1,5964.14
CHN-KOL,IndiSky,Economy,0.99,Peak,155,103.39,5118.39,7553.43
GOA-DEL,AirVista,Economy,1.44,Off-Peak,121,84.96,9428.42,10969.8
CHN-KOL,AirVista,Economy,0.89,Regular,73,92.8,11812.94,6767.81
GOA-DEL,BharatAir,Premium Economy,1.19,Regular,80,126.12,8837.69,13542.51
CHN-KOL,AirVista,Economy,1.12,Off-Peak,118,96.19,7794.63,6617.73
HYD-BOM,SkyJet,Business,0.77,Regular,157,110.55,2649.85,7249.88
GOA-DEL,BharatAir,Economy,1.06,Off-Peak,95,120.21,11233.01,8245.96
CHN-KOL,AirVista,Economy,0.87,Holiday,26,109.21,10720.8,9940.31
HYD-BOM,SkyJet,Economy,0.67,Off-Peak,14,100.82,5856.52,6079.31
HYD-BOM,AirVista,Economy,0.8,Peak,158,81.44,11910.58,4596.28
GOA-DEL,BharatAir,Economy,1.11,Holiday,47,107.24,3237.5,13455.73
BLR-DEL,FlyIndia,Economy,0.96,Regular,69,123.82,3521.77,9550.15
HYD-BOM,SkyJet,Economy,0.82,Holiday,90,129.77,9164.74,6082.8
PUNE-BLR,AirVista,Economy,1.31,Peak,3,117.99,10549.5,13619.89
CHN-KOL,BharatAir,Premium Economy,0.75,Off-Peak,114,110.08,6276.91,6762.23
CHN-KOL,IndiSky,Business,0.63,Regular,112,81.89,7409.01,7723.34
PUNE-BLR,BharatAir,Business,1.11,Holiday,156,128.31,7172.92,11830.0
PUNE-BLR,IndiSky,Economy,1.39,Holiday,43,100.63,7079.5,11672.91
CHN-KOL,AirVista,Economy,0.98,Regular,18,126.68,7198.76,10336.55
GOA-DEL,BharatAir,Premium Economy,0.95,Regular,169,101.14,3287.77,7861.02
CHN-KOL,IndiSky,Economy,1.36,Regular,20,91.18,7829.12,12790.41
DEL-MUM,AirVista,Business,0.94,Regular,46,118.24,9967.17,13732.82
HYD-BOM,SkyJet,Premium Economy,1.35,Regular,26,117.78,4765.51,14318.56
CHN-KOL,AirVista,Economy,0.94,Peak,61,114.24,8564.67,9903.51
CHN-KOL,IndiSky,Premium Economy,1.0,Off-Peak,105,106.7,2848.59,9894.64
DEL-MUM,IndiSky,Economy,1.0,Off-Peak,147,107.26,6941.61,6862.29
DEL-MUM,SkyJet,Business,1.41,Off-Peak,108,111.44,8594.27,16918.93
CHN-KOL,SkyJet,Economy,1.39,Off-Peak,152,118.57,4604.94,8792.99
HYD-BOM,FlyIndia,Economy,1.38,Regular,67,103.07,7987.94,9792.3
GOA-DEL,SkyJet,Premium Economy,0.63,Regular,41,124.31,9641.03,7721.18
HYD-BOM,SkyJet,Economy,1.35,Holiday,101,126.04,10331.31,11145.16
PUNE-BLR,AirVista,Economy,1.4,Off-Peak,20,84.89,8872.12,11304.54
GOA-DEL,BharatAir,Business,1.35,Off-Peak,6,124.11,8492.6,25000.0
CHN-KOL,FlyIndia,Economy,1.47,Regular,75,90.97,10820.89,12050.18
GOA-DEL,BharatAir,Economy,1.42,Regular,152,85.78,10854.8,9951.1
GOA-DEL,BharatAir,Economy,1.03,Off-Peak,26,109.05,9078.23,10384.25
PUNE-BLR,SkyJet,Business,1.22,Regular,21,114.93,11715.17,16924.9
CHN-KOL,AirVista,Economy,1.0,Regular,116,107.9,7840.04,7233.4
BLR-DEL,BharatAir,Economy,1.49,Off-Peak,122,101.79,3603.95,10438.64
PUNE-BLR,AirVista,Business,1.26,Peak,72,97.88,7793.32,19043.17
CHN-KOL,SkyJet,Economy,0.96,Holiday,166,102.0,10066.5,6065.01
HYD-BOM,AirVista,Economy,0.62,Off-Peak,58,126.66,11140.42,5328.17
HYD-BOM,IndiSky,Economy,1.45,Holiday,23,113.97,11298.0,13519.41
CHN-KOL,IndiSky,Economy,1.26,Peak,3,120.11,8927.39,16892.57
PUNE-BLR,IndiSky,Economy,1.34,Holiday,166,127.1,10905.5,7159.21
CHN-KOL,IndiSky,Economy,0.91,Off-Peak,63,126.01,11796.68,8578.09
HYD-BOM,SkyJet,Premium Economy,1.11,Off-Peak,120,111.86,4556.16,8642.89
CHN-KOL,SkyJet,Economy,0.61,Holiday,50,92.5,6057.41,5553.87
DEL-MUM,BharatAir,Economy,1.12,Regular,14,110.91,3691.92,10539.56
BLR-DEL,AirVista,Economy,1.17,Off-Peak,74,121.61,10108.02,10792.5
HYD-BOM,AirVista,Business,0.69,Regular,105,122.99,5496.09,7864.26
GOA-DEL,FlyIndia,Premium Economy,0.68,Peak,9,81.67,10541.33,11238.1
PUNE-BLR,FlyIndia,Economy,0.89,Off-Peak,151,94.78,2893.88,4041.34
GOA-DEL,BharatAir,Economy,1.08,Peak,131,90.07,8771.07,9771.05
PUNE-BLR,FlyIndia,Economy,1.11,Holiday,134,129.08,10614.4,5509.74
BLR-DEL,SkyJet,Economy,0.71,Holiday,72,95.17,2786.67,7404.3
BLR-DEL,BharatAir,Economy,1.17,Peak,148,81.49,5297.48,9168.92
GOA-DEL,SkyJet,Economy,1.36,Off-Peak,125,100.84,9743.29,10512.35
BLR-DEL,FlyIndia,Premium Economy,1.12,Regular,172,121.44,10731.59,8026.76
BLR-DEL,SkyJet,Premium Economy,0.77,Peak,59,80.53,5053.77,10624.95
DEL-MUM,IndiSky,Economy,1.28,Regular,39,98.2,7320.03,11006.12
BLR-DEL,BharatAir,Economy,1.38,Regular,126,85.0,6330.67,9482.35
HYD-BOM,AirVista,Economy,1.04,Peak,30,93.31,5613.12,10604.9
BLR-DEL,SkyJet,Economy,0.84,Regular,61,85.71,5838.99,8049.95
HYD-BOM,IndiSky,Economy,1.44,Holiday,114,127.57,11356.66,10582.88
HYD-BOM,BharatAir,Economy,0.65,Peak,34,121.92,6793.76,6114.3
BLR-DEL,AirVista,Economy,0.85,Holiday,49,120.87,6199.65,8994.88
BLR-DEL,SkyJet,Economy,0.88,Off-Peak,178,118.79,10875.9,4222.26
HYD-BOM,SkyJet,Economy,1.39,Peak,40,117.38,11011.76,13972.35
GOA-DEL,FlyIndia,Premium Economy,0.72,Regular,19,82.41,11074.42,9984.35
PUNE-BLR,IndiSky,Economy,0.75,Off-Peak,145,94.0,7717.64,4295.26
PUNE-BLR,SkyJet,Premium Economy,0.72,Off-Peak,106,92.05,3760.27,5760.26
