stock_symbol,sector,days_since_listing,avg_trading_volume,pe_ratio,market_sentiment,quarterly_growth_percent,gdp_growth_percent,inflation_rate_percent,recent_news_score,beta_value,forecast_price_inr
TCS,Finance,857,847637.0,22.75,-0.1,11.43,3.7,7.68,1.17,1.28,183.57
LT,Infrastructure,3836,776568.0,26.27,0.09,29.67,8.48,5.44,-0.63,1.23,220.57
SBIN,Infrastructure,4014,998512.0,37.02,-0.25,18.21,8.28,6.74,1.65,0.76,226.14
SBIN,Finance,4317,1352464.0,40.91,0.87,8.0,7.41,3.55,-0.6,1.13,191.02
ADANIENT,Infrastructure,3461,700722.0,17.12,0.08,-0.27,6.84,4.78,-0.93,1.15,184.63
RELIANCE,IT,4889,1027533.0,53.32,0.74,27.5,7.68,5.62,-0.64,1.35,302.62
ICICIBANK,Energy,418,1183144.0,14.52,0.77,12.13,3.22,6.51,1.77,1.2,173.17
LT,Energy,1435,1188947.0,45.93,-0.02,6.47,3.48,3.27,0.53,0.7,164.07
INFY,Infrastructure,4064,956921.0,28.68,-0.5,-6.9,3.99,5.74,-0.01,1.28,179.21
RELIANCE,Banking,2958,911810.0,5.0,0.09,-6.6,5.12,3.55,-1.36,0.84,142.07
LT,IT,4501,1068056.0,40.26,0.11,-0.43,3.99,7.76,1.92,1.1,206.2
ADANIENT,Infrastructure,148,832706.0,12.49,0.08,12.4,6.46,5.26,-0.02,1.39,159.09
SBIN,Infrastructure,2426,1048886.0,15.58,0.55,0.04,6.46,3.72,1.43,0.61,162.06
RELIANCE,Infrastructure,410,1254349.0,16.87,-0.16,-2.85,4.13,5.8,-0.1,0.64,117.22
RELIANCE,Energy,406,897194.0,29.03,0.47,11.45,8.31,4.31,0.4,0.56,206.16
RELIANCE,IT,3428,940598.0,22.7,-0.19,6.88,6.8,7.53,0.61,0.64,167.76
ADANIENT,Banking,3427,845507.0,31.41,-0.78,29.31,8.81,6.45,1.26,0.75,197.08
ADANIENT,IT,946,983870.0,19.6,0.88,6.42,8.72,5.08,0.85,0.8,163.01
ICICIBANK,Infrastructure,1391,815416.0,16.48,0.64,-8.21,8.47,6.59,0.71,0.67,141.23
ITC,Banking,312,1183231.0,30.64,0.83,11.77,6.27,3.06,-1.91,0.88,165.49
SBIN,IT,2452,692750.0,22.31,0.26,15.19,5.73,4.34,-0.98,0.91,213.57
SBIN,Banking,2862,1095782.0,39.96,-0.62,27.73,5.5,3.34,1.07,0.81,261.09
RELIANCE,Infrastructure,1969,647627.0,36.64,-0.76,-8.46,6.75,6.77,0.47,1.08,204.35
TCS,Banking,1705,1446616.0,22.97,0.11,1.24,6.19,5.15,1.74,0.96,184.38
INFY,Finance,1949,1239522.0,30.69,0.69,27.86,3.96,3.03,-0.39,0.95,222.1
WIPRO,IT,4921,1176157.0,36.9,-0.5,16.75,3.73,5.18,-0.02,1.04,195.89
SBIN,Finance,157,563325.0,32.34,0.78,0.39,8.74,5.02,1.61,0.65,209.94
SBIN,Banking,2102,1276537.0,27.22,-0.7,13.17,5.39,6.82,-0.29,0.77,179.31
ITC,Infrastructure,353,1029202.0,22.97,-0.18,-2.69,7.25,3.81,-1.52,0.96,164.39
ICICIBANK,Banking,1354,1340761.0,39.98,-0.48,27.01,7.67,6.33,-1.19,1.03,231.05
TCS,Infrastructure,3966,1269513.0,23.56,0.84,2.17,5.73,3.74,0.91,1.11,191.75
ICICIBANK,Infrastructure,3374,727324.0,35.19,0.61,4.79,4.53,5.16,-1.49,0.94,170.91
ITC,Finance,4357,1163904.0,17.12,-0.06,-2.02,4.15,5.74,-1.95,0.92,140.6
ITC,Finance,2808,854519.0,25.63,0.27,28.06,3.78,6.84,-1.46,0.89,222.63
ADANIENT,Infrastructure,1858,943925.0,31.82,0.88,14.07,4.79,6.75,1.07,1.16,238.72
HDFCBANK,IT,4342,810870.0,27.23,0.96,-1.65,3.35,5.92,-0.4,1.07,173.1
RELIANCE,Banking,2205,1243917.0,18.61,0.84,-0.0,7.16,5.97,-0.73,0.84,139.33
TCS,Energy,4326,1049744.0,17.68,0.69,16.9,7.46,6.29,1.71,0.67,188.22
ITC,Infrastructure,4791,919437.0,19.22,0.41,15.74,3.13,5.89,1.77,1.17,191.0
ITC,Energy,4943,1105799.0,24.15,-0.07,16.32,7.27,7.53,-1.86,0.94,202.77
ADANIENT,Infrastructure,3558,1334007.0,23.56,0.56,17.89,3.3,6.76,1.94,0.88,215.15
HDFCBANK,Energy,2390,889126.0,33.89,0.35,8.66,5.92,6.6,0.14,0.96,210.55
ITC,Infrastructure,4009,771343.0,21.67,0.8,13.21,7.11,5.66,1.06,0.77,206.61
SBIN,IT,242,1017639.0,28.36,-0.2,-7.37,7.57,3.01,0.25,1.36,182.15
ICICIBANK,Finance,499,485568.0,22.97,0.69,-6.08,4.07,4.48,-1.5,0.97,117.05
HDFCBANK,Energy,583,1098889.0,27.39,-0.96,13.26,7.54,6.7,-1.33,0.54,175.12
LT,Energy,3606,989976.0,26.11,0.08,13.62,4.5,7.56,0.37,1.23,234.34
RELIANCE,Banking,1023,1528305.0,8.53,-0.62,17.84,3.52,5.93,0.94,1.16,144.22
RELIANCE,Infrastructure,3976,813114.0,30.51,0.28,14.63,8.54,5.64,0.3,1.02,200.85
ADANIENT,IT,1053,1247974.0,15.23,-0.07,17.16,8.45,4.58,-1.58,0.81,179.68
RELIANCE,Banking,4373,997204.0,38.34,-0.76,-2.54,3.56,3.3,0.45,1.14,185.14
LT,IT,3518,835514.0,28.09,0.23,29.37,5.99,4.42,-1.72,0.77,202.08
WIPRO,IT,35,1172740.0,31.26,0.43,-9.44,6.87,6.43,-0.62,1.66,167.07
RELIANCE,IT,2738,809942.0,30.86,-0.06,1.02,4.75,4.2,1.17,0.88,180.96
LT,IT,3207,622314.0,16.79,-0.8,19.17,6.16,6.67,-1.52,1.0,152.39
HDFCBANK,Finance,1355,1001556.0,48.94,-0.49,29.21,6.98,7.35,0.94,0.81,195.37
WIPRO,Banking,3132,916211.0,14.76,0.84,16.68,6.25,6.76,0.68,0.7,183.61
INFY,Banking,2879,1009821.0,7.89,-0.35,12.29,5.5,7.36,1.58,0.9,195.58
WIPRO,Infrastructure,2911,899397.0,27.87,0.22,-9.37,7.54,7.02,0.45,1.02,152.37
HDFCBANK,Finance,2474,757480.0,19.94,0.61,26.77,6.4,3.6,0.87,1.04,209.96
INFY,Energy,535,1226843.0,16.73,0.17,24.61,3.38,5.18,-0.92,0.88,150.03
ICICIBANK,Banking,197,758254.0,28.63,-0.17,4.13,3.39,6.62,0.82,1.05,157.68
ITC,IT,736,1060014.0,19.34,-0.94,29.62,8.0,5.45,-0.2,0.89,198.71
ITC,Banking,4323,1181914.0,22.22,0.09,-6.89,4.13,7.51,-0.49,1.02,154.52
ITC,Infrastructure,2777,1141826.0,31.65,0.75,-5.7,3.98,6.76,-0.52,1.1,137.91
ICICIBANK,Finance,4167,1100267.0,7.65,0.99,18.06,4.4,3.03,-1.57,1.02,193.0
WIPRO,Banking,680,1187695.0,24.73,0.52,23.89,8.42,4.11,0.3,0.59,220.28
TCS,Infrastructure,2925,1143926.0,11.04,0.2,5.9,8.2,6.47,0.16,0.73,154.54
ADANIENT,Banking,3848,875218.0,26.13,-0.92,10.67,7.53,6.99,-0.44,0.67,149.92
ICICIBANK,Banking,4414,1258355.0,24.72,0.93,9.68,3.28,6.81,-0.27,1.15,161.21
ITC,Infrastructure,438,418516.0,9.78,-0.17,9.28,8.01,4.64,-0.66,1.13,199.3
TCS,Finance,4829,1067949.0,30.58,0.87,9.78,7.27,5.01,0.84,1.01,216.12
RELIANCE,Finance,1842,1168584.0,29.3,-0.15,-6.68,8.37,3.26,-1.01,1.1,183.8
LT,IT,249,1003430.0,23.4,-0.55,12.44,8.48,4.23,0.83,1.0,172.41
ADANIENT,Finance,2813,1321069.0,32.48,0.53,21.44,4.59,7.09,0.44,1.11,214.18
TCS,Banking,704,938978.0,32.46,0.51,-0.46,3.07,4.34,-0.62,1.06,160.67
INFY,Banking,3324,780576.0,19.57,0.37,15.54,6.04,6.73,1.09,1.33,204.92
INFY,Infrastructure,4903,1189445.0,24.34,0.07,-8.53,8.16,6.03,0.58,1.12,176.84
TCS,Infrastructure,1907,1378960.0,12.17,0.09,8.7,5.77,3.75,-1.52,1.07,180.71
SBIN,IT,3315,1701782.0,25.22,0.26,15.66,3.46,4.53,1.13,1.17,220.99
TCS,IT,284,1075363.0,25.41,0.54,-1.14,4.44,4.79,-1.5,1.42,192.84
RELIANCE,Finance,209,1275693.0,30.31,-0.08,13.11,6.16,6.24,-1.7,1.13,216.27
HDFCBANK,Energy,1072,705182.0,29.89,0.77,20.07,8.8,5.78,-1.38,1.1,198.19
HDFCBANK,IT,896,1537250.0,16.09,0.84,22.97,3.77,7.23,0.12,0.7,179.12
TCS,IT,2026,1175088.0,26.17,-0.8,16.83,4.14,3.88,-1.41,0.86,192.37
SBIN,Finance,1974,1090906.0,24.62,0.76,15.23,4.05,6.32,0.99,0.78,232.56
TCS,Infrastructure,3430,719266.0,19.34,-0.56,25.04,8.43,5.97,-0.12,1.01,202.85
SBIN,Banking,3808,991700.0,13.59,-0.77,25.18,5.99,7.06,-0.96,1.31,167.7
ADANIENT,Banking,3167,1061392.0,27.98,0.16,17.7,7.22,6.51,-1.1,0.73,192.2
INFY,Energy,4277,892998.0,18.74,0.4,28.8,7.61,7.94,-1.49,1.22,231.21
ITC,Banking,610,954718.0,8.0,0.12,12.48,8.09,3.52,-1.14,1.28,204.85
LT,Banking,1978,927920.0,25.4,-0.13,-5.35,5.49,6.58,-0.08,1.16,142.02
INFY,IT,2212,1212394.0,28.86,-0.28,12.29,3.35,3.41,-1.27,1.08,164.44
ADANIENT,Finance,1603,690397.0,27.79,-0.12,21.86,8.77,5.92,-0.78,0.99,216.08
HDFCBANK,Energy,2002,650251.0,40.02,0.87,26.38,3.19,5.75,-0.05,0.86,232.09
HDFCBANK,Infrastructure,2736,1054952.0,24.06,0.36,27.04,5.6,3.32,0.74,1.19,253.3
HDFCBANK,Finance,217,1128241.0,25.15,0.6,17.06,3.1,8.0,1.21,1.3,191.5
HDFCBANK,IT,3802,810482.0,23.85,0.88,25.39,5.09,4.69,-1.03,1.22,210.26
RELIANCE,Energy,959,1209678.0,22.81,0.84,29.14,8.57,3.01,-1.52,1.0,234.21
INFY,Energy,1793,1024248.0,22.82,0.27,-1.34,6.14,4.26,-1.11,0.9,168.63
RELIANCE,IT,4137,1237139.0,21.17,-0.5,4.98,6.94,7.64,1.94,0.67,164.01
ICICIBANK,Banking,4706,1548221.0,21.0,0.24,-4.98,6.8,7.5,-1.97,1.15,138.53
TCS,IT,764,885944.0,34.73,0.66,22.03,6.31,7.72,-1.59,1.04,195.48
ADANIENT,Banking,3638,875067.0,12.65,0.72,2.62,6.05,4.38,-1.99,0.93,141.64
TCS,Banking,2778,835290.0,31.3,-0.93,23.86,6.85,3.47,-0.65,1.04,201.4
TCS,Energy,3810,1049879.0,26.77,-0.41,-8.34,3.94,6.88,0.26,0.97,83.68
TCS,Banking,3172,1401070.0,35.21,-0.6,16.4,3.97,6.23,-0.99,1.26,204.21
ICICIBANK,IT,3182,1023119.0,11.69,0.96,24.17,6.34,7.52,0.3,0.83,159.16
TCS,Energy,1033,1075178.0,41.66,-0.39,-8.79,3.46,5.15,1.94,1.1,172.99
ICICIBANK,Infrastructure,1754,1474803.0,24.33,-0.94,1.78,6.97,7.77,1.17,0.77,141.42
ADANIENT,Energy,3063,826751.0,35.79,-0.17,20.5,6.23,4.67,1.21,0.81,238.97
HDFCBANK,Infrastructure,1222,984877.0,31.3,0.66,24.66,4.73,7.52,1.57,1.13,260.44
LT,IT,4915,572427.0,37.34,-0.98,0.75,4.14,7.82,1.72,1.17,180.64
ITC,Finance,1376,717678.0,23.15,-0.27,10.29,6.29,3.78,0.74,0.98,165.49
LT,Finance,3463,1348610.0,20.35,-0.8,6.13,8.9,4.64,1.65,0.97,182.76
ICICIBANK,Finance,1669,1217388.0,49.11,-0.47,3.11,7.71,7.51,-0.77,0.8,193.58
ICICIBANK,IT,1881,1182890.0,38.83,-0.77,4.06,5.28,6.35,-1.37,0.95,169.8
SBIN,Infrastructure,133,1020000.0,28.66,0.9,27.29,8.09,4.26,0.54,1.14,228.87
ADANIENT,Infrastructure,397,606429.0,21.77,0.68,8.08,8.42,6.65,-0.83,0.64,165.16
LT,Energy,764,1004209.0,19.95,0.63,5.58,6.23,5.84,0.39,1.02,179.44
TCS,Energy,2527,1053453.0,25.42,0.55,25.27,3.13,5.54,-1.11,0.89,215.61
RELIANCE,Banking,2787,1002530.0,18.41,0.5,25.84,8.6,6.9,-1.49,0.65,203.35
WIPRO,Energy,2904,689799.0,27.55,-0.9,26.1,7.33,5.45,-0.45,0.9,237.74
TCS,Finance,1853,596704.0,47.54,-0.44,11.97,8.06,6.84,0.73,1.08,212.75
RELIANCE,Energy,4147,1193452.0,18.07,-0.52,-4.69,8.28,5.57,-1.98,1.04,139.73
RELIANCE,Energy,3535,1375762.0,30.11,-0.58,20.28,5.53,3.13,-0.98,0.87,160.47
ITC,Banking,4507,1497824.0,29.35,0.31,27.2,6.4,6.6,1.92,0.67,253.01
ITC,IT,1451,928376.0,36.57,-0.95,-7.35,3.33,6.26,1.61,1.01,169.09
SBIN,Banking,3711,938867.0,15.72,0.22,19.28,5.12,7.03,-1.7,1.2,203.74
RELIANCE,Infrastructure,3879,1190995.0,24.07,-0.37,14.06,4.91,3.11,-1.9,1.13,189.1
ADANIENT,Infrastructure,2451,1213034.0,22.81,0.25,-5.68,5.89,6.91,0.99,0.96,150.5
ICICIBANK,Energy,4995,1148474.0,22.31,-0.14,9.67,8.28,6.59,1.01,0.79,197.74
RELIANCE,IT,128,661460.0,26.62,-0.45,1.83,5.25,5.66,-1.42,0.97,139.59
INFY,Energy,4510,1002026.0,25.72,0.99,6.82,8.3,3.1,1.23,1.16,218.21
RELIANCE,Finance,1219,1545395.0,22.13,0.99,6.03,6.81,7.27,-0.12,1.14,164.74
INFY,Finance,4262,891487.0,40.68,0.12,12.2,6.44,4.12,0.33,1.16,218.7
WIPRO,Infrastructure,545,1513705.0,27.04,0.37,-2.98,3.95,4.4,0.32,1.3,155.82
LT,Finance,1582,1395638.0,21.24,-0.99,-5.51,5.05,7.73,0.01,0.79,111.86
SBIN,Infrastructure,1230,644993.0,37.51,0.72,-6.36,6.86,3.94,0.76,0.88,158.09
RELIANCE,Finance,2076,935547.0,18.2,-0.25,6.8,7.05,3.29,1.16,1.15,181.94
ICICIBANK,Banking,3660,1035362.0,27.91,-0.31,19.47,3.31,5.65,1.08,1.09,223.64
TCS,IT,465,1459366.0,37.89,0.9,29.5,8.97,5.82,0.36,1.06,267.67
TCS,Banking,143,938011.0,27.73,-0.99,19.84,6.56,3.47,-0.33,0.84,201.62
ITC,Banking,1031,1257031.0,19.35,0.6,24.81,8.04,7.79,1.58,0.6,205.27
TCS,Banking,2515,1253741.0,26.58,0.82,7.7,8.17,4.1,-0.71,0.81,186.57
INFY,Infrastructure,4550,784511.0,24.82,-0.75,-3.22,5.85,3.02,-1.49,1.23,178.09
WIPRO,Finance,1647,662838.0,21.22,0.92,1.32,5.27,3.98,-0.21,0.86,154.22
INFY,Energy,1944,1175426.0,33.99,-0.03,-3.39,4.58,4.23,1.72,0.86,163.2
INFY,Energy,4689,921631.0,22.71,0.99,18.68,8.73,7.18,-0.87,1.05,212.28
TCS,IT,887,942954.0,15.9,-0.45,23.26,7.09,4.19,-1.85,0.72,192.17
ICICIBANK,Infrastructure,737,1359129.0,28.31,0.64,2.13,3.35,7.2,1.31,0.95,163.39
HDFCBANK,Energy,403,1132725.0,24.06,0.55,12.02,6.1,4.0,-1.01,1.23,227.7
HDFCBANK,Infrastructure,2337,1360254.0,27.3,0.2,13.76,3.05,7.98,-1.49,0.9,170.35
HDFCBANK,IT,2720,642088.0,14.47,-0.33,18.06,6.15,6.42,0.15,1.16,199.11
SBIN,IT,1397,1361776.0,29.26,-0.15,11.5,5.71,4.88,-1.6,1.38,158.53
INFY,Finance,4070,1218129.0,22.3,-0.5,17.26,4.79,3.94,0.92,1.35,232.45
HDFCBANK,IT,4213,407714.0,25.26,0.77,22.29,5.89,3.56,-0.56,1.14,189.81
ITC,Infrastructure,4948,929914.0,11.75,0.84,8.13,8.14,7.94,-1.74,1.11,134.68
INFY,Energy,1490,425989.0,14.6,-0.6,-8.48,4.74,5.54,-1.99,0.88,105.86
ICICIBANK,Infrastructure,2003,1031070.0,14.23,0.84,0.96,8.92,5.55,-1.37,1.02,178.68
SBIN,Banking,1441,956155.0,24.96,-0.75,0.76,4.57,6.23,-1.63,1.09,145.43
HDFCBANK,Energy,2511,990397.0,20.54,-0.26,6.08,3.38,7.72,0.88,1.08,139.04
LT,Infrastructure,3255,1130229.0,18.09,-0.04,25.6,8.77,7.4,-0.56,0.87,194.31
ICICIBANK,IT,810,745257.0,26.38,0.2,-1.76,4.14,4.19,0.47,0.94,163.86
LT,Banking,3189,1599598.0,33.96,-0.39,29.07,6.85,6.58,-1.71,1.27,205.11
LT,Infrastructure,3022,778029.0,26.01,-0.11,18.73,5.93,6.77,-1.92,1.22,187.95
ADANIENT,IT,4842,969864.0,16.94,0.05,-7.36,7.15,4.76,0.96,0.98,131.24
WIPRO,Infrastructure,123,714282.0,35.28,0.27,-6.78,6.5,5.22,-0.42,0.86,148.61
LT,Finance,2130,1330792.0,13.78,-0.99,23.64,4.77,3.26,0.13,1.02,256.6
RELIANCE,Finance,1919,1135188.0,24.22,-0.9,-8.0,7.85,3.95,-0.36,0.87,141.17
RELIANCE,Banking,621,1063981.0,24.68,-0.77,20.43,7.84,7.99,-1.68,1.17,187.11
TCS,Finance,2132,889732.0,23.17,-0.19,26.01,3.53,6.16,1.01,1.19,247.48
RELIANCE,Energy,1412,686071.0,32.13,-0.42,7.46,3.51,3.15,0.36,0.68,167.08
LT,Infrastructure,4723,1094774.0,22.83,0.71,7.09,8.43,3.27,0.44,1.61,233.5
HDFCBANK,Energy,4392,808670.0,13.43,0.9,29.23,8.11,6.49,-1.58,0.75,207.85
LT,Infrastructure,1738,1273191.0,15.9,0.14,6.75,4.82,4.81,1.35,1.14,186.63
ITC,IT,2715,1139749.0,26.82,0.08,13.47,6.17,3.97,1.65,1.33,231.88
ADANIENT,Banking,3142,1160326.0,25.44,-0.4,16.0,4.43,3.51,1.86,1.12,210.08
INFY,Energy,3289,1140683.0,10.85,0.63,23.59,4.63,3.72,-0.16,0.77,190.35
ADANIENT,Finance,50,1057955.0,13.63,-0.84,-6.85,8.23,7.15,-1.87,1.02,124.22
TCS,Infrastructure,334,1200501.0,30.73,0.25,15.3,3.98,4.29,0.03,0.73,169.28
HDFCBANK,Banking,3833,1344382.0,22.25,0.72,1.59,6.79,5.94,-0.15,0.95,129.77
INFY,Infrastructure,2932,1045701.0,32.91,-0.2,2.08,7.4,4.4,-0.85,1.07,153.26
TCS,Infrastructure,4777,1244454.0,18.31,-0.89,22.45,7.17,4.3,0.84,1.21,218.62
ADANIENT,Energy,54,1579463.0,51.8,0.91,24.52,3.35,7.89,-0.68,1.03,228.38
LT,Energy,2299,731267.0,30.55,0.82,6.05,4.46,7.31,0.93,1.01,206.97
TCS,Banking,2522,742575.0,6.71,0.24,-2.68,7.83,4.23,0.9,0.87,143.87
HDFCBANK,IT,4895,975700.0,34.91,0.5,9.95,6.0,3.42,1.59,0.86,211.01
INFY,Banking,2732,1206144.0,16.17,0.68,1.12,4.51,7.48,-1.5,1.36,186.54
SBIN,Banking,787,756093.0,9.39,0.66,5.59,7.51,4.86,-0.28,1.04,167.81
RELIANCE,IT,3610,1196072.0,18.51,0.06,5.68,7.98,5.44,0.4,0.87,180.87
INFY,Finance,3670,735989.0,25.25,-0.37,10.41,4.78,6.78,0.48,0.75,184.17
ITC,Banking,1364,1145892.0,31.2,-0.66,-9.37,6.67,5.86,-1.94,1.15,159.77
ADANIENT,Banking,318,937152.0,26.34,0.72,13.91,5.48,6.8,-0.2,1.26,209.4
ADANIENT,Banking,412,980408.0,37.46,0.11,-8.94,7.51,5.19,0.52,1.03,188.85
ITC,Banking,645,1450769.0,27.34,0.17,23.48,4.57,7.36,0.12,0.92,173.46
RELIANCE,Energy,1293,1258403.0,13.5,0.11,29.97,5.22,7.01,-1.52,0.99,220.94
ADANIENT,Infrastructure,4369,913470.0,16.72,0.53,-5.19,7.24,7.95,-0.47,1.08,107.21
RELIANCE,IT,2118,1143212.0,15.31,0.47,14.55,4.8,7.97,1.49,1.3,182.4
SBIN,IT,3029,607584.0,11.5,0.91,19.23,8.06,7.97,1.36,0.66,191.67
LT,Energy,2508,1007513.0,40.56,0.12,-5.69,4.7,7.42,1.5,0.92,176.33
ADANIENT,Finance,3876,1176867.0,11.55,-0.52,16.93,4.32,5.79,-0.8,0.76,153.62
RELIANCE,Finance,3756,922717.0,30.71,-0.4,-1.82,7.45,6.61,0.36,1.09,140.43
LT,IT,1538,1644591.0,25.96,0.09,-3.09,6.48,5.85,0.8,1.38,207.77
TCS,Finance,4366,434562.0,26.62,0.84,6.63,8.39,4.05,-0.68,0.94,158.4
LT,Banking,680,852240.0,20.59,0.16,23.74,3.05,5.67,0.97,1.25,223.97
HDFCBANK,IT,4694,1466302.0,23.28,-0.27,11.76,3.7,4.83,-0.92,1.54,183.77
ITC,Infrastructure,4070,806939.0,25.64,0.53,20.64,3.08,5.89,-0.06,1.09,224.95
SBIN,Banking,1542,1294257.0,13.6,-0.8,19.37,5.52,4.48,-1.07,1.05,172.76
SBIN,Finance,3968,1189103.0,26.89,-0.63,29.43,6.39,3.78,-1.28,1.2,186.43
TCS,IT,2918,907911.0,33.45,0.98,6.7,6.15,5.68,-0.81,0.95,210.44
LT,Banking,225,1271730.0,27.01,0.03,8.22,4.61,7.34,-1.44,0.57,165.25
ITC,Banking,1524,793120.0,38.1,-0.96,19.09,7.57,4.43,-0.61,0.97,203.39
HDFCBANK,Banking,2150,504600.0,20.66,0.75,16.95,3.66,5.48,1.99,1.03,211.91
