ShipmentID,OriginCity,DestinationCity,DistanceKM,PackageWeightKG,PackageSize,TransportMode,DispatchTime,ScheduledDeliveryDays,TrafficCondition,WeatherCondition,OperationalDisruption,NumStops,DeliveryPartner,CustomerPriority,ActualDeliveryDays,DelayCategory
10047,Chennai,Kolkata,623.9,0.5,Large,Rail,2024-10-28 17:00:00,1,Moderate,Clear,None,0,Internal,High,<function <lambda> at 0x7cd864291300>,Cancelled
10048,Bangalore,Delhi,902.8,5.84,Medium,Road,2024-07-16 06:00:00,9,Jam,Clear,None,4,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10049,Kolkata,Delhi,794.7,8.83,Small,Road,2024-10-28 03:00:00,2,Moderate,Clear,None,4,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10050,Chennai,Delhi,423.0,2.11,Medium,Road,2024-05-22 14:00:00,4,Moderate,Stormy,None,4,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10051,Mumbai,Bangalore,1038.3,5.57,Small,Air,2024-11-20 23:00:00,1,Clear,Clear,None,3,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10052,Kolkata,Chennai,1160.9,3.54,Oversize,Rail,2024-05-17 16:00:00,7,Heavy,Clear,System Outage,3,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10053,Delhi,Hyderabad,680.1,7.02,Oversize,Road,2024-09-04 13:00:00,9,Heavy,Clear,None,1,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,Cancelled
10054,Delhi,Mumbai,670.8,7.51,Large,Road,2024-02-20 07:00:00,9,Moderate,Clear,None,1,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10055,Mumbai,Bangalore,1018.9,2.74,Oversize,Air,2024-06-28 15:00:00,1,Moderate,Rainy,None,1,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10056,Mumbai,Chennai,623.4,7.44,Medium,Sea,2024-11-21 10:00:00,9,Clear,Clear,None,2,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10057,Mumbai,Chennai,679.0,3.47,Medium,Road,2024-02-27 10:00:00,3,Jam,Clear,None,0,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10058,Chennai,Chennai,386.6,0.5,Small,Road,2024-06-11 19:00:00,5,Clear,Clear,None,3,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10059,Delhi,Mumbai,885.2,1.54,Large,Road,2024-12-02 01:00:00,2,Clear,Rainy,None,2,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10060,Kolkata,Chennai,1202.6,6.64,Medium,Road,2024-05-25 09:00:00,5,Heavy,Rainy,Vehicle Breakdown,4,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10061,Delhi,Delhi,988.6,8.29,Oversize,Road,2024-07-20 13:00:00,1,Clear,Clear,None,4,3PL-A,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10062,Hyderabad,Kolkata,614.7,1.84,Small,Road,2024-08-07 23:00:00,7,Heavy,Clear,None,3,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10063,Hyderabad,Bangalore,503.5,10.37,Small,Road,2024-02-18 17:00:00,9,Moderate,Rainy,None,3,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10064,Kolkata,Kolkata,973.4,0.5,Oversize,Road,2024-09-28 01:00:00,8,Heavy,Foggy,None,3,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10065,Bangalore,Mumbai,801.8,0.5,Medium,Road,2024-09-17 21:00:00,7,Clear,Clear,None,1,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10066,Kolkata,Bangalore,908.5,0.5,Large,Air,2024-08-17 17:00:00,9,Clear,Clear,None,3,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10067,Delhi,Hyderabad,1133.8,4.86,Medium,Air,2024-05-26 07:00:00,3,Clear,Clear,None,0,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Cancelled
10068,Chennai,Delhi,820.9,3.89,Medium,Road,2024-05-31 22:00:00,8,Moderate,Clear,None,4,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10069,Chennai,Kolkata,975.2,3.01,Oversize,Road,2024-07-12 02:00:00,5,Moderate,Clear,None,3,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10070,Chennai,Bangalore,630.8,3.47,Large,Road,2024-05-26 09:00:00,9,Clear,Foggy,None,0,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10071,Delhi,Delhi,505.0,1.88,Oversize,Road,2024-03-19 07:00:00,7,Clear,Clear,None,2,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10072,Hyderabad,Hyderabad,777.9,5.26,Large,Road,2024-12-29 09:00:00,1,Heavy,Clear,None,0,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,Major Delay
10073,Hyderabad,Chennai,1147.0,5.05,Large,Air,2024-12-10 21:00:00,8,Jam,Rainy,None,0,Internal,Low,<function <lambda> at 0x7cd864291300>,Cancelled
10074,Chennai,Hyderabad,1165.2,4.21,Medium,Sea,2024-10-22 09:00:00,9,Moderate,Clear,None,0,3PL-B,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10075,Hyderabad,Delhi,651.3,11.49,Large,Air,2024-10-30 13:00:00,4,Jam,Stormy,None,3,3PL-C,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10076,Kolkata,Delhi,844.3,7.98,Large,Road,2024-12-02 06:00:00,7,Clear,Clear,None,0,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10077,Bangalore,Chennai,516.3,2.16,Small,Rail,2024-03-16 00:00:00,4,Clear,Clear,None,0,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10078,Hyderabad,Chennai,552.5,16.1,Large,Sea,2024-09-21 05:00:00,4,Heavy,Rainy,None,2,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10079,Delhi,Chennai,1143.8,3.48,Small,Road,2024-05-08 01:00:00,3,Clear,Clear,None,1,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10080,Delhi,Hyderabad,942.0,4.85,Medium,Road,2024-03-04 07:00:00,8,Heavy,Clear,Vehicle Breakdown,4,3PL-B,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10081,Bangalore,Mumbai,544.2,5.05,Small,Air,2024-01-19 18:00:00,3,Heavy,Foggy,None,1,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10082,Kolkata,Chennai,851.7,2.2,Small,Rail,2024-11-08 10:00:00,2,Clear,Rainy,None,0,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10083,Bangalore,Delhi,1133.5,8.74,Large,Rail,2024-08-06 06:00:00,7,Clear,Clear,None,0,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10084,Kolkata,Mumbai,629.2,5.31,Large,Road,2024-07-03 16:00:00,1,Moderate,Clear,None,2,3PL-B,High,<function <lambda> at 0x7cd864291300>,Cancelled
10085,Hyderabad,Kolkata,832.0,5.72,Large,Sea,2024-09-18 18:00:00,3,Heavy,Clear,None,3,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10086,Chennai,Hyderabad,1013.0,5.41,Oversize,Air,2024-03-26 15:00:00,9,Moderate,Clear,None,1,Internal,High,<function <lambda> at 0x7cd864291300>,Major Delay
10087,Hyderabad,Kolkata,1390.8,6.56,Large,Air,2024-04-11 09:00:00,9,Heavy,Foggy,Strike,3,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10088,Hyderabad,Chennai,803.8,6.87,Oversize,Rail,2024-11-27 16:00:00,2,Moderate,Clear,None,2,3PL-C,High,<function <lambda> at 0x7cd864291300>,Cancelled
10089,Chennai,Kolkata,671.4,5.47,Medium,Rail,2024-12-20 08:00:00,9,Clear,Clear,None,1,Internal,High,<function <lambda> at 0x7cd864291300>,Major Delay
10090,Delhi,Bangalore,603.3,3.58,Small,Road,2024-08-19 10:00:00,8,Clear,Clear,None,1,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10091,Bangalore,Bangalore,783.8,0.5,Oversize,Road,2024-04-08 00:00:00,8,Moderate,Clear,System Outage,4,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10092,Kolkata,Chennai,747.5,7.83,Small,Road,2024-07-29 07:00:00,5,Jam,Clear,None,4,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10093,Kolkata,Chennai,929.9,8.56,Small,Road,2024-06-25 04:00:00,1,Moderate,Stormy,None,0,3PL-C,High,<function <lambda> at 0x7cd864291300>,On-Time
10094,Hyderabad,Chennai,511.0,6.66,Medium,Road,2024-06-25 00:00:00,4,Heavy,Clear,Strike,2,3PL-C,High,<function <lambda> at 0x7cd864291300>,On-Time
10095,Mumbai,Mumbai,800.0,5.42,Oversize,Air,2024-12-06 08:00:00,2,Jam,Clear,None,0,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10096,Mumbai,Chennai,259.2,4.39,Oversize,Road,2024-06-08 04:00:00,8,Clear,Rainy,None,4,3PL-A,Low,<function <lambda> at 0x7cd864291300>,On-Time
10097,Mumbai,Hyderabad,1184.7,3.56,Medium,Rail,2024-04-21 05:00:00,1,Clear,Clear,None,1,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10098,Chennai,Delhi,1029.7,6.95,Oversize,Road,2024-02-04 01:00:00,8,Clear,Clear,Vehicle Breakdown,3,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10099,Bangalore,Delhi,999.6,6.01,Large,Road,2024-05-20 10:00:00,8,Heavy,Clear,None,0,3PL-C,High,<function <lambda> at 0x7cd864291300>,Major Delay
10100,Delhi,Delhi,751.8,3.45,Small,Air,2024-02-11 05:00:00,4,Moderate,Clear,None,2,Internal,High,<function <lambda> at 0x7cd864291300>,Cancelled
10101,Mumbai,Hyderabad,989.3,7.59,Medium,Road,2024-01-20 14:00:00,9,Moderate,Clear,None,3,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10102,Chennai,Bangalore,231.7,0.5,Oversize,Road,2024-04-08 16:00:00,9,Moderate,Rainy,None,2,Internal,Low,<function <lambda> at 0x7cd864291300>,Cancelled
10103,Delhi,Hyderabad,672.2,9.39,Large,Road,2024-04-21 16:00:00,4,Clear,Clear,None,4,Internal,Medium,<function <lambda> at 0x7cd864291300>,Major Delay
10104,Mumbai,Hyderabad,997.7,9.66,Small,Road,2024-08-20 23:00:00,7,Moderate,Foggy,None,2,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10105,Chennai,Hyderabad,737.1,7.17,Oversize,Rail,2024-11-26 16:00:00,4,Clear,Clear,None,3,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10106,Chennai,Bangalore,902.8,8.09,Oversize,Rail,2024-07-11 23:00:00,9,Clear,Foggy,None,0,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10107,Kolkata,Delhi,105.8,6.38,Small,Road,2024-09-17 21:00:00,8,Clear,Clear,None,3,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10108,Chennai,Chennai,603.0,3.04,Small,Road,2024-07-23 21:00:00,2,Moderate,Clear,None,2,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10109,Delhi,Chennai,876.9,3.16,Oversize,Rail,2024-09-14 17:00:00,4,Clear,Rainy,None,4,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,Cancelled
10110,Chennai,Mumbai,823.2,4.21,Small,Rail,2024-05-18 15:00:00,9,Clear,Clear,None,3,3PL-C,High,<function <lambda> at 0x7cd864291300>,On-Time
10111,Hyderabad,Hyderabad,391.4,2.49,Small,Road,2024-04-09 19:00:00,4,Moderate,Clear,None,1,3PL-B,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10112,Delhi,Bangalore,884.9,7.5,Medium,Sea,2024-12-08 17:00:00,8,Heavy,Rainy,None,0,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10113,Delhi,Kolkata,1316.0,4.03,Small,Road,2024-12-07 09:00:00,7,Clear,Clear,None,3,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10114,Bangalore,Bangalore,406.8,2.73,Oversize,Air,2024-01-05 16:00:00,1,Heavy,Rainy,None,3,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10115,Kolkata,Mumbai,862.8,5.29,Small,Road,2024-09-03 12:00:00,3,Heavy,Clear,None,2,3PL-C,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10116,Bangalore,Kolkata,568.4,7.83,Large,Rail,2024-12-30 23:00:00,1,Moderate,Clear,None,4,3PL-A,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10117,Hyderabad,Chennai,891.8,5.52,Large,Rail,2024-07-06 17:00:00,3,Clear,Clear,None,4,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10118,Delhi,Chennai,1461.0,6.27,Medium,Rail,2024-07-16 15:00:00,6,Clear,Clear,None,4,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10119,Mumbai,Mumbai,847.2,3.31,Oversize,Road,2024-12-13 21:00:00,9,Heavy,Clear,None,4,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10120,Chennai,Hyderabad,1097.7,6.99,Small,Rail,2024-01-01 15:00:00,7,Heavy,Clear,None,3,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10121,Delhi,Kolkata,252.4,3.92,Oversize,Sea,2024-11-18 03:00:00,8,Heavy,Clear,Vehicle Breakdown,4,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10122,Mumbai,Chennai,988.7,3.48,Oversize,Road,2024-01-12 16:00:00,2,Clear,Rainy,None,2,3PL-B,Low,<function <lambda> at 0x7cd864291300>,On-Time
10123,Chennai,Bangalore,944.0,1.08,Medium,Road,2024-10-17 00:00:00,3,Clear,Rainy,Vehicle Breakdown,2,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10124,Bangalore,Delhi,1008.3,6.36,Medium,Air,2024-03-02 07:00:00,4,Moderate,Clear,Strike,1,3PL-C,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10125,Mumbai,Kolkata,317.7,2.02,Oversize,Rail,2024-07-10 19:00:00,6,Moderate,Clear,None,3,3PL-C,High,<function <lambda> at 0x7cd864291300>,Major Delay
10126,Delhi,Delhi,572.8,2.65,Large,Road,2024-11-17 20:00:00,7,Jam,Clear,None,4,Internal,Medium,<function <lambda> at 0x7cd864291300>,Major Delay
10127,Delhi,Kolkata,467.8,5.63,Medium,Rail,2024-04-10 18:00:00,7,Heavy,Stormy,None,1,Internal,High,<function <lambda> at 0x7cd864291300>,On-Time
10128,Chennai,Bangalore,869.4,6.0,Small,Air,2024-01-25 00:00:00,8,Heavy,Clear,None,0,3PL-B,High,<function <lambda> at 0x7cd864291300>,Minor Delay
10129,Hyderabad,Delhi,543.2,6.33,Oversize,Road,2024-04-12 11:00:00,3,Heavy,Clear,None,1,Internal,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10130,Kolkata,Delhi,1154.0,6.65,Large,Rail,2024-11-09 16:00:00,1,Moderate,Clear,None,2,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10131,Mumbai,Hyderabad,1244.7,3.72,Small,Air,2024-09-27 01:00:00,6,Moderate,Clear,None,3,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10132,Delhi,Chennai,1148.6,0.5,Medium,Road,2024-06-03 15:00:00,5,Clear,Clear,System Outage,3,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10133,Bangalore,Hyderabad,494.4,0.99,Oversize,Rail,2024-03-01 11:00:00,9,Moderate,Clear,None,0,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10134,Mumbai,Delhi,1241.7,3.6,Oversize,Rail,2024-09-18 03:00:00,4,Clear,Clear,System Outage,3,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10135,Bangalore,Kolkata,847.0,2.43,Medium,Road,2024-05-20 05:00:00,7,Moderate,Clear,None,2,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10136,Delhi,Mumbai,797.7,2.66,Medium,Road,2024-01-26 00:00:00,7,Clear,Clear,None,0,3PL-C,Low,<function <lambda> at 0x7cd864291300>,Major Delay
10137,Kolkata,Chennai,50.0,7.48,Small,Road,2024-04-10 22:00:00,7,Moderate,Clear,None,2,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10138,Bangalore,Delhi,800.9,4.33,Small,Road,2024-05-25 00:00:00,5,Clear,Clear,None,3,3PL-C,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10139,Hyderabad,Kolkata,835.1,3.83,Medium,Road,2024-01-04 02:00:00,9,Heavy,Rainy,None,0,Internal,Low,<function <lambda> at 0x7cd864291300>,On-Time
10140,Hyderabad,Bangalore,1017.8,8.32,Oversize,Rail,2024-10-13 05:00:00,5,Clear,Clear,None,0,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10141,Mumbai,Hyderabad,737.6,5.62,Large,Road,2024-07-15 13:00:00,6,Heavy,Clear,None,3,3PL-C,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10142,Kolkata,Hyderabad,775.7,7.0,Small,Road,2024-03-10 10:00:00,4,Clear,Rainy,None,2,Internal,Medium,<function <lambda> at 0x7cd864291300>,Minor Delay
10143,Mumbai,Kolkata,1121.1,3.28,Small,Rail,2024-12-20 05:00:00,5,Clear,Clear,None,0,3PL-B,High,<function <lambda> at 0x7cd864291300>,On-Time
10144,Mumbai,Delhi,884.9,4.3,Medium,Rail,2024-08-24 17:00:00,2,Moderate,Foggy,None,4,3PL-B,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10145,Hyderabad,Bangalore,701.9,7.9,Large,Rail,2024-11-02 11:00:00,6,Moderate,Clear,Vehicle Breakdown,2,3PL-A,Low,<function <lambda> at 0x7cd864291300>,Major Delay
10146,Chennai,Kolkata,679.2,4.56,Large,Road,2024-10-29 10:00:00,9,Moderate,Rainy,None,4,3PL-C,Low,<function <lambda> at 0x7cd864291300>,On-Time
10147,Hyderabad,Chennai,630.7,0.94,Medium,Air,2024-05-23 05:00:00,3,Clear,Clear,None,3,Internal,Low,<function <lambda> at 0x7cd864291300>,Minor Delay
10148,Mumbai,Mumbai,617.4,9.36,Oversize,Rail,2024-09-22 13:00:00,8,Clear,Clear,Strike,4,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
10149,Bangalore,Hyderabad,877.7,4.8,Oversize,Rail,2024-11-12 04:00:00,9,Jam,Clear,None,4,3PL-A,Medium,<function <lambda> at 0x7cd864291300>,On-Time
10150,Kolkata,Bangalore,592.1,2.34,Large,Air,2024-04-15 23:00:00,8,Heavy,Rainy,None,3,3PL-A,High,<function <lambda> at 0x7cd864291300>,On-Time
