Sample_ID,Soil_Texture,pH_Level,Organic_Matter_Percent,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Calcium_Content_ppm,Magnesium_Content_ppm,Sulfur_Content_ppm,Moisture_Content_Percent,Electrical_Conductivity_dS/m,Geographical_Region,Soil_Type
SOIL00033,Silty,6.09,5.46,31,15,183,1238,292,21,22.67,0.11,West,Neutral Soil
SOIL00034,Sandy,5.8,2.64,26,30,226,1628,222,12,25.38,2.06,East,Light Soil
SOIL00035,Loamy,7.44,5.83,46,10,63,942,242,8,7.06,1.33,South,Neutral Soil
SOIL00036,Clayey,7.08,5.74,48,4,70,441,266,16,10.2,0.71,South,Neutral Soil
SOIL00037,Chalky,4.67,2.46,24,14,131,1219,371,26,25.59,0.25,North,Light Soil
SOIL00038,Peaty,4.84,1.98,49,32,266,1453,338,53,11.8,1.31,East,Acidic Soil
SOIL00039,Clayey,7.59,6.53,5,21,183,1114,408,12,26.31,1.98,West,Neutral Soil
SOIL00040,Sandy,7.91,7.23,29,6,102,1452,338,56,26.28,1.38,West,Light Soil
SOIL00041,Chalky,6.28,6.11,8,32,183,959,311,9,13.53,1.7,South,Light Soil
SOIL00042,Clayey,6.4,4.98,16,24,67,1961,239,61,20.62,0.82,Central,Neutral Soil
SOIL00043,Silty,5.56,1.88,46,36,143,1839,233,9,18.81,2.12,Central,Neutral Soil
SOIL00044,Sandy,6.13,7.35,42,25,276,281,392,10,23.97,1.31,Central,Light Soil
SOIL00045,Clayey,5.83,2.22,25,8,185,1494,280,83,6.09,0.67,Central,Neutral Soil
SOIL00046,Silty,5.87,2.99,11,19,225,232,326,30,7.11,1.89,South,Neutral Soil
SOIL00047,Silty,5.62,1.86,16,12,238,1676,231,10,5.73,0.3,West,Neutral Soil
SOIL00048,Loamy,8.67,2.75,29,27,234,769,340,65,28.76,1.86,West,Alkaline Soil
SOIL00049,Chalky,6.94,4.21,31,33,243,1308,360,66,13.67,1.73,North,Light Soil
SOIL00050,Silty,7.86,3.35,26,29,295,187,141,17,21.63,1.21,West,Neutral Soil
SOIL00051,Clayey,8.57,2.65,12,4,201,1465,220,37,5.8,1.02,West,Alkaline Soil
SOIL00052,Chalky,5.67,3.21,13,15,86,357,88,29,15.34,0.94,East,Light Soil
SOIL00053,Sandy,7.78,7.12,43,3,112,631,21,96,22.59,0.25,Central,Light Soil
SOIL00054,Sandy,7.71,1.57,28,31,223,379,168,92,9.33,2.45,South,Light Soil
SOIL00055,Clayey,7.01,6.75,8,35,122,939,458,54,5.39,1.34,Central,Neutral Soil
SOIL00056,Clayey,8.96,4.29,25,32,115,813,295,60,20.05,0.65,East,Alkaline Soil
SOIL00057,Clayey,4.77,8.69,34,18,62,1828,379,72,7.48,1.14,South,Acidic Soil
SOIL00058,Silty,6.1,9.09,43,34,109,1447,11,88,20.11,1.26,East,Neutral Soil
SOIL00059,Sandy,6.73,6.74,7,36,289,1674,92,76,23.23,0.44,Central,Light Soil
SOIL00060,Chalky,6.96,5.68,19,16,219,693,218,26,11.42,0.57,West,Light Soil
SOIL00061,Sandy,8.46,5.29,15,6,202,573,398,67,19.86,0.11,North,Light Soil
SOIL00062,Peaty,8.12,7.05,46,15,137,931,350,83,20.38,0.16,South,Alkaline Soil
SOIL00063,Peaty,5.71,3.65,14,37,134,1671,359,32,9.04,0.95,South,Neutral Soil
SOIL00064,Chalky,8.72,2.96,28,39,152,682,441,78,23.61,2.0,East,Light Soil
SOIL00065,Loamy,5.12,8.3,8,34,135,1527,229,70,25.93,1.86,Central,Acidic Soil
SOIL00066,Chalky,7.93,1.34,11,25,255,1821,234,35,29.6,1.34,South,Light Soil
SOIL00067,Sandy,7.77,4.03,41,21,279,899,61,61,25.0,1.72,South,Light Soil
SOIL00068,Silty,6.86,6.49,47,5,170,1055,37,32,20.86,0.96,Central,Neutral Soil
SOIL00069,Silty,7.33,3.07,13,23,145,1722,127,36,5.49,0.75,East,Neutral Soil
SOIL00070,Silty,7.93,8.31,28,34,263,308,216,99,9.77,1.56,South,Neutral Soil
SOIL00071,Sandy,5.01,4.03,26,32,205,1067,291,84,18.72,0.9,Central,Light Soil
SOIL00072,Peaty,6.38,8.04,25,9,106,231,153,37,16.27,0.29,Central,Neutral Soil
SOIL00073,Peaty,6.79,3.22,49,37,177,436,163,33,14.57,0.77,North,Neutral Soil
SOIL00074,Silty,5.33,7.37,17,24,173,1961,214,19,22.73,2.28,South,Acidic Soil
SOIL00075,Peaty,6.44,8.8,19,19,181,868,57,7,25.56,0.4,North,Neutral Soil
SOIL00076,Chalky,6.42,3.46,44,7,63,426,474,75,21.78,1.87,East,Light Soil
SOIL00077,Loamy,5.07,4.29,35,23,53,1277,257,93,18.9,1.69,West,Acidic Soil
SOIL00078,Peaty,7.8,8.07,29,3,148,1246,154,39,15.82,1.86,Central,Neutral Soil
SOIL00079,Sandy,7.96,8.24,39,38,188,1723,442,28,28.69,1.97,North,Light Soil
SOIL00080,Sandy,8.9,5.18,45,12,267,247,384,77,19.73,0.81,West,Light Soil
SOIL00081,Loamy,4.71,5.27,46,26,88,483,481,93,29.54,0.11,East,Acidic Soil
SOIL00082,Chalky,8.91,3.89,24,22,241,872,254,20,14.83,1.69,Central,Light Soil
SOIL00083,Loamy,7.61,2.06,22,9,179,646,16,32,18.26,2.01,South,Neutral Soil
SOIL00084,Chalky,6.63,1.49,47,5,227,608,365,68,17.06,0.34,South,Light Soil
SOIL00085,Peaty,8.69,2.77,33,17,134,1662,276,16,9.02,0.97,West,Alkaline Soil
SOIL00086,Silty,5.11,3.99,36,19,92,1372,448,12,16.17,2.32,West,Acidic Soil
SOIL00087,Peaty,6.78,5.26,25,37,271,1816,310,58,18.4,1.58,North,Neutral Soil
SOIL00088,Peaty,7.44,3.45,8,20,247,1952,147,98,10.75,1.2,North,Neutral Soil
SOIL00089,Silty,8.48,7.53,31,39,88,236,454,53,22.41,1.32,North,Alkaline Soil
SOIL00090,Sandy,5.24,7.87,20,8,125,682,187,93,13.35,1.8,Central,Light Soil
SOIL00091,Loamy,8.2,3.08,35,5,158,1285,53,38,25.24,1.37,South,Alkaline Soil
SOIL00092,Chalky,7.07,3.05,11,38,254,476,242,19,29.15,1.16,Central,Light Soil
SOIL00093,Chalky,6.51,2.28,13,5,130,1566,228,47,19.33,0.3,East,Light Soil
SOIL00094,Peaty,7.07,4.92,48,22,52,126,173,88,27.43,0.62,North,Neutral Soil
SOIL00095,Clayey,8.4,5.57,11,33,125,1141,421,38,17.92,0.83,Central,Alkaline Soil
SOIL00096,Clayey,8.34,6.93,40,14,206,683,322,29,26.5,1.62,West,Alkaline Soil
SOIL00097,Clayey,5.93,6.76,18,27,55,666,364,98,23.1,1.13,South,Neutral Soil
SOIL00098,Silty,5.85,1.3,48,9,133,186,175,6,22.19,2.17,East,Neutral Soil
SOIL00099,Loamy,7.45,6.9,46,18,249,293,127,77,5.84,2.45,West,Neutral Soil
SOIL00100,Sandy,8.84,6.8,20,34,168,352,72,63,29.52,1.83,West,Light Soil
SOIL00101,Clayey,4.92,0.84,9,6,74,1587,408,23,14.16,0.23,West,Acidic Soil
SOIL00102,Silty,8.45,2.99,11,15,212,920,388,93,22.78,0.72,Central,Alkaline Soil
SOIL00103,Sandy,7.95,2.87,43,15,55,1264,37,40,14.56,1.08,Central,Light Soil
SOIL00104,Clayey,8.87,1.24,28,29,55,504,79,21,22.05,2.49,South,Alkaline Soil
SOIL00105,Silty,7.54,7.34,28,6,193,1259,430,26,10.86,2.25,North,Neutral Soil
SOIL00106,Silty,8.79,5.31,16,28,266,830,476,21,22.52,1.28,East,Alkaline Soil
SOIL00107,Chalky,7.97,9.09,7,22,298,1052,210,64,28.38,0.77,West,Light Soil
SOIL00108,Silty,5.77,7.51,34,19,215,1218,72,62,20.36,0.89,East,Neutral Soil
SOIL00109,Sandy,8.31,3.08,44,24,139,467,451,58,5.23,1.57,South,Light Soil
SOIL00110,Silty,6.39,4.37,43,37,256,351,276,17,25.93,0.4,South,Neutral Soil
SOIL00111,Peaty,5.87,6.45,14,31,166,363,225,5,25.51,1.93,West,Neutral Soil
SOIL00112,Sandy,8.4,9.21,28,29,68,1238,430,98,16.41,2.05,North,Light Soil
SOIL00113,Sandy,7.09,6.62,11,34,288,1312,447,60,29.67,0.61,South,Light Soil
SOIL00114,Loamy,5.24,2.32,28,4,196,1319,455,7,26.85,0.65,Central,Acidic Soil
SOIL00115,Chalky,8.45,2.27,45,4,252,868,418,22,19.76,0.5,Central,Light Soil
SOIL00116,Loamy,6.59,6.98,42,6,273,303,446,61,10.47,0.21,West,Neutral Soil
SOIL00117,Peaty,8.42,1.84,43,20,179,1777,409,11,11.61,1.29,Central,Alkaline Soil
SOIL00118,Sandy,7.06,6.29,45,27,186,1912,209,52,16.05,0.63,South,Light Soil
SOIL00119,Clayey,5.09,2.47,16,25,147,225,493,35,24.61,1.17,East,Acidic Soil
SOIL00120,Silty,6.99,8.95,22,39,223,274,110,51,11.71,1.07,West,Neutral Soil
SOIL00121,Sandy,4.53,5.84,48,29,283,1902,373,85,25.76,1.54,Central,Light Soil
SOIL00122,Clayey,6.46,1.9,27,36,104,180,393,23,9.34,1.77,Central,Neutral Soil
SOIL00123,Silty,8.8,6.41,43,22,194,802,238,12,15.68,1.25,West,Alkaline Soil
SOIL00124,Loamy,6.58,2.47,19,35,206,1269,237,70,21.14,0.88,South,Neutral Soil
SOIL00125,Clayey,7.31,6.51,14,15,150,407,60,71,14.98,1.69,Central,Neutral Soil
SOIL00126,Sandy,5.33,2.78,38,4,194,1567,414,88,8.19,1.09,South,Light Soil
SOIL00127,Sandy,7.68,3.42,26,31,232,570,261,83,25.15,0.99,West,Light Soil
SOIL00128,Silty,7.32,7.39,24,33,225,186,332,72,29.17,1.87,South,Neutral Soil
SOIL00129,Peaty,5.64,7.59,10,27,91,1508,180,40,23.14,1.51,Central,Neutral Soil
SOIL00130,Chalky,4.96,5.44,42,37,245,1221,174,88,5.49,1.62,West,Light Soil
SOIL00131,Clayey,4.54,1.1,13,15,110,1571,459,84,9.15,0.44,North,Acidic Soil
SOIL00132,Sandy,6.81,8.54,37,25,134,260,148,20,19.45,1.56,North,Light Soil
SOIL00133,Loamy,5.94,5.61,39,28,182,984,383,74,20.45,0.1,East,Neutral Soil
SOIL00134,Clayey,8.2,4.72,36,27,116,1032,229,80,8.22,2.11,East,Alkaline Soil
SOIL00135,Loamy,6.24,1.61,42,26,189,483,257,32,11.73,1.16,North,Neutral Soil
SOIL00136,Sandy,5.51,1.97,49,20,213,1132,137,5,17.28,1.37,South,Light Soil
SOIL00137,Chalky,5.54,9.35,39,6,69,1050,373,35,6.91,0.67,South,Light Soil
SOIL00138,Loamy,8.45,8.58,36,11,98,463,47,51,26.84,0.63,Central,Alkaline Soil
SOIL00139,Peaty,5.68,8.8,42,32,234,1072,297,75,14.52,0.11,South,Neutral Soil
SOIL00140,Peaty,4.79,3.23,24,19,83,1182,399,80,5.63,0.1,East,Acidic Soil
SOIL00141,Clayey,7.23,7.18,43,7,131,1431,277,91,25.37,1.61,West,Neutral Soil
SOIL00142,Chalky,7.33,3.95,6,7,263,860,273,27,12.73,0.87,North,Light Soil
SOIL00143,Clayey,5.13,9.08,14,24,192,824,326,96,18.19,0.53,Central,Acidic Soil
SOIL00144,Clayey,7.8,6.76,33,24,55,603,165,71,18.65,0.96,West,Neutral Soil
SOIL00145,Peaty,8.28,9.71,26,28,162,1004,258,13,19.41,0.98,South,Alkaline Soil
SOIL00146,Silty,6.09,5.26,46,5,158,1726,268,98,27.71,0.59,Central,Neutral Soil
SOIL00147,Peaty,7.28,0.98,19,13,206,1124,309,85,17.0,1.94,East,Neutral Soil
SOIL00148,Clayey,8.82,9.89,49,9,201,1592,413,42,10.14,1.3,South,Alkaline Soil
SOIL00149,Loamy,7.5,3.85,36,11,287,1527,26,33,20.47,0.72,North,Neutral Soil
SOIL00150,Chalky,5.13,3.01,32,33,276,709,18,92,5.6,1.72,North,Light Soil
SOIL00151,Chalky,7.68,2.27,11,32,229,400,493,36,9.65,1.45,East,Light Soil
SOIL00152,Silty,6.09,9.77,12,10,159,194,236,53,22.35,0.85,East,Neutral Soil
SOIL00153,Loamy,4.82,8.79,49,15,66,1549,120,74,27.9,0.5,East,Acidic Soil
SOIL00154,Loamy,7.21,7.86,13,20,155,192,376,51,6.18,2.27,West,Neutral Soil
SOIL00155,Clayey,5.98,3.92,5,9,188,874,182,27,8.75,1.39,North,Neutral Soil
SOIL00156,Loamy,6.26,3.32,17,21,94,612,184,11,13.84,0.64,East,Neutral Soil
SOIL00157,Chalky,7.7,6.48,7,35,90,858,440,18,29.54,1.47,North,Light Soil
SOIL00158,Loamy,6.21,2.63,16,32,286,535,156,43,8.43,0.87,North,Neutral Soil
SOIL00159,Clayey,6.59,7.05,30,4,127,559,319,13,17.77,1.01,South,Neutral Soil
SOIL00160,Sandy,6.18,1.34,5,11,158,541,414,68,21.42,2.32,Central,Light Soil
SOIL00161,Sandy,8.77,7.82,8,36,237,1944,221,88,11.15,2.38,Central,Light Soil
SOIL00162,Peaty,4.58,4.47,23,15,181,521,416,55,14.54,1.14,West,Acidic Soil
SOIL00163,Silty,8.18,6.22,27,4,263,1405,385,27,17.33,1.41,East,Alkaline Soil
SOIL00164,Peaty,5.7,8.65,46,21,96,1513,198,34,22.48,0.89,Central,Neutral Soil
SOIL00165,Silty,8.07,7.88,22,14,140,1489,246,71,26.97,2.28,South,Alkaline Soil
SOIL00166,Loamy,7.9,4.25,25,13,102,1171,447,61,22.65,1.51,West,Neutral Soil
SOIL00167,Loamy,8.19,4.44,17,25,243,1710,173,68,15.36,1.03,West,Alkaline Soil
SOIL00168,Clayey,6.51,5.39,33,38,181,1936,211,33,20.56,1.25,West,Neutral Soil
SOIL00169,Clayey,7.13,1.27,21,8,288,1614,327,79,14.87,1.94,East,Neutral Soil
SOIL00170,Peaty,7.71,0.51,38,4,53,1441,260,57,18.26,2.33,North,Neutral Soil
SOIL00171,Chalky,7.76,3.22,17,31,132,1724,356,27,9.5,2.47,West,Light Soil
SOIL00172,Chalky,6.21,1.03,31,33,157,903,405,45,6.77,1.5,South,Light Soil
SOIL00173,Silty,7.62,8.13,25,21,276,1351,175,74,18.96,1.75,North,Neutral Soil
SOIL00174,Silty,8.31,9.31,25,25,223,1817,312,18,21.65,1.37,North,Alkaline Soil
SOIL00175,Loamy,4.91,9.09,47,14,63,1873,397,17,17.56,1.62,East,Acidic Soil
SOIL00176,Loamy,5.42,1.64,28,25,154,1659,292,47,26.32,1.05,East,Acidic Soil
SOIL00177,Peaty,8.92,6.1,45,30,201,1471,165,6,23.37,2.04,North,Alkaline Soil
SOIL00178,Peaty,8.35,8.67,23,18,135,795,138,79,18.89,1.94,East,Alkaline Soil
SOIL00179,Peaty,6.78,7.71,20,3,298,1561,467,74,26.14,2.49,South,Neutral Soil
SOIL00180,Clayey,4.84,9.01,22,33,165,280,372,69,14.87,1.61,West,Acidic Soil
SOIL00181,Silty,8.27,5.43,20,8,186,1140,374,40,11.03,1.6,South,Alkaline Soil
SOIL00182,Peaty,4.87,6.17,6,34,87,536,112,87,29.62,1.92,East,Acidic Soil
SOIL00183,Sandy,5.84,8.65,42,18,153,474,48,39,24.62,0.12,North,Light Soil
SOIL00184,Sandy,8.01,1.5,28,25,271,116,391,72,5.47,2.0,West,Light Soil
SOIL00185,Loamy,7.78,4.52,16,9,124,1054,158,48,21.83,0.81,West,Neutral Soil
SOIL00186,Clayey,5.11,3.3,37,23,283,509,455,10,18.42,0.89,South,Acidic Soil
SOIL00187,Peaty,7.95,2.98,46,23,82,1149,27,88,21.89,1.9,West,Neutral Soil
SOIL00188,Peaty,8.32,4.08,45,22,69,722,251,33,17.41,0.34,North,Alkaline Soil
SOIL00189,Clayey,7.81,7.67,35,16,285,1995,30,23,6.77,1.96,North,Neutral Soil
SOIL00190,Chalky,5.01,9.5,36,18,107,728,419,68,18.76,1.59,North,Light Soil
SOIL00191,Sandy,6.61,8.6,23,25,188,140,139,81,21.35,2.49,North,Light Soil
SOIL00192,Chalky,6.12,2.04,38,25,281,1934,80,31,13.43,2.07,East,Light Soil
SOIL00193,Peaty,5.84,6.9,29,19,250,1967,194,52,26.37,0.3,Central,Neutral Soil
SOIL00194,Loamy,4.52,0.99,9,33,282,944,195,26,8.85,1.58,South,Acidic Soil
SOIL00195,Silty,8.42,8.34,38,8,270,734,476,30,14.44,1.16,South,Alkaline Soil
SOIL00196,Peaty,8.47,6.96,12,35,102,970,96,97,11.5,2.15,West,Alkaline Soil
SOIL00197,Clayey,6.06,1.51,35,31,76,225,72,47,28.58,0.24,West,Neutral Soil
SOIL00198,Peaty,6.55,3.6,22,21,53,479,105,69,18.59,1.58,North,Neutral Soil
SOIL00199,Clayey,5.29,4.84,42,10,234,1542,480,47,29.68,1.18,Central,Acidic Soil
SOIL00200,Silty,6.51,9.04,46,7,126,931,76,14,14.04,0.61,South,Neutral Soil
SOIL00201,Silty,6.7,8.12,22,39,138,1044,267,53,7.47,1.3,South,Neutral Soil
SOIL00202,Peaty,5.6,8.52,38,13,273,1974,427,79,14.82,0.78,East,Neutral Soil
SOIL00203,Loamy,7.65,3.98,44,21,291,342,372,50,6.21,0.79,Central,Neutral Soil
SOIL00204,Sandy,6.21,5.58,26,19,210,529,367,69,9.6,1.49,South,Light Soil
SOIL00205,Peaty,6.47,5.92,42,32,244,1636,200,28,9.05,1.86,East,Neutral Soil
SOIL00206,Peaty,5.3,2.58,44,8,117,1846,305,69,17.33,1.27,East,Acidic Soil
SOIL00207,Chalky,4.86,2.45,47,29,69,369,279,31,22.22,1.77,Central,Light Soil
SOIL00208,Peaty,8.9,4.63,42,15,101,1078,334,10,24.34,2.41,Central,Alkaline Soil
SOIL00209,Sandy,7.65,4.98,44,35,292,520,83,7,22.05,0.33,East,Light Soil
SOIL00210,Sandy,7.6,5.57,37,31,286,1083,136,15,13.67,0.37,North,Light Soil
SOIL00211,Chalky,7.47,3.71,14,22,268,1593,346,29,5.76,0.24,West,Light Soil
SOIL00212,Sandy,6.87,5.38,32,29,164,880,84,27,22.05,1.12,West,Light Soil
SOIL00213,Silty,8.18,1.93,36,18,89,1985,69,81,10.12,0.87,Central,Alkaline Soil
SOIL00214,Peaty,8.99,9.31,22,11,196,813,351,53,25.36,1.59,South,Alkaline Soil
SOIL00215,Peaty,8.02,4.51,19,35,244,523,295,44,8.56,0.37,East,Alkaline Soil
SOIL00216,Clayey,7.26,6.59,46,8,279,440,360,73,29.0,0.61,Central,Neutral Soil
SOIL00217,Sandy,4.68,2.03,19,5,216,330,224,95,21.53,0.95,North,Light Soil
SOIL00218,Peaty,7.53,7.54,18,36,116,1669,129,85,27.71,2.19,West,Neutral Soil
SOIL00219,Chalky,4.64,0.85,20,20,285,1342,242,53,12.05,1.96,North,Light Soil
SOIL00220,Loamy,8.23,8.61,19,33,75,1218,319,38,19.71,1.01,South,Alkaline Soil
SOIL00221,Clayey,5.7,2.96,28,30,173,1019,180,45,26.45,1.76,West,Neutral Soil
SOIL00222,Loamy,6.31,3.86,22,8,216,1183,477,67,9.61,2.12,South,Neutral Soil
SOIL00223,Clayey,7.84,4.96,34,7,82,1939,226,72,27.5,1.35,West,Neutral Soil
SOIL00224,Silty,6.74,3.79,11,23,74,1389,171,81,11.07,0.4,Central,Neutral Soil
SOIL00225,Sandy,4.91,9.81,21,34,212,195,193,46,15.02,1.22,North,Light Soil
SOIL00226,Loamy,6.13,5.18,15,29,133,1901,225,7,21.33,1.89,North,Neutral Soil
SOIL00227,Sandy,7.48,9.63,10,27,291,114,140,59,9.3,0.16,West,Light Soil
SOIL00228,Peaty,8.69,2.35,14,38,254,333,332,28,13.46,0.18,East,Alkaline Soil
SOIL00229,Clayey,7.04,1.69,6,19,288,1135,440,10,28.83,0.85,Central,Neutral Soil
SOIL00230,Chalky,6.32,6.6,42,27,52,1605,244,32,22.31,1.43,South,Light Soil
SOIL00231,Loamy,8.64,6.41,43,35,94,773,76,82,19.15,2.23,North,Alkaline Soil
SOIL00232,Silty,8.06,5.82,10,16,135,121,177,40,16.81,1.37,Central,Alkaline Soil
SOIL00233,Chalky,5.05,3.74,8,4,121,1188,364,58,7.38,2.24,North,Light Soil
SOIL00234,Chalky,7.31,0.59,16,19,104,662,333,50,14.55,0.21,South,Light Soil
SOIL00235,Clayey,4.84,9.4,6,8,242,568,281,9,21.06,2.47,East,Acidic Soil
SOIL00236,Chalky,6.13,6.79,32,24,208,630,395,47,5.04,0.4,South,Light Soil
SOIL00237,Chalky,8.29,5.28,11,26,119,277,96,51,22.06,0.75,South,Light Soil
SOIL00238,Sandy,4.69,9.54,13,37,244,542,427,53,9.76,1.29,East,Light Soil
SOIL00239,Clayey,5.84,2.33,36,36,291,947,239,49,15.0,1.61,South,Neutral Soil
SOIL00240,Clayey,4.87,9.79,19,36,269,808,472,34,20.3,0.16,West,Acidic Soil
SOIL00241,Loamy,6.03,4.34,34,36,55,983,171,20,10.15,1.69,East,Neutral Soil
SOIL00242,Chalky,7.86,3.57,38,34,196,1176,162,6,28.48,0.68,South,Light Soil
SOIL00243,Peaty,4.53,7.96,32,12,231,1004,156,24,24.43,0.17,Central,Acidic Soil
SOIL00244,Chalky,4.8,3.33,23,35,140,1857,462,77,21.37,1.92,North,Light Soil
SOIL00245,Loamy,6.58,3.74,8,25,248,369,169,8,9.94,2.08,Central,Neutral Soil
SOIL00246,Sandy,5.59,8.59,15,37,105,1408,14,91,22.28,1.77,Central,Light Soil
SOIL00247,Chalky,7.44,9.24,11,7,231,1370,473,45,19.8,2.08,South,Light Soil
SOIL00248,Clayey,5.48,9.76,25,30,60,822,155,28,27.75,1.46,South,Acidic Soil
SOIL00249,Sandy,7.1,0.76,44,8,287,1380,371,17,7.02,1.89,South,Light Soil
SOIL00250,Chalky,7.13,6.32,21,8,72,1871,127,80,21.18,0.12,West,Light Soil
SOIL00251,Silty,7.46,3.15,44,18,124,1177,208,52,20.37,2.16,West,Neutral Soil
SOIL00252,Sandy,5.89,4.06,25,35,153,1719,403,85,27.6,2.49,West,Light Soil
SOIL00253,Loamy,7.1,4.82,49,11,297,1272,150,5,8.64,1.7,East,Neutral Soil
SOIL00254,Sandy,6.92,2.76,21,31,56,279,449,69,22.53,1.09,Central,Light Soil
SOIL00255,Silty,8.39,3.75,47,17,114,1066,72,37,18.85,0.34,East,Alkaline Soil
SOIL00256,Clayey,7.41,2.32,45,30,72,795,477,73,13.99,1.79,North,Neutral Soil
SOIL00257,Clayey,7.58,6.31,38,8,276,1982,366,20,20.44,1.78,West,Neutral Soil
SOIL00258,Loamy,7.52,6.94,43,4,214,196,36,6,20.24,0.75,East,Neutral Soil
SOIL00259,Chalky,5.46,3.88,13,6,280,1290,482,77,8.39,1.52,North,Light Soil
SOIL00260,Sandy,6.02,1.32,9,16,190,1784,451,32,9.15,1.35,West,Light Soil
SOIL00261,Clayey,4.85,9.28,47,28,76,1492,353,40,28.78,0.84,West,Acidic Soil
SOIL00262,Loamy,7.96,5.59,39,21,179,1185,27,14,20.87,1.43,West,Neutral Soil
SOIL00263,Silty,5.81,8.44,30,17,60,1358,494,22,22.29,2.16,Central,Neutral Soil
SOIL00264,Clayey,4.9,3.3,8,15,92,1599,221,64,10.18,1.91,North,Acidic Soil
SOIL00265,Silty,7.89,9.9,38,15,235,1138,95,31,6.07,1.03,West,Neutral Soil
SOIL00266,Chalky,4.59,7.92,34,33,96,458,496,20,16.95,2.48,East,Light Soil
SOIL00267,Silty,7.42,2.81,19,28,262,869,443,40,16.99,2.15,South,Neutral Soil
SOIL00268,Loamy,8.06,0.94,17,25,195,1048,461,95,25.93,1.89,North,Alkaline Soil
SOIL00269,Sandy,7.17,9.87,25,7,157,385,127,72,25.88,1.52,Central,Light Soil
SOIL00270,Chalky,5.19,3.98,5,5,122,351,400,87,8.45,1.08,West,Light Soil
SOIL00271,Loamy,5.99,7.45,31,6,234,881,274,46,18.43,1.74,West,Neutral Soil
SOIL00272,Sandy,5.97,2.27,17,32,90,1601,153,45,6.48,2.39,Central,Light Soil
SOIL00273,Loamy,6.78,4.87,13,14,233,1325,207,17,18.73,2.25,South,Neutral Soil
