Credit Score,Annual Income (₹),Existing Debts (₹),Employment History (Years),Loan Amount (₹),Loan Term (Months),Interest Rate (%),Approval Status
594,48657,2643,22,36839,60,14.53,Rejected
496,54281,18447,6,45360,12,14.04,Rejected
749,51161,21140,20,18922,12,5.75,Approved
343,43547,11147,7,5785,60,8.17,Rejected
321,62471,15767,11,21566,60,15.47,Rejected
733,54802,17738,11,47348,24,11.5,Approved
681,50496,9100,16,46279,48,8.27,Approved
697,74568,13394,24,28645,24,14.77,Approved
398,39222,8640,20,28541,12,15.8,Rejected
673,33132,24317,20,17655,60,8.85,Approved
398,49358,12519,19,34484,24,12.95,Rejected
684,64541,16525,13,26170,36,10.37,Approved
465,79811,22336,15,35392,36,14.78,Rejected
405,53233,15364,22,45465,48,8.4,Rejected
436,73567,12551,22,22345,24,9.8,Rejected
369,44633,15462,28,33753,48,14.18,Rejected
815,31438,26356,16,24073,48,8.9,Approved
828,33086,16890,5,22739,24,15.96,Approved
574,44429,17316,11,19653,48,8.69,Rejected
476,61045,18792,0,18422,12,7.87,Rejected
735,46528,24018,27,19513,36,14.65,Approved
413,74590,13340,23,6308,12,12.53,Rejected
737,65332,14944,28,31895,36,16.67,Approved
724,41128,7333,18,42891,24,5.1,Approved
795,31309,8438,7,32377,12,6.52,Approved
673,33840,3252,4,40022,48,5.18,Approved
559,88203,1317,17,2938,48,10.47,Rejected
844,65927,18702,4,20804,36,12.34,Approved
833,41242,15984,10,35332,60,11.82,Approved
510,33174,11205,12,22986,12,8.5,Rejected
643,58213,25203,12,36186,12,14.89,Rejected
387,88225,9580,18,16719,24,6.44,Rejected
679,56668,30079,12,31361,48,9.99,Approved
805,44731,5293,16,1549,36,11.9,Approved
736,62097,17990,29,5056,24,16.21,Approved
687,61073,11796,9,10115,12,8.43,Approved
803,32797,13189,5,40119,48,13.39,Approved
733,43258,19303,25,2720,24,7.75,Approved
453,64757,6331,26,33292,24,17.07,Rejected
578,56749,24587,12,19760,48,7.71,Rejected
387,64577,10418,0,10555,48,6.89,Rejected
804,59787,23466,28,3375,24,6.95,Approved
699,64338,24739,8,46893,48,10.62,Approved
393,39141,22516,19,49071,12,12.18,Rejected
352,39075,23340,26,37024,48,8.6,Rejected
354,82327,2665,19,47126,36,10.66,Rejected
658,64831,10714,14,17509,12,16.01,Approved
566,23049,15395,15,34520,12,8.29,Rejected
435,20884,11780,8,37461,24,14.65,Rejected
531,64624,18232,6,42768,36,10.18,Rejected
414,50303,26795,6,47539,48,11.77,Rejected
356,44356,17259,0,36826,60,12.11,Rejected
340,58321,6956,5,38249,36,7.63,Rejected
487,54024,24309,2,37083,60,10.66,Rejected
320,22822,20793,1,19903,36,5.82,Rejected
604,62365,23893,17,8995,12,8.11,Rejected
324,70546,12145,5,44195,60,8.64,Rejected
521,32480,21295,23,46866,60,6.64,Rejected
710,79936,17638,18,26920,12,10.19,Approved
344,91001,23184,20,30096,24,17.96,Rejected
744,46703,38011,27,27218,12,8.27,Approved
808,47633,23895,5,33674,36,9.87,Approved
816,69378,10809,4,37498,36,15.45,Approved
610,65156,12084,20,28328,24,6.46,Rejected
588,63524,2667,15,38537,24,14.58,Rejected
682,46143,6891,22,20424,60,10.72,Approved
539,27140,26938,26,5318,60,6.36,Rejected
543,22380,13644,5,22691,60,7.66,Rejected
340,66789,0,24,35845,60,14.72,Rejected
730,41874,17315,24,26422,36,16.72,Approved
784,23473,9492,3,28635,12,6.93,Approved
540,32893,15929,16,36656,48,16.02,Rejected
363,61964,11703,24,12113,36,11.86,Rejected
788,33710,20285,28,6510,60,10.9,Approved
495,85454,20799,0,49007,48,10.54,Rejected
523,59130,22153,13,29017,12,5.13,Rejected
770,49213,7086,1,17087,48,10.2,Rejected
372,43142,10764,13,5384,60,15.99,Rejected
711,41255,14997,27,16650,36,10.16,Approved
707,48150,4646,16,38081,12,14.96,Approved
449,62724,13885,16,49250,24,17.41,Rejected
371,34477,18628,5,28258,48,15.93,Rejected
517,50399,29206,14,11978,48,11.06,Rejected
557,52549,6543,6,36749,12,6.97,Rejected
472,64560,11383,21,37217,24,11.95,Rejected
784,43929,28484,20,13052,12,10.88,Approved
746,56694,625,23,32343,60,15.68,Approved
370,41836,22928,2,10842,60,11.16,Rejected
442,31591,15779,21,47437,12,11.59,Rejected
432,51384,10066,1,10888,48,13.6,Rejected
603,61670,11409,16,32237,60,7.86,Rejected
781,47761,12175,1,4844,36,12.44,Rejected
762,47904,15737,1,30537,48,14.95,Rejected
605,105227,21229,9,18288,12,11.61,Rejected
826,51816,12428,0,25518,24,6.83,Rejected
581,47146,15712,22,32951,60,11.57,Rejected
482,53999,24254,2,49131,12,17.48,Rejected
463,51851,27615,4,3121,36,5.86,Rejected
355,70661,21157,18,18771,12,5.25,Rejected
412,63174,6704,25,20100,60,11.72,Rejected
431,42779,0,27,14527,48,9.38,Rejected
665,64119,15420,25,4380,24,12.8,Approved
786,51547,33492,5,35817,60,11.52,Approved
685,27875,3544,17,30355,24,10.28,Approved
340,43615,22371,21,38694,60,10.37,Rejected
398,45365,9630,5,47477,12,6.2,Rejected
670,47056,22068,22,9353,48,10.95,Approved
541,61188,14233,24,16709,24,16.57,Rejected
512,42891,18298,15,5573,48,14.53,Rejected
657,54089,17898,0,14170,24,8.7,Rejected
811,65373,17465,7,24288,60,9.09,Approved
764,46181,13180,8,20358,24,8.82,Approved
521,41177,18697,28,47439,48,12.88,Rejected
694,61462,6666,14,32357,36,6.89,Approved
398,53848,8691,15,34910,60,11.62,Rejected
648,50644,13882,27,28793,36,12.88,Rejected
313,54946,587,5,41140,12,17.07,Rejected
779,22970,27840,1,14101,48,8.62,Rejected
610,47903,18712,3,44056,48,12.05,Rejected
782,18991,21513,13,42824,48,5.12,Rejected
497,47975,29492,19,47289,60,13.2,Rejected
391,53969,30808,25,6766,12,7.42,Rejected
744,55485,18415,14,2599,60,15.4,Approved
776,44902,1828,18,1832,12,10.34,Approved
489,48903,4074,14,14809,36,6.66,Rejected
575,45375,11336,24,10080,24,6.2,Rejected
748,54589,6429,12,40675,24,6.76,Approved
544,47428,19576,12,28376,60,7.62,Rejected
401,30339,10561,9,23852,12,12.87,Rejected
806,48541,12241,25,12894,36,13.16,Approved
515,33256,13330,6,41584,48,6.1,Rejected
803,20689,6980,22,32322,60,12.75,Approved
559,47897,8010,4,43678,36,15.08,Rejected
469,32744,16237,20,45737,48,12.75,Rejected
393,21047,20327,2,14411,36,13.68,Rejected
841,69324,16999,3,38755,12,14.11,Approved
538,63226,13141,29,9236,36,5.4,Rejected
628,55021,1319,11,26099,36,8.24,Rejected
527,82254,34591,28,41227,12,5.61,Rejected
648,45751,16801,15,19570,36,8.17,Rejected
336,49114,11733,10,27062,36,17.0,Rejected
744,52048,12910,7,15762,60,17.94,Approved
497,38692,13448,9,27206,60,6.71,Rejected
788,36263,26653,3,7130,24,17.4,Approved
700,32540,14677,8,11901,60,15.93,Approved
492,49242,12504,7,21350,24,16.34,Rejected
425,76893,3159,0,40456,36,7.67,Rejected
503,38141,18632,16,26776,48,17.24,Rejected
730,38522,9748,28,36892,24,16.35,Approved
617,47781,31864,9,17174,24,8.72,Rejected
743,39653,20203,20,47107,24,15.22,Approved
576,14519,10919,4,45289,48,12.21,Rejected
680,45666,12938,15,27669,24,11.3,Approved
448,50886,6764,13,29187,24,12.5,Rejected
659,60950,25653,26,32605,12,8.29,Approved
611,57118,22800,5,28960,36,17.37,Rejected
404,51852,18658,17,27588,60,14.45,Rejected
440,40463,14111,15,12741,36,8.31,Rejected
764,70120,5747,18,33953,24,12.98,Approved
728,45784,23181,18,14779,36,16.58,Approved
604,16969,20632,5,11761,60,13.92,Rejected
676,77092,3594,17,38283,48,10.28,Approved
568,66217,17453,2,1357,60,17.4,Rejected
812,17580,14454,13,46307,12,14.87,Approved
763,42104,16526,1,1806,24,11.31,Rejected
561,60003,0,4,13648,60,16.6,Rejected
348,33410,12648,11,2077,36,13.26,Rejected
371,24415,19158,9,6965,12,5.73,Rejected
613,47157,21450,9,13455,48,17.77,Rejected
842,61275,2426,9,43207,48,5.02,Approved
724,45206,26705,18,27747,60,12.92,Approved
817,43376,7518,15,44908,48,13.92,Approved
332,61321,8936,13,34288,36,12.75,Rejected
345,29016,18805,17,21178,12,11.97,Rejected
652,53011,26961,17,15372,60,5.84,Approved
557,52483,36344,15,15530,12,14.23,Rejected
576,29264,2827,18,19903,36,17.29,Rejected
475,46574,4797,8,34332,48,14.54,Rejected
369,63292,9844,24,27080,24,7.9,Rejected
492,62347,2132,16,38005,60,15.09,Rejected
692,50370,21292,23,3048,48,15.69,Approved
578,52823,7967,14,47390,24,5.35,Rejected
346,63842,8057,23,45575,24,9.7,Rejected
826,54792,0,5,3265,60,5.81,Approved
771,35930,17517,19,5905,24,15.69,Approved
660,45977,5074,2,8656,60,15.73,Approved
802,50460,19458,17,28017,36,5.63,Approved
639,55600,27156,24,30251,24,14.39,Rejected
457,54566,20358,27,30210,60,12.66,Rejected
609,37419,14467,9,43549,36,11.02,Rejected
468,55213,29668,29,41520,60,14.72,Rejected
707,56746,3977,10,33646,24,14.07,Approved
733,46191,18698,29,37448,48,7.21,Approved
311,83605,11978,22,34802,36,16.24,Rejected
641,66717,20145,8,32355,48,5.16,Rejected
457,57729,16987,25,44797,36,8.7,Rejected
433,47227,18325,5,4813,24,12.34,Rejected
429,50707,11962,4,11756,36,5.37,Rejected
697,40989,0,17,18301,36,9.98,Approved
668,13384,15747,25,39396,36,16.74,Rejected
557,63240,2719,28,31701,36,11.38,Rejected
580,69947,12242,26,31800,36,15.01,Rejected
603,64264,9898,11,49887,48,8.75,Rejected
783,45746,28564,19,2107,36,10.97,Approved
771,63512,16461,23,22234,12,14.44,Approved
451,40642,8257,6,19807,48,6.47,Rejected
595,50605,16655,27,28743,60,9.01,Rejected
476,41746,0,9,45623,24,7.35,Rejected
723,54970,16312,18,15516,60,15.8,Approved
670,27128,11223,2,29759,24,12.95,Approved
776,66310,19993,19,27160,60,9.1,Approved
714,57247,20127,20,14802,12,13.49,Approved
435,66493,19234,16,41401,48,8.49,Rejected
364,57619,8898,10,16083,48,9.61,Rejected
595,60711,21849,0,32178,12,6.68,Rejected
436,61664,17657,24,2017,48,14.06,Rejected
364,61669,20521,11,43291,12,15.41,Rejected
662,32388,13157,20,3800,12,12.73,Approved
449,28391,19385,7,18486,24,5.85,Rejected
649,31768,6522,16,23882,60,16.74,Rejected
808,41194,2766,11,19833,24,12.52,Approved
545,55141,17249,7,25194,12,11.07,Rejected
577,49733,25216,14,41701,24,11.01,Rejected
395,31151,7282,10,38327,48,7.04,Rejected
313,61912,16510,3,42163,48,17.11,Rejected
315,68046,11115,8,39695,24,9.91,Rejected
755,44004,20386,8,16123,60,7.47,Approved
745,43541,21703,23,3319,48,9.28,Approved
806,60944,8979,15,30360,48,11.38,Approved
310,41169,21503,14,45620,12,17.36,Rejected
475,43948,10911,28,34464,48,14.07,Rejected
307,29330,2795,28,31873,36,6.25,Rejected
700,54257,5765,13,8615,12,15.11,Approved
785,70127,19360,26,32198,24,15.91,Approved
435,59429,23761,16,22915,60,7.16,Rejected
381,40734,6581,3,35729,60,13.86,Rejected
345,35176,29325,20,25464,24,5.64,Rejected
506,58669,0,20,4643,12,8.46,Rejected
540,50091,1212,13,18857,24,17.05,Rejected
671,55423,0,21,22205,60,11.09,Approved
306,66689,14626,26,5483,36,12.65,Rejected
720,51045,12037,6,18947,60,10.39,Approved
510,58760,9697,27,33620,48,17.81,Rejected
553,41539,10919,13,14474,36,7.95,Rejected
565,35248,6676,28,16547,48,14.16,Rejected
837,48897,15699,28,35669,24,9.14,Approved
621,67348,15142,17,14934,48,16.57,Rejected
351,68260,12887,24,9269,60,11.15,Rejected
566,42566,32306,11,28983,24,11.85,Rejected
691,52216,22936,0,13816,48,9.33,Rejected
529,35817,7426,12,31586,48,17.1,Rejected
616,37626,44605,23,45591,48,6.28,Rejected
590,67188,10948,18,48896,36,7.06,Rejected
594,57101,14593,17,8560,36,14.54,Rejected
599,37209,15139,12,20758,24,12.07,Rejected
567,52584,7526,20,49937,24,6.22,Rejected
700,66675,24960,12,38742,60,7.39,Approved
648,41461,15818,11,11934,36,13.33,Rejected
480,51598,16923,9,23812,48,17.95,Rejected
374,60650,16081,6,47224,24,14.33,Rejected
767,79541,19154,14,30427,60,12.41,Approved
760,50190,19981,6,18929,48,14.25,Approved
546,43571,16256,0,10127,36,7.68,Rejected
430,40164,11223,1,39443,12,8.59,Rejected
783,49188,0,11,48058,24,9.7,Approved
354,47376,22542,29,4420,60,12.14,Rejected
694,56492,24488,11,42649,12,17.85,Approved
384,35550,19416,24,11241,48,10.26,Rejected
754,49999,16112,12,9249,48,8.96,Approved
479,22961,13375,19,30641,36,15.03,Rejected
513,69232,11169,2,32155,12,6.77,Rejected
840,61485,20201,2,26559,60,5.53,Approved
517,59979,17684,4,15703,24,6.76,Rejected
571,47588,10879,24,4881,48,15.1,Rejected
635,59466,21904,1,14957,60,16.1,Rejected
773,21587,2949,4,17560,12,14.89,Approved
520,43611,26707,13,5884,24,9.6,Rejected
723,59886,27425,14,24768,60,17.1,Approved
547,46855,20799,20,39533,36,11.0,Rejected
318,55138,23234,0,36380,36,13.1,Rejected
402,15288,18691,4,2413,48,16.38,Rejected
486,40152,9761,11,30457,48,9.98,Rejected
692,53845,10089,27,21573,12,9.15,Approved
467,51160,12889,5,26223,36,11.95,Rejected
390,29567,8297,11,28823,48,16.73,Rejected
837,54246,21675,21,24489,36,5.76,Approved
400,75801,12405,7,24797,48,15.53,Rejected
440,30337,8957,6,17535,24,13.1,Rejected
677,53142,15784,24,48908,60,7.51,Approved
776,38420,22559,15,43413,48,7.51,Approved
462,54589,16373,8,36656,36,10.66,Rejected
750,83051,18385,22,7209,48,10.42,Approved
591,52361,10483,16,14068,24,14.54,Rejected
720,64886,20317,27,12579,36,8.93,Approved
463,22619,12129,4,17879,24,12.99,Rejected
336,59436,10942,27,17280,12,10.88,Rejected
402,57199,4535,23,20287,60,15.02,Rejected
400,60416,18639,5,12092,12,10.23,Rejected
726,25882,7051,14,1102,24,14.84,Approved
397,38642,8732,26,32437,48,6.0,Rejected
724,33389,16684,9,30816,60,15.53,Approved
637,53470,17678,28,20039,60,7.74,Rejected
583,37161,18554,27,4541,24,15.96,Rejected
676,67701,19388,15,37507,24,13.31,Approved
475,72235,11591,4,46368,24,8.71,Rejected
316,67430,0,23,9059,24,13.58,Rejected
459,34722,4301,7,9973,60,13.74,Rejected
383,72083,11256,3,3563,24,16.02,Rejected
752,52351,8145,26,22898,36,11.68,Approved
446,49887,8763,28,15297,36,13.81,Rejected
398,10000,21614,8,32526,60,12.08,Rejected
661,50046,13206,4,4775,48,16.04,Approved
365,51757,11879,22,6809,12,15.68,Rejected
832,60890,23842,14,1852,12,12.7,Approved
428,46877,16641,2,27922,12,15.56,Rejected
677,48784,20330,3,41389,36,14.48,Approved
467,66057,10400,12,43022,12,7.77,Rejected
743,54243,13135,5,17715,48,6.44,Approved
647,45097,22722,26,2740,36,5.83,Rejected
307,43959,13837,7,16696,12,17.57,Rejected
639,41535,4182,1,6378,36,15.66,Rejected
665,40871,26622,1,33075,36,16.64,Rejected
566,53884,14461,1,6893,60,16.09,Rejected
746,39606,7901,9,3387,36,6.52,Approved
407,55715,3171,7,31407,24,9.88,Rejected
500,63020,6276,16,41472,48,8.76,Rejected
420,67059,8652,23,44426,24,17.8,Rejected
643,55555,0,15,36077,60,5.3,Rejected
539,60577,13835,11,6848,48,13.45,Rejected
681,24299,16551,19,3040,12,5.26,Approved
363,43533,22418,28,14221,48,12.74,Rejected
379,73193,12587,23,41025,12,5.17,Rejected
793,63144,11190,7,9308,24,10.74,Approved
692,37216,25980,26,6394,36,8.26,Approved
332,47595,12361,7,11222,24,11.59,Rejected
647,54319,4886,26,35706,36,6.49,Rejected
849,25484,10323,11,45234,12,6.19,Approved
648,44565,18203,16,14535,48,13.87,Rejected
389,47602,585,11,8553,36,13.25,Rejected
759,68508,22542,12,13680,48,8.71,Approved
691,72689,22102,13,39753,36,9.78,Approved
783,31586,10947,18,37604,24,14.2,Approved
581,48898,28298,9,25493,24,5.64,Rejected
594,46327,4693,22,29649,12,5.36,Rejected
762,81531,11452,16,10270,12,13.2,Approved
836,45160,12992,2,24440,24,15.58,Approved
742,31246,27523,15,17484,60,12.66,Approved
496,42894,5811,3,32414,24,14.7,Rejected
467,73053,16920,3,3223,36,17.02,Rejected
508,33384,0,15,24081,36,15.9,Rejected
433,45809,10627,10,42411,36,11.8,Rejected
764,41813,19963,12,32804,12,15.4,Approved
491,37205,23491,28,24892,24,8.46,Rejected
747,66892,18587,0,5228,60,13.67,Rejected
654,54534,10805,0,20010,36,5.04,Rejected
501,42072,10581,18,22131,36,17.84,Rejected
753,53280,16194,18,23691,60,9.22,Approved
630,31047,19869,7,16891,60,13.86,Rejected
518,30451,18727,25,32416,36,17.09,Rejected
630,39867,16950,16,18441,60,11.92,Rejected
364,54406,24417,14,22585,60,10.66,Rejected
656,65315,21917,15,12477,36,9.75,Approved
317,77739,19210,26,41590,60,8.46,Rejected
521,47196,21199,1,31213,48,10.25,Rejected
576,48737,9625,25,3160,36,12.63,Rejected
370,24957,14910,11,35156,36,11.19,Rejected
334,76242,27549,6,35716,12,5.59,Rejected
830,55210,21981,2,8917,48,7.28,Approved
753,45740,11850,12,28874,60,16.39,Approved
449,70392,22224,16,26779,48,7.05,Rejected
679,41632,8960,29,38229,60,5.55,Approved
356,57478,7685,25,10744,48,10.66,Rejected
701,55446,8801,6,41297,48,5.42,Approved
536,65493,9765,28,23922,24,11.8,Rejected
813,45128,11860,10,32016,36,13.63,Approved
560,78517,14489,25,42452,48,9.03,Rejected
768,59787,19562,14,41013,48,12.3,Approved
642,41538,9257,10,40532,48,5.62,Rejected
608,37733,11936,22,39843,48,15.83,Rejected
494,52548,11062,11,16573,36,14.55,Rejected
622,49643,21531,3,24898,48,16.67,Rejected
435,48574,16994,21,29547,36,15.91,Rejected
386,60791,11491,12,15574,48,6.34,Rejected
804,65720,30120,26,6635,36,9.62,Approved
552,70602,26822,11,41786,48,13.23,Rejected
354,61562,17530,24,2387,36,11.81,Rejected
362,57877,20009,15,23242,48,6.1,Rejected
660,33280,18049,20,36245,48,9.36,Approved
499,17863,3343,22,32245,12,17.98,Rejected
318,46704,24852,27,13392,48,10.07,Rejected
639,66387,3128,17,49023,24,16.91,Rejected
534,30160,25801,1,44093,12,17.41,Rejected
794,46299,11190,24,16219,12,15.52,Approved
785,58327,28630,15,34416,48,16.44,Approved
325,47007,28082,13,38669,36,12.59,Rejected
834,34696,23488,16,20303,60,11.91,Approved
753,39734,5267,18,2056,12,14.41,Approved
692,44679,15077,4,26323,48,9.37,Approved
699,41143,10552,21,28961,24,17.11,Approved
318,61526,28196,12,48869,24,6.19,Rejected
630,47956,22316,26,26800,24,9.15,Rejected
720,65461,28678,22,12240,12,13.82,Approved
378,37466,22134,0,29636,24,9.46,Rejected
382,28597,24301,2,43292,60,16.5,Rejected
773,58415,11785,10,7426,48,9.69,Approved
599,29504,21082,5,23712,60,16.37,Rejected
324,12112,16894,29,20020,24,14.02,Rejected
816,49529,27555,19,1088,48,8.13,Approved
807,47779,15489,22,30407,12,14.58,Approved
567,36211,10029,10,4057,60,9.18,Rejected
798,21209,17603,15,17288,24,15.61,Approved
404,41252,18199,10,26538,12,7.75,Rejected
463,24385,8965,19,49195,12,8.79,Rejected
776,25994,15824,1,27387,24,15.85,Rejected
613,52197,21676,20,29652,24,6.5,Rejected
690,54728,9975,16,11791,12,15.59,Approved
419,49155,25403,22,26234,48,17.55,Rejected
343,40026,11547,28,14762,60,16.48,Rejected
586,66964,18087,20,36045,60,11.67,Rejected
489,55247,4497,6,16014,24,10.91,Rejected
660,63650,9768,25,1066,12,12.16,Approved
365,52175,19843,5,18899,36,6.66,Rejected
636,51046,13543,3,17251,12,7.34,Rejected
725,23759,0,9,15246,36,5.2,Approved
844,40403,15858,27,30984,24,15.64,Approved
835,68466,17312,29,31882,12,12.59,Approved
723,41782,13124,28,7897,60,17.7,Approved
815,79290,8787,22,43478,12,10.06,Approved
442,59251,13778,21,14314,48,14.31,Rejected
393,54355,16812,5,33556,48,16.71,Rejected
343,37209,23586,16,1085,24,7.3,Rejected
517,46312,7821,20,26671,48,16.33,Rejected
597,55127,0,24,20766,12,7.44,Rejected
724,36018,16319,21,18344,36,9.55,Approved
