Date,DayOfWeek,Month,Day,IsWeekend,Promotion,Price,Linear_Demand,Nonlinear_Demand
2023-04-16,6,4,16,1,0,99,57,322
2023-04-17,0,4,17,0,0,86,76,338
2023-04-18,1,4,18,0,1,104,59,347
2023-04-19,2,4,19,0,0,105,39,274
2023-04-20,3,4,20,0,1,95,77,365
2023-04-21,4,4,21,0,0,104,48,275
2023-04-22,5,4,22,1,0,95,64,323
2023-04-23,6,4,23,1,1,106,69,391
2023-04-24,0,4,24,0,0,99,46,259
2023-04-25,1,4,25,0,0,92,68,343
2023-04-26,2,4,26,0,0,96,57,282
2023-04-27,3,4,27,0,0,105,48,264
2023-04-28,4,4,28,0,1,100,70,352
2023-04-29,5,4,29,1,1,98,77,390
2023-04-30,6,4,30,1,0,99,60,310
2023-05-01,0,5,1,0,0,95,64,258
2023-05-02,1,5,2,0,0,111,28,260
2023-05-03,2,5,3,0,1,114,58,341
2023-05-04,3,5,4,0,0,96,68,265
2023-05-05,4,5,5,0,1,96,77,353
2023-05-06,5,5,6,1,0,92,68,395
2023-05-07,6,5,7,1,0,92,72,388
2023-05-08,0,5,8,0,1,101,71,354
2023-05-09,1,5,9,0,0,93,65,349
2023-05-10,2,5,10,0,0,119,25,246
2023-05-11,3,5,11,0,0,85,71,346
2023-05-12,4,5,12,0,0,107,40,258
2023-05-13,5,5,13,1,0,111,39,328
2023-05-14,6,5,14,1,0,113,43,308
2023-05-15,0,5,15,0,0,116,18,240
2023-05-16,1,5,16,0,1,95,83,353
2023-05-17,2,5,17,0,0,90,65,337
2023-05-18,3,5,18,0,1,86,87,424
2023-05-19,4,5,19,0,0,83,74,336
2023-05-20,5,5,20,1,1,94,89,481
2023-05-21,6,5,21,1,0,109,53,311
2023-05-22,0,5,22,0,0,92,66,352
2023-05-23,1,5,23,0,0,100,55,268
2023-05-24,2,5,24,0,0,112,38,249
2023-05-25,3,5,25,0,0,98,57,256
2023-05-26,4,5,26,0,0,88,67,332
2023-05-27,5,5,27,1,0,97,59,289
2023-05-28,6,5,28,1,1,108,63,381
2023-05-29,0,5,29,0,0,122,12,258
2023-05-30,1,5,30,0,0,100,44,245
2023-05-31,2,5,31,0,0,93,56,341
2023-06-01,3,6,1,0,0,89,66,326
2023-06-02,4,6,2,0,0,105,45,250
2023-06-03,5,6,3,1,0,100,72,296
2023-06-04,6,6,4,1,1,111,63,381
2023-06-05,0,6,5,0,1,119,47,323
2023-06-06,1,6,6,0,0,108,43,245
2023-06-07,2,6,7,0,0,87,79,330
2023-06-08,3,6,8,0,0,85,73,325
2023-06-09,4,6,9,0,1,100,66,322
2023-06-10,5,6,10,1,1,88,97,448
2023-06-11,6,6,11,1,0,100,59,283
2023-06-12,0,6,12,0,0,96,56,243
2023-06-13,1,6,13,0,0,94,61,335
2023-06-14,2,6,14,0,0,93,54,321
2023-06-15,3,6,15,0,0,102,50,246
2023-06-16,4,6,16,0,0,96,57,238
2023-06-17,5,6,17,1,1,116,62,377
2023-06-18,6,6,18,1,0,94,74,352
2023-06-19,0,6,19,0,0,87,69,323
2023-06-20,1,6,20,0,1,107,66,314
2023-06-21,2,6,21,0,1,114,42,316
2023-06-22,3,6,22,0,0,126,8,242
2023-06-23,4,6,23,0,0,99,51,233
2023-06-24,5,6,24,1,0,113,33,295
2023-06-25,6,6,25,1,0,91,74,359
2023-06-26,0,6,26,0,0,111,39,233
2023-06-27,1,6,27,0,1,101,72,316
2023-06-28,2,6,28,0,0,84,72,298
2023-06-29,3,6,29,0,0,101,55,237
2023-06-30,4,6,30,0,0,105,50,230
2023-07-01,5,7,1,1,0,93,72,373
2023-07-02,6,7,2,1,1,92,92,444
2023-07-03,0,7,3,0,1,81,102,378
2023-07-04,1,7,4,0,0,88,62,296
2023-07-05,2,7,5,0,0,95,50,234
2023-07-06,3,7,6,0,0,101,48,222
2023-07-07,4,7,7,0,0,106,35,226
2023-07-08,5,7,8,1,0,88,76,355
2023-07-09,6,7,9,1,0,103,53,275
2023-07-10,0,7,10,0,1,93,94,392
2023-07-11,1,7,11,0,0,100,49,234
2023-07-12,2,7,12,0,0,84,77,315
2023-07-13,3,7,13,0,0,89,62,320
2023-07-14,4,7,14,0,0,118,28,213
2023-07-15,5,7,15,1,0,85,90,351
2023-07-16,6,7,16,1,0,116,38,270
2023-07-17,0,7,17,0,0,115,29,221
2023-07-18,1,7,18,0,0,115,25,228
2023-07-19,2,7,19,0,0,83,89,284
2023-07-20,3,7,20,0,0,88,66,293
2023-07-21,4,7,21,0,0,106,41,209
2023-07-22,5,7,22,1,0,107,58,271
2023-07-23,6,7,23,1,0,99,69,279
2023-07-24,0,7,24,0,0,113,35,220
2023-07-25,1,7,25,0,1,97,75,285
2023-07-26,2,7,26,0,0,103,49,222
2023-07-27,3,7,27,0,0,95,58,219
2023-07-28,4,7,28,0,0,109,38,217
2023-07-29,5,7,29,1,0,88,78,344
2023-07-30,6,7,30,1,0,110,43,254
2023-07-31,0,7,31,0,1,104,62,292
2023-08-01,1,8,1,0,0,85,75,288
2023-08-02,2,8,2,0,0,85,79,278
2023-08-03,3,8,3,0,0,103,46,228
2023-08-04,4,8,4,0,0,102,56,202
2023-08-05,5,8,5,1,0,106,42,262
2023-08-06,6,8,6,1,1,92,90,426
2023-08-07,0,8,7,0,0,91,66,299
2023-08-08,1,8,8,0,0,102,53,216
2023-08-09,2,8,9,0,0,107,45,208
2023-08-10,3,8,10,0,0,98,56,196
2023-08-11,4,8,11,0,1,99,73,279
2023-08-12,5,8,12,1,0,94,68,342
2023-08-13,6,8,13,1,0,91,75,348
2023-08-14,0,8,14,0,0,119,26,210
2023-08-15,1,8,15,0,0,102,45,207
2023-08-16,2,8,16,0,0,83,68,284
2023-08-17,3,8,17,0,0,94,58,277
2023-08-18,4,8,18,0,0,92,66,285
2023-08-19,5,8,19,1,0,92,69,327
2023-08-20,6,8,20,1,0,113,48,245
2023-08-21,0,8,21,0,0,106,44,211
2023-08-22,1,8,22,0,0,93,55,267
2023-08-23,2,8,23,0,0,115,23,186
2023-08-24,3,8,24,0,1,103,66,267
2023-08-25,4,8,25,0,1,104,70,285
2023-08-26,5,8,26,1,1,116,56,327
2023-08-27,6,8,27,1,0,80,94,330
2023-08-28,0,8,28,0,1,85,88,350
2023-08-29,1,8,29,0,1,99,74,262
2023-08-30,2,8,30,0,0,97,54,202
2023-08-31,3,8,31,0,0,93,58,278
2023-09-01,4,9,1,0,0,103,49,210
2023-09-02,5,9,2,1,1,108,67,323
2023-09-03,6,9,3,1,0,90,77,320
2023-09-04,0,9,4,0,0,101,58,185
2023-09-05,1,9,5,0,0,95,63,216
2023-09-06,2,9,6,0,0,94,73,286
2023-09-07,3,9,7,0,0,121,19,194
2023-09-08,4,9,8,0,0,95,56,183
2023-09-09,5,9,9,1,1,96,91,310
2023-09-10,6,9,10,1,0,87,80,311
2023-09-11,0,9,11,0,0,112,30,191
2023-09-12,1,9,12,0,0,94,65,264
2023-09-13,2,9,13,0,0,104,47,189
2023-09-14,3,9,14,0,0,93,60,270
2023-09-15,4,9,15,0,0,106,44,182
2023-09-16,5,9,16,1,0,103,55,256
2023-09-17,6,9,17,1,0,100,57,242
2023-09-18,0,9,18,0,1,103,66,282
2023-09-19,1,9,19,0,1,111,53,278
2023-09-20,2,9,20,0,1,102,66,263
2023-09-21,3,9,21,0,0,90,60,274
2023-09-22,4,9,22,0,0,111,32,196
2023-09-23,5,9,23,1,0,109,51,242
2023-09-24,6,9,24,1,0,98,60,246
2023-09-25,0,9,25,0,1,90,93,343
2023-09-26,1,9,26,0,1,99,72,255
2023-09-27,2,9,27,0,0,111,33,198
2023-09-28,3,9,28,0,1,109,59,260
2023-09-29,4,9,29,0,0,90,66,266
2023-09-30,5,9,30,1,1,103,80,307
2023-10-01,6,10,1,1,0,110,45,236
2023-10-02,0,10,2,0,0,109,33,198
2023-10-03,1,10,3,0,0,111,40,196
2023-10-04,2,10,4,0,0,102,42,179
2023-10-05,3,10,5,0,0,99,48,200
2023-10-06,4,10,6,0,1,91,84,362
2023-10-07,5,10,7,1,0,91,64,335
2023-10-08,6,10,8,1,0,119,37,238
2023-10-09,0,10,9,0,0,115,29,186
2023-10-10,1,10,10,0,1,101,72,275
2023-10-11,2,10,11,0,0,97,55,196
2023-10-12,3,10,12,0,0,98,49,190
2023-10-13,4,10,13,0,1,97,74,274
2023-10-14,5,10,14,1,0,111,46,233
2023-10-15,6,10,15,1,0,84,85,319
2023-10-16,0,10,16,0,0,78,84,274
2023-10-17,1,10,17,0,0,86,69,278
2023-10-18,2,10,18,0,0,105,45,193
2023-10-19,3,10,19,0,0,111,37,193
2023-10-20,4,10,20,0,0,100,49,181
2023-10-21,5,10,21,1,0,96,61,247
2023-10-22,6,10,22,1,0,94,64,325
2023-10-23,0,10,23,0,0,101,54,191
2023-10-24,1,10,24,0,1,129,33,271
2023-10-25,2,10,25,0,0,93,54,262
2023-10-26,3,10,26,0,0,101,44,189
2023-10-27,4,10,27,0,0,82,79,290
2023-10-28,5,10,28,1,0,107,57,235
2023-10-29,6,10,29,1,0,79,94,329
2023-10-30,0,10,30,0,0,100,52,176
2023-10-31,1,10,31,0,0,107,39,188
2023-11-01,2,11,1,0,1,97,67,281
2023-11-02,3,11,2,0,0,100,55,210
2023-11-03,4,11,3,0,0,99,51,198
2023-11-04,5,11,4,1,0,103,55,256
2023-11-05,6,11,5,1,0,96,61,240
2023-11-06,0,11,6,0,0,84,84,277
2023-11-07,1,11,7,0,0,88,66,273
2023-11-08,2,11,8,0,0,89,63,286
2023-11-09,3,11,9,0,0,86,68,275
2023-11-10,4,11,10,0,0,94,55,274
2023-11-11,5,11,11,1,0,100,69,246
2023-11-12,6,11,12,1,1,100,73,335
2023-11-13,0,11,13,0,0,94,60,278
2023-11-14,1,11,14,0,1,99,78,270
2023-11-15,2,11,15,0,0,99,48,177
2023-11-16,3,11,16,0,1,96,70,283
2023-11-17,4,11,17,0,1,84,101,364
2023-11-18,5,11,18,1,0,103,66,248
2023-11-19,6,11,19,1,1,96,90,341
2023-11-20,0,11,20,0,0,100,43,216
2023-11-21,1,11,21,0,0,112,25,214
2023-11-22,2,11,22,0,1,109,59,275
2023-11-23,3,11,23,0,0,107,38,209
2023-11-24,4,11,24,0,1,91,88,360
2023-11-25,5,11,25,1,0,113,46,261
2023-11-26,6,11,26,1,0,100,68,256
2023-11-27,0,11,27,0,0,92,66,293
2023-11-28,1,11,28,0,0,92,60,295
2023-11-29,2,11,29,0,0,100,41,207
2023-11-30,3,11,30,0,0,114,34,197
2023-12-01,4,12,1,0,0,90,73,287
2023-12-02,5,12,2,1,0,107,47,256
2023-12-03,6,12,3,1,0,78,102,344
2023-12-04,0,12,4,0,0,107,34,210
2023-12-05,1,12,5,0,1,103,63,282
2023-12-06,2,12,6,0,0,87,70,291
2023-12-07,3,12,7,0,0,104,41,217
2023-12-08,4,12,8,0,0,104,47,213
2023-12-09,5,12,9,1,0,98,60,271
2023-12-10,6,12,10,1,0,101,61,266
2023-12-11,0,12,11,0,0,88,68,286
2023-12-12,1,12,12,0,0,115,23,214
2023-12-13,2,12,13,0,1,109,57,298
2023-12-14,3,12,14,0,1,110,50,310
2023-12-15,4,12,15,0,0,97,51,220
2023-12-16,5,12,16,1,0,84,76,347
2023-12-17,6,12,17,1,0,122,24,268
2023-12-18,0,12,18,0,0,105,50,223
2023-12-19,1,12,19,0,0,100,51,221
2023-12-20,2,12,20,0,0,92,55,307
2023-12-21,3,12,21,0,1,87,91,387
2023-12-22,4,12,22,0,0,104,51,224
2023-12-23,5,12,23,1,1,102,73,366
2023-12-24,6,12,24,1,0,79,100,364
2023-12-25,0,12,25,0,0,83,76,304
2023-12-26,1,12,26,0,0,105,40,215
2023-12-27,2,12,27,0,0,99,50,233
2023-12-28,3,12,28,0,0,99,49,220
2023-12-29,4,12,29,0,1,111,47,318
2023-12-30,5,12,30,1,0,100,62,268
2023-12-31,6,12,31,1,1,103,79,348
2024-01-01,0,1,1,0,1,100,63,307
2024-01-02,1,1,2,0,0,103,47,230
2024-01-03,2,1,3,0,0,97,55,239
2024-01-04,3,1,4,0,0,104,42,230
2024-01-05,4,1,5,0,0,119,26,227
2024-01-06,5,1,6,1,1,122,59,359
2024-01-07,6,1,7,1,0,93,72,368
2024-01-08,0,1,8,0,1,104,70,316
2024-01-09,1,1,9,0,0,94,58,325
2024-01-10,2,1,10,0,1,82,101,395
2024-01-11,3,1,11,0,0,94,52,318
2024-01-12,4,1,12,0,0,105,37,250
2024-01-13,5,1,13,1,1,99,81,375
2024-01-14,6,1,14,1,1,98,87,375
2024-01-15,0,1,15,0,0,100,59,241
2024-01-16,1,1,16,0,0,111,25,262
2024-01-17,2,1,17,0,0,82,70,320
2024-01-18,3,1,18,0,0,113,28,241
2024-01-19,4,1,19,0,0,84,80,316
2024-01-20,5,1,20,1,0,109,53,301
2024-01-21,6,1,21,1,1,98,81,373
2024-01-22,0,1,22,0,0,104,47,244
2024-01-23,1,1,23,0,0,102,49,251
2024-01-24,2,1,24,0,0,88,63,325
2024-01-25,3,1,25,0,0,89,79,316
2024-01-26,4,1,26,0,0,74,90,323
2024-01-27,5,1,27,1,0,100,57,305
2024-01-28,6,1,28,1,0,103,58,286
2024-01-29,0,1,29,0,0,100,50,265
2024-01-30,1,1,30,0,0,97,49,244
2024-01-31,2,1,31,0,0,96,60,250
2024-02-01,3,2,1,0,0,102,45,247
2024-02-02,4,2,2,0,1,97,75,332
2024-02-03,5,2,3,1,1,90,97,464
2024-02-04,6,2,4,1,0,108,45,300
2024-02-05,0,2,5,0,1,107,60,327
2024-02-06,1,2,6,0,0,99,50,258
2024-02-07,2,2,7,0,0,99,46,258
2024-02-08,3,2,8,0,1,89,91,410
2024-02-09,4,2,9,0,0,100,55,248
2024-02-10,5,2,10,1,0,100,60,288
2024-02-11,6,2,11,1,0,107,51,314
2024-02-12,0,2,12,0,0,99,50,271
2024-02-13,1,2,13,0,0,111,32,255
2024-02-14,2,2,14,0,1,87,96,419
2024-02-15,3,2,15,0,0,87,56,350
2024-02-16,4,2,16,0,0,103,49,262
2024-02-17,5,2,17,1,0,81,89,394
2024-02-18,6,2,18,1,0,101,64,318
2024-02-19,0,2,19,0,0,80,76,334
2024-02-20,1,2,20,0,0,113,30,256
2024-02-21,2,2,21,0,0,108,38,246
2024-02-22,3,2,22,0,0,93,63,331
2024-02-23,4,2,23,0,1,110,53,343
2024-02-24,5,2,24,1,0,102,54,313
2024-02-25,6,2,25,1,0,81,92,397
2024-02-26,0,2,26,0,0,88,68,345
2024-02-27,1,2,27,0,0,96,54,244
2024-02-28,2,2,28,0,1,111,55,337
2024-02-29,3,2,29,0,0,96,57,271
2024-03-01,4,3,1,0,0,111,26,268
2024-03-02,5,3,2,1,0,81,95,387
2024-03-03,6,3,3,1,0,80,88,404
2024-03-04,0,3,4,0,0,100,45,261
2024-03-05,1,3,5,0,0,109,37,270
2024-03-06,2,3,6,0,0,94,62,345
2024-03-07,3,3,7,0,0,118,20,266
2024-03-08,4,3,8,0,0,97,45,254
2024-03-09,5,3,9,1,1,99,76,405
2024-03-10,6,3,10,1,0,95,67,319
2024-03-11,0,3,11,0,1,110,48,354
2024-03-12,1,3,12,0,0,97,56,256
2024-03-13,2,3,13,0,0,100,51,270
2024-03-14,3,3,14,0,0,119,22,275
2024-03-15,4,3,15,0,0,111,30,264
2024-03-16,5,3,16,1,0,104,44,315
2024-03-17,6,3,17,1,0,80,87,394
2024-03-18,0,3,18,0,0,90,63,349
2024-03-19,1,3,19,0,0,102,52,264
2024-03-20,2,3,20,0,0,110,33,251
2024-03-21,3,3,21,0,0,104,55,266
2024-03-22,4,3,22,0,0,87,74,346
2024-03-23,5,3,23,1,0,103,43,328
2024-03-24,6,3,24,1,0,105,46,317
2024-03-25,0,3,25,0,0,104,43,277
2024-03-26,1,3,26,0,1,83,98,431
2024-03-27,2,3,27,0,0,100,57,269
2024-03-28,3,3,28,0,0,90,65,343
2024-03-29,4,3,29,0,0,89,64,349
2024-03-30,5,3,30,1,0,98,69,306
2024-03-31,6,3,31,1,0,98,60,312
2024-04-01,0,4,1,0,0,110,35,277
2024-04-02,1,4,2,0,0,102,45,258
2024-04-03,2,4,3,0,0,88,59,358
2024-04-04,3,4,4,0,0,78,86,374
2024-04-05,4,4,5,0,0,103,51,262
2024-04-06,5,4,6,1,0,103,48,330
2024-04-07,6,4,7,1,0,126,17,314
2024-04-08,0,4,8,0,0,103,41,274
2024-04-09,1,4,9,0,0,101,50,268
2024-04-10,2,4,10,0,0,89,67,355
2024-04-11,3,4,11,0,0,92,61,347
2024-04-12,4,4,12,0,1,93,83,428
2024-04-13,5,4,13,1,0,97,67,324
2024-04-14,6,4,14,1,0,98,62,320
2024-04-15,0,4,15,0,1,92,80,431
2024-04-16,1,4,16,0,0,94,63,360
2024-04-17,2,4,17,0,0,90,67,340
2024-04-18,3,4,18,0,1,99,68,343
2024-04-19,4,4,19,0,1,104,71,345
2024-04-20,5,4,20,1,0,92,69,407
2024-04-21,6,4,21,1,0,100,61,328
2024-04-22,0,4,22,0,0,98,43,268
2024-04-23,1,4,23,0,0,96,58,259
2024-04-24,2,4,24,0,0,123,27,274
2024-04-25,3,4,25,0,0,97,51,272
2024-04-26,4,4,26,0,0,78,81,349
2024-04-27,5,4,27,1,1,91,98,476
2024-04-28,6,4,28,1,1,91,100,476
2024-04-29,0,4,29,0,0,102,51,252
2024-04-30,1,4,30,0,0,112,25,281
2024-05-01,2,5,1,0,0,101,55,273
2024-05-02,3,5,2,0,0,102,46,265
2024-05-03,4,5,3,0,0,106,39,275
2024-05-04,5,5,4,1,1,112,61,401
2024-05-05,6,5,5,1,0,86,83,402
2024-05-06,0,5,6,0,0,107,41,268
2024-05-07,1,5,7,0,0,109,37,262
2024-05-08,2,5,8,0,0,93,51,336
2024-05-09,3,5,9,0,0,95,50,258
2024-05-10,4,5,10,0,0,96,61,248
2024-05-11,5,5,11,1,0,103,54,311
2024-05-12,6,5,12,1,0,110,44,321
2024-05-13,0,5,13,0,1,110,57,334
2024-05-14,1,5,14,0,1,91,87,424
2024-05-15,2,5,15,0,0,103,48,255
2024-05-16,3,5,16,0,0,89,62,346
2024-05-17,4,5,17,0,0,95,64,250
2024-05-18,5,5,18,1,0,109,45,292
2024-05-19,6,5,19,1,0,117,28,316
2024-05-20,0,5,20,0,0,94,56,340
2024-05-21,1,5,21,0,0,106,38,250
2024-05-22,2,5,22,0,0,101,50,255
2024-05-23,3,5,23,0,1,97,76,332
2024-05-24,4,5,24,0,0,88,72,344
2024-05-25,5,5,25,1,0,93,78,390
2024-05-26,6,5,26,1,0,125,22,302
2024-05-27,0,5,27,0,0,97,58,254
2024-05-28,1,5,28,0,0,88,65,316
2024-05-29,2,5,29,0,0,115,24,251
2024-05-30,3,5,30,0,1,105,60,325
2024-05-31,4,5,31,0,1,110,58,330
2024-06-01,5,6,1,1,0,129,20,306
2024-06-02,6,6,2,1,0,94,69,379
2024-06-03,0,6,3,0,0,100,51,246
2024-06-04,1,6,4,0,0,115,27,255
2024-06-05,2,6,5,0,0,108,33,248
2024-06-06,3,6,6,0,1,89,75,402
2024-06-07,4,6,7,0,0,97,55,249
2024-06-08,5,6,8,1,0,76,92,379
2024-06-09,6,6,9,1,0,99,65,298
2024-06-10,0,6,10,0,0,91,63,310
2024-06-11,1,6,11,0,0,91,67,328
2024-06-12,2,6,12,0,0,81,86,321
2024-06-13,3,6,13,0,1,93,74,391
2024-06-14,4,6,14,0,0,119,24,246
2024-06-15,5,6,15,1,0,96,71,298
2024-06-16,6,6,16,1,0,93,70,373
2024-06-17,0,6,17,0,0,104,48,244
2024-06-18,1,6,18,0,0,97,49,238
2024-06-19,2,6,19,0,0,108,37,226
2024-06-20,3,6,20,0,0,104,51,239
2024-06-21,4,6,21,0,0,100,59,235
2024-06-22,5,6,22,1,0,93,71,364
2024-06-23,6,6,23,1,1,95,87,358
2024-06-24,0,6,24,0,1,97,76,318
2024-06-25,1,6,25,0,0,110,39,231
2024-06-26,2,6,26,0,0,79,86,311
2024-06-27,3,6,27,0,0,108,46,240
2024-06-28,4,6,28,0,0,112,32,225
2024-06-29,5,6,29,1,0,97,64,293
2024-06-30,6,6,30,1,0,110,52,284
2024-07-01,0,7,1,0,1,109,58,315
2024-07-02,1,7,2,0,0,105,50,232
2024-07-03,2,7,3,0,1,107,53,324
2024-07-04,3,7,4,0,0,85,74,323
2024-07-05,4,7,5,0,0,96,55,226
2024-07-06,5,7,6,1,0,106,47,273
2024-07-07,6,7,7,1,0,105,56,277
2024-07-08,0,7,8,0,0,98,49,224
2024-07-09,1,7,9,0,1,93,82,381
2024-07-10,2,7,10,0,1,111,53,302
2024-07-11,3,7,11,0,0,108,42,220
2024-07-12,4,7,12,0,0,109,42,241
2024-07-13,5,7,13,1,0,80,95,353
2024-07-14,6,7,14,1,0,101,59,252
2024-07-15,0,7,15,0,0,101,45,219
2024-07-16,1,7,16,0,1,94,73,367
2024-07-17,2,7,17,0,0,109,30,230
2024-07-18,3,7,18,0,0,103,45,220
2024-07-19,4,7,19,0,1,71,106,385
2024-07-20,5,7,20,1,0,99,60,271
2024-07-21,6,7,21,1,0,95,75,256
2024-07-22,0,7,22,0,0,110,36,225
2024-07-23,1,7,23,0,0,85,73,307
2024-07-24,2,7,24,0,1,96,75,287
2024-07-25,3,7,25,0,1,104,67,282
2024-07-26,4,7,26,0,0,84,76,297
2024-07-27,5,7,27,1,0,107,47,271
2024-07-28,6,7,28,1,0,90,71,350
2024-07-29,0,7,29,0,1,111,52,299
2024-07-30,1,7,30,0,0,116,21,214
2024-07-31,2,7,31,0,1,106,68,304
2024-08-01,3,8,1,0,0,101,54,218
2024-08-02,4,8,2,0,0,112,37,202
2024-08-03,5,8,3,1,0,118,36,264
2024-08-04,6,8,4,1,0,106,50,252
2024-08-05,0,8,5,0,1,114,48,283
2024-08-06,1,8,6,0,0,105,41,215
2024-08-07,2,8,7,0,0,107,42,209
2024-08-08,3,8,8,0,0,104,44,215
2024-08-09,4,8,9,0,1,96,76,289
2024-08-10,5,8,10,1,0,104,52,258
2024-08-11,6,8,11,1,0,85,81,327
2024-08-12,0,8,12,0,0,100,48,202
2024-08-13,1,8,13,0,0,90,61,288
2024-08-14,2,8,14,0,1,105,63,284
2024-08-15,3,8,15,0,0,90,60,283
2024-08-16,4,8,16,0,0,103,46,213
2024-08-17,5,8,17,1,0,100,52,255
2024-08-18,6,8,18,1,1,97,84,334
2024-08-19,0,8,19,0,0,113,41,192
2024-08-20,1,8,20,0,0,100,52,195
2024-08-21,2,8,21,0,0,112,43,198
2024-08-22,3,8,22,0,0,114,23,214
2024-08-23,4,8,23,0,0,110,31,189
2024-08-24,5,8,24,1,0,106,54,239
2024-08-25,6,8,25,1,0,94,84,336
2024-08-26,0,8,26,0,0,89,59,287
