Customer_ID,Age,Annual_Income,Payment_History_Score,Credit_Utilization_Ratio,Credit_History_Length_Years,Number_of_Credit_Lines,Number_of_Late_Payments,Number_of_Credit_Inquiries,Types_of_Credit,Employment_Status,Outstanding_Debt,Has_Mortgage,Region,Credit_Score
CUST00023,23,1611059,866,0.86,15,9,4,0,Home Loan,Student,88924,1,North,551
CUST00024,63,1601070,881,1.16,15,7,4,4,Mixed,Retired,779261,0,North,403
CUST00025,39,586844,375,0.95,23,7,3,5,Credit Card,Employed,854741,0,East,349
CUST00026,24,221753,550,1.1,5,2,1,5,Mixed,Self-employed,666664,1,East,301
CUST00027,57,1065147,576,0.43,7,5,0,1,Auto Loan,Retired,134047,0,East,541
CUST00028,23,1690392,409,1.05,16,5,3,2,Mixed,Unemployed,580192,0,West,350
CUST00029,28,325153,503,0.13,2,9,4,5,Personal Loan,Employed,970215,1,North,355
CUST00030,62,1307756,575,1.04,7,4,0,4,Credit Card,Employed,272308,0,East,393
CUST00031,43,877453,852,0.01,13,9,3,2,Personal Loan,Unemployed,761820,0,North,616
CUST00032,38,1910327,792,0.92,13,8,0,6,Credit Card,Student,483266,0,North,477
CUST00033,52,1892747,863,0.3,1,5,1,3,Home Loan,Retired,564414,1,South,528
CUST00034,35,1721134,309,1.09,14,3,4,3,Auto Loan,Student,986314,1,Central,300
CUST00035,30,1932869,516,0.85,12,2,0,6,Personal Loan,Unemployed,728288,0,Central,383
CUST00036,51,892926,512,1.13,22,9,0,4,Mixed,Retired,711395,1,West,425
CUST00037,40,895754,637,0.69,1,1,4,2,Personal Loan,Student,781668,0,East,339
CUST00038,28,652250,455,0.33,11,1,0,1,Home Loan,Student,360051,1,Central,531
CUST00039,62,1961483,869,0.84,3,9,4,6,Credit Card,Unemployed,411094,1,South,382
CUST00040,26,1945083,797,0.42,3,3,1,0,Credit Card,Student,846984,0,West,511
CUST00041,35,215019,502,1.08,5,6,4,5,Credit Card,Self-employed,884480,1,West,300
CUST00042,51,1232617,871,0.84,6,7,3,0,Credit Card,Unemployed,33086,1,West,516
CUST00043,22,1262478,324,0.22,21,3,4,6,Auto Loan,Student,800528,0,East,422
CUST00044,43,1661811,441,0.87,8,2,1,7,Mixed,Self-employed,354821,1,North,335
CUST00045,37,1121902,850,0.56,11,7,2,0,Mixed,Unemployed,493658,1,West,569
CUST00046,50,574639,649,0.7,9,2,2,0,Auto Loan,Student,69943,0,South,511
CUST00047,32,1020068,835,0.65,9,8,0,7,Home Loan,Employed,918133,1,North,460
CUST00048,44,1611168,352,0.32,8,9,3,5,Credit Card,Employed,382289,1,North,388
CUST00049,28,1591352,873,0.2,13,4,1,5,Mixed,Unemployed,514985,0,East,613
CUST00050,29,278016,696,0.35,9,6,3,1,Personal Loan,Retired,186380,0,East,546
CUST00051,38,1623458,418,0.16,6,4,1,7,Personal Loan,Retired,559089,1,North,418
CUST00052,56,796967,321,0.19,3,3,0,3,Auto Loan,Employed,17836,0,East,471
CUST00053,64,1266268,408,0.15,24,3,0,1,Auto Loan,Employed,449201,0,South,629
CUST00054,31,1403956,781,0.89,16,4,3,1,Auto Loan,Retired,248994,1,West,521
CUST00055,32,1270492,758,1.09,13,3,2,0,Personal Loan,Employed,474789,0,South,469
CUST00056,38,1632074,357,0.4,3,4,0,6,Home Loan,Retired,111454,1,East,405
CUST00057,28,1702264,588,0.6,18,1,4,4,Personal Loan,Unemployed,637782,1,North,447
CUST00058,43,593843,345,0.32,1,6,4,7,Home Loan,Student,439817,1,West,300
CUST00059,50,328441,696,0.63,15,8,4,1,Personal Loan,Employed,877939,0,West,464
CUST00060,35,1374212,534,0.23,14,8,3,6,Home Loan,Self-employed,863596,1,South,444
CUST00061,29,1285903,522,0.26,1,5,1,3,Auto Loan,Self-employed,889043,1,West,411
CUST00062,38,1086482,679,0.59,11,4,4,7,Credit Card,Self-employed,677908,0,North,392
CUST00063,60,1028842,405,0.92,14,3,0,5,Mixed,Retired,665946,1,North,369
CUST00064,28,1711473,665,1.02,19,6,2,1,Mixed,Retired,568291,0,North,476
CUST00065,54,1412381,370,1.11,21,7,4,7,Home Loan,Unemployed,850042,0,North,300
CUST00066,56,1448763,356,0.49,4,2,3,3,Auto Loan,Student,384427,0,East,354
CUST00067,59,266347,467,0.31,18,7,0,1,Personal Loan,Self-employed,551811,1,Central,569
CUST00068,61,296967,893,0.99,12,7,3,1,Home Loan,Unemployed,77218,1,South,523
CUST00069,34,1791359,473,0.2,9,2,4,2,Credit Card,Student,96570,1,South,489
CUST00070,43,1524126,805,0.58,10,8,0,3,Mixed,Self-employed,728150,1,West,529
CUST00071,53,1373172,337,1.13,13,5,3,1,Credit Card,Student,491005,1,West,313
CUST00072,43,1154309,652,0.89,8,6,0,2,Home Loan,Student,749835,1,North,428
CUST00073,39,795603,890,0.96,14,6,0,6,Mixed,Unemployed,753159,0,Central,481
CUST00074,34,289480,801,0.99,1,4,4,0,Mixed,Self-employed,377523,0,South,390
CUST00075,21,690845,404,0.66,19,2,0,0,Auto Loan,Student,650667,1,South,501
CUST00076,51,1375056,857,0.11,9,3,0,7,Personal Loan,Self-employed,324637,1,East,608
CUST00077,48,721605,445,0.05,22,1,1,3,Home Loan,Employed,892726,0,Central,567
CUST00078,56,686002,496,0.56,3,4,0,3,Credit Card,Student,648682,0,South,404
CUST00079,37,1866799,507,0.71,4,5,1,0,Personal Loan,Self-employed,677597,1,East,401
CUST00080,60,853238,763,0.19,17,3,0,5,Home Loan,Retired,120464,1,East,661
CUST00081,25,327238,392,0.93,10,5,0,4,Personal Loan,Self-employed,118337,1,Central,393
CUST00082,25,237936,353,1.15,4,6,2,2,Credit Card,Retired,189274,0,Central,300
CUST00083,23,1120908,565,0.35,22,7,2,0,Auto Loan,Student,514824,1,East,597
CUST00084,37,713128,761,0.51,23,2,2,0,Auto Loan,Student,110420,1,North,667
CUST00085,39,534150,630,1.17,21,9,0,3,Home Loan,Student,376813,0,West,483
CUST00086,47,1090574,359,0.66,6,7,3,0,Auto Loan,Employed,801562,1,West,336
CUST00087,26,1821013,508,0.93,8,2,0,7,Auto Loan,Student,84425,0,Central,384
CUST00088,49,1432475,409,0.66,2,9,0,4,Auto Loan,Unemployed,811660,1,South,331
CUST00089,32,1513656,318,0.69,14,1,3,1,Mixed,Student,775951,0,East,365
CUST00090,24,1472125,682,0.01,24,8,3,7,Mixed,Retired,831943,0,Central,584
CUST00091,27,1146018,504,0.08,6,6,4,7,Auto Loan,Self-employed,82420,1,North,446
CUST00092,23,253860,650,0.32,23,6,2,4,Auto Loan,Employed,811933,1,West,566
CUST00093,59,1350613,735,0.1,6,2,0,0,Credit Card,Retired,661673,1,North,601
CUST00094,26,876288,883,0.32,18,6,3,3,Auto Loan,Employed,916623,1,South,582
CUST00095,41,1717522,769,1.02,24,1,2,3,Mixed,Unemployed,752555,0,West,503
CUST00096,38,1678247,410,0.43,15,3,1,7,Mixed,Employed,246858,1,South,458
CUST00097,22,1411317,487,0.77,20,6,3,5,Personal Loan,Self-employed,224656,1,West,445
CUST00098,54,364019,801,0.27,8,9,3,6,Home Loan,Student,338143,1,Central,517
CUST00099,47,851977,859,1.2,3,3,0,5,Auto Loan,Unemployed,507734,0,North,389
CUST00100,37,345228,513,0.48,22,7,1,0,Mixed,Retired,320878,0,North,594
CUST00101,54,1164474,836,1.05,20,8,3,2,Mixed,Self-employed,672628,1,West,490
CUST00102,48,1849864,882,0.68,22,9,1,6,Mixed,Student,716343,0,East,567
CUST00103,37,1807850,721,0.01,13,9,2,1,Mixed,Student,138203,0,Central,660
CUST00104,40,1200912,323,1.05,15,6,2,0,Personal Loan,Unemployed,657152,0,South,350
CUST00105,32,1707351,663,0.75,11,8,0,7,Mixed,Self-employed,962792,0,North,404
CUST00106,50,1548260,766,0.48,15,4,0,5,Mixed,Retired,826307,0,Central,539
CUST00107,48,1236689,708,1.05,22,3,4,2,Home Loan,Retired,693754,1,North,448
CUST00108,45,1390700,660,0.57,1,1,0,0,Mixed,Student,616618,1,South,469
CUST00109,24,1188201,553,1.17,7,4,0,5,Home Loan,Employed,382706,0,East,345
CUST00110,53,341714,788,0.96,22,3,4,6,Home Loan,Retired,697986,0,South,444
CUST00111,37,881609,701,0.93,16,9,4,5,Personal Loan,Student,760331,0,South,389
CUST00112,60,1483543,307,0.77,20,8,1,0,Credit Card,Self-employed,559818,1,East,452
CUST00113,47,686716,651,0.15,5,1,3,2,Home Loan,Employed,826351,0,South,475
CUST00114,34,1610398,481,1.09,20,8,1,3,Home Loan,Self-employed,858564,0,West,390
CUST00115,47,589553,486,0.08,14,9,0,5,Mixed,Unemployed,816740,1,East,522
CUST00116,57,433123,474,0.39,8,5,4,3,Credit Card,Employed,722548,0,South,386
CUST00117,45,501925,374,0.64,15,1,1,0,Credit Card,Employed,374246,1,Central,475
CUST00118,54,1760824,589,0.68,9,4,2,1,Home Loan,Self-employed,925378,0,North,414
CUST00119,24,1128004,893,0.23,16,7,2,5,Home Loan,Unemployed,756162,1,Central,596
CUST00120,29,842529,594,1.02,6,9,3,3,Home Loan,Unemployed,637607,0,Central,324
CUST00121,46,295137,803,1.19,14,4,1,0,Credit Card,Self-employed,323474,1,South,501
CUST00122,24,936494,722,0.17,5,2,3,0,Home Loan,Self-employed,728290,1,South,522
CUST00123,31,827300,726,0.65,10,4,3,1,Personal Loan,Student,702561,0,South,467
CUST00124,29,1034031,886,0.04,17,3,1,2,Credit Card,Unemployed,386570,1,West,714
CUST00125,32,1191374,448,0.79,23,9,3,1,Personal Loan,Self-employed,415214,0,West,477
CUST00126,41,953874,558,0.11,16,7,0,5,Auto Loan,Self-employed,108669,1,West,611
CUST00127,42,282916,724,0.56,13,5,2,7,Mixed,Student,449674,1,East,477
CUST00128,62,249855,349,0.74,20,6,0,5,Mixed,Unemployed,285408,1,Central,457
CUST00129,44,227432,575,0.95,12,8,2,5,Personal Loan,Retired,579080,0,East,372
CUST00130,55,905723,510,1.01,23,6,1,5,Mixed,Student,357239,1,North,454
CUST00131,54,1858224,367,0.38,18,9,0,4,Auto Loan,Unemployed,470892,0,West,504
CUST00132,44,1384346,452,0.87,12,5,3,4,Home Loan,Retired,787671,1,East,326
CUST00133,63,750389,792,0.06,4,6,3,1,Home Loan,Student,917426,1,North,527
CUST00134,53,1540376,396,0.37,13,4,2,7,Mixed,Employed,797734,0,West,387
CUST00135,26,528427,612,0.9,10,3,4,1,Credit Card,Self-employed,931191,0,West,356
CUST00136,44,701969,849,0.1,11,2,0,7,Credit Card,Student,831764,0,West,578
CUST00137,23,1350177,448,0.03,7,7,0,5,Personal Loan,Self-employed,949024,0,Central,461
CUST00138,41,277924,711,0.74,9,7,1,0,Home Loan,Retired,120045,0,North,535
CUST00139,33,1036197,434,0.93,15,4,3,2,Home Loan,Unemployed,763543,0,West,355
CUST00140,62,1796491,593,0.04,23,9,2,4,Mixed,Unemployed,780227,1,East,600
CUST00141,51,1367291,423,1.15,22,6,1,2,Credit Card,Student,291945,1,South,436
CUST00142,54,746351,407,1.04,3,2,0,5,Home Loan,Employed,20725,0,North,329
CUST00143,22,1787475,447,0.64,6,4,3,1,Personal Loan,Self-employed,182307,0,Central,407
CUST00144,41,1400536,341,0.92,4,9,1,7,Credit Card,Employed,290664,1,West,300
CUST00145,52,1568098,757,0.98,23,2,1,4,Credit Card,Retired,704015,1,West,510
CUST00146,64,1297941,848,0.49,15,9,3,5,Home Loan,Student,832447,1,Central,509
CUST00147,33,799943,401,0.81,23,5,3,0,Auto Loan,Employed,286024,0,South,482
CUST00148,60,1016867,408,0.12,20,7,1,1,Credit Card,Unemployed,581976,0,North,579
CUST00149,23,1195735,477,0.68,24,4,3,0,Mixed,Self-employed,50260,1,East,552
CUST00150,44,1440349,617,0.98,22,2,0,3,Mixed,Student,762804,0,East,486
CUST00151,26,1660574,836,1.07,15,1,3,6,Auto Loan,Self-employed,529457,0,South,422
CUST00152,34,1002984,645,1.06,23,2,2,1,Personal Loan,Student,20211,0,South,538
CUST00153,52,1287940,553,0.75,10,2,0,0,Mixed,Unemployed,833286,1,North,451
CUST00154,47,413673,682,0.07,18,7,0,4,Home Loan,Retired,798638,0,Central,618
CUST00155,62,507920,646,0.02,18,8,1,7,Auto Loan,Self-employed,554442,0,North,589
CUST00156,31,1627918,628,0.57,8,7,2,4,Credit Card,Retired,83165,0,North,477
CUST00157,36,455248,660,0.48,22,7,3,5,Auto Loan,Retired,609657,1,East,524
CUST00158,63,1925529,711,1.07,16,5,4,4,Personal Loan,Employed,62337,0,South,438
CUST00159,38,357018,537,0.76,14,6,2,2,Auto Loan,Student,335282,1,North,459
CUST00160,53,1175481,631,0.15,8,2,4,2,Mixed,Employed,438084,0,North,506
CUST00161,45,1141604,705,1.15,4,1,2,5,Auto Loan,Self-employed,696802,0,East,310
CUST00162,41,1744891,788,0.38,19,1,0,3,Personal Loan,Self-employed,467899,0,North,641
CUST00163,48,267657,560,0.76,22,2,4,6,Auto Loan,Self-employed,553097,0,Central,425
CUST00164,49,257045,686,0.2,3,1,4,5,Credit Card,Retired,904270,1,North,408
CUST00165,52,1389223,329,0.66,22,2,0,5,Personal Loan,Unemployed,449209,1,East,464
CUST00166,64,1774796,723,0.01,6,4,1,0,Auto Loan,Unemployed,719027,0,East,591
CUST00167,55,572056,360,0.42,5,5,0,4,Personal Loan,Student,607542,1,Central,395
CUST00168,51,1778879,397,0.37,11,7,2,4,Mixed,Employed,278120,0,East,449
CUST00169,23,1962289,314,0.6,1,8,2,4,Mixed,Unemployed,272071,1,North,319
CUST00170,30,959161,826,0.15,21,6,1,3,Home Loan,Employed,147563,1,East,715
CUST00171,30,342444,875,0.17,18,2,1,6,Home Loan,Employed,161229,1,West,672
CUST00172,33,1823760,483,0.33,15,8,4,2,Credit Card,Self-employed,542256,1,East,472
CUST00173,42,1609938,640,1.08,19,7,4,5,Personal Loan,Retired,368656,1,West,399
CUST00174,42,215306,801,0.67,13,2,4,7,Home Loan,Student,805430,0,South,416
CUST00175,43,655668,508,0.1,16,8,4,7,Auto Loan,Student,955027,0,East,437
CUST00176,60,1042340,485,0.66,15,4,2,6,Auto Loan,Employed,351808,0,West,425
CUST00177,32,476508,575,0.35,19,1,0,5,Auto Loan,Unemployed,957187,1,East,523
CUST00178,39,1613973,374,0.83,14,8,3,2,Personal Loan,Student,840188,1,South,341
CUST00179,55,582320,337,0.37,6,4,2,5,Mixed,Unemployed,785149,0,Central,345
CUST00180,33,687256,367,0.05,9,4,4,0,Mixed,Unemployed,813646,1,East,445
CUST00181,27,1494371,553,0.9,19,4,3,7,Home Loan,Retired,608430,1,West,381
CUST00182,41,528627,431,1.13,2,5,0,5,Personal Loan,Student,951169,1,South,300
CUST00183,48,396942,507,0.02,24,4,3,1,Home Loan,Retired,54332,0,West,662
CUST00184,57,829333,457,0.08,8,3,4,4,Auto Loan,Employed,113113,1,Central,475
CUST00185,45,1963605,305,1.11,11,1,2,2,Personal Loan,Student,708958,1,North,300
CUST00186,29,868619,390,0.47,8,6,0,7,Credit Card,Unemployed,307451,1,North,409
CUST00187,23,1029783,458,0.18,1,3,1,5,Personal Loan,Self-employed,78659,1,North,454
CUST00188,22,1311999,786,0.52,4,6,3,4,Auto Loan,Self-employed,642413,0,South,438
CUST00189,44,958744,668,0.69,10,8,3,0,Home Loan,Retired,852569,1,North,441
CUST00190,25,1882236,629,0.13,8,4,0,5,Credit Card,Self-employed,169199,0,South,568
CUST00191,49,1101554,851,0.24,24,9,1,7,Auto Loan,Student,369369,1,North,666
CUST00192,50,536519,369,0.61,18,1,0,5,Personal Loan,Unemployed,321997,1,East,468
CUST00193,53,1639763,873,0.78,5,4,4,0,Personal Loan,Retired,277680,1,East,482
CUST00194,27,1357193,365,0.24,10,4,4,5,Personal Loan,Unemployed,745583,1,East,371
CUST00195,59,811721,851,0.02,9,3,0,5,Credit Card,Student,630595,0,South,617
CUST00196,58,1362259,727,0.97,1,2,3,2,Home Loan,Retired,73802,0,West,394
CUST00197,39,277776,723,1.04,16,7,4,2,Mixed,Retired,28633,0,East,470
CUST00198,57,1754483,867,1.19,22,5,2,0,Home Loan,Student,319834,0,East,557
CUST00199,54,1724459,792,1.08,1,6,3,7,Personal Loan,Self-employed,697005,1,Central,300
CUST00200,56,903241,464,0.43,20,6,0,2,Home Loan,Employed,685959,0,East,540
CUST00201,32,805873,825,1.09,7,8,1,5,Mixed,Retired,274051,1,South,428
CUST00202,25,1031771,615,0.98,22,9,4,7,Auto Loan,Student,187458,1,West,424
CUST00203,51,1337037,548,0.69,7,8,0,0,Mixed,Unemployed,696189,0,East,451
CUST00204,45,415436,499,0.58,14,4,2,4,Credit Card,Employed,332986,0,West,458
CUST00205,25,790744,813,0.02,11,7,0,6,Mixed,Self-employed,445440,1,West,625
CUST00206,27,1009826,856,0.86,3,4,4,4,Mixed,Student,308574,0,Central,405
CUST00207,29,1112622,640,0.37,14,8,3,2,Auto Loan,Employed,711213,0,West,506
CUST00208,37,716507,377,0.67,22,1,1,7,Auto Loan,Student,126556,1,South,465
CUST00209,34,1828393,748,0.34,5,8,4,2,Personal Loan,Self-employed,670691,0,South,467
CUST00210,61,236663,711,0.89,9,8,1,5,Personal Loan,Student,278072,1,South,443
CUST00211,64,1007355,833,0.49,2,4,4,5,Home Loan,Student,299599,0,North,445
CUST00212,41,252904,632,0.33,23,3,0,7,Personal Loan,Employed,923408,1,East,552
CUST00213,35,512847,810,1.14,23,1,3,1,Mixed,Self-employed,149534,0,Central,543
CUST00214,46,258597,339,0.62,3,1,1,1,Credit Card,Student,815717,0,West,339
CUST00215,61,1356988,596,0.2,15,2,3,5,Mixed,Retired,683799,0,South,500
CUST00216,57,812429,375,0.15,11,9,1,4,Credit Card,Retired,345318,0,East,492
CUST00217,42,1530991,363,1.0,22,5,4,3,Home Loan,Employed,197111,1,South,391
CUST00218,23,758225,593,0.64,6,4,1,2,Credit Card,Student,533080,1,South,441
CUST00219,62,1281039,374,0.18,3,8,3,4,Credit Card,Retired,445707,1,East,389
CUST00220,23,1671760,465,0.68,2,8,2,7,Auto Loan,Self-employed,347490,1,East,317
CUST00221,60,765282,546,0.3,17,6,4,0,Personal Loan,Student,123547,0,Central,566
CUST00222,60,1839770,384,0.34,16,3,2,4,Personal Loan,Unemployed,470238,0,Central,468
CUST00223,29,219672,529,1.01,12,5,0,7,Auto Loan,Self-employed,337621,0,South,382
CUST00224,53,322237,332,1.16,21,2,3,0,Credit Card,Retired,287019,0,West,389
CUST00225,59,1044479,804,0.76,3,6,3,3,Credit Card,Employed,946525,1,South,381
CUST00226,25,1907498,666,0.46,9,8,3,3,Personal Loan,Employed,400163,0,South,480
CUST00227,51,1045952,885,0.1,20,8,4,7,Mixed,Unemployed,614095,1,West,600
CUST00228,22,1902647,683,0.01,3,4,0,3,Credit Card,Unemployed,15233,1,West,604
CUST00229,26,473987,619,0.74,22,3,4,3,Auto Loan,Unemployed,586606,0,North,474
CUST00230,52,1837525,748,0.28,14,9,0,5,Auto Loan,Unemployed,176408,0,Central,616
CUST00231,64,1453200,301,0.05,8,8,2,5,Credit Card,Self-employed,842194,0,North,397
CUST00232,42,430679,877,0.05,5,6,1,1,Auto Loan,Retired,226025,1,East,652
CUST00233,34,529307,765,1.11,7,2,1,2,Personal Loan,Employed,376756,0,South,430
CUST00234,61,1618617,389,0.9,19,8,4,1,Mixed,Self-employed,502292,0,West,390
CUST00235,54,200739,718,0.39,17,2,0,7,Personal Loan,Employed,99602,1,Central,595
CUST00236,30,1859812,493,0.07,4,4,2,1,Home Loan,Employed,512933,1,Central,492
CUST00237,55,1323322,580,1.13,11,5,3,1,Home Loan,Retired,679890,0,North,353
CUST00238,58,1058758,883,0.9,23,7,4,4,Personal Loan,Self-employed,51641,1,North,564
CUST00239,55,1340711,794,0.11,2,2,2,1,Personal Loan,Student,872655,1,South,526
CUST00240,21,1749745,363,1.11,21,1,3,5,Credit Card,Self-employed,143875,0,North,366
CUST00241,58,576505,698,0.17,22,6,2,0,Home Loan,Student,412903,0,West,674
CUST00242,62,570511,865,0.62,20,7,0,2,Personal Loan,Retired,397406,0,North,646
CUST00243,29,1225051,888,1.09,10,8,2,1,Personal Loan,Student,338213,1,East,486
CUST00244,26,1351349,300,0.71,23,2,2,7,Mixed,Unemployed,335279,0,West,409
CUST00245,24,1121062,857,0.02,14,2,0,4,Auto Loan,Employed,674851,0,West,660
CUST00246,37,1743441,874,1.08,2,6,2,5,Auto Loan,Student,69434,1,North,410
CUST00247,39,480654,518,0.98,3,6,2,6,Mixed,Unemployed,735294,1,North,300
CUST00248,62,1838706,540,0.66,4,2,4,7,Personal Loan,Unemployed,407409,1,South,316
CUST00249,61,1027041,499,0.95,1,1,4,5,Mixed,Student,452145,0,North,300
CUST00250,38,334207,528,0.01,16,7,1,1,Home Loan,Unemployed,615270,0,Central,602
CUST00251,46,383035,397,1.18,4,9,4,5,Credit Card,Self-employed,21928,1,Central,300
CUST00252,24,1297171,471,1.07,14,1,1,4,Home Loan,Student,377658,1,North,380
CUST00253,24,1091287,728,0.89,15,3,2,0,Home Loan,Self-employed,120468,1,Central,538
CUST00254,23,699332,839,0.52,23,5,3,0,Mixed,Retired,233490,1,North,660
CUST00255,53,1061582,671,1.02,19,6,1,7,Mixed,Self-employed,271120,0,South,456
CUST00256,42,1459032,715,0.12,21,4,1,2,Auto Loan,Employed,981295,0,West,628
CUST00257,39,918972,706,0.6,17,1,1,7,Personal Loan,Student,224374,1,North,528
CUST00258,44,1960847,567,0.34,4,5,3,2,Mixed,Self-employed,108035,1,Central,474
CUST00259,29,1054157,317,0.46,13,6,1,4,Personal Loan,Employed,409462,0,West,431
CUST00260,44,939784,678,0.67,3,4,1,3,Auto Loan,Employed,511725,1,North,431
CUST00261,23,1311891,732,0.34,6,3,0,3,Home Loan,Employed,872265,1,South,509
CUST00262,28,1271767,895,0.05,21,7,2,2,Personal Loan,Employed,545908,1,East,711
CUST00263,24,456584,435,0.74,22,1,4,4,Home Loan,Retired,635025,0,Central,408
CUST00264,46,1995120,411,0.43,11,3,2,0,Auto Loan,Unemployed,939244,0,West,429
CUST00265,43,1779632,365,0.91,18,7,1,4,Credit Card,Student,453618,1,Central,398
CUST00266,33,1921252,799,0.51,15,3,2,3,Mixed,Self-employed,920260,1,East,523
CUST00267,33,1101140,390,0.74,5,8,4,3,Credit Card,Self-employed,117285,1,South,334
CUST00268,44,1528897,898,0.19,1,1,3,4,Mixed,Student,495621,0,West,518
CUST00269,47,1226354,818,0.98,4,3,4,6,Mixed,Employed,14211,0,South,384
CUST00270,36,1961239,382,1.11,8,8,0,5,Home Loan,Employed,251302,1,West,324
CUST00271,33,319537,558,0.39,15,6,1,1,Mixed,Unemployed,356853,1,North,561
CUST00272,52,862442,814,0.83,24,7,4,0,Home Loan,Unemployed,885505,1,West,534
CUST00273,50,462310,305,0.39,13,5,2,5,Auto Loan,Student,318090,0,South,419
CUST00274,54,847530,389,0.06,18,9,0,1,Mixed,Unemployed,715491,1,South,576
CUST00275,36,1976714,412,0.18,20,6,3,0,Mixed,Student,517412,1,East,552
CUST00276,59,1955433,707,0.97,23,8,3,2,Mixed,Student,307375,0,South,518
CUST00277,42,1151214,520,0.4,21,4,4,2,Personal Loan,Employed,835866,1,East,487
CUST00278,31,1139677,571,0.27,11,4,3,1,Mixed,Student,271935,1,East,531
CUST00279,28,1373635,586,1.2,13,3,2,4,Home Loan,Unemployed,987989,0,West,315
CUST00280,60,422947,741,0.8,3,5,0,3,Home Loan,Employed,699853,1,South,428
CUST00281,46,1728889,393,0.86,6,4,4,1,Credit Card,Student,126393,1,East,342
CUST00282,61,732260,626,0.39,24,1,0,6,Mixed,Employed,236907,1,West,615
CUST00283,41,1952197,393,0.74,19,6,2,6,Mixed,Self-employed,703470,0,East,382
CUST00284,48,787994,655,0.65,5,6,3,4,Credit Card,Student,373323,1,Central,409
CUST00285,43,1578288,402,0.04,16,5,1,3,Personal Loan,Retired,293850,1,North,567
CUST00286,32,399198,827,0.99,16,5,4,7,Mixed,Retired,230719,0,East,438
CUST00287,45,455614,674,0.21,6,9,3,3,Personal Loan,Employed,207769,0,West,521
CUST00288,50,864280,898,0.66,15,7,1,4,Mixed,Student,741183,0,North,547
CUST00289,47,882961,664,0.94,10,6,1,7,Credit Card,Self-employed,375084,0,Central,398
CUST00290,22,1069212,575,0.85,6,3,4,5,Credit Card,Student,313938,1,East,336
CUST00291,35,1015445,376,0.38,13,5,1,1,Home Loan,Unemployed,875773,0,East,453
CUST00292,24,503160,596,0.92,11,2,4,0,Credit Card,Employed,85864,0,Central,437
CUST00293,25,1233749,630,0.81,21,2,2,3,Personal Loan,Student,955761,1,West,461
CUST00294,53,970266,672,1.05,10,1,1,3,Mixed,Retired,765988,1,Central,391
CUST00295,28,1004770,638,0.39,23,6,4,1,Home Loan,Employed,535286,1,South,572
CUST00296,48,1653370,379,1.03,22,5,2,2,Personal Loan,Self-employed,299650,1,West,426
CUST00297,60,1156804,765,1.03,17,5,4,6,Mixed,Employed,294434,0,South,425
CUST00298,61,228581,742,1.03,19,8,1,4,Auto Loan,Unemployed,318106,1,South,503
CUST00299,27,498024,816,0.74,22,1,3,2,Home Loan,Unemployed,784957,0,Central,541
CUST00300,35,1015660,482,0.62,7,8,2,2,Home Loan,Student,265685,0,South,426
CUST00301,57,490845,634,0.65,11,9,3,3,Auto Loan,Student,398435,0,North,452
CUST00302,38,1881368,393,1.1,21,9,2,1,Auto Loan,Employed,989271,1,Central,363
