,Date,Channel,Region,Ad_Spend,Impressions,Clicks,Conversions,Revenue,CTR,Conversion_Rate
48,2025-01-21,Facebook,West,30573,444851,5560,2261,1802017,1,41
49,2025-01-22,Instagram,West,39628,36568,7379,1332,1016316,20,18
50,2025-01-22,Instagram,North,33508,256288,16622,830,398400,6,5
51,2025-01-23,YouTube,West,31089,38063,4999,1797,619965,13,36
52,2025-01-23,YouTube,East,27881,392286,4342,2766,2494932,1,64
53,2025-01-24,Instagram,South,25839,25808,8640,815,800330,33,9
54,2025-01-24,Email,East,24771,77797,5808,2937,2763717,7,51
55,2025-01-24,Google Ads,West,36822,48364,17617,1044,752724,36,6
56,2025-01-24,Facebook,East,33265,165049,19972,2614,985478,12,13
57,2025-01-25,Google Ads,North,24578,277063,15051,1127,696486,5,7
58,2025-01-25,Instagram,West,19121,106923,11017,1591,418433,10,14
59,2025-01-25,Google Ads,North,27104,170622,16555,1485,1208790,10,9
60,2025-01-25,Instagram,South,36193,198308,15634,791,466690,8,5
61,2025-01-25,Google Ads,West,7472,373872,13919,1634,480396,4,12
62,2025-01-26,YouTube,South,32516,378560,7488,2685,1372035,2,36
63,2025-01-26,Google Ads,West,28001,99729,2254,923,598104,2,41
64,2025-01-26,Email,South,17272,304570,12099,2449,2079201,4,20
65,2025-01-26,YouTube,North,47735,247435,19552,2519,685168,8,13
66,2025-01-28,Facebook,East,35136,97857,10055,2229,1725246,10,22
67,2025-01-29,Google Ads,West,28012,321465,1703,2141,2003976,1,126
68,2025-01-30,Facebook,North,9469,375897,5485,1026,602262,1,19
69,2025-01-30,Email,North,12058,292804,13745,369,187083,5,3
70,2025-01-30,YouTube,North,29281,470946,6920,856,713904,1,12
71,2025-01-31,Google Ads,South,34792,83242,15516,1522,747302,19,10
72,2025-01-31,Google Ads,South,31824,206306,10525,1582,765688,5,15
73,2025-01-31,Instagram,South,21697,378358,3971,2721,1055748,1,69
74,2025-02-02,YouTube,South,12180,128042,12560,381,361569,10,3
75,2025-02-02,YouTube,West,11531,70691,18635,2247,748251,26,12
76,2025-02-02,Facebook,East,47955,174860,11902,1466,321054,7,12
77,2025-02-02,Instagram,West,42606,493338,2764,2149,954156,1,78
78,2025-02-03,Google Ads,South,25370,47640,19688,231,78078,41,1
79,2025-02-04,Instagram,North,25114,295273,3989,85,56270,1,2
80,2025-02-04,Facebook,South,46556,39406,15095,2885,1987765,38,19
81,2025-02-06,Email,East,29037,398600,1267,1243,280918,0,98
82,2025-02-06,Facebook,North,10111,137639,18987,2938,984230,14,15
83,2025-02-06,Email,North,6257,100100,16182,334,130928,16,2
84,2025-02-07,Instagram,South,46630,270818,3723,1012,1002892,1,27
85,2025-02-07,Facebook,North,6016,273994,9701,2382,1050462,4,25
86,2025-02-08,Instagram,West,15602,232528,10737,1101,418380,5,10
87,2025-02-10,Instagram,East,41463,432789,6390,269,211434,1,4
88,2025-02-10,Facebook,North,10310,172185,16953,1010,509040,10,6
89,2025-02-10,Instagram,West,14227,340888,12150,2465,1035300,4,20
90,2025-02-10,Google Ads,East,10259,20571,9348,2676,749280,45,29
91,2025-02-10,Instagram,North,18728,459723,3680,1394,1090108,1,38
92,2025-02-10,Instagram,West,22156,433104,17379,1589,1117067,4,9
93,2025-02-10,YouTube,West,38059,132042,4074,2426,2375054,3,60
94,2025-02-11,Facebook,East,33854,260255,12217,588,254604,5,5
95,2025-02-11,Email,West,27923,391137,4539,1870,488070,1,41
96,2025-02-11,Facebook,North,42048,477889,1530,2615,2230595,0,171
97,2025-02-11,Email,East,26739,292943,4523,2321,1812701,2,51
98,2025-02-12,Google Ads,East,24628,475096,13374,2851,1989998,3,21
99,2025-02-13,Instagram,West,31667,34148,6230,2163,2147859,18,35
100,2025-02-13,Email,South,18200,313126,13253,1475,625400,4,11
101,2025-02-13,YouTube,West,36768,464560,13176,2509,2037308,3,19
102,2025-02-13,Facebook,South,41659,25360,8363,1904,1020544,33,23
103,2025-02-13,Facebook,East,7490,267374,1815,483,459816,1,27
104,2025-02-14,Email,West,14792,379229,6323,1438,1022418,2,23
105,2025-02-14,Email,North,43690,63407,18185,881,303945,29,5
106,2025-02-14,YouTube,South,26305,265154,12769,2765,2272830,5,22
107,2025-02-14,Email,West,17904,421602,13325,2105,915675,3,16
108,2025-02-15,Email,East,24755,81960,12407,2773,2404191,15,22
109,2025-02-15,Facebook,East,23842,290209,2875,1972,1096432,1,69
110,2025-02-15,Email,East,45359,34329,19219,2878,1559876,56,15
111,2025-02-15,Instagram,East,32712,61209,1188,221,154258,2,19
112,2025-02-16,YouTube,East,47769,327793,2872,855,365940,1,30
113,2025-02-16,Instagram,East,41502,211241,18361,1266,482346,9,7
114,2025-02-16,Instagram,East,47879,258457,13076,1218,482328,5,9
115,2025-02-16,Instagram,South,42729,242994,9363,2059,1846923,4,22
116,2025-02-17,Email,West,42585,117491,1348,1521,685971,1,113
117,2025-02-18,Email,South,44706,481597,15181,2288,1164592,3,15
118,2025-02-18,Instagram,North,47701,458257,13094,2833,2328726,3,22
119,2025-02-18,Facebook,West,24108,191865,7577,2208,1154784,4,29
120,2025-02-18,Facebook,West,7239,305148,5025,1532,736892,2,30
121,2025-02-19,YouTube,South,8059,181014,11430,1964,418332,6,17
122,2025-02-19,Instagram,North,9365,43762,14574,1177,675598,33,8
123,2025-02-20,Instagram,North,21285,361339,3323,858,297726,1,26
124,2025-02-20,YouTube,North,46259,276974,7625,1564,1345040,3,21
125,2025-02-21,Email,North,40464,251809,12901,163,47596,5,1
126,2025-02-21,Email,South,22847,349297,10688,1763,1302857,3,16
127,2025-02-21,Instagram,South,30856,230732,10125,2300,1472000,4,23
128,2025-02-21,YouTube,East,38231,482122,18669,2993,1161284,4,16
129,2025-02-21,YouTube,South,5255,242013,18305,2668,2574620,8,15
130,2025-02-21,YouTube,East,24457,261532,2665,1610,526470,1,60
131,2025-02-22,Instagram,North,47311,92664,5890,99,55737,6,2
132,2025-02-22,Instagram,West,37546,415747,19109,2080,472160,5,11
133,2025-02-23,YouTube,South,38410,123148,1297,1145,843865,1,88
134,2025-02-23,Instagram,North,37895,104666,14742,231,139062,14,2
135,2025-02-24,Google Ads,West,15958,298119,8314,994,674926,3,12
136,2025-02-24,Facebook,South,32905,54406,18508,1297,1090777,34,7
137,2025-02-24,Instagram,West,18997,480139,7043,1203,1164504,1,17
138,2025-02-24,Facebook,North,33940,249909,9313,2920,1950560,4,31
139,2025-02-24,Instagram,West,29843,415733,16110,1706,1453512,4,11
140,2025-02-25,Facebook,South,17553,39541,13444,738,520290,34,5
141,2025-02-25,Instagram,South,38969,111292,15904,510,185130,14,3
142,2025-02-25,Google Ads,East,9247,73147,1190,2405,1577680,2,202
143,2025-02-26,Instagram,North,21941,348613,5457,182,181090,2,3
144,2025-02-26,Google Ads,West,36395,141963,3087,2981,1213267,2,97
145,2025-02-26,Google Ads,South,39679,272788,4089,2265,770100,1,55
146,2025-02-26,Google Ads,North,43759,74317,17472,1602,373266,24,9
147,2025-02-27,Instagram,East,46204,356819,10825,1408,587136,3,13
148,2025-02-27,Facebook,West,22493,127625,12088,1463,475475,9,12
149,2025-02-28,Google Ads,West,13717,195382,11336,1296,580608,6,11
150,2025-03-01,Instagram,North,29822,194939,17155,231,95865,9,1
151,2025-03-01,Email,West,31825,64062,7711,737,243947,12,10
152,2025-03-02,YouTube,East,5794,277918,4998,428,312012,2,9
153,2025-03-04,Email,West,37588,368404,563,2613,2032914,0,464
154,2025-03-04,Email,South,25766,274056,562,146,121034,0,26
155,2025-03-04,YouTube,North,32424,374469,12861,1450,1086050,3,11
156,2025-03-04,YouTube,North,27937,163630,8706,1758,989754,5,20
157,2025-03-04,YouTube,West,21500,205732,4503,1599,949806,2,36
158,2025-03-05,YouTube,South,10916,132493,9454,154,144298,7,2
159,2025-03-05,Instagram,North,20560,17481,6604,2667,1917573,38,40
160,2025-03-06,Email,East,5768,245054,19240,2609,1291455,8,14
161,2025-03-06,Instagram,West,15985,225069,13712,1155,696465,6,8
162,2025-03-06,Email,West,30367,262026,10015,2796,1948812,4,28
163,2025-03-06,Facebook,West,48819,212406,5651,379,159938,3,7
164,2025-03-07,Facebook,East,48067,249999,9316,97,58103,4,1
165,2025-03-07,YouTube,South,7637,397744,6843,447,291444,2,7
166,2025-03-07,Google Ads,North,39990,68519,12605,1696,1590848,18,13
167,2025-03-07,Instagram,South,31971,289855,16387,2486,892474,6,15
168,2025-03-08,Instagram,South,48994,248828,631,2728,752928,0,432
169,2025-03-09,YouTube,West,48096,60428,10331,896,541184,17,9
170,2025-03-10,Facebook,East,24453,436141,15389,578,394196,4,4
171,2025-03-10,YouTube,West,41335,347155,7296,2052,771552,2,28
172,2025-03-10,Email,East,38609,36076,9157,2946,1667436,25,32
173,2025-03-11,Google Ads,South,47875,326924,7646,1461,1133736,2,19
174,2025-03-11,YouTube,East,33016,415798,8594,2705,1401190,2,31
175,2025-03-11,Facebook,North,41726,93708,3861,528,459888,4,14
176,2025-03-12,Google Ads,South,38492,409748,8739,1023,804078,2,12
177,2025-03-12,Facebook,East,45483,146557,14600,101,78578,10,1
178,2025-03-12,YouTube,South,47750,433415,17756,2533,1109454,4,14
179,2025-03-12,YouTube,West,45954,459282,808,2007,467631,0,248
180,2025-03-13,Email,North,17904,133960,19504,2419,1894077,15,12
181,2025-03-13,YouTube,South,7014,372024,18885,1184,493728,5,6
182,2025-03-13,Facebook,East,5699,307042,17721,1274,1002638,6,7
183,2025-03-14,Instagram,North,41903,434238,2743,2007,710478,1,73
184,2025-03-14,Email,North,22423,257417,13625,2434,1796292,5,18
185,2025-03-14,Facebook,North,16682,443201,5590,118,32214,1,2
186,2025-03-14,Email,East,13039,358836,14802,581,232400,4,4
187,2025-03-14,Email,East,43382,483935,5577,1049,782554,1,19
188,2025-03-14,Google Ads,South,36745,276805,17903,56,32704,6,0
189,2025-03-15,Instagram,North,25762,451859,14763,252,54432,3,2
190,2025-03-15,Instagram,West,49800,494456,5235,2836,890504,1,54
191,2025-03-15,Email,South,31858,365740,16282,966,548688,4,6
192,2025-03-15,Facebook,North,35571,294348,8665,1977,923259,3,23
193,2025-03-16,Google Ads,East,46498,18615,5650,755,613060,30,13
194,2025-03-17,Email,East,24901,64718,14306,1890,1260630,22,13
195,2025-03-17,Instagram,West,12373,72832,5508,2858,594464,8,52
196,2025-03-18,Google Ads,West,28239,55683,6832,851,736966,12,12
197,2025-03-18,Email,West,21144,94408,7583,138,96324,8,2
198,2025-03-18,Instagram,South,6006,331109,3495,140,43260,1,4
199,2025-03-18,YouTube,North,46710,91282,9623,763,275443,11,8
200,2025-03-19,Facebook,East,9829,11560,5313,246,212790,46,5
201,2025-03-19,YouTube,West,43650,205070,19620,1219,1183649,10,6
202,2025-03-19,Email,North,9992,293105,10212,2278,2038810,3,22
203,2025-03-20,Email,East,18108,472738,16511,1080,545400,3,7
204,2025-03-20,Google Ads,North,40507,115206,6034,717,406539,5,12
205,2025-03-21,Email,North,14087,357825,3813,2281,903276,1,60
206,2025-03-21,Google Ads,North,37374,348743,3858,1988,1606304,1,52
207,2025-03-21,Facebook,South,13538,203397,17308,2724,1168596,9,16
208,2025-03-22,Facebook,South,15646,140176,11431,407,336996,8,4
209,2025-03-22,Facebook,West,28279,395670,18822,2404,613020,5,13
210,2025-03-23,Instagram,North,22639,458771,960,947,509486,0,99
211,2025-03-23,Email,East,49596,469961,713,1471,436887,0,206
212,2025-03-23,YouTube,South,24790,497903,7483,2090,624910,2,28
213,2025-03-24,YouTube,West,5102,468611,4798,1557,1114812,1,32
214,2025-03-24,Instagram,East,37206,200358,12135,2899,1379924,6,24
215,2025-03-24,Facebook,South,16578,78527,10952,2639,2045225,14,24
216,2025-03-24,Google Ads,South,21092,85995,11849,2772,1236312,14,23
217,2025-03-25,Email,South,27397,164249,18641,935,270215,11,5
218,2025-03-25,Email,South,26524,319627,3092,2840,2311760,1,92
219,2025-03-25,Google Ads,East,5629,214443,17875,2099,1549062,8,12
220,2025-03-26,Facebook,South,27929,226698,14769,2546,552482,7,17
221,2025-03-26,Email,North,26776,311949,8154,187,128282,3,2
222,2025-03-27,Instagram,West,36843,245757,18102,792,187704,7,4
223,2025-03-27,Facebook,South,6504,456276,18390,1415,1001820,4,8
224,2025-03-27,Facebook,South,23706,159713,10340,1012,320804,6,10
225,2025-03-27,Email,East,37932,204861,2213,1939,1157583,1,88
226,2025-03-27,Facebook,West,5819,205234,10531,2578,1278688,5,24
227,2025-03-28,Email,North,32672,234117,11314,570,225720,5,5
228,2025-03-28,Email,East,47888,342721,18909,1156,418472,6,6
229,2025-03-28,Email,West,13832,253608,19413,2392,1817920,8,12
230,2025-03-29,YouTube,North,38713,291354,12701,983,962357,4,8
231,2025-03-29,Google Ads,North,44084,173409,5695,1639,345829,3,29
232,2025-03-29,Instagram,East,17289,155859,3696,1785,1458345,2,48
233,2025-03-29,Instagram,South,30440,268140,17091,426,341226,6,2
234,2025-03-30,Google Ads,East,13983,496925,14121,1787,1497506,3,13
235,2025-03-31,Facebook,East,30463,453309,19724,764,612728,4,4
236,2025-03-31,Google Ads,South,35741,287737,10101,1919,711949,4,19
237,2025-04-01,Email,East,17224,240313,3123,1345,742440,1,43
238,2025-04-01,YouTube,West,29475,308051,7367,799,340374,2,11
239,2025-04-01,Google Ads,South,36299,79062,12154,1824,1634304,15,15
240,2025-04-01,Email,West,46180,235562,18201,888,870240,8,5
241,2025-04-02,Facebook,South,10682,313385,4544,469,385518,1,10
242,2025-04-02,YouTube,South,45166,169859,15551,963,302382,9,6
243,2025-04-02,Email,South,9230,428581,13858,2424,1658016,3,17
244,2025-04-02,YouTube,North,45770,224874,10523,1285,948330,5,12
245,2025-04-02,Email,West,27529,404573,3443,437,420394,1,13
246,2025-04-02,Instagram,East,41136,195994,17066,1044,889488,9,6
247,2025-04-03,Facebook,East,33691,345603,17017,513,347301,5,3
248,2025-04-04,Instagram,East,46239,446682,1762,2034,1863144,0,115
249,2025-04-04,Email,East,40358,291558,2438,2008,1722864,1,82
250,2025-04-04,Instagram,West,44517,295638,782,1348,1321040,0,172
251,2025-04-04,Instagram,West,10364,289157,11367,2890,1618400,4,25
252,2025-04-04,YouTube,East,9048,335315,9784,1190,649740,3,12
253,2025-04-04,Email,East,26394,361180,12367,2963,2628181,3,24
254,2025-04-04,Facebook,North,24398,297822,1542,246,187698,1,16
255,2025-04-05,Google Ads,South,45167,210249,19281,2286,585216,9,12
256,2025-04-05,YouTube,South,41919,87921,11740,291,97194,13,2
257,2025-04-05,Facebook,East,40142,383053,12372,2448,1933920,3,20
258,2025-04-06,Facebook,East,16350,211945,15442,2172,1355328,7,14
259,2025-04-06,YouTube,West,44873,209108,12315,2171,2055937,6,18
260,2025-04-06,Facebook,North,21400,200088,17731,2702,1018654,9,15
261,2025-04-07,YouTube,North,36991,279080,4760,1475,656375,2,31
262,2025-04-08,YouTube,South,30677,373027,4851,704,447040,1,15
263,2025-04-08,YouTube,North,26738,465279,9305,545,346620,2,6
264,2025-04-08,Google Ads,East,14866,31684,6377,1720,1037160,20,27
265,2025-04-09,Google Ads,South,24251,232183,2186,2862,741258,1,131
266,2025-04-09,Google Ads,North,8576,474781,16469,386,231214,3,2
267,2025-04-09,Email,West,12140,80323,17940,631,270699,22,4
268,2025-04-09,Email,South,36194,291770,11257,152,86792,4,1
269,2025-04-09,YouTube,North,43247,263819,12708,2953,2350588,5,23
270,2025-04-09,Google Ads,East,31460,495336,11605,2428,2141496,2,21
271,2025-04-10,Instagram,North,13555,373820,17953,2875,2325875,5,16
272,2025-04-10,YouTube,South,45151,422731,6074,687,377850,1,11
273,2025-04-11,Google Ads,North,9479,184479,5252,1613,937153,3,31
274,2025-04-11,Email,North,19362,453135,15377,71,33370,3,0
275,2025-04-11,Google Ads,South,24903,113192,13940,1012,1008964,12,7
276,2025-04-11,Facebook,East,15599,94282,9853,1176,711480,10,12
277,2025-04-12,Instagram,South,46273,132183,18394,2282,1227716,14,12
278,2025-04-12,YouTube,North,6172,163668,14022,2183,1587041,9,16
279,2025-04-12,Email,North,44354,36753,11564,1697,1311781,31,15
280,2025-04-13,Google Ads,West,32182,428707,19722,1267,950250,5,6
281,2025-04-13,Facebook,South,39125,23575,8467,2924,1374280,36,35
282,2025-04-13,Email,East,10359,372909,11664,1369,618788,3,12
283,2025-04-14,Instagram,East,26315,389014,17372,143,121407,4,1
284,2025-04-14,Email,North,38354,209427,6695,2662,1080772,3,40
285,2025-04-14,Email,East,33915,499249,11904,608,415264,2,5
286,2025-04-15,Instagram,North,14107,410907,7049,356,274476,2,5
287,2025-04-15,Google Ads,East,31986,412007,894,373,361810,0,42
288,2025-04-15,YouTube,West,40832,226109,16974,872,662720,8,5
289,2025-04-15,Google Ads,East,42400,31039,3002,895,894105,10,30
290,2025-04-15,Google Ads,East,46427,452044,8333,1344,1239168,2,16
291,2025-04-16,YouTube,South,12208,261105,10756,2776,571856,4,26
292,2025-04-16,Email,South,45439,299093,15449,1440,1275840,5,9
293,2025-04-16,Instagram,South,36445,103736,18903,2815,1249860,18,15
294,2025-04-16,Facebook,East,47162,137263,3764,2923,2727159,3,78
295,2025-04-17,YouTube,East,25871,477278,13551,2008,1530096,3,15
296,2025-04-17,YouTube,West,36428,385959,2489,686,281946,1,28
297,2025-04-18,YouTube,East,44815,382005,1383,1881,1085337,0,136
298,2025-04-18,Facebook,East,40552,461881,14793,1832,467160,3,12
299,2025-04-18,Instagram,South,20081,456261,4556,632,200344,1,14
300,2025-04-19,Google Ads,East,24225,394965,1008,652,335128,0,65
301,2025-04-20,Facebook,West,10607,162109,7609,1565,1414760,5,21
302,2025-04-20,Email,North,47189,88542,18921,2007,1549404,21,11
303,2025-04-21,Facebook,West,18494,375939,16219,523,346749,4,3
304,2025-04-21,YouTube,South,35769,163096,3894,932,543356,2,24
305,2025-04-23,Instagram,East,39279,190721,1401,1823,601590,1,130
306,2025-04-23,Google Ads,South,19733,205148,8518,1076,732756,4,13
307,2025-04-23,Instagram,North,14160,396608,19123,1744,1451008,5,9
308,2025-04-24,YouTube,South,47931,407529,2231,2904,940896,1,130
309,2025-04-24,Email,South,42611,186479,9495,1986,1896630,5,21
310,2025-04-25,Instagram,West,39166,171517,9175,2068,1017456,5,23
311,2025-04-25,Facebook,South,16923,64830,6746,2720,2537760,10,40
312,2025-04-25,YouTube,West,49569,464654,1039,278,258262,0,27
313,2025-04-25,Email,West,5829,320091,10605,2273,1879771,3,21
314,2025-04-25,Email,East,25584,83825,4271,1566,1487700,5,37
315,2025-04-26,Instagram,North,12775,83217,9051,769,659802,11,8
316,2025-04-27,Instagram,East,16683,36959,17009,1196,1103908,46,7
317,2025-04-28,Instagram,East,39046,59394,16122,2492,2277688,27,15
318,2025-04-28,Email,West,14374,282256,4108,1186,354614,1,29
319,2025-04-29,Google Ads,East,39808,24041,4782,846,358704,20,18
320,2025-04-29,Instagram,South,27402,439638,16972,1680,717360,4,10
321,2025-04-30,Facebook,South,29716,313555,2780,273,177450,1,10
322,2025-05-01,Email,East,25356,408027,1185,2320,990640,0,196
323,2025-05-01,Facebook,South,48685,314802,10771,2090,1931160,3,19
324,2025-05-03,Email,South,44811,198561,18791,1746,703638,9,9
325,2025-05-03,YouTube,West,8445,219077,6556,185,59940,3,3
326,2025-05-05,Google Ads,North,9551,238280,3730,2171,2123238,2,58
327,2025-05-06,Facebook,South,11356,459723,1074,2143,462888,0,200
328,2025-05-06,Google Ads,South,33093,331521,5267,368,355120,2,7
329,2025-05-06,Facebook,South,48908,122544,1784,936,524160,1,52
330,2025-05-06,Instagram,East,34329,70523,4747,2651,1243319,7,56
331,2025-05-07,Instagram,North,35409,488059,15877,2797,1639042,3,18
332,2025-05-07,Instagram,North,26073,369953,17663,1485,977130,5,8
333,2025-05-07,Facebook,North,41428,72121,14420,2042,1008748,20,14
334,2025-05-08,YouTube,South,6631,189286,10192,410,237390,5,4
335,2025-05-08,Email,West,5290,333309,15950,1554,1157730,5,10
336,2025-05-09,Facebook,North,43341,319071,16571,1275,1100325,5,8
337,2025-05-09,YouTube,South,31864,456987,2041,1949,487250,0,95
338,2025-05-09,Email,West,45881,80460,4310,2183,742220,5,51
339,2025-05-10,Email,East,45586,411473,9061,1253,651560,2,14
340,2025-05-11,YouTube,South,43047,281272,4774,2603,1671126,2,55
341,2025-05-11,Facebook,South,22007,266457,18150,1095,706275,7,6
342,2025-05-11,Facebook,East,9823,402648,12918,96,83232,3,1
343,2025-05-11,Email,South,23603,374500,4683,418,133342,1,9
344,2025-05-11,Instagram,West,31251,416656,1028,1112,1027488,0,108
345,2025-05-11,Email,South,14771,83465,3756,818,596322,5,22
346,2025-05-12,Facebook,East,31184,109037,5288,489,198045,5,9
347,2025-05-12,Google Ads,East,30956,256120,9028,135,125145,4,1
348,2025-05-12,Email,North,8051,269637,6911,2066,1258194,3,30
349,2025-05-12,Instagram,North,28248,423532,13499,415,369765,3,3
350,2025-05-13,Google Ads,East,27255,83630,8269,2126,1996314,10,26
351,2025-05-13,Instagram,West,39076,330039,4545,2649,839733,1,58
352,2025-05-14,Instagram,South,46788,351364,4912,719,148833,1,15
353,2025-05-14,Google Ads,East,5284,244754,15478,1439,448968,6,9
354,2025-05-14,Instagram,North,23114,123071,13094,762,607314,11,6
355,2025-05-14,Email,East,11295,262203,2185,915,904020,1,42
356,2025-05-15,Email,North,38087,484084,8750,1830,386130,2,21
357,2025-05-15,Facebook,East,36612,18650,11280,928,457504,60,8
358,2025-05-15,YouTube,East,34843,237019,2660,2887,2676249,1,109
359,2025-05-15,Facebook,West,16438,73609,7351,1827,816669,10,25
360,2025-05-16,Google Ads,South,12421,410198,13696,150,108300,3,1
361,2025-05-16,Google Ads,South,9206,192606,15733,2378,1833438,8,15
362,2025-05-16,Google Ads,East,13187,251343,13516,240,198720,5,2
363,2025-05-16,Google Ads,West,7867,477516,19251,2516,2226660,4,13
364,2025-05-16,Instagram,East,6169,368672,6928,811,268441,2,12
365,2025-05-16,Facebook,West,22885,304409,3297,1383,358197,1,42
366,2025-05-17,YouTube,North,19482,140847,11327,863,606689,8,8
367,2025-05-17,YouTube,South,30460,485617,2276,1194,364170,0,52
368,2025-05-17,Google Ads,East,25486,443996,10540,2364,2259984,2,22
369,2025-05-17,Email,North,38876,323555,12280,2841,1167651,4,23
370,2025-05-18,YouTube,West,17190,199637,12488,160,88640,6,1
371,2025-05-19,Instagram,West,39024,120888,10817,2315,1076475,9,21
372,2025-05-19,Facebook,West,39769,214389,954,2556,1109304,0,268
373,2025-05-19,Facebook,East,42540,89097,7709,1578,949956,9,20
374,2025-05-20,Instagram,East,38165,318512,16393,1155,284130,5,7
375,2025-05-20,Facebook,East,29765,497555,14474,301,72240,3,2
376,2025-05-21,YouTube,West,38451,191356,1465,450,387000,1,31
377,2025-05-21,YouTube,North,44018,225485,8452,2918,1806242,4,35
378,2025-05-22,Facebook,West,15206,471530,6747,2778,1244544,1,41
379,2025-05-23,Facebook,East,33376,140163,17338,201,100098,12,1
380,2025-05-23,YouTube,South,9102,410839,15803,1911,1224951,4,12
381,2025-05-23,Facebook,East,27517,55133,2153,2491,1890669,4,116
382,2025-05-23,Email,West,37717,184836,10127,2732,1264916,5,27
383,2025-05-23,Instagram,East,37874,459152,4304,2527,588791,1,59
384,2025-05-23,Email,North,14808,341383,4207,1192,1144320,1,28
385,2025-05-23,Facebook,East,12111,499213,8072,268,169644,2,3
386,2025-05-24,Email,West,16308,140919,13204,2122,1239248,9,16
387,2025-05-25,Email,North,6875,352795,5884,150,131400,2,3
388,2025-05-26,Instagram,East,17812,159669,8790,914,182800,6,10
389,2025-05-27,Google Ads,North,44911,462559,17021,2862,2441286,4,17
390,2025-05-27,Facebook,West,11277,16846,17233,805,455630,102,5
391,2025-05-28,YouTube,East,29507,299813,16307,1007,502493,5,6
392,2025-05-29,Google Ads,East,39829,158292,2776,2777,2152175,2,100
393,2025-05-29,Instagram,East,26902,170988,1339,273,134316,1,20
394,2025-05-29,Google Ads,South,43097,108775,1871,1605,1242270,2,86
395,2025-05-29,Google Ads,East,5232,422721,12340,873,792684,3,7
396,2025-05-29,Facebook,North,31084,184798,13283,206,135342,7,2
397,2025-05-30,YouTube,North,30758,374754,18742,1067,317966,5,6
398,2025-05-30,Instagram,West,34356,407072,19231,1859,1031745,5,10
